date          Qobs       Qsimobs        Qsim       Qusi
20150801      55.238     126.631     152.659      98.319
20150802      45.357     103.184     125.295      57.014
20150803      52.930     111.406     104.167      51.207
20150804      42.000      84.845     113.070      68.228
20150805      50.400     108.910      96.327      52.132
20150806      51.088     123.695     102.206      59.623
20150807      39.708     105.951     120.862      72.778
20150808      40.152     129.154     100.968      48.007
20150809      32.099     100.527     112.553      55.162
20150810      26.812      86.104     108.052      40.651
20150811      32.582      97.713      97.979      37.140
20150812      46.348     120.114      86.130      35.377
20150813      30.832      98.929     102.430      61.626
20150814      27.231     104.364      98.324      40.023
20150815      25.832      79.498      99.446      37.046
20150816      33.987      96.391      85.585      27.076
20150817      29.900      88.948      95.933      41.753
20150818      22.677      84.763      92.412      37.612
20150819      20.062      87.047      88.527      28.614
20150820      17.589      83.137      89.812      26.244
20150821      17.269      80.514      86.092      22.537
20150822      17.553      77.905      82.080      21.570
20150823      16.136      75.104      80.475      22.422
20150824      16.596      74.050      77.891      20.517
20150825      18.062      73.569      75.314      20.131
20150826      18.191      69.654      74.513      22.019
20150827      28.183      72.334      68.216      20.208
20150828      52.312      76.650      66.629      30.120
20150829      29.003      89.999      69.547      51.479
20150830      18.407      89.624      75.904      40.692
20150831      20.493      73.858      76.347      25.974
20150901      18.321      59.803      73.837      24.422
20150902      11.791      35.627      56.515      21.788
20150903       8.970      27.134      36.131      10.040
20150904       7.561      24.877      27.135       8.300
20150905       6.580      38.598      25.011       9.337
20150906       8.731      30.438      29.461      10.076
20150907       8.819      22.717      31.477      10.555
20150908      10.067      21.691      27.113       9.063
20150909       7.411      22.156      25.688      12.093
20150910       7.014      21.307      23.353       8.459
20150911       6.679      20.090      20.492       8.111
20150912       6.609      19.685      20.565       7.492
20150913       7.012      22.505      19.778       7.419
20150914       9.822      27.261      19.915       7.868
20150915      11.161      29.578      21.908      11.669
20150916      11.907      32.913      27.447      13.252
20150917      12.890      32.659      30.580      15.239
20150918      17.384      31.921      32.735      15.611
20150919      31.020      32.807      32.335      20.145
20150920      37.184      57.656      38.630      32.412
20150921      18.036      42.959      31.380      36.306
20150922      13.169      34.057      26.478      17.532
20150923      10.690      26.354      28.872      11.963
20150924      11.335      26.799      28.025      11.918
20150925      10.738      24.400      24.640      12.934
20150926      22.391      31.029      25.732      11.490
20150927      30.762      42.987      29.529      26.020
20150928      17.950      38.791      36.794      39.067
20150929      17.811      40.072      33.920      24.934
20150930      21.865      79.583      30.635      22.550
20151001      30.622     110.333      59.623      42.494
20151002      53.985     144.228      78.589      37.700
20151003      35.658     103.153     106.967      57.380
20151004      25.555      81.539      87.780      30.663
20151005      19.297      49.589      64.703      19.315
20151006      13.277      34.006      44.500      13.140
20151007      11.222      27.078      34.006       9.442
20151008       9.554      25.404      27.188      10.414
20151009       8.244      24.238      25.425      10.366
20151010       7.540      22.768      24.103       9.425
20151011       7.811      21.841      22.859       9.372
20151012       9.704      21.447      21.617       9.037
20151013      10.327      21.378      21.031      11.191
20151014      10.919      31.421      21.212      12.074
20151015      13.434      32.295      23.433      14.404
20151016      18.968      69.505      29.460      14.744
20151017      15.411      51.932      51.506      33.513
20151018      19.270     114.181      49.496      19.480
20151019      13.283      68.958      45.592      19.438
20151020      10.170      41.980      36.550      11.641
20151021       8.655      30.649      37.279       9.396
20151022       8.651      31.455      31.486       9.890
20151023      15.979      54.622      27.985       9.418
20151024      13.355      28.214      39.616      20.541
20151025      11.200      37.252      27.915      10.317
20151026       9.093      30.128      32.773      11.276
20151027       7.232      24.229      28.034       7.306
20151028       6.265      22.769      24.229       6.588
20151029       7.074      21.371      22.742       5.728
20151030       6.244      20.059      21.366       6.205
20151031       5.432      18.827      20.631       7.468
20151101      18.777      46.265      19.414       6.114
20151102      15.862      56.478   -9999.000   -9999.000
20151103      15.634     100.672      44.956      24.971
20151104      20.142     117.499      77.992      29.599
20151105      15.560      70.108      87.635      26.616
20151106      11.144      40.895      64.036      13.437
