date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.807       1.270       1.286       0.816
20150802       0.820       1.253       1.283       0.813
20150803       0.839       1.242       1.311       0.874
20150804       1.137       2.460       1.252       0.817
20150805       1.252       1.567       1.891       1.226
20150806       1.161       1.347       1.549       1.044
20150807       1.085       1.545       1.615       1.212
20150808       1.082       1.320       1.448       1.077
20150809       1.197       3.349       2.731       2.117
20150810       1.624       2.994       3.189       1.696
20150811       1.628       2.335       2.543       1.550
20150812       1.538       2.385       2.433       1.560
20150813       1.623       2.851       2.597       1.651
20150814       8.474       2.142       2.830       1.734
20150815       1.639       1.813       2.134       1.361
20150816       1.350       1.588       1.799       1.744
20150817       1.226       1.457       1.588       1.203
20150818       1.118       1.399       1.457       1.132
20150819       1.032       1.347       1.399       1.097
20150820       0.957       1.326       1.347       1.012
20150821       0.880       1.304       1.326       0.960
20150822       0.820       1.285       1.304       0.889
20150823       0.776       1.263       1.285       0.808
20150824       0.761       1.253       1.266       0.766
20150825       0.761       1.236       1.248       0.747
20150826       0.744       1.213       1.234       0.768
20150827       0.723       1.195       1.213       0.756
20150828       0.699       1.175       1.194       0.715
20150829       0.669       1.155       1.174       0.690
20150830       0.640       1.136       1.155       0.660
20150831       0.622       1.118       1.136       0.643
20150901       0.634       1.152       1.123       0.642
20150902       0.650       1.098       1.163       0.631
20150903       0.650       1.100       1.101       0.643
20150904       0.650       1.082       1.098       0.671
20150905       0.671       1.062       1.078       0.657
20150906       0.861       1.657       1.381       0.876
20150907       0.957       2.489       1.268       0.870
20150908       0.956       2.122       1.179       0.850
20150909       0.978       1.216       1.200       0.970
20150910       1.049       1.128       2.105       0.954
20150911       1.021       1.096       1.609       0.934
20150912       0.955       1.079       1.096       1.023
20150913       0.894       1.048       1.079       0.942
20150914       0.842       1.031       1.062       0.892
20150915       0.793       1.015       1.045       0.825
20150916       0.757       0.998       1.015       0.782
20150917       0.725       0.982       0.998       0.754
20150918       0.706       0.967       0.982       0.714
20150919       0.719       1.268       1.038       0.758
20150920       0.718       1.084       1.144       0.718
20150921       0.718       1.045       1.090       0.722
20150922       0.712       0.979       1.003       0.688
20150923       0.709       0.997       1.054       0.758
20150924       0.725       0.969       0.998       0.713
20150925       0.746       0.976       0.981       0.731
20150926       0.876       1.503       1.107       0.839
20150927       1.081       1.398       1.395       1.017
20150928       1.542       1.531       1.522       1.161
20150929       1.498       1.155       1.248       1.441
20150930       1.368       1.088       1.181       1.357
20151001       1.248       1.013       1.175       1.409
20151002       1.156       0.999       1.060       1.206
20151003       1.097       1.000       0.997       1.147
20151004       1.036       1.004       0.987       1.083
20151005       1.003       0.994       0.982       1.006
20151006       1.036       1.137       0.990       1.027
20151007       1.075       1.013       1.048       1.023
20151008       1.088       1.003       1.006       1.044
20151009       1.059       0.987       0.993       1.052
20151010       1.012       0.972       0.987       1.052
20151011       0.953       0.958       0.972       1.014
20151012       0.904       0.953       0.965       0.958
20151013       0.905       0.983       0.980       0.929
20151014       1.088       1.008       1.037       0.927
20151015       1.291       1.004       1.025       1.078
20151016       1.354       0.984       1.104       1.322
20151017       1.371       0.952       1.026       1.332
20151018       1.415       0.939       1.036       1.401
20151019       1.508       1.000       0.952       1.410
20151020       1.499       0.943       0.945       1.445
20151021       1.431       0.926       0.942       1.476
20151022       1.619       1.292       0.968       1.428
20151023       1.893       0.989       1.063       1.590
20151024       1.782       0.949       0.981       1.762
20151025       1.671       0.935       0.949       1.667
20151026       1.823       1.440       0.977       1.662
20151027       1.773       1.132       1.061       1.796
20151028       1.602       1.262       1.023       1.642
20151029       1.527       1.346       1.114       1.533
20151030       1.384       1.228       1.149       1.538
20151031       1.399       1.157       1.212       1.315
20151101       1.535       1.205       1.498       1.832
20151102       2.261       2.629   -9999.000   -9999.000
20151103       2.604       2.620       2.609       3.024
20151104       2.326       2.010       2.458       2.602
20151105       1.987       1.774       2.204       2.146
20151106       2.702       1.585       1.886       1.837
20151107       2.678       1.280       1.479       1.845
20151108       1.555       1.158       1.282       2.490
20151109       1.338       1.208       1.208       2.857
20151110       1.280       1.140       1.157       1.784
20151111       1.021       1.091       1.130       1.215
20151112       0.830       1.058       1.089       1.059
20151113       0.958       1.032       1.058       0.792
20151114       1.098       1.056       1.060       0.929
20151115       1.112       1.038       1.041       1.090
20151116       1.089       1.019       1.046       1.125
20151117       1.083       1.001       1.024       1.087
20151118       1.068       0.979       1.001       1.067
20151119       1.063       0.953       0.977       1.047
20151120       1.044       0.958       0.958       1.026
20151121       0.989       0.929       0.951       1.019
20151122       0.965       0.937       0.939       0.967
20151123       0.883       0.903       0.925       0.936
20151124       0.890       0.884       0.905       0.890
20151125       1.000       0.867       0.912       0.893
20151126       0.982       0.908       0.898       1.034
20151127       0.959       0.913       0.896       1.026
20151128       0.943       0.893       0.903       0.985
20151129       0.937       0.862       0.886       0.928
20151130       0.921       0.842       0.861       0.916
20151201       0.907       0.823       0.841       0.891
20151202       0.885       0.884       0.839       0.907
20151203       0.868       0.858       0.861       0.886
20151204       0.839       0.825       0.858       0.867
20151205       0.793       0.807       0.825       0.818
20151206       0.846       0.826       0.823       0.806
20151207       0.924       0.864       0.858       0.881
20151208       0.977       0.866       0.864       0.952
20151209       0.951       0.854       0.847       0.960
20151210       1.021       1.050       0.907       0.998
20151211       1.036       1.055       0.994       1.087
20151212       1.021       0.926       0.993       1.024
20151213       1.001       0.878       0.939       0.962
20151214       0.996       0.834       0.872       0.931
20151215       1.019       0.844       0.868       0.984
20151216       1.110       0.913       0.827       0.962
20151217       1.180       0.846       0.860       1.083
20151218       1.315       0.824       0.831       1.103
20151219       1.389       0.885       0.883       1.309
20151220       1.370       0.864       0.913       1.418
20151221       1.289       0.817   -9999.000   -9999.000
20151222       1.244       0.787   -9999.000   -9999.000
20151223       1.250       0.743       0.774       1.151
20151224       1.375       0.699       0.738       1.164
20151225       1.413       0.667       0.701       1.280
20151226       1.522       0.992       0.738       1.429
20151227       1.602       0.810       0.770       1.578
20151228       1.781       0.786       0.757       1.511
20151229       2.303       0.708       0.756       1.608
20151230       2.518       0.680       0.709       1.984
20151231       2.332       0.639       0.678       2.298
20160101       2.015       0.610       0.640       2.163
20160102       1.821       0.584       0.610       1.870
20160103       1.661       0.564       0.587       1.710
20160104       1.734       0.546       0.563       1.551
20160105       2.177       0.533       0.546       1.582
20160106       2.414       0.558       0.537       0.537
20160107       2.509       0.561       0.543       0.545
20160108       2.740       0.759       0.605       0.606
20160109       2.987       0.929       0.749       0.758
20160110       3.028       0.767       0.798       0.810
20160111       2.826       0.706       0.759       0.760
20160112       2.599       0.669       0.703       0.703
20160113       2.326       0.655       0.650       0.650
20160114       2.164       0.634       0.652       0.654
20160115       2.165       0.879       0.690       0.690
20160116       2.090       0.818       0.778       0.791
20160117       1.924       0.765       0.768       0.772
20160118       1.713       0.687       0.737       0.740
20160119       1.511       0.649       0.678       0.679
