date          Qobs       Qsimobs        Qsim       Qusi
20150801       7.197       2.436       4.170       7.616
20150802      11.933       2.097       2.193       6.490
20150803      13.487      13.965       2.123       3.416
20150804       5.776       2.588       7.551      17.455
20150805       8.367       3.087       3.383       2.445
20150806      15.363      15.566      10.437      12.811
20150807       7.955       3.408       8.505      16.764
20150808       8.856       8.891       9.785       8.101
20150809       5.886       4.991       5.361       8.076
20150810       3.725       2.397       3.366       3.296
20150811       2.734       2.191       2.304       2.564
20150812       3.333       4.457       2.681       3.143
20150813       3.957       6.027       4.586       4.604
20150814       2.570       2.247       3.288       3.008
20150815       1.854       2.134       2.248       1.734
20150816       1.507       2.023       2.134       1.912
20150817       1.229       1.916       2.023       1.496
20150818       1.030       1.814       1.916       1.319
20150819       0.805       1.718       1.814       1.096
20150820       0.696       1.626       1.718       0.808
20150821       0.580       1.539       1.626       0.744
20150822       0.523       1.456       1.539       0.602
20150823       0.467       1.386       1.456       0.554
20150824       0.414       1.307       1.381       0.474
20150825       0.375       1.236       1.307       0.422
20150826       0.375       1.186       1.246       0.424
20150827       0.394       1.157       1.291       0.424
20150828       6.810      18.539      11.470       5.362
20150829       6.428      11.160      15.389      13.374
20150830       4.833       2.402       9.147       5.614
20150831       7.863      14.284       4.188       2.508
20150901       3.551       1.805       8.584      10.752
20150902       2.303       1.531       1.924       0.962
20150903       1.677       1.454       1.529       1.800
20150904       1.342       1.373       1.449       1.694
20150905       2.388       1.702       2.375       2.111
20150906       3.964       1.874       3.723       4.582
20150907       7.615       1.603       4.519       8.945
20150908      20.413       1.431       3.490       8.954
20150909       9.063       1.583       1.956      12.125
20150910       4.221       1.472       1.560       5.444
20150911       2.596       1.394       1.272       3.688
20150912       1.826       1.320       1.394       2.415
20150913       1.453       1.262       1.320       1.694
20150914       1.182       1.195       1.250       1.327
20150915       1.042       1.137       1.183       1.104
20150916       0.872       1.074       1.134       0.956
20150917       0.879       1.016       1.074       0.784
20150918       4.640       1.815       1.346       0.996
20150919      29.883      15.720       9.497      13.702
20150920      24.149      15.502      14.853      32.766
20150921      15.185       3.393      11.602      16.333
20150922       7.087       1.426       2.974       4.430
20150923       4.152       1.343       1.415       3.149
20150924       2.869       1.286       1.335       3.977
20150925       5.616       1.435       2.030       4.005
20150926      13.750      12.100       5.909      10.939
20150927      34.018      12.200      15.005      28.756
20150928      24.057       7.227      10.977      16.447
20150929       8.004       1.806       4.334      14.325
20150930       7.028       2.790       2.450       3.936
20151001      31.905      14.068       5.868      10.466
20151002      31.860      32.785      20.719      34.738
20151003      14.704      22.251      21.980      28.901
20151004       7.580       5.097      14.880      12.020
20151005       5.509       2.327       5.020       3.195
20151006       3.702       1.891       1.915       2.346
20151007       2.692       1.756       1.891       3.282
20151008       2.105       1.666       1.794       2.638
20151009       1.889       1.619       1.750       1.991
20151010       2.024       2.280       1.615       1.776
20151011       1.907       1.575       1.637       1.780
20151012       1.653       1.490       1.570       1.849
20151013       1.461       1.413       1.490       1.615
20151014       1.479       1.395       1.496       1.421
20151015       1.459       1.299       1.386       1.198
20151016       1.392       1.258       1.299       1.391
20151017       1.404       1.189       1.250       1.111
20151018       1.829       1.165       1.195       1.251
20151019       1.775       1.098       1.141       1.354
20151020       1.508       1.049       1.088       1.705
20151021       1.379       0.993       1.058       1.355
20151022       3.931       6.691       2.709       3.335
20151023      18.508      16.382       7.010       5.455
20151024       9.508       7.696       9.413      12.412
20151025       9.751       4.591       6.137       7.176
20151026       7.037       1.895       3.669       4.682
20151027       8.669       5.939       4.878       8.868
20151028       5.134       1.546       2.736       7.240
20151029       3.308       1.467       1.553       2.491
20151030       2.458       1.392       1.489       3.270
20151031       3.251       1.830       1.429       2.303
20151101       6.391       3.140       4.078       6.524
20151102      10.917       7.805   -9999.000   -9999.000
20151103       8.242       5.935       8.116      14.453
20151104       5.563       3.324       5.432       6.745
20151105       4.358       1.788       2.402       2.751
20151106       3.119       1.672       1.729       2.838
20151107       3.864       2.808       1.772       2.566
20151108       4.750       3.335       4.298       5.550
20151109       3.661       1.918       3.458       4.701
20151110       2.754       1.751       2.631       4.784
20151111       3.817       5.150       2.056       4.072
20151112       4.118       2.022       3.061       4.762
20151113       3.145       1.758       1.814       2.545
20151114       2.407       1.678       1.744       3.109
20151115       2.027       1.591       1.677       2.593
20151116       1.718       1.510       1.591       1.868
20151117       1.591       1.819       1.510       1.587
20151118       1.437       1.464       1.506       1.632
20151119       1.347       1.389       1.451       1.090
20151120       1.269       1.318       1.389       1.361
20151121       1.169       1.250       1.318       1.130
20151122       1.185       1.187       1.250       1.106
20151123       1.239       1.126       1.187       1.414
20151124       1.260       1.068       1.126       1.266
20151125       1.129       1.014       1.068       1.187
20151126       0.997       0.962       1.177       1.372
20151127       7.673      10.586       6.280       7.659
20151128      16.996      14.660       5.327       4.673
20151129       6.617       2.150       8.120      17.339
20151130       3.328       1.200       2.150       2.042
20151201       2.994       1.139       1.200       1.927
20151202       2.567       1.097       1.147       5.338
20151203       2.182       6.050       1.087       2.189
20151204       2.064       1.178       2.978       3.421
20151205       2.078       1.106       1.284       2.633
20151206       1.936      11.320       1.120       4.497
20151207       5.655      21.286       5.316       3.247
20151208       5.405       4.668      15.301       9.122
20151209       8.606      17.830       4.313       2.678
20151210       5.516       9.538      10.572      10.802
20151211       3.824       7.307       6.956       4.191
20151212       3.048       5.323       5.261       3.495
20151213       2.479       1.576       3.475       2.170
20151214       1.992       1.490       1.565       1.119
20151215       2.144       1.415       1.490       1.782
20151216       1.810       3.290       1.415       2.040
20151217       1.906       1.394       2.745       3.970
20151218       3.437       1.579       3.433       3.090
20151219       7.252       7.025       6.608       9.403
20151220      18.774      10.905      12.255      12.834
20151221      22.901      24.961   -9999.000   -9999.000
20151222      11.337      12.123   -9999.000   -9999.000
20151223       6.211       3.285       8.967       8.050
20151224       4.170       2.131       3.348       3.364
20151225       5.168       8.826       1.715       2.365
20151226       4.188       4.471       5.352       5.353
20151227       2.884       1.991       3.183       2.876
20151228       2.689       1.639       1.991       1.638
20151229       2.528       1.556       1.639       2.046
20151230       2.106       1.814       1.558       2.776
20151231       2.031      11.913       1.511       2.186
20160101       1.764       7.228       5.947       3.802
20160102       1.441       6.621       4.693       1.366
20160103       1.825       1.700       4.355       1.211
20160104       4.894       1.614       1.700       0.579
20160105      12.713       1.534       1.614       2.916
20160106      18.669       1.457       1.534       1.534
20160107      20.655       1.384       1.457       1.457
20160108      20.390       1.315       1.384       1.384
20160109      17.803       1.249       1.315       1.315
20160110      16.167       1.186       1.249       1.249
20160111       6.896       1.127       1.186       1.186
20160112       5.828       1.070       1.127       1.127
20160113       5.170       1.017       1.070       1.070
20160114       4.999       0.966       1.017       1.017
20160115       3.523       0.918       0.966       0.966
20160116       1.563       0.872       0.918       0.918
20160117       1.018       0.828       0.872       0.872
20160118       1.196       0.787       0.828       0.828
20160119       1.220       0.747       0.787       0.787
20160120       1.172       0.710       0.747       0.747
20160121       1.083       0.674       0.710       0.710
20160122       0.848       0.641       0.674       0.674
20160123       0.650       0.609       0.641       0.641
20160124       0.501       0.578       0.609       0.609
20160125       0.364       0.549       0.694       0.718
20160126       0.536       2.130       0.549       0.549
20160127       0.859       4.418       0.581       0.772
20160128       0.930       0.886       1.847       2.067
20160129       0.906       0.654       0.793       0.699
20160130       0.829      12.903       0.654       0.654
20160131       0.659       1.162       5.725       6.386
20160201       0.571       0.861       1.116       1.112
20160202       0.522       0.818       0.861       0.861
20160203       0.488       0.777       0.818       0.818
20160204       0.509       0.738       0.777       0.777
20160205       0.540       0.701       0.738       0.738
20160206       0.546       0.665       0.701       0.708
20160207       0.571       0.879       0.998       1.745
20160208       0.825      12.857       0.655       1.467
20160209       0.947      12.858       5.381       5.722
20160210       0.845       1.397       7.636       7.660
20160211       0.680       0.968       1.397       1.397
20160212       0.577       0.920       0.968       0.968
20160213       0.512       0.874       0.920       0.920
20160214       0.486       0.830       0.874       0.874
20160215       0.432       0.789       0.830       0.830
20160216       0.426       0.749       0.789       0.789
20160217       0.404       0.712       0.749       0.749
20160218       0.426       0.966       0.712       0.712
20160219       0.418       0.669       0.704       0.704
20160220       0.332       0.635       0.669       0.669
20160221       0.291       0.606       0.635       0.635
20160222       0.281       0.574       0.604       0.604
20160223       0.284       0.546       0.574       0.266
20160224       0.283       0.518       0.545       0.266
20160225       0.301       0.497       0.518       0.292
20160226       0.322       0.468       0.494       0.316
20160227       0.328       0.445       0.468       0.324
20160228       0.332       0.422       0.445       0.338
20160229       0.328       0.401       0.422       0.294
20160301       0.312       0.381       0.401       0.320
20160302       0.310       0.362       0.381       0.323
20160303       0.284       0.344       0.362       0.299
20160304       0.269       0.327       0.344       0.278
20160305       0.248       0.310       0.327       0.278
20160306       0.245       0.295       0.310       0.242
20160307       0.245       0.280       0.295       0.244
20160308       0.245       0.266       0.280       0.237
20160309       0.253       0.253       0.266       0.237
20160310       0.245       0.240       0.253       0.230
20160311       0.245       0.228       0.240       0.244
20160312       0.245       0.217       0.228       0.220
20160313       0.284       0.206       0.217       0.242
20160314      18.646       1.919       6.454       5.968
20160315      32.785       2.852       1.370       5.074
20160316      23.667       2.367       1.531      15.152
20160317      11.819       3.049       1.314      22.363
20160318      10.059       3.654       1.332       7.820
20160319       7.365       0.715       1.958       6.638
20160320       6.379       0.391       0.715       2.817
20160321       5.259       0.372       0.391       4.454
20160322       4.489       0.372       0.372       5.418
20160323   -9999.000   -9999.000       0.353       5.074
20160324       3.201       0.355   -9999.000   -9999.000
20160325       2.891       0.356   -9999.000   -9999.000
20160326       2.631       0.329   -9999.000   -9999.000
20160327       4.512       7.191       0.767       3.676
20160328       6.872      15.145       4.917       5.999
20160329      10.050      20.313      11.237       9.460
20160330       9.577      15.089      12.543       9.178
20160331       5.955       2.118       9.723       6.322
20160401       4.282       0.884       2.103       1.523
20160402       3.494       1.393       0.891       2.371
20160403       3.626       2.700       1.809       7.141
20160404       4.585      12.055       3.736       7.852
20160405       6.754       6.357       9.837       8.102
20160406      10.001       5.708       7.367       5.578
20160407      11.367       8.105       7.273      10.076
20160408       8.651       3.023       5.102       9.889
20160409       5.928       1.438       2.167       4.909
20160410       4.797       1.164       1.377       3.761
20160411       4.286       1.329       1.156       3.644
20160412       4.236       1.492       1.312       5.037
20160413       4.011       1.939       1.438       4.457
20160414       3.663       1.054       1.254       3.618
20160415       3.592       2.650       1.479       3.528
20160416       3.841       3.192       2.011       5.200
20160417       3.921       1.617       2.221       3.769
20160418       4.827       3.934       1.772       2.749
20160419       6.548       8.687       5.643       8.742
20160420       6.316       4.377       5.188       9.844
20160421       5.952       5.533       3.635       6.172
20160422       5.322       5.199       4.124       9.154
20160423       4.219       1.606       3.187       3.958
20160424       3.588       1.159       1.606       1.925
20160425       3.262       1.101       1.159       2.333
20160426       3.069       1.243       1.101       3.149
20160427       2.814       1.013       1.063       2.913
20160428       2.779       1.292       1.020       2.835
20160429       4.598      11.038       1.815       3.840
20160430       9.851      15.029       7.516       7.066
20160501      16.000      22.915      13.893       9.899
20160502      16.012      14.099      17.125      14.630
20160503      24.470      25.144      15.755      13.853
20160504      27.451      23.680      22.527      24.942
20160505      22.454      23.926      21.101      23.721
20160506      21.789      33.191      25.030      23.462
20160507      24.597      36.101      30.983      23.087
20160508      30.460      41.141      35.393      23.297
20160509      34.559      44.550      39.119      31.977
20160510      29.503      43.693      44.595      39.565
20160511      21.288      11.640      28.420      23.029
20160512      17.844      22.923      17.982      14.502
20160513      12.353       8.536      15.925      17.784
20160514       9.270       5.119       7.194       7.441
20160515      11.577      10.558       4.952       6.139
20160516      12.551       7.763       6.910      10.830
20160517      11.757      13.033       6.997       9.934
20160518       8.826       5.136       8.461      11.540
20160519       7.567       7.568       5.473       5.452
20160520      10.904       6.065       6.973       8.613
20160521      36.161      34.790      14.905      14.156
20160522      34.699      29.235      27.140      42.352
20160523      37.606      34.785      28.841      28.008
20160524      25.479      17.051      24.917      30.193
20160525      23.296      13.269      16.353      17.149
20160526      19.475      11.075      11.388      15.060
20160527      18.739      17.012      12.841      21.886
20160528      22.036      27.660      18.068      21.088
20160529      24.576      23.353      22.499      22.636
20160530      21.269      25.547      22.488      24.331
20160531      22.288      24.657      25.577      21.621
20160601      23.029      22.512      24.293      19.756
20160602      19.806      19.973      18.909      20.218
20160603      15.963      14.978      16.539      18.711
20160604       9.634      10.492      12.444      14.427
20160605       6.421       7.778       9.247       8.232
20160606       5.945       7.167       7.976       6.208
20160607       8.031       9.579       8.151       6.585
20160608      11.075       8.557      10.308       9.231
