date          Qobs       Qsimobs        Qsim       Qusi
20150801      27.807      39.477      48.599      26.663
20150802      32.367     104.073      52.805      32.073
20150803      55.978      58.684      95.481      39.800
20150804      64.114      50.183      66.303      43.739
20150805      67.198     118.160      72.568      77.719
20150806      76.077      79.364      96.186      68.888
20150807      78.133      64.034      78.316      65.584
20150808      73.410      52.414      63.719      65.333
20150809      74.380      42.818      52.391      52.275
20150810      54.602      37.316      42.951      61.530
20150811      42.484      37.089      37.763      46.547
20150812      43.088      34.894      37.739      38.749
20150813      39.175      30.191      35.198      38.144
20150814      37.785      29.630      30.217      34.413
20150815      61.708      43.770      31.728      37.483
20150816     107.442     258.290      62.901      70.558
20150817     181.123     177.178     191.906     130.734
20150818     179.486     120.890     155.234     150.303
20150819     123.978     100.877     120.827     166.671
20150820      98.009      83.991     100.890     106.586
20150821      75.973      69.751      84.009      85.869
20150822      73.130      57.654      69.744      64.781
20150823      84.224      47.436      57.656      49.901
20150824      71.811      39.590      47.477      67.197
20150825      53.728      72.985      58.126      85.688
20150826      83.501     139.580      90.346      80.537
20150827     193.457     268.638     154.882     125.591
20150828     263.931     198.987     215.146     191.892
20150829     207.813     158.144     183.620     221.877
20150830     176.561     142.300     151.892     165.209
20150831     127.020     114.276     140.980     150.027
20150901     107.776      95.516     114.982     113.348
20150902     137.321     216.401     149.972     140.605
20150903     269.510     307.839     246.044     185.722
20150904     386.431     255.761     275.769     263.937
20150905     297.827     163.014     233.388     302.829
20150906     211.275     136.585     162.472     204.347
20150907     132.315     116.708     136.676     187.375
20150908     105.137      97.805     114.684     118.082
20150909      95.346      81.723      96.009      91.974
20150910      90.626      68.232      81.937      81.826
20150911      84.130      56.809      68.334      76.299
20150912      81.976      50.811      56.863      65.378
20150913     100.894      92.886      63.497      73.632
20150914     142.947     237.715     128.971     154.081
20150915     323.130     480.074     285.941     256.311
20150916     439.110     374.307     412.699     373.420
20150917     381.474     356.595     422.358     461.056
20150918     345.375     307.910     352.759     357.042
20150919     273.436     194.964     305.818     291.946
20150920     187.044     155.758     194.792     205.907
20150921     118.614     131.203     155.758     161.882
20150922     124.328     136.755     137.037     122.835
20150923     154.855     173.828     148.531     123.965
20150924     140.475     124.564     157.142     143.013
20150925     119.121     175.059     141.598     144.334
20150926     172.864     146.063     163.519     136.065
20150927     145.881     114.835     139.752     136.058
20150928     108.059      97.687     114.819     135.141
20150929      97.993      82.117      96.590      97.162
20150930      87.716      46.604      81.174      84.469
20151001      78.605      38.899      68.977      74.250
20151002      71.035      35.710      57.778      67.709
20151003      44.161      35.238      35.710      69.823
20151004      42.309      36.161      35.237      44.343
20151005      50.551      35.685      34.779      42.805
20151006      66.580      35.342      34.360      38.526
20151007      63.962      35.081      35.505      59.472
20151008      68.655      42.657      46.810      77.751
20151009      57.455      80.225      57.322      85.681
20151010      72.307      69.394      69.762      71.352
20151011      79.216      52.882      64.783      60.965
20151012      63.125      53.126      52.736      66.181
20151013      54.386      47.197      49.869      62.639
20151014      46.049      38.619      42.376      44.937
20151015      34.910      34.015      37.984      48.479
20151016      41.930      33.632      34.001      31.202
20151017      63.685      33.259      33.629      29.203
20151018      57.838      32.898      33.258      58.579
20151019      58.770      32.589      32.898      57.944
20151020      63.408      32.124      32.550      55.401
20151021      70.189      32.056      32.212      58.054
20151022      65.000      41.968      32.621      62.580
20151023      60.067      44.616      40.459      67.299
20151024      44.619      33.742      39.317      52.721
20151025      41.350      75.615      41.662      53.474
20151026      52.025      52.041      66.049      45.361
20151027      58.697      42.251      49.668      41.278
20151028      61.110      34.158      42.098      48.857
20151029      58.797      31.576      34.486      49.020
20151030      51.348      31.499      32.161      55.822
20151031      45.004      42.667      31.434      42.321
20151101      29.920      31.435      35.617      50.910
20151102      39.363      31.122   -9999.000   -9999.000
20151103      56.904      30.862      31.120      26.673
20151104      56.865      30.637      30.859      53.671
20151105      55.970      30.413      30.629      52.939
20151106      68.010      51.479      36.676      59.787
20151107      98.169      66.986      43.721      69.346
20151108     152.844     146.656      71.019      94.108
20151109     194.717     209.322     127.917     178.621
20151110     210.929     209.471     210.550     218.741
20151111     166.225     142.460     199.293     203.472
20151112     126.046     139.195     147.395     152.175
20151113     124.627     209.573     156.965     143.911
20151114     138.191     185.310     199.912     134.952
20151115     138.789     171.310     186.070     139.531
20151116     134.062     158.097     246.811     158.679
20151117     142.823     207.856     168.155     135.038
20151118     137.790     186.493     211.450     162.080
20151119     152.768     229.802     182.197     127.461
20151120     154.560     146.043     196.322     130.031
20151121     126.319     122.136     144.259     128.875
20151122     105.025     102.488     122.136     112.083
20151123      93.716      82.287     102.487      94.118
20151124      83.580      74.553      90.703      86.531
20151125      76.103      73.623      78.294      77.299
20151126      72.249      60.130      73.757      85.439
20151127      77.066      67.882      66.935      64.993
20151128      90.831     109.148      71.555      76.850
20151129     114.283     121.294     106.021     103.546
20151130     131.363     109.689     117.256     110.832
20151201     122.811     112.313     104.028     124.788
20151202     110.306      98.538     121.440     134.286
20151203     115.647     112.999      99.840      99.360
20151204     193.062     253.098     164.016     155.233
20151205     362.854     431.736     245.059     207.931
20151206     614.588     775.373     456.282     517.139
20151207     496.946     550.486     652.307     667.855
20151208     357.940     388.363     525.840     438.769
20151209     306.876     466.498     421.688     322.758
