date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.482       0.586       0.993       0.659
20150802       8.577      18.411       2.763       1.801
20150803       2.994       3.252       9.306       4.750
20150804       4.113       1.475       3.882       2.577
20150805       9.840      10.376       3.878       2.087
20150806       3.782       3.536       6.558       3.323
20150807       2.607       1.515       3.159       2.356
20150808       1.598       0.767       1.358       0.832
20150809       1.047       0.491       0.755       0.599
20150810       0.855       0.597       0.557       0.494
20150811       2.593       3.353       0.759       0.468
20150812       2.512       1.377       2.471       0.758
20150813       1.217       0.545       1.181       0.246
20150814       0.853       0.403       0.568       0.516
20150815       3.343       4.009       1.104       0.875
20150816      11.112      17.162       4.661       1.539
20150817       7.128       7.029      19.925      10.142
20150818       2.892       1.888       5.621       3.720
20150819       1.521       0.779       1.887       1.446
20150820       0.872       0.493       0.780       0.494
20150821       0.606       0.421       0.493       0.376
20150822       0.491       0.369       0.420       0.279
20150823       0.487       0.335       0.369       0.232
20150824       0.467       0.389       0.336       0.186
20150825       1.626       1.716       0.915       0.524
20150826      13.956      13.000       6.421       5.598
20150827      14.470      17.937      14.682       8.736
20150828       7.463      11.588      13.925       9.949
20150829       5.353       6.043       9.413       8.311
20150830       4.043       3.455       5.169       2.942
20150831       2.689       0.995       3.428       1.642
20150901       2.288       0.560       1.441       1.029
20150902       6.488       6.857       4.653       3.811
20150903       8.186       7.827       6.322       3.958
20150904       4.865       3.904       6.662       4.720
20150905       3.286       1.137       3.091       3.992
20150906       1.931       0.576       1.064       0.721
20150907       1.252       0.409       0.581       0.616
20150908       0.890       0.368       0.413       0.494
20150909       0.661       0.334       0.369       0.388
20150910       0.543       0.326       0.335       0.330
20150911       0.490       0.317       0.326       0.246
20150912       0.570       0.412       0.317       0.200
20150913       2.459       3.308       0.682       0.399
20150914       9.275       7.402       4.210       1.409
20150915      19.921      15.657       8.265       4.104
20150916       7.146      10.355      12.988       9.928
20150917       5.575       6.999      10.944      10.058
20150918       4.113       4.612       7.035       6.213
20150919       2.529       1.267       4.499       1.902
20150920       1.666       0.624       1.227       0.788
20150921       1.182       0.426       0.636       0.548
20150922       3.441       2.430       0.752       0.689
20150923       4.171       5.090       2.484       1.149
