date          Qobs       Qsimobs        Qsim       Qusi
20150801      28.093      30.195      32.548      30.769
20150802      24.939      31.820      30.649      26.882
20150803      24.268      33.284      32.080      26.172
20150804      21.870      27.959      30.534      24.184
20150805      28.944      66.415      30.240      21.828
20150806      64.643      53.917      44.556      34.032
20150807      53.128      40.322      47.740      57.793
20150808      47.648      38.748      40.509      43.169
20150809      42.241      38.491      37.515      43.496
20150810      36.060      33.031      36.222      39.614
20150811      30.431      29.663      32.977      33.067
20150812      26.365      26.888      29.949      28.581
20150813      22.735      24.017      26.769      23.867
20150814      19.459      21.645      24.008      21.027
20150815      16.632      19.555      21.642      18.239
20150816      14.462      17.592      19.555      15.112
20150817      12.773      15.916      17.592      13.075
20150818      11.402      14.432      15.916      11.584
20150819      10.270      13.164      14.425      10.577
20150820       9.283      12.101      13.164       9.600
20150821       8.461      11.182      12.098       8.724
20150822       7.776      10.485      11.179       7.791
20150823       7.203       9.932      10.485       7.381
20150824       6.714       9.631       9.932       6.906
20150825       6.489       9.852       9.540       6.549
20150826       8.520      27.893      15.306      10.308
20150827      11.255      24.739      21.990      12.556
20150828      26.860      43.604      24.161      11.459
20150829      31.635      31.270      32.882      29.436
20150830      24.886      27.907      31.233      30.221
20150831      20.098      24.851      27.884      22.596
20150901      16.735      22.099      24.921      18.505
20150902      18.548      38.245      23.085      16.337
20150903      41.569      52.144      36.128      24.139
20150904      52.777      41.183      39.930      43.196
20150905      51.230      62.262      41.969      51.558
20150906      62.104      48.182      50.062      54.936
20150907      50.753      39.513      46.289      54.463
20150908      40.854      35.245      39.919      44.091
20150909      33.732      31.606      35.143      37.824
20150910      28.311      28.334      31.645      30.633
20150911      24.036      25.360      28.368      25.582
20150912      20.636      22.650      25.359      22.402
20150913      18.379      21.488      22.828      19.175
20150914      17.050      19.420      21.041      17.731
20150915      16.964      18.642      19.306      15.875
20150916      28.876      44.301      23.967      20.822
20150917      63.948      54.180      38.519      38.028
20150918     148.237     126.180      60.978      82.965
20150919     153.242      69.437      78.384     163.510
20150920     111.399      54.056      69.456     117.825
20150921      83.885      45.615      53.840      86.070
20150922      68.017      44.691      46.104      67.867
20150923      59.173      43.806      45.227      62.681
20150924      54.394      38.902      41.798      53.693
20150925      55.792      51.460      41.445      51.221
20150926      57.219      39.410      42.675      56.497
20150927      49.748      35.655      39.357      51.791
20150928      42.517      32.015      35.603      46.085
20150929      36.751      28.780      32.023      39.382
20150930      32.336      13.662      28.770      33.427
20151001      28.709      12.488      25.802      29.470
20151002      25.883      11.508      23.165      26.084
20151003      23.456      10.759      11.508      23.789
20151004      21.338      16.917      10.749      21.996
20151005      19.566      15.173      10.104      19.787
20151006      17.904      13.655       9.684      18.858
20151007      16.374      12.361      13.655      15.951
20151008      15.285      11.281      12.362      14.974
20151009      14.452      10.472      11.282      14.113
20151010      13.852       9.862      10.442      13.592
20151011      13.281       9.401       9.827      13.059
20151012      12.809       9.052       9.401      12.869
20151013      12.487       8.997       9.058      12.488
20151014      12.166       8.809       8.924      12.326
20151015      11.760       8.723       8.809      12.024
20151016      11.307       8.656       8.723      11.468
20151017      11.004       8.590       8.656      11.056
20151018      10.603       8.525       8.590      11.020
20151019      10.339       8.461       8.525      10.629
20151020      10.021       8.398       8.460      10.284
20151021       9.893       8.344       8.400      10.059
20151022      10.137       9.577       8.487      10.002
20151023      10.708       8.530       8.519      10.661
20151024      10.720       8.280       8.425      10.070
20151025      10.665       9.440       8.523      10.780
20151026      11.340       8.353       8.794      11.134
20151027      11.586       8.224       8.312      10.637
20151028      11.117       8.144       8.220      11.689
20151029      10.739       8.082       8.144      11.068
20151030      10.391       8.021       8.082      10.845
20151031      10.024       7.967       8.022      10.497
20151101       9.819       7.918       7.963      10.161
20151102       9.661       7.853   -9999.000   -9999.000
20151103       9.459       7.793       7.850       9.744
20151104       9.261       7.731       7.793       9.416
20151105       9.055       7.672       7.734       9.268
20151106       8.840       7.619       7.675       8.882
20151107       9.302      16.585       9.542      10.901
20151108      15.754      28.306      13.805      12.238
20151109      23.579      29.118      18.929      14.652
20151110      30.389      26.907      26.770      25.453
20151111      29.878      23.536      24.859      29.428
20151112      25.846      20.994      23.488      26.900
20151113      22.833      18.613      20.979      23.399
20151114      22.398      22.454      19.317      21.169
20151115      21.909      18.913      21.546      25.302
20151116      19.847      16.702      18.755      19.952
20151117      19.187      15.944      21.154      21.772
20151118      19.075      18.014      15.517      17.489
20151119      18.461      14.379      15.896      18.192
20151120      15.153      12.657      14.373      16.283
20151121      11.250      11.073      12.651      13.628
