date          Qobs       Qsimobs        Qsim       Qusi
20150801  -10000.000       4.581       5.654       5.752
20150802  -10000.000       6.352       5.457       5.457
20150803  -10000.000       3.877       4.650       4.796
20150804       4.203       3.413       4.060       4.061
20150805      18.826      32.431       7.361       7.360
20150806      14.193      12.139      14.602      15.867
20150807       9.895       9.167      12.148      12.409
20150808       8.005       7.851       9.159       8.476
20150809       6.401       5.693       7.253       6.675
20150810       5.423       4.720       5.693       5.259
20150811       4.904       4.133       4.714       4.737
20150812       4.589       3.723       4.161       4.497
20150813       4.311       3.331       3.711       4.181
20150814       3.746       2.988       3.331       3.755
20150815       3.461       2.679       2.988       3.780
20150816       3.171       2.400       2.679       2.679
20150817       2.948       1.749       2.400       2.929
20150818       2.734       1.564       2.149       2.718
20150819       2.539       1.398       1.923       2.551
20150820       2.374       1.249       1.398       2.276
20150821       2.235       1.115       1.249       2.211
20150822       2.094       0.995       1.115       2.051
20150823       1.979       0.888       0.995       1.847
20150824       1.910       0.793       0.888       1.509
20150825       3.309       4.639       0.805       1.626
20150826       7.243      12.926       5.609       4.486
20150827      33.195      28.093      11.202      10.234
20150828      29.629      21.974      14.781      20.657
20150829      14.730      12.531      16.108      23.199
20150830       9.624       9.450      12.554      12.334
20150831       7.416       7.018       9.429       7.765
20150901       6.364       5.261       7.381       6.157
20150902      58.096      41.456      19.133      18.208
20150903      84.295      66.687      32.526      46.529
20150904      38.037      32.185      35.780      60.158
20150905      22.440      30.984      34.908      36.296
20150906      14.486      25.284      29.274      24.530
20150907       8.905      18.720      23.847      13.570
20150908       5.820      14.620      19.042       8.210
20150909       3.948      11.390      14.612       5.093
20150910       8.183       8.856      11.390       3.305
20150911       9.583       6.950       8.856       5.674
20150912       8.313       5.850       6.950       7.675
20150913       7.532       6.948       6.524       7.314
20150914       7.451       6.116       5.685       6.592
20150915      22.940       6.896       8.817      10.683
20150916      52.977      40.826      23.306      33.230
20150917      87.374      50.318      37.919      66.976
20150918     145.548     172.014      59.476      87.108
20150919      58.978      49.841      92.032     117.690
20150920      35.070      33.387      49.592      34.995
20150921      26.149      24.891      35.024      30.086
20150922      21.172      19.787      26.740      22.337
20150923      19.305      20.890      23.391      20.865
20150924      15.448      15.015      18.356      17.608
20150925      15.393      18.228      20.827      19.312
20150926      13.748      12.259      15.210      14.836
20150927      11.561       9.606      12.253      10.849
20150928      10.023       7.655       9.606       9.323
20150929       8.976       6.797       7.663       8.127
20150930       8.170       4.193       6.802       8.030
20151001       7.476       3.809       6.195       7.332
20151002       6.885       3.460       5.646       6.944
20151003       6.322       3.143       3.460       6.029
20151004       5.902       4.405       3.143       5.554
20151005       5.544       4.020       2.855       5.149
20151006       5.215       3.665       2.594       4.864
20151007       4.933       3.343       3.665       4.770
20151008       4.689       3.050       3.342       4.442
20151009       4.518       2.783       3.051       4.160
20151010       4.336       2.567       2.782       3.615
20151011       4.231       2.328       2.549       3.729
20151012       4.099       2.180       2.345       3.368
20151013       3.990       1.978       2.156       3.590
20151014       3.720       1.810       1.966       3.531
20151015       3.376       1.658       1.801       3.431
20151016       3.022       1.523       1.652       3.154
20151017       2.757       1.391       1.521       2.833
20151018       2.562       1.284       1.398       2.528
20151019       2.427       1.247       1.289       2.421
20151020       2.352       1.286       1.192       2.319
20151021       2.340       1.313       1.154       2.343
20151022       2.477       2.727       1.230       2.036
20151023       2.382       1.887       1.515       2.420
20151024       2.254       1.715       1.822       2.198
20151025       2.433       2.914       2.909       3.112
20151026       2.453       2.117       1.922       2.362
20151027       2.334       1.932       2.353       2.250
20151028       2.229       1.784       1.941       2.144
20151029       2.168       1.642       1.763       2.131
20151030       2.108       1.498       1.628       2.054
20151031       2.099       1.859       1.498       1.845
20151101       2.141       1.753       1.428       2.275
20151102       2.097       1.581   -9999.000   -9999.000
20151103       2.048       1.442       1.578       1.970
20151104       1.993       1.246       1.442       1.861
20151105       1.958       1.248       1.327       1.883
20151106       1.945       1.402       1.328       1.920
20151107       6.825       7.979       4.363       6.359
20151108      13.184      35.611       3.774       2.854
20151109      14.430      28.535      12.289      13.476
20151110      11.588      19.655      24.569      17.518
20151111       8.173      12.716      19.340      10.357
20151112       6.471       9.798      15.210       8.351
20151113       6.737       8.598      12.117       6.760
20151114       7.469      13.423      10.303       7.140
20151115       6.404       8.227       8.164       7.321
20151116       5.736       6.519       8.181       5.760
20151117       6.419       9.295      10.153       7.636
20151118       5.758       5.931       6.770       4.610
20151119       5.307       5.201       5.647       5.133
20151120       4.253       4.749       5.184       5.058
20151121       3.709       4.346       4.749       4.661
20151122       3.374       3.976       4.346       3.368
20151123       3.039       3.627       3.976       3.255
20151124       3.331       3.502       4.270       3.030
20151125       4.979       6.874       3.773       2.904
20151126       4.471       3.393       4.604       3.483
20151127       5.130       3.228       6.946       7.783
20151128      15.637      24.895       5.831       6.571
20151129      23.978      20.818      19.347      23.434
20151130      19.793      13.248      19.947      16.886
20151201      13.124       9.575      13.301      17.065
20151202      15.025       7.430      10.960      10.264
20151203       7.602       6.963       7.673      11.184
20151204      12.008       8.660      12.957      23.852
20151205      19.138      22.136      20.440      18.358
20151206      19.173      20.325      17.995      22.665
20151207      14.694      17.781      18.349      19.748
20151208      11.121      13.232      17.529      14.210
20151209      16.568      23.057      15.456      11.727
20151210      16.177      15.665      16.593      14.037
20151211      13.275      12.674      15.277      13.872
