date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.781       5.144       5.944       6.183
20150802       4.276       1.329       1.579       1.615
20150803       3.557       1.175       1.378       2.895
20150804       2.764       1.015       1.168       2.719
20150805       2.629       2.003       1.102       2.335
20150806      13.467      71.740       3.853       4.822
20150807      16.197      10.448      35.247      11.053
20150808      10.811       7.264      10.355       7.473
20150809       7.276       3.315       6.350       6.213
20150810       5.201       1.862       2.139       2.405
20150811       4.165       1.606       1.850       3.893
20150812       8.616      19.727       3.135       5.392
20150813      16.171      15.534      12.367       9.642
20150814      14.821       2.236       8.778       8.576
20150815       9.764       1.957       2.236       3.824
20150816       6.365       1.703       1.957       7.736
20150817       4.451       1.456       1.703       5.066
20150818       3.284       1.259       1.477       3.728
20150819       2.555       1.086       1.277       2.788
20150820       2.082       0.938       1.086       2.204
20150821       1.747       0.807       0.937       1.794
20150822       1.487       0.694       0.808       1.509
20150823       1.290       0.596       0.694       1.305
20150824       1.108       0.511       0.596       1.137
20150825       0.950       0.439       0.512       0.923
20150826       0.850       0.381       0.453       0.810
20150827       0.779       0.328       0.417       0.746
20150828       4.378      70.248      21.906      29.738
20150829      32.288      47.349      48.132      16.993
20150830      37.260      17.037      40.996      31.934
20150831      19.649      10.019      13.934      13.691
20150901      13.143       1.873       8.467       9.820
20150902       9.043       1.582       1.792       3.218
20150903       6.373       1.394       1.589       7.028
20150904       4.695       1.226       1.394       5.234
20150905       3.807       5.785       3.392       8.596
20150906       3.387       3.342       3.564       3.557
20150907       3.596       7.758       5.057       4.521
20150908       6.501       1.933       5.074       3.032
20150909       8.992       2.401       3.796       3.373
20150910       8.231       1.848       2.111       4.003
20150911       6.164       1.628       1.466       6.599
20150912       4.469       1.430       1.628       5.064
20150913       3.324       1.259       1.430       3.673
20150914       2.574       1.101       1.254       2.880
20150915       2.089       0.960       1.096       2.096
20150916       1.780       0.837       0.967       1.528
20150917       1.515       0.729       0.837       1.528
20150918       1.400       0.832       1.118       1.672
20150919      12.087      61.033      23.438      30.830
20150920      39.535      29.549      43.934      25.395
20150921      31.242       7.404      20.353      18.421
20150922      18.817       1.770       6.388       9.374
20150923      15.063       2.346       1.868       4.668
20150924      14.066       1.682       1.858       9.110
20150925      15.875      22.494       4.780      20.131
20150926      31.242      29.571      20.484      21.086
20150927      61.692      45.259      31.609      33.608
20150928      43.622      14.113      27.784      33.722
20150929      23.784       2.717      11.141      15.813
20150930      20.032      12.597       6.745      12.011
20151001      68.101      74.081      20.575      29.889
20151002     196.064     242.255     162.064     159.975
20151003      84.044      64.183     171.573     134.407
20151004      46.168      31.772      59.497      53.306
20151005      29.110       8.312      24.010      22.896
20151006      17.205       3.275       7.595       8.849
20151007      11.155       2.900       3.283       6.367
20151008       7.721       2.602       2.900       8.895
20151009       5.733       2.953       2.731       5.292
20151010       4.590       2.734       2.737       4.203
20151011       3.848       2.300       2.535       4.046
