date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.534       5.206       8.516       4.436
20150802       3.519       6.031       6.186       3.004
20150803       3.556       5.224       7.403       4.097
20150804       6.182       6.312       7.114       4.188
20150805      10.038      13.010      10.146       7.812
20150806       6.030       9.247      12.335      13.120
20150807       7.565      13.605       9.788       5.412
20150808       5.765       9.111      11.600       7.569
20150809       4.271       6.631       9.321       5.165
20150810       4.784       6.268       7.772       4.309
20150811       8.130       8.168       6.485       4.335
20150812       6.050       8.844       7.499       7.626
20150813       3.842       5.039       8.885       6.572
20150814       3.798       5.836       7.109       4.062
20150815       4.196       8.539       7.179       4.000
20150816       7.442      11.706       9.004       4.225
20150817       6.244       8.494      11.025       8.096
20150818       4.895       8.098       8.883       5.286
20150819       4.493       7.622       8.506       4.966
20150820       3.520       7.006       7.823       4.353
20150821       2.944       6.057       7.011       3.380
20150822       2.758       6.070       6.242       2.822
20150823       2.346       4.900       6.100       2.748
20150824       2.690       4.952       5.162       2.064
20150825       4.169       5.247       5.012       2.342
20150826       4.577       7.385       5.837       4.167
20150827       3.579       6.597       9.368       6.876
20150828       2.540       4.826       6.687       3.671
20150829       2.772       4.237       4.639       2.287
20150830       2.645       4.834       4.248       2.187
20150831       1.934       3.995       4.158       2.743
20150901       1.394       2.957       3.793       1.902
20150902       1.212       3.131       3.212       1.186
20150903       1.117       2.952       3.260       1.166
20150904       1.175       2.854       3.230       1.117
20150905       2.564       3.991       2.595       0.967
20150906       1.280       2.455       3.230       2.484
20150907       0.885       2.033       2.456       1.151
20150908       0.765       1.744       2.302       0.953
20150909       0.710       1.565       2.094       0.805
20150910       0.652       1.528       1.813       0.769
20150911       0.629       1.466       1.582       0.659
20150912       0.733       1.509       1.381       0.610
20150913       0.926       1.539       1.456       0.668
20150914       1.524       2.735       2.047       1.244
20150915       1.518       2.264       2.581       1.599
20150916       5.511       6.177       3.054       1.910
20150917       2.586       2.609       4.733       6.404
20150918       2.035       2.513       3.140       2.062
