date          Qobs       Qsimobs        Qsim       Qusi
20150801       8.828       9.536      11.460       9.260
20150802      10.072      13.795      10.984       8.890
20150803      11.106      10.593      14.941      11.185
20150804       9.220       7.944      10.994       9.978
20150805      31.056      37.243      11.442      10.608
20150806      24.384      23.541      25.957      29.663
20150807      17.337      17.293      22.310      21.597
20150808      15.960      15.183      21.726      18.038
20150809      12.819      11.635      14.801      13.358
20150810      10.880      10.203      12.641      11.198
20150811       9.901       8.371       9.800       8.463
20150812       9.573       7.509       8.416       9.084
20150813       8.373       6.423       7.491       8.425
20150814       7.558       5.996       6.415       7.499
20150815       6.942       5.875       5.993       7.076
20150816       6.427       5.759       5.875       6.762
20150817       6.020       5.650       5.759       6.440
20150818       5.402       5.539       5.647       6.031
20150819       4.579       5.427       5.537       5.582
20150820       3.630       5.319       5.427       4.793
20150821       3.435       5.212       5.319       3.550
20150822       3.233       5.111       5.212       3.370
20150823       3.040       5.007       5.110       3.149
20150824       2.948       4.907       5.007       2.961
20150825       3.853       7.408       4.915       2.968
20150826       9.660      20.115       8.503       4.869
20150827      17.947      26.830      17.366      13.834
20150828      22.494      29.407      24.469      18.857
20150829      12.893      18.391      24.904      21.372
20150830       9.045      14.230      18.786      12.148
20150831       7.165      11.709      14.265       9.017
20150901       6.153       9.086      11.003       6.668
20150902      11.037      17.431       8.543       5.029
20150903      22.985      30.709      17.223      12.478
20150904      15.574      20.186      24.458      24.536
20150905      13.962      25.658      22.902      17.236
20150906      12.861      16.969      22.683      14.045
20150907       9.687      13.368      16.802      12.058
20150908       8.111      10.465      13.032       9.049
20150909       7.019       8.248      10.236       7.035
20150910       6.220       6.825       8.260       5.494
20150911       5.681       5.998       6.833       5.204
20150912       5.452       5.510       5.998       4.905
20150913       5.696       5.950       5.659       5.230
20150914       6.275       6.084       5.677       5.249
20150915       8.049       6.227       5.836       6.098
20150916      22.913      24.418      11.690      11.590
20150917      26.900      16.552      20.850      28.121
20150918      37.226      32.067      24.862      26.767
