date          Qobs       Qsimobs        Qsim       Qusi
20150801      61.686      51.704      57.581      59.041
20150802      58.881      73.198      55.166      58.566
20150803      55.027      58.279      63.133      64.686
20150804      50.451      56.528      59.714      53.369
20150805      72.738      98.753      67.940      58.245
20150806      82.534      68.407      78.227      70.266
20150807      77.322      70.673      72.734      74.876
20150808      77.985      62.731      63.992      68.817
20150809      71.320      55.611      61.239      70.814
20150810      63.338      50.900      55.753      66.660
20150811      61.156      52.135      51.514      58.675
20150812      68.034      61.635      50.744      58.587
20150813      65.747      46.341      54.625      65.063
20150814      58.855      44.416      47.560      57.033
20150815      51.437      45.295      45.684      57.446
20150816      52.495      71.669      47.432      53.632
20150817      75.835      79.867      60.340      55.819
20150818      87.163      58.669      66.656      66.254
20150819      77.139      51.387      57.996      74.043
20150820      65.202      47.002      51.524      68.578
20150821      56.854      42.077      46.952      61.397
20150822      50.792      37.378      41.948      51.698
20150823      46.936      33.105      37.226      50.519
20150824      43.768      30.679      33.141      42.943
20150825      46.006      39.061      34.120      44.694
20150826      60.994      51.007      42.388      55.505
20150827      81.791      54.143      59.819      76.286
20150828      85.563      56.810      50.790      74.769
20150829      69.790      52.920      50.169      85.177
20150830      58.681      47.808      52.925      72.099
20150831      51.030      38.053      50.818      56.822
20150901      45.212      34.311      45.508      46.779
20150902      58.404      60.300      44.531      50.438
20150903      90.105      51.260      52.725      57.324
20150904      77.579      41.282      47.073      80.933
20150905      64.285      45.220      41.563      71.422
20150906      53.518      38.109      42.350      64.029
20150907      44.167      36.042      38.026      50.229
20150908      37.067      32.597      34.607      41.982
20150909      31.624      29.466      31.377      35.246
20150910      27.447      26.933      29.874      30.660
20150911      24.253      24.610      27.113      26.053
20150912      22.121      23.143      24.656      22.531
20150913      22.661      32.342      24.595      22.402
20150914      26.197      31.383      38.870      29.263
20150915      40.939      32.711      39.542      25.943
20150916      66.209      57.395      36.001      41.445
20150917      76.480      41.703      46.964      76.527
20150918      83.094      47.613      42.890      67.090
20150919      69.297      41.648      43.046      77.207
20150920      56.357      39.230      40.794      63.139
20150921      46.968      35.434      38.404      53.704
20150922      40.194      32.760      35.073      43.430
