date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.510       1.608       1.941       1.468
20150802       1.175       1.546       1.709       1.494
20150803       0.973       1.224       1.420       1.040
20150804       0.867       1.045       1.216       0.900
20150805       5.086      12.375       2.091       1.688
20150806       3.890       3.108       4.056       1.683
20150807       2.328       2.557       3.099       3.411
20150808       1.685       2.162       2.556       2.207
20150809       1.263       1.731       2.152       1.780
20150810       1.039       1.420       1.731       1.188
20150811       0.892       1.204       1.420       0.931
20150812       0.776       1.077       1.235       0.906
20150813       0.660       0.921       1.061       0.755
20150814       0.582       0.801       0.922       0.638
20150815       0.511       0.696       0.801       0.551
20150816       0.452       0.604       0.696       0.478
20150817       0.416       0.523       0.604       0.426
20150818       0.381       0.458       0.524       0.390
20150819       0.345       0.395       0.457       0.347
20150820       0.307       0.342       0.395       0.312
20150821       0.290       0.296       0.342       0.271
20150822       0.266       0.257       0.296       0.260
20150823       0.231       0.222       0.257       0.236
20150824       0.235       0.192       0.222       0.211
20150825       0.436       2.060       0.211       0.188
20150826       1.111       3.588       4.359       1.324
20150827       2.122       4.609       2.456       1.198
20150828       2.826       3.112       3.025       1.265
20150829       1.562       1.876       2.349       2.545
20150830       1.048       1.516       1.876       1.534
20150831       0.795       1.219       1.516       1.031
20150901       0.689       1.026       1.285       0.866
20150902      12.644      11.695       3.455       2.121
20150903      32.525      31.850       9.972       4.483
20150904      17.699      10.473      14.051       6.536
20150905      18.747      15.325      11.146      13.219
20150906      13.911       7.206      11.883      10.643
20150907       8.521       4.313       5.485       7.409
20150908       5.879       3.621       4.313       6.708
20150909       4.338       3.029       3.620       4.803
20150910       3.436       2.518       3.029       3.869
20150911       2.898       2.043       2.518       3.017
20150912       2.585       1.651       2.043       2.360
20150913       2.692       2.859       1.672       2.074
20150914       2.392       2.300       2.060       2.080
20150915       6.571       2.422       2.189       2.285
20150916      12.721      16.775       6.131       5.629
20150917      20.933      12.214      13.669      19.596
20150918      27.099      41.132      23.492      21.168
20150919      15.318       8.620      22.061      22.429
20150920       9.997       5.311       9.873       9.354
20150921       7.370       4.500       5.140       5.925
20150922       5.825       3.775       4.450       6.243
20150923       5.261       4.395       4.432       5.918
20150924       4.386       3.359       3.796       4.513
20150925       4.953       4.646       4.146       4.835
20150926       4.286       3.068       3.689       3.860
20150927       3.312       2.567       3.060       3.825
20150928       2.737       2.140       2.557       2.890
20150929       2.388       1.797       2.140       2.349
20150930       2.100       0.980       1.797       2.074
20151001       1.901       0.861       1.569       1.908
20151002       1.732       0.756       1.383       1.711
20151003       1.574       0.664       0.756       1.510
20151004       1.283       0.949       0.664       1.365
20151005       1.137       0.837       0.583       1.215
20151006       1.073       0.738       0.512       0.836
20151007       1.067       0.650       0.738       0.969
20151008       1.033       0.573       0.651       0.935
20151009       0.994       0.518       0.590       0.828
20151010       0.954       0.455       0.529       0.837
20151011       0.922       0.401       0.453       0.806
20151012       0.891       0.359       0.413       0.774
20151013       0.865       0.320       0.378       0.743
20151014       0.819       0.282       0.317       0.778
20151015       0.787       0.249       0.283       0.692
20151016       0.766       0.230       0.249       0.695
20151017       0.734       0.210       0.223       0.708
20151018       0.705       0.200       0.204       0.658
20151019       0.689       0.194       0.192       0.674
20151020       0.691       0.189       0.182       0.501
20151021       0.721       0.161       0.173       0.635
20151022       0.808       0.971       0.271       0.851
20151023       0.772       0.412       0.371       0.578
20151024       0.712       0.363       0.407       0.712
20151025       0.705       0.401       0.582       0.901
20151026       0.683       0.329       0.351       0.696
20151027       0.647       0.290       0.332       0.585
20151028       0.623       0.256       0.292       0.476
20151029       0.576       0.260       0.256       0.484
20151030       0.555       0.222       0.234       0.560
20151031       0.536       0.448       0.222       0.428
20151101       0.485       0.323       0.260       0.558
20151102       0.462       0.279   -9999.000   -9999.000
20151103       0.437       0.246       0.280       0.417
20151104       0.433       0.218       0.246       0.399
20151105       0.421       0.245       0.217       0.316
20151106       0.417       0.372       0.219       0.408
20151107       0.729       2.123       1.529       2.170
20151108       2.397       8.288       1.308       1.159
20151109       2.673       4.610       2.987       1.418
20151110       2.158       3.300       4.066       2.504
20151111       1.546       2.723       3.262       2.411
20151112       1.277       2.251       2.735       1.606
20151113       1.383       2.458       2.276       1.400
20151114       1.610       3.172       2.357       1.464
20151115       1.354       2.080       2.209       1.768
20151116       1.081       1.676       2.068       1.457
20151117       1.058       2.219       2.542       1.923
20151118       1.014       1.393       1.480       1.009
20151119       0.835       1.173       1.327       1.115
20151120       0.433       1.039       1.173       0.820
20151121       0.526       0.920       1.039       0.603
20151122       0.397       0.816       0.920       0.622
20151123       0.468       0.723       0.816       0.647
20151124       0.622       0.859       0.934       0.670
20151125       0.744       1.109       0.640       0.422
20151126       0.600       0.535       0.843       0.601
20151127       0.862       0.889       1.830       2.027
20151128       3.131       8.328       1.668       1.530
20151129       2.960       6.207       4.820       2.535
20151130       2.194       3.743       4.339       1.776
20151201       1.396       2.961       3.546       2.192
20151202       1.307       2.463       3.230       1.831
20151203       1.100       2.450       2.547       1.633
20151204       0.937       3.190       3.821       1.854
20151205       1.790       3.438       6.614       1.837
20151206       4.261       7.483       3.142       1.328
20151207       3.183       5.704       6.333       7.082
20151208       2.479       4.118       5.617       3.134
20151209       5.280       6.010       4.749       2.729
20151210       4.849       4.408       4.262       3.984
20151211       3.539       4.120       4.183       3.979
20151212       2.389       3.144       3.655       3.309
20151213       1.717       2.621       3.144       2.494
20151214       1.115       2.199       2.621       1.872
20151215       0.897       1.882       2.199       1.421
20151216       0.885       1.642       1.882       1.095
20151217       1.034       1.874       1.803       1.042
20151218       1.032       2.380       2.635       1.638
20151219       1.278       2.776       2.775       1.832
20151220       5.247       4.505       3.933       2.421
20151221       3.818       4.133   -9999.000   -9999.000
20151222       2.448       3.476   -9999.000   -9999.000
20151223       2.207       4.278       3.949       3.208
20151224       1.765       3.014       3.536       2.455
20151225       2.523       3.637       3.370       1.838
20151226       1.537       2.541       2.838       2.750
20151227       1.229       2.109       2.529       2.039
20151228       1.356       2.235       2.467       1.386
20151229       1.138       1.618       1.851       1.399
20151230       1.052       1.437       1.662       1.247
20151231       1.032       1.976       1.549       1.413
20160101       0.967       1.824       2.117       1.757
20160102       0.844       1.763       1.962       1.328
20160103       0.634       1.419       1.592       1.227
20160104       0.598       1.215       1.365       0.828
20160105       0.563       1.065       1.261       0.815
20160106       0.565       0.934       1.075       0.718
20160107       0.553       0.867       0.940       0.602
20160108       0.550       0.817       0.906       0.600
20160109       0.606       0.774       0.840       0.628
20160110       0.617       1.259       1.035       0.810
20160111       0.642       2.578       1.893       1.282
20160112       0.668       1.137       1.015       0.432
20160113       0.603       1.041       0.708       0.597
20160114       0.570       0.389       0.474       0.290
20160115       0.576       0.375       0.376       0.455
20160116       0.580       0.614       0.461       0.682
20160117       0.610       0.269       0.299       0.294
20160118       0.670       0.238       0.267       0.442
20160119       0.636       0.214       0.238       0.377
20160120       0.677       0.191       0.213       0.432
20160121       0.695       0.172       0.190       0.408
20160122       0.928       0.151       0.169       0.392
20160123       1.182       0.306       0.226       0.693
20160124       0.898       0.154       0.158       0.297
20160125       0.714       0.109       0.120       0.376
20160126       0.621       0.181       0.381       0.917
20160127       0.643       1.618       0.641       1.268
20160128       0.747       2.738       1.353       1.484
20160129       0.714       2.384       1.253       0.900
20160130       1.135       8.362       2.035       1.371
20160131       0.702       2.973       4.621       1.344
20160201       0.550       2.251       2.788       1.043
20160202       0.520       2.154       2.621       1.180
20160203       0.476       1.702       2.100       0.929
20160204       0.448       1.315       1.570       0.768
20160205       0.439       1.094       1.315       0.671
20160206       0.505       1.342       2.251       1.256
20160207       0.973       7.009       2.431       1.089
20160208       3.980      13.112       4.345       1.206
20160209       2.589       9.822       9.225       6.782
20160210       1.708       4.644       6.276       2.252
20160211       1.229       3.403       4.105       1.155
20160212       0.917       2.882       3.403       1.029
20160213       0.845       2.740       3.091       2.798
20160214       0.658       2.084       2.498       1.300
20160215       0.654       1.707       2.049       1.090
20160216       0.611       1.450       1.707       0.916
20160217       0.668       1.297       1.451       0.913
20160218       0.622       1.164       1.313       0.950
20160219       0.553       1.038       1.168       0.839
20160220       0.540       1.007       1.209       0.819
20160221       0.506       1.093       1.382       0.950
20160222       0.467       0.743       0.871       0.558
20160223       0.439       0.677       0.753       0.478
20160224       0.420       0.594       0.664       0.526
20160225       0.401       0.533       0.594       0.492
20160226       0.399       0.476       0.532       0.432
20160227       0.388       0.426       0.476       0.403
20160228       0.369       0.381       0.426       0.412
20160229       0.342       0.341       0.381       0.308
20160301       0.365       0.305       0.344       0.340
20160302       0.378       0.481       0.779       0.866
20160303       0.382       1.667       1.380       1.256
20160304       0.391       0.914       0.664       0.276
20160305       0.405       1.268       1.430       0.901
20160306       0.382       0.438       0.380       0.194
20160307       0.379       0.775       0.785       0.856
20160308       0.375       0.432       0.469       0.266
20160309       0.363       0.125       0.155       0.142
20160310       0.353       0.146       0.130       0.332
20160311       0.349       0.200       0.124       0.358
20160312       0.346       0.126       0.180       0.418
20160313       0.339       0.113       0.129       0.296
20160314       0.406       0.477       0.780       1.633
20160315       0.680       4.230       1.309       1.635
20160316       0.888       7.679       4.073       2.187
20160317       0.942       7.782       8.046       1.593
20160318       1.165      13.633       7.428       1.169
20160319       1.236       4.543       9.227       1.933
20160320       1.243       4.900       5.368       0.663
20160321       1.189       4.011       4.620       1.050
20160322       1.068       3.882       3.968       1.342
20160323   -9999.000   -9999.000       3.464       1.149
20160324       0.926       3.017   -9999.000   -9999.000
20160325       0.850       2.733   -9999.000   -9999.000
20160326       0.940       2.682   -9999.000   -9999.000
20160327       6.181       5.209       3.604       1.220
20160328      10.715       7.781       5.888       3.990
20160329      18.600      13.098      10.798      16.250
20160330      14.418       8.549      10.351      15.599
20160331       9.152       4.391       6.309      10.704
20160401       6.714       3.769       4.381       7.459
20160402       7.643       4.138       4.392       6.821
20160403       7.517       4.023       4.249       6.724
20160404       7.771       4.857       4.384       8.971
20160405      13.046      10.493       7.632      11.140
20160406      13.693       6.399       7.492      10.761
20160407      13.542       7.368       6.669      11.379
20160408      13.175       7.903       7.001      14.090
20160409      11.095       5.469       8.949      15.448
20160410       9.186       4.298       5.264       9.088
20160411       8.395       4.911       4.547       9.481
20160412       8.277       4.831       5.082       8.439
20160413       7.624       3.777       4.609       8.625
20160414       7.161       8.694       4.831       8.574
20160415       7.461       5.795       6.965       7.782
20160416       8.477       5.318       6.189       6.700
20160417       7.605       5.519       6.524       8.752
20160418       7.139       4.566       5.229       8.250
20160419       7.502       5.360       4.835       6.588
20160420       7.228       4.933       4.542       7.052
20160421       6.645       4.237       4.639       7.593
20160422       5.937       3.950       4.147       5.710
20160423       4.521       2.444       3.342       5.663
20160424       3.627       2.168       2.530       3.208
20160425       3.064       2.047       2.202       2.760
20160426       2.590       1.880       2.341       2.994
20160427       2.335       1.656       1.911       2.049
20160428       2.333       1.641       1.691       2.175
20160429  -10000.000      27.131       5.557       7.765
20160430  -10000.000      22.151      22.160      20.638
20160501  -10000.000      10.604      19.601      22.660
20160502  -10000.000      19.832      15.030      14.476
20160503      13.131      15.073      20.272      20.733
20160504      11.847      11.304      16.352      16.550
20160505       9.320       7.989      10.459      10.524
20160506       8.654       6.821       8.061       8.156
20160507       8.069       5.914       6.624       7.248
20160508       7.676       5.086       5.954       8.033
20160509       7.222       4.525       5.128       7.683
20160510       6.173       3.805       4.485       5.852
20160511       5.113       2.873       3.913       4.809
20160512       4.123       2.250       2.835       3.946
20160513       3.584       2.303       2.612       3.670
20160514       2.911       1.739       1.975       2.766
20160515       2.422       1.539       1.738       2.280
20160516       2.086       1.367       1.539       2.231
20160517       1.841       1.217       1.367       1.820
20160518       1.626       1.081       1.234       1.590
20160519       1.499       1.189       1.222       1.659
20160520       1.747       1.202       2.523       2.751
20160521       2.224       1.558       1.517       1.748
20160522       2.093       1.607       1.350       1.781
20160523      19.649      19.427       4.146       4.814
20160524      22.817      43.327      13.811      11.553
20160525      10.218       7.043      24.375      24.675
20160526       6.094       4.551       6.991       5.051
20160527       4.101       3.832       4.551       4.675
20160528       3.271       3.788       4.026       3.926
