date          Qobs       Qsimobs        Qsim       Qusi
20150801       6.536       5.629       6.194       7.050
20150802       6.614       5.505       5.681       6.263
20150803       6.335       5.841       5.586       6.005
20150804       6.095       5.072       5.511       6.319
20150805      15.393      11.945       5.804       6.117
20150806      11.806       9.949       9.431      16.770
20150807       9.198       8.582       9.227      12.068
20150808       8.357       7.674       8.718       8.919
20150809       7.073       5.558       7.489       7.678
20150810       6.425       5.263       6.143       6.417
20150811       6.921       6.125       5.267       5.707
20150812       7.107       6.812       5.403       6.426
20150813       5.953       4.722       6.118       7.371
20150814       5.286       4.500       4.844       5.280
20150815       5.074       4.416       4.521       5.496
20150816       5.076       4.492       4.323       4.849
20150817       5.106       4.037       4.293       4.980
20150818       4.836       3.893       3.998       4.838
20150819       4.499       3.771       3.865       4.740
20150820       4.340       3.676       3.781       4.615
20150821       4.222       3.808       3.671       4.213
20150822       4.113       3.647       3.833       4.377
20150823       3.977       3.638       3.749       4.271
20150824       3.792       3.650       3.667       4.081
20150825       4.272       4.548       3.858       4.053
20150826       7.763       9.745       5.884       5.524
20150827      11.091       9.778       7.517      10.122
20150828      10.077      10.399       8.097       9.188
20150829       7.606       6.052       8.154       9.172
20150830       6.023       5.616       6.277       6.176
20150831       5.191       5.727       5.647       5.836
20150901       4.707       5.210       5.274       5.114
20150902       5.734       4.816       4.710       4.466
20150903       8.710       7.229       5.671       5.219
20150904       7.214       5.762       6.159       8.723
20150905       7.177       6.020       5.830       7.348
20150906       6.248       5.338       5.785       6.681
20150907       5.484       4.728       5.158       5.955
20150908       4.935       4.300       4.686       4.801
20150909       4.552       3.881       4.408       4.710
20150910       4.260       3.737       4.007       4.587
20150911       4.039       3.520       3.744       4.079
20150912       3.915       3.265       3.471       3.670
20150913       4.864       3.418       3.336       3.743
20150914       5.476       3.388       3.194       4.636
20150915       6.042       3.586       3.152       4.534
20150916       9.100       4.772       4.713       7.078
20150917      10.007       4.019       4.280       8.901
20150918      11.865       6.504       4.488       8.269
20150919       8.902       4.940       5.380      12.672
20150920       7.332       4.454       4.908       8.058
20150921       6.352       3.918       4.518       6.664
20150922       6.200       4.281       4.289       5.938
20150923       5.689       3.927       4.400       6.050
20150924       5.730       3.768       3.849       5.308
20150925      10.068       5.279       4.137       5.990
20150926       8.106       4.158       4.639       8.846
20150927       6.486       3.732       4.146       7.516
20150928       5.673       3.427       3.737       6.138
20150929       5.096       3.161       3.457       5.400
20150930       4.694       2.215       3.171       5.101
20151001       4.498       2.257       3.058       4.289
20151002       4.385       2.208       2.931       4.142
20151003       4.245       2.151       2.203       4.053
20151004       4.074       2.413       2.143       4.227
20151005       3.892       2.348       2.087       3.816
20151006       3.739       2.305       2.034       3.735
20151007       3.545       2.243       2.295       3.592
20151008       3.431       2.187       2.241       3.399
20151009       3.362       2.138       2.201       3.277
20151010       3.291       2.094       2.139       3.249
20151011       3.208       2.077       2.093       3.128
20151012       3.130       2.057       2.075       3.096
20151013       3.044       2.033       2.051       2.982
20151014       2.948       1.993       2.027       3.023
20151015       2.854       1.971       2.010       2.832
20151016       2.805       1.948       1.987       2.820
20151017       2.739       1.926       1.948       2.780
20151018       2.699       1.904       1.926       2.724
20151019       2.645       1.885       1.904       2.670
20151020       2.598       1.864       1.884       2.604
20151021       2.591       1.838       1.865       2.516
20151022       2.662       1.969       1.872       2.569
20151023       2.637       1.919       2.078       2.737
20151024       2.560       1.828       1.868       2.644
20151025       2.553       1.923       1.909       2.556
20151026       2.412       1.818       1.848       2.508
20151027       2.407       1.798       1.812       2.286
20151028       2.348       1.778       1.791       2.364
20151029       2.240       1.758       1.778       2.265
20151030       2.242       1.738       1.758       2.077
20151031       2.343       1.758       1.763       1.988
20151101       2.319       1.912       1.794       2.356
20151102       2.261       1.822   -9999.000   -9999.000
20151103       2.229       1.818       1.840       2.175
20151104       2.200       1.749       1.817       2.198
20151105       2.164       1.702       1.753       2.080
20151106       2.147       1.679       1.702       2.095
20151107       2.473       2.390       2.098       2.556
20151108       2.331       1.954       2.146       2.134
20151109       2.262       1.923       2.033       2.417
20151110       2.238       1.754       1.908       2.158
20151111       2.094       1.699       1.770       2.195
20151112       2.065       1.675       1.718       2.058
20151113       1.966       1.670       1.678       2.016
20151114       1.725       1.642       1.684       1.974
20151115       1.822       1.623       1.649       1.626
20151116       1.640       1.599       1.618       1.712
20151117       1.619       1.720       1.691       1.648
20151118       1.660       1.592       1.628       1.458
20151119       1.461       1.555       1.581       1.688
20151120       2.190       1.532       1.564       1.440
20151121       1.420       1.513       1.544       1.998
20151122       1.862       1.494       1.513       1.377
20151123       1.492       1.481       1.506       1.884
20151124       1.706       1.480       1.490       1.410
20151125       1.616       1.448       1.473       1.680
20151126       1.577       1.431       1.466       1.608
20151127       1.885       1.429       1.522       1.639
20151128       1.924       1.797       1.509       1.820
20151129       1.683       1.574       1.671       2.185
20151130       2.261       1.449       1.528       1.519
20151201       1.517       1.449       1.458       2.064
20151202       1.530       1.486       1.438       1.526
20151203       1.496       1.432       1.433       1.422
20151204       1.495       1.533       1.441       1.518
20151205       1.550       1.429       1.446       1.417
20151206       1.561       1.390       1.480       1.554
20151207       1.486       1.357       1.412       1.592
20151208       1.504       1.312       1.358       1.465
20151209       1.540       1.368       1.343       1.513
20151210       1.500       1.305       1.339       1.538
20151211       1.452       1.285       1.360       1.504
20151212       1.446       1.257       1.282       1.426
20151213       2.520       1.244       1.260       1.416
20151214       5.199       1.228       1.241       2.038
