date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.114       0.784       1.052       0.103
20150802       0.125       0.707       0.910       0.166
20150803       0.128       0.495       0.617       0.114
20150804       0.205       0.603       0.602       0.162
20150805       0.275       1.964       1.045       0.388
20150806       0.242       0.840       1.029       0.265
20150807       0.236       0.656       0.859       0.278
20150808       0.231       0.509       0.656       0.208
20150809       0.220       0.444       0.509       0.200
20150810       0.212       0.396       0.444       0.244
20150811       0.199       0.355       0.396       0.204
20150812       0.183       0.319       0.355       0.212
20150813       0.166       0.286       0.319       0.178
20150814       0.152       0.256       0.286       0.161
20150815       0.154       0.230       0.256       0.147
20150816       0.456       2.500       1.017       0.653
20150817       0.449       1.788       0.831       0.372
20150818       0.405       0.972       1.230       0.430
20150819       0.416       0.773       0.974       0.359
20150820       0.405       0.597       0.774       0.358
20150821       0.394       0.462       0.598       0.338
20150822       0.347       0.404       0.462       0.322
20150823       0.308       0.359       0.404       0.308
20150824       0.303       0.322       0.359       0.267
20150825       1.022       4.416       0.767       0.629
20150826       1.514       2.014       2.101       1.137
20150827       4.645       8.295       2.444       1.595
20150828       4.387       3.254       4.083       4.947
20150829       3.854       2.632       3.188       3.381
20150830       3.031       2.169       2.632       3.022
20150831       2.408       1.785       2.168       2.579
20150901       2.051       1.463       1.887       2.042
20150902       5.203       6.640       4.356       4.344
20150903       8.100       8.202       7.278       8.582
20150904       8.851       6.685       6.043       8.358
20150905       7.253       3.584       5.197       6.410
20150906       5.364       2.961       3.573       4.909
20150907       3.920       2.512       2.961       4.607
20150908       2.910       2.079       2.453       3.311
20150909       2.239       1.717       2.029       2.437
20150910       1.769       1.416       1.718       1.909
20150911       1.389       1.165       1.417       1.472
20150912       1.100       0.955       1.165       1.188
20150913       1.408       2.562       1.358       1.387
20150914       7.392      11.570       3.194       2.609
20150915      14.526      12.933       9.972      12.601
20150916      13.215       7.451      11.187      14.585
20150917      18.367      16.492      12.525      15.040
20150918      16.789      11.584      13.247      18.600
20150919      11.570       6.072       9.574      12.875
20150920       7.558       3.886       6.062       7.505
20150921       5.144       3.231       3.886       5.118
20150922       4.262       3.846       3.459       4.563
20150923       3.588       4.125       3.478       4.072
20150924       3.246       2.969       3.439       3.273
20150925       3.043       3.431       3.019       2.916
20150926       2.644       2.565       2.949       2.607
20150927       2.211       2.084       2.507       2.301
20150928       1.857       1.729       2.084       1.893
20150929       1.553       1.433       1.729       1.634
