date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.675       0.458       0.476       0.765
20150802       1.314       1.386       0.724       0.910
20150803       0.754       0.567       0.837       0.885
20150804       1.374       0.505       0.586       0.612
20150805       1.990       2.816       1.082       1.417
20150806       0.964       0.502       1.603       1.762
20150807       1.003       0.488       0.591       0.449
20150808       0.737       0.464       0.486       0.845
20150809       0.594       0.447       0.464       0.730
20150810       0.650       0.437       0.448       0.556
20150811       1.245       0.444       0.435       0.588
20150812       0.791       0.525       0.440       1.046
20150813       0.502       0.420       0.440       0.770
20150814       0.447       0.405       0.421       0.558
20150815       0.650       0.391       0.412       0.442
20150816       1.677       2.078       0.592       0.845
20150817       1.410       1.415       1.382       1.562
20150818       0.723       0.430       0.866       0.739
20150819       0.544       0.413       0.429       0.484
20150820       0.392       0.398       0.413       0.514
20150821       0.303       0.382       0.398       0.396
20150822       0.257       0.368       0.382       0.319
20150823       0.210       0.354       0.368       0.262
20150824       0.279       0.341       0.354       0.200
20150825       3.207       1.233       0.740       0.548
20150826       1.667       3.016       1.484       2.056
20150827       2.610       1.705       2.869       2.673
20150828       1.824       2.183       1.641       1.792
20150829       1.008       1.065       1.403       1.165
20150830       0.841       0.626       0.824       0.522
20150831       0.537       0.435       0.451       0.456
20150901       1.206       0.412       0.465       0.576
20150902      10.349       3.381       2.453       2.523
20150903       4.833       3.224       4.760       8.191
20150904       1.200       0.515       2.228       2.644
20150905       0.755       0.454       0.505       0.378
20150906       0.506       0.436       0.485       0.713
20150907       0.365       0.423       0.435       0.514
20150908       0.291       0.407       0.419       0.374
20150909       0.238       0.393       0.404       0.280
20150910       0.202       0.379       0.392       0.225
20150911       0.181       0.364       0.377       0.194
20150912       0.513       0.379       0.371       0.211
20150913       2.648       1.269       0.918       0.987
20150914       3.486       0.436       1.195       1.966
20150915       9.457       1.783       1.554       3.280
20150916       1.805       2.256       1.852       4.024
20150917       2.404       0.459       2.099       2.083
20150918       1.183       1.140       0.543       0.810
20150919       0.707       0.455       0.510       0.691
20150920       0.507       0.433       0.452       0.546
20150921       0.392       0.417       0.433       0.474
20150922       0.526       0.415       0.432       0.432
20150923       0.488       0.474       0.468       0.433
20150924       0.462       0.408       0.421       0.503
20150925       0.847       1.064       0.517       0.498
20150926       0.670       0.731       0.728       0.654
20150927       0.404       0.428       0.445       0.418
20150928       0.316       0.412       0.427       0.424
20150929       0.262       0.400       0.411       0.318
20150930       0.229       0.332       0.395       0.270
20151001       0.222       0.318       0.382       0.222
20151002       0.211       0.306       0.371       0.224
20151003       0.209       0.298       0.307       0.205
20151004       0.174       0.333       0.297       0.216
20151005       0.156       0.321       0.285       0.175
20151006       0.201       0.312       0.286       0.174
20151007       0.220       0.313       0.317       0.176
20151008       0.326       0.308       0.349       0.244
20151009       0.418       0.405       0.329       0.300
20151010       0.420       0.317       0.353       0.344
20151011       0.398       0.299       0.308       0.338
20151012       0.363       0.298       0.299       0.366
20151013       0.288       0.292       0.294       0.332
20151014       0.200       0.274       0.287       0.320
20151015       0.171       0.264       0.274       0.152
20151016       0.150       0.255       0.265       0.098
20151017       0.134       0.245       0.257       0.078
20151018       0.128       0.236       0.247       0.062
20151019       0.126       0.230       0.237       0.041
20151020       0.138       0.222       0.229       0.060
20151021       0.212       0.219       0.223       0.095
20151022       0.761       0.258       0.261       0.190
20151023       0.764       0.946       0.293       0.476
20151024       0.414       0.250       0.297       0.468
20151025       0.638       0.495       0.275       0.409
20151026       0.533       0.387       0.307       0.587
20151027       0.486       0.277       0.300       0.375
20151028       0.313       0.267       0.276       0.409
20151029       0.208       0.258       0.267       0.244
20151030       0.370       0.248       0.285       0.092
20151031       0.862       0.356       0.378       0.376
20151101       0.493       0.279       0.266       0.648
20151102       0.340       0.253   -9999.000   -9999.000
20151103       0.291       0.243       0.253       0.338
20151104       0.252       0.235       0.243       0.269
20151105       0.241       0.235       0.238       0.236
20151106       0.235       0.233       0.238       0.258
20151107       1.095       0.523       0.443       0.453
20151108       0.813       2.446       0.465       0.400
20151109       1.630       2.653       0.661       0.717
20151110       0.899       1.555       1.919       1.612
20151111       1.041       1.187       1.274       0.536
20151112       0.985       1.758       0.975       0.724
20151113       1.273       1.602       1.072       0.718
20151114       0.611       0.466       0.966       0.909
