date          Qobs       Qsimobs        Qsim       Qusi
20150801      11.295      12.590      13.276      10.941
20150802      12.680      17.375      14.269      11.955
20150803      13.720      15.884      15.699      12.927
20150804      14.137      15.916      16.063      13.566
20150805      14.762      15.625      15.497      13.609
20150806      13.027      14.253      15.002      14.179
20150807      13.205      13.380      15.274      13.133
20150808      12.982      12.294      13.606      12.731
20150809      16.018      27.998      17.879      17.638
20150810      14.844      19.707      23.003      18.378
20150811      13.208      16.859      20.117      14.182
20150812      13.388      19.157      18.968      13.464
20150813      17.559      25.674      19.689      13.823
20150814      16.226      21.717      20.725      18.395
20150815      15.290      19.007      21.025      15.183
20150816      14.097      16.855      18.842      14.241
20150817      12.957      15.171      16.860      13.008
20150818      12.215      13.879      15.289      11.979
20150819      11.594      12.938      13.968      11.447
20150820      10.977      12.275      12.859      10.983
20150821      10.388      11.839      12.272      10.704
20150822       9.869      11.431      11.839      10.241
20150823       9.473      11.024      11.426       9.686
20150824       9.250      10.760      11.038       9.180
20150825       9.088      10.371      10.658       9.073
20150826       8.822      10.012      10.292       8.977
20150827       8.536       9.669      10.012       8.571
20150828       8.145       9.380       9.675       8.415
20150829       7.939       9.202       9.380       7.995
20150830       7.735       9.011       9.190       7.717
20150831       7.628       8.859       9.016       7.679
20150901       7.767       9.043       9.329       8.005
20150902       8.120       8.678       9.441       7.995
20150903       7.921       8.478       8.815       8.191
20150904       7.714       8.338       8.530       7.899
20150905       7.714       8.358       8.831       8.162
20150906       8.652      12.005      10.886       9.873
20150907       9.410       9.316      10.895       9.070
20150908       8.769       8.443       9.399       8.696
20150909       8.458       8.403       8.921       8.832
20150910       8.402       8.143       8.442       8.279
20150911       8.082       7.973       8.100       8.290
20150912       7.786       7.805       7.973       7.965
20150913       7.578       7.726       7.805       7.667
20150914       7.413       7.625       7.641       7.473
20150915       7.293       7.480       7.480       7.297
20150916       7.163       7.346       7.408       7.165
20150917       7.120       7.377       7.355       7.153
20150918       7.132       7.139       7.258       6.999
20150919       9.737      23.637       8.566       8.409
20150920      10.709      13.995      17.641      11.883
20150921       9.762      13.158      14.099       9.790
20150922       9.233      11.039      12.860       9.079
20150923       8.996      11.093      11.358       8.435
20150924      10.212      12.033      11.598       9.140
20150925      11.496       9.706      11.330       9.301
20150926      13.397      18.756      10.590      11.222
20150927      18.362      21.460      16.221      14.366
20150928      18.083      16.797      19.377      19.432
20150929      16.366      14.358      16.866      16.828
20150930      19.288      16.925      16.445      16.598
20151001      19.094      19.308      16.484      20.439
20151002      17.867      15.608      17.537      18.848
20151003      16.693      14.853      15.797      16.918
20151004      14.997      13.758      14.414      15.398
20151005      14.059      13.502      13.304      13.669
20151006      13.401      12.482      12.399      13.023
20151007      11.997      10.671      11.864      11.918
20151008       9.309       9.987      10.670      10.830
20151009       9.205       9.606       9.980       9.160
