date          Qobs       Qsimobs        Qsim       Qusi
20150801     353.480     314.075     368.540     342.857
20150802     341.207     319.035     320.024     316.665
20150803     327.456     285.745     325.612     344.100
20150804     316.848     270.494     298.585     305.522
20150805     325.847     619.281     362.100     404.578
20150806     438.577     484.769     506.784     420.889
20150807     506.539     493.779     484.429     402.795
20150808     518.828     458.080     479.983     488.347
20150809     513.434     411.705     455.394     484.675
20150810     496.109     384.109     415.959     476.870
20150811     451.281     383.167     379.048     453.993
20150812     433.714     418.912     365.507     415.409
20150813     466.230     330.404     390.216     424.733
20150814     460.986     334.470     342.841     415.850
20150815     394.650     318.092     332.949     440.711
20150816     345.532     350.127     325.706     397.644
20150817     319.381     338.241     340.177     364.666
20150818     327.871     339.808     329.684     314.377
20150819     340.699     311.225     331.966     318.938
20150820     333.892     330.180     331.701     335.203
20150821     324.301     335.125     317.142     341.103
20150822     295.169     330.757     325.286     328.065
20150823     278.571     324.404     323.436     301.262
20150824     285.429     299.958     315.644     261.369
20150825     292.470     327.473     305.308     275.269
20150826     332.356     540.681     355.066     335.086
20150827     461.372     572.291     470.863     390.059
20150828     577.685     625.724     535.660     496.132
20150829     560.923     474.175     549.300     542.329
20150830     469.527     413.332     478.611     500.389
20150831     393.200     342.085     414.430     426.429
20150901     348.021     279.224     361.783     356.842
20150902     326.558     270.710     304.069     297.055
20150903     357.110     336.273     303.044     330.178
20150904     364.782     269.205     297.050     330.971
20150905     336.698     286.355     271.408     337.463
20150906     302.480     238.406     266.946     309.288
20150907     289.289     197.989     236.274     276.006
20150908     274.409     183.792     212.269     253.867
20150909     253.924     172.049     197.008     252.415
20150910     250.057     166.771     178.145     244.219
20150911     248.306     160.119     165.107     239.797
20150912     228.089     152.897     159.123     231.433
20150913     209.073     194.394     156.078     240.129
20150914     223.011     201.220     159.204     208.931
20150915     265.244     230.617     164.351     217.336
20150916     350.812     311.281     243.290     292.514
20150917     450.017     238.705     269.231     346.045
20150918     536.071     425.966     261.230     419.331
20150919     551.680     301.918     340.518     581.246
20150920     475.080     267.810     299.985     472.301
20150921     394.647     221.465     260.997     406.552
20150922     350.258     211.957     233.679     352.996
20150923     321.014     203.152     224.616     338.313
20150924     292.809     187.792     203.950     304.992
20150925     286.619     262.465     207.581     298.531
20150926     300.873     207.254     226.552     291.128
20150927     290.975     189.512     204.948     273.720
20150928     275.584     174.931     188.924     263.446
20150929     259.075     163.840     175.007     253.222
20150930     242.095     131.206     164.440     242.315
20151001     230.317     131.661     157.954     227.835
20151002     230.588     131.151     152.633     218.786
20151003     226.564     126.188     130.796     226.575
20151004     222.008     141.431     125.922     219.170
20151005     220.548     136.949     122.030     213.819
20151006     207.878     133.672     117.910     208.547
20151007     197.208     128.866     133.214     200.689
20151008     198.568     124.941     129.177     187.472
20151009     193.413     122.724     125.516     189.235
20151010     176.264     120.237     122.719     189.602
20151011     151.163     119.530     120.122     173.875
20151012     147.849     118.736     119.417     148.258
20151013     161.132     117.958     118.720     144.040
20151014     162.863     117.159     117.963     162.440
20151015     159.055     116.380     117.147     159.011
20151016     150.725     115.605     116.368     162.309
20151017     149.213     114.843     115.606     153.111
20151018  -10000.000     114.084     114.850     147.600
20151019     141.024     113.354     114.082     123.648
20151020     143.558     112.605     113.357     113.355
20151021     143.735     111.852     112.632     112.630
20151022     136.697     125.416     115.721     146.956
20151023     123.724     142.542     131.738     155.813
20151024     124.735     121.595     129.987     125.704
20151025     121.555     125.232     123.184     120.342
20151026     122.509     116.503     121.925     121.703
20151027     127.698     114.566     116.609     117.325
20151028     132.486     113.319     114.575     122.975
20151029     140.862     111.943     112.915     131.861
20151030     147.239     110.628     111.541     141.419
20151031     145.533     113.447     112.238     146.459
20151101     140.559     125.281     114.607     146.430
20151102     141.121     118.897   -9999.000   -9999.000
20151103     149.521     117.011     118.449     141.484
20151104     162.994     115.714     117.492     146.053
20151105     172.480     113.009     114.680     151.952
20151106     175.616     110.653     112.343     168.969
20151107     171.731     125.892     115.630     175.121
20151108     158.902     131.850     120.392     176.194
20151109     162.052     144.274     123.527     165.118
20151110     169.857     128.593     143.081     157.906
20151111     168.974     124.009     132.350     161.607
20151112     169.164     122.243     126.924     167.312
20151113     173.275     119.771     122.335     163.234
20151114     159.045     116.723     119.911     169.317
20151115     139.657     131.129     119.529     161.625
20151116     151.248     120.026     128.872     135.981
20151117     149.701     128.576     123.495     136.747
20151118     142.720     120.934     127.706     146.841
20151119     140.686     117.486     121.143     138.159
20151120     139.925     114.942     117.810     135.535
20151121     136.674     112.951     115.347     136.522
20151122     114.682     111.013     112.942     140.601
20151123     115.928     109.351     111.294     115.510
20151124     137.608     109.519     110.059     112.491
20151125     154.763     107.616     108.570     131.319
20151126     162.807     106.484     108.141     147.863
20151127     152.270     115.510     116.684     172.132
20151128     142.569     137.343     115.964     163.649
20151129     140.332     118.881     126.869     142.558
20151130     139.240     114.179     117.849     132.125
