date          Qobs       Qsimobs        Qsim       Qusi
20150801      26.688      31.657      34.809      26.166
20150802      24.923      32.371      32.097      25.575
20150803      23.065      30.999      33.430      25.511
20150804      22.450      31.696      32.684      23.685
20150805      25.999      36.938      33.292      23.468
20150806      33.006      36.786      36.361      26.705
20150807      38.310      43.158      36.429      27.652
20150808      42.658      41.423      40.203      38.080
20150809      41.105      38.567      41.591      43.142
20150810      41.196      38.600      39.614      40.755
20150811      45.712      40.345      37.735      39.629
20150812      51.334      41.639      38.394      43.209
20150813      46.939      35.846      41.542      51.426
20150814      36.466      35.897      38.502      46.642
20150815      39.958      39.751      37.744      42.221
20150816      44.883      45.128      39.268      41.534
20150817      52.375      45.883      44.336      46.593
20150818      54.210      45.479      45.787      51.542
20150819      50.393      46.255      45.850      54.359
20150820      47.619      48.178      46.844      51.453
20150821      46.264      47.836      47.433      48.513
20150822      48.013      49.574      47.649      45.746
20150823      50.323      47.533      48.830      47.869
20150824      48.664      46.903      47.394      48.795
20150825      48.726      47.920      46.249      47.725
20150826      57.045      51.890      48.807      48.880
20150827      60.554      48.957      50.701      57.123
20150828      57.359      47.664      49.745      58.672
20150829      50.948      43.762      47.027      54.282
20150830      45.519      43.542      44.043      48.749
20150831      40.649      43.545      43.053      44.026
20150901      35.301      36.606      42.116      39.428
20150902      30.596      35.505      37.875      33.069
20150903      27.207      34.181      36.720      29.395
20150904      24.871      32.882      33.256      25.644
20150905      25.205      35.887      31.754      23.798
20150906      23.393      30.882      32.954      24.300
20150907      21.060      29.438      31.300      22.103
20150908      20.114      27.275      29.960      20.170
20150909      19.226      25.944      29.427      20.803
20150910      18.582      25.989      28.195      19.636
20150911      18.176      25.677      25.535      18.313
20150912      18.282      25.273      25.093      17.256
20150913      19.941      28.268      25.683      17.873
20150914      27.101      32.009      26.881      20.033
20150915      35.954      32.989      28.275      25.972
20150916      39.441      34.899      33.546      36.928
20150917      36.099      30.323      33.300      38.437
20150918      32.926      29.919      30.938      34.099
20150919      34.934      32.415      29.274      30.488
20150920      33.641      30.257      31.002      34.430
20150921      29.297      24.199      29.381      31.659
20150922      24.775      22.237      25.179      26.115
20150923      21.246      21.660      23.855      23.229
20150924      19.679      21.334      21.601      20.139
20150925      21.518      26.149      20.760      18.184
20150926      21.269      22.191      23.316      21.575
20150927      19.533      19.198      22.139      19.304
20150928      17.310      17.598      20.515      18.802
20150929      15.394      17.321      19.139      17.271
