date          Qobs       Qsimobs        Qsim       Qusi
20150801       3.193       3.999       4.215       3.139
20150802       2.837       4.529       3.999       3.066
20150803       2.562       4.851       4.533       3.018
20150804       2.360       4.096       4.517       2.589
20150805       2.331       6.517       4.418       2.399
20150806       2.672       5.628       5.164       2.420
20150807       2.908       5.003       5.072       2.554
20150808       2.911       4.706       5.016       2.643
20150809       2.718       4.961       4.676       2.672
20150810       2.447       4.341       4.300       2.588
20150811       2.207       4.014       4.335       2.290
20150812       2.008       3.710       4.005       2.104
20150813       1.815       3.409       3.701       1.906
20150814       1.643       3.129       3.404       1.692
20150815       1.495       2.874       3.130       1.570
20150816       1.370       2.650       2.868       1.413
20150817       1.259       2.434       2.650       1.293
20150818       1.156       2.253       2.454       1.192
20150819       1.070       2.088       2.271       1.081
20150820       0.994       1.949       2.088       0.998
20150821       0.932       1.819       1.949       0.933
20150822       0.878       1.710       1.819       0.874
20150823       0.827       1.618       1.710       0.836
20150824       0.789       1.583       1.618       0.792
20150825       0.805       1.632       1.541       0.760
20150826       0.903       3.031       2.524       1.253
20150827       1.078       2.739       2.725       1.157
20150828       1.964       4.604       2.783       1.109
20150829       2.792       3.412       3.815       2.047
20150830       2.766       3.168       3.394       2.545
20150831       2.446       2.750       3.118       2.588
20150901       2.161       2.503       2.897       2.314
20150902       3.415       5.446       4.359       3.349
20150903       8.525       6.230       5.148       3.962
20150904      10.897       6.908       5.870       9.157
20150905      10.629       6.821       7.488      12.271
20150906      14.413       7.483       6.362       9.670
20150907      12.844       6.100       7.029      13.221
20150908       9.650       5.582       6.187      11.733
20150909       7.726       5.150       5.547       8.927
20150910       6.433       4.761       5.156       7.219
20150911       5.544       4.396       4.766       6.105
20150912       4.870       4.055       4.396       5.221
20150913       4.355       4.158       4.071       4.597
20150914       4.001       4.128       3.920       4.070
20150915       4.308       3.934       3.689       3.963
20150916       9.907      12.530       5.099       4.936
20150917      21.320      18.078       9.214      13.225
20150918      32.941      27.271      19.445      29.937
20150919      31.186      17.152      22.652      33.171
20150920      23.864      14.057      17.167      24.968
20150921      18.602      11.717      14.030      19.331
20150922      15.215       9.861      11.442      14.735
20150923      13.237       8.750      10.106      12.907
20150924      12.019       7.688       8.627      11.070
20150925      11.277      11.008       8.727      11.433
20150926      11.161       7.853      10.436      12.253
20150927      10.162       7.033       7.875       9.538
20150928       9.048       6.323       7.006       8.920
20150929       8.049       5.865       6.387       8.232
20150930       7.205       3.487       5.924       7.458
20151001       6.572       3.240       5.439       6.768
20151002       6.041       3.007       5.039       6.157
20151003       5.525       2.788       3.007       5.582
20151004       5.089       3.968       2.788       5.162
20151005       4.686       3.671       2.583       4.752
20151006       4.293       3.414       2.389       4.380
20151007       3.927       3.170       3.414       4.043
20151008       3.605       2.943       3.172       3.715
20151009       3.321       2.729       2.944       3.389
20151010       3.091       2.528       2.729       3.075
20151011       2.896       2.340       2.532       2.931
20151012       2.732       2.162       2.340       2.656
20151013       2.587       2.005       2.162       2.561
20151014       2.441       1.844       2.002       2.414
20151015       2.290       1.696       1.844       2.253
20151016       2.186       1.567       1.696       2.122
20151017       2.078       1.458       1.567       2.038
20151018       1.985       1.386       1.458       1.956
20151019       1.907       1.355       1.386       1.904
20151020       1.833       1.332       1.350       1.883
20151021       1.774       1.326       1.332       1.830
20151022       1.755       1.683       1.339       1.784
20151023       1.767       1.546       1.468       2.001
20151024       1.743       1.416       1.412       1.723
20151025       1.794       1.806       1.600       1.849
20151026       1.954       1.611       1.647       2.066
20151027       1.980       1.468       1.553       1.786
20151028       1.939       1.377       1.427       1.825
20151029       1.873       1.335       1.376       1.832
20151030       1.801       1.318       1.334       1.816
20151031       1.726       1.313       1.318       1.776
20151101       1.678       1.306       1.311       1.740
20151102       1.644       1.299   -9999.000   -9999.000
20151103       1.598       1.292       1.304       1.651
20151104       1.566       1.294       1.292       1.608
20151105       1.531       1.290       1.286       1.578
20151106       1.505       1.290       1.282       1.554
20151107       1.626       2.738       1.699       1.950
20151108       3.605       9.111       2.317       2.117
20151109       7.109       7.050       4.964       3.159
20151110       8.796       8.002       6.748       7.190
20151111       8.456       6.608       6.975       8.850
20151112       7.485       6.335       6.620       7.430
20151113       7.011       5.944       6.142       7.143
20151114       7.610      12.686       7.609       8.247
20151115       7.277       7.886       6.395       7.953
20151116       6.617       6.930       7.886       6.373
20151117       6.597       9.462       8.022       6.769
20151118       6.728       7.226       7.716       6.950
20151119       6.446       6.884       7.177       5.910
20151120       5.950       6.366       6.590       6.072
20151121       5.402       5.927       6.366       5.690
