date          Qobs       Qsimobs        Qsim       Qusi
20150801     262.165     223.620     235.109     281.035
20150802     226.764     201.158     222.610     255.698
20150803     233.703     226.786     199.430     215.825
20150804     217.225     184.408     214.826     207.478
20150805     182.576     162.336     185.811     179.298
20150806     186.112     169.070     166.736     176.760
20150807     181.607     196.143     171.055     177.883
20150808     167.722     191.211     181.516     181.129
20150809     158.738     160.620     183.471     167.079
20150810     136.947     142.382     166.063     153.468
20150811     124.045     134.410     148.378     137.858
20150812     147.657     161.371     149.890     130.763
20150813     144.842     131.859     155.100     142.895
20150814     125.544     121.860     132.447     136.343
20150815     112.722     115.134     122.016     121.469
20150816     104.111     108.789     115.296     110.233
20150817      98.603     102.736     109.153      99.904
20150818      93.358      99.089     103.529      93.328
20150819      89.222      93.427      98.448      90.483
20150820      85.518      88.525      92.928      85.781
20150821      78.689      84.058      88.671      82.278
20150822      71.528      80.140      84.322      77.936
20150823      69.650      76.972      80.340      68.376
20150824      71.571      74.813      77.076      66.313
20150825      74.287      72.303      74.736      67.763
20150826      70.886      70.356      72.425      72.906
20150827      67.271      67.659      70.059      69.597
20150828      68.081      65.873      67.636      65.839
20150829      77.109      64.082      68.263      65.945
20150830      73.486      62.386      64.355      71.525
20150831      68.617      61.025      68.108      81.796
20150901      74.101      61.071      70.317      76.187
20150902      68.724      57.442      59.584      70.003
20150903      62.746      55.434      57.450      66.652
20150904      59.412      55.014      56.521      63.410
20150905      58.831      63.821      62.129      66.404
20150906      66.708      88.528      73.053      70.690
20150907      67.744      67.837      77.376      68.790
20150908      64.436      60.171      68.557      62.773
20150909      62.119      57.325      62.871      60.400
20150910      61.265      54.379      57.103      57.828
20150911      58.612      52.526      54.181      59.927
20150912      55.988      50.897      52.742      58.050
20150913      53.317      49.961      51.016      54.532
20150914      51.834      48.565      49.436      52.270
20150915      49.046      47.710      48.105      50.689
20150916      47.222      46.757      47.492      47.969
20150917      46.872      45.420      46.340      46.478
20150918      46.712      45.546      45.573      45.337
20150919      67.250     118.687      56.477      55.457
20150920      77.188      87.396      96.019      71.838
20150921      70.988      76.549      83.074      71.341
