date          Qobs       Qsimobs        Qsim       Qusi
20150801      21.009      10.366      11.620      24.697
20150802      19.591      12.108      11.015      19.922
20150803      18.127       9.472      11.432      16.276
20150804      15.000       8.432      10.071      16.889
20150805      14.289       7.760       8.906      15.169
20150806      18.508       9.315       8.193      11.889
20150807      15.345      10.443       9.569      21.609
20150808      18.735       9.946       9.688      13.237
20150809      15.066       8.434      10.014      15.062
20150810      10.824       7.300       8.739      14.920
20150811      11.157       7.066       7.577       9.995
20150812      17.334       7.773       7.433      10.559
20150813      11.604       6.860       7.693      18.064
20150814       8.396       6.615       7.174      11.274
20150815       7.717       6.389       6.622       8.387
20150816       8.734       6.180       6.393       7.340
20150817       7.777       5.972       6.182       7.904
20150818       6.636       5.794       5.974       7.441
20150819       6.218       5.587       5.794       6.216
20150820       5.752       5.395       5.589       5.998
20150821       5.247       5.211       5.397       5.566
20150822       4.987       5.029       5.214       5.087
20150823       5.298       4.857       5.030       4.819
20150824       6.663       4.737       5.033       5.240
20150825       5.489       4.573       4.731       6.492
20150826       4.725       4.391       4.570       5.379
20150827       5.140       4.232       4.391       4.657
20150828       6.430       4.097       4.232       4.712
20150829       6.337       3.950       4.156       6.057
20150830       4.710       3.814       3.955       6.414
20150831       4.167       3.717       3.978       4.962
20150901       4.072       3.700       4.327       4.935
20150902       3.683       3.474       3.907       4.225
20150903       3.371       3.341       3.563       3.717
20150904       3.229       3.234       3.393       3.378
20150905       3.562       3.557       3.822       3.614
20150906       4.747       4.995       4.087       3.950
20150907       4.402       3.632       4.404       3.960
20150908       4.026       3.371       3.628       4.290
20150909       3.852       3.241       3.548       3.949
20150910       3.891       3.124       3.267       3.614
20150911       3.732       3.006       3.127       3.678
20150912       3.622       2.900       3.007       3.589
20150913       3.451       2.832       2.900       3.487
20150914       3.317       2.714       2.801       3.273
20150915       3.214       2.620       2.694       3.184
20150916       3.134       2.559       2.620       3.090
20150917       3.150       2.471       2.542       2.952
20150918       3.512       2.380       2.457       3.026
20150919       5.557       2.988       2.972       3.812
20150920       5.025       2.734       2.937       5.303
