date          Qobs       Qsimobs        Qsim       Qusi
20150801      64.157      78.022      81.822      65.023
20150802      67.428      95.814      84.227      65.096
20150803      73.204     106.830      88.095      70.263
20150804      80.032      94.450      93.128      74.263
20150805      86.749      86.851      89.024      76.541
20150806      91.547      81.260      86.845      80.260
20150807      93.807      88.097      84.673      87.443
20150808      94.456      85.114      86.315      94.933
20150809      94.623      92.181      87.054      94.740
20150810      95.219      84.001      90.716     100.493
20150811      95.370      77.690      82.792      90.300
20150812      95.121      87.902      81.285      93.619
20150813      96.059      78.423      81.708      94.299
20150814      96.528      76.111      78.509      90.943
20150815      95.862      71.709      75.016      92.070
20150816      94.229      67.457      71.191      90.456
20150817      91.994      64.709      67.438      89.177
20150818      80.310      62.164      64.705      88.350
20150819      70.501      59.582      62.108      79.710
20150820      66.620      57.053      59.563      68.118
20150821      62.748      54.612      57.043      64.349
20150822      59.040      52.296      54.605      60.572
20150823      55.850      49.974      52.273      56.998
20150824      52.870      47.853      49.976      53.833
20150825      49.731      46.057      47.828      51.096
20150826      47.620      44.430      46.081      48.441
20150827      45.927      42.846      44.431      46.183
20150828      44.574      44.281      42.936      44.910
20150829      44.158      46.093      44.389      45.703
20150830      45.148      47.471      44.448      44.164
20150831      45.805      44.298      45.599      44.459
20150901      45.835      43.830      44.842      44.416
20150902      45.527      41.534      43.170      44.507
20150903      44.938      39.759      41.537      43.952
20150904      44.320      38.443      39.900      42.986
20150905      43.761      38.240      38.526      43.100
20150906      44.169      40.495      38.829      43.551
20150907      44.742      39.136      39.140      44.005
20150908      44.453      37.261      38.545      44.029
20150909      43.994      37.020      37.311      43.085
20150910      42.826      35.565      36.853      43.341
20150911      42.023      34.570      35.103      41.707
20150912      41.419      33.596      34.570      40.766
20150913      40.700      32.943      33.596      40.386
20150914      39.763      32.003      32.645      39.709
20150915      38.485      31.132      31.714      38.858
20150916      37.460      36.871      31.114      37.652
20150917      36.955      36.119      30.239      36.542
20150918      37.834      35.181      29.768      36.507
20150919      58.225      99.229      49.259      50.464
20150920      77.990      92.059      71.961      82.129
20150921      87.876      79.973      81.965      84.011
20150922      95.981      73.721      78.428      81.568
20150923      99.949      77.140      76.881      92.719
20150924     103.057      82.430      77.380     101.311
20150925     103.467      73.862      77.209     103.161
20150926     102.315      79.147      76.075      99.004
20150927     102.170      86.552      78.340     104.086
20150928     101.826      77.178      80.393     103.888
20150929      99.674      71.839      77.181      95.628
20150930      97.912      93.395      73.630      95.873
20151001      93.379      85.297      83.361     105.025
20151002      89.309      77.575      82.585      89.316
20151003      86.651      81.458      77.688      84.630
20151004      82.962      74.654      77.980      85.192
20151005      78.750      72.989      74.486      79.364
20151006      75.170      69.499      71.750      75.073
20151007      70.500      67.095      69.477      72.460
20151008      67.536      64.493      66.833      68.365
20151009      61.982      62.007      64.220      65.543
20151010      59.402      59.610      62.010      60.021
20151011      57.949      57.297      60.108      58.228
20151012      55.744      60.401      61.139      59.508
20151013      54.478      67.023      55.834      53.976
20151014      53.642      63.744      63.406      56.166
20151015      53.849      69.129      69.669      54.235
20151016      53.524      72.281      67.647      55.898
20151017      53.840      69.774      72.149      56.059
20151018      54.141      72.594      70.234      52.936
20151019      55.135      70.247      70.075      54.608
20151020      55.756      67.324      69.457      54.303
20151021      55.466      65.976      67.718      54.160
20151022      55.180      65.257      65.258      54.493
20151023      53.406      62.892      63.279      54.511
20151024      50.885      60.598      62.835      52.424
20151025      53.269      60.389      60.831      49.412
20151026      50.291      78.657      59.938      52.951
20151027      48.978      75.388      60.405      49.973
20151028      47.319      56.058      58.702      48.133
20151029      45.388      54.032      72.627      45.895
20151030      43.312      52.200      70.125      44.346
20151031      40.986      50.281      52.143      41.953
20151101      43.025      49.920      55.206      41.823
20151102      43.457      67.422   -9999.000   -9999.000
20151103      43.250      68.686      62.438      54.668
20151104      42.490      72.377      65.109      45.637
20151105      41.386      69.810      65.084      41.790
20151106      39.416      67.766      63.377      41.047
20151107      37.715      66.492      67.837      39.193
20151108      37.102      64.840      66.421      37.793
20151109      37.105      62.556      64.453      36.700
20151110      37.056      61.033      62.906      36.553
20151111      36.958      81.200      61.074      36.531
20151112      36.544      80.067      59.510      36.182
20151113      35.798      78.599      58.518      36.552
20151114      35.871      76.268      78.378      35.748
20151115      35.618      75.129      76.744      35.911
20151116      35.623      72.057      74.602      35.151
20151117      35.501      54.104      72.095      34.659
20151118      35.433      52.493      70.043      34.703
20151119      35.644      51.662      67.672      34.966
20151120      37.211      49.593      51.300      34.909
20151121      49.729      48.554      49.556      35.254
20151122      60.746      46.538      48.261      46.352
20151123      79.196      45.243      46.532      57.218
20151124      79.205      43.587      44.970      74.941
20151125      58.201      42.028      43.536      76.314
20151126      39.434      40.466      42.071      58.571
20151127      37.431      39.580      40.746      40.736
20151128      37.126      38.055      39.489      39.493
20151129      40.516      36.712      38.074      38.090
20151130      40.236      35.922      37.011      37.027
20151201      38.548      36.232      36.392      36.400
20151202      38.110      35.461      35.822      35.869
20151203      39.597      33.812      35.205      35.236
20151204      40.300      32.624      33.787      33.789
20151205      41.421      31.476      32.554      32.571
20151206      41.848      34.149      32.005      32.017
20151207      41.977      32.975      33.001      33.067
20151208      42.243      32.937      32.899      32.925
20151209      41.987      32.321      32.826      32.837
20151210      41.483      34.838      32.386      32.408
20151211      40.708      32.824      33.717      33.801
20151212      41.154      32.335      32.964      32.965
20151213      51.794      31.417      32.219      32.239
20151214      62.019      31.072      31.425      31.413
20151215      63.126      30.948      31.113      31.140
20151216      58.747      30.818      31.028      31.050
20151217      69.847      29.380      31.417      31.473
20151218      67.672      29.028      30.637      30.639
20151219      57.722      29.446      29.449      29.446
20151220      50.089      28.883      29.489      29.530
20151221      46.935      30.089   -9999.000   -9999.000
20151222      46.148      29.546   -9999.000   -9999.000
20151223      47.791      28.836      29.043      29.046
20151224      44.092      28.312      29.043      29.052
20151225      42.673      28.144      28.384      28.397
20151226      42.026      29.965      28.860      28.854
20151227      46.590      29.676      29.692      29.740
20151228      63.934      28.823      29.278      29.305
20151229      73.627      28.204      28.769      28.783
