date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.294       4.240       5.026       4.752
20150802       5.323       3.422       4.198       4.454
20150803       5.065       2.703       3.532       4.641
20150804       4.693       2.259       3.132       4.194
20150805       4.234       2.712       2.798       4.396
20150806       3.919       4.816       2.428       4.742
20150807       3.664       3.036       3.101       3.687
20150808       3.452       2.897       3.121       3.232
20150809       3.446       3.636       2.912       3.119
20150810       3.398       2.795       3.077       3.428
20150811       3.333       2.399       2.664       2.993
20150812       4.223       8.001       4.536       5.405
20150813       5.175       6.195       3.196       4.348
20150814       5.723       4.533       5.463       4.652
20150815       5.603       3.843       4.435       4.674
20150816       5.073       3.427       3.843       4.728
20150817       4.375       3.274       3.431       4.502
20150818       3.798       2.919       3.061       3.829
20150819       3.280       2.601       2.723       3.389
20150820       2.828       2.317       2.601       2.998
20150821       2.457       2.062       2.317       2.564
20150822       2.148       1.837       2.062       2.234
20150823       1.886       1.632       1.836       1.914
20150824       1.678       1.448       1.634       1.679
20150825       1.505       1.286       1.450       1.514
20150826       1.331       1.140       1.290       1.387
20150827       1.211       1.059       1.463       1.457
20150828       1.367       2.504       1.277       1.360
20150829       4.690      28.155       6.332       4.524
20150830       9.384      20.908      15.299       7.007
20150831      11.551      14.847      14.280       9.105
20150901      11.101      10.205      12.306      10.075
20150902       9.703       8.003       9.999       8.592
20150903       8.213       6.678       7.923       7.878
20150904       7.010       5.837       6.646       6.986
20150905       5.964       5.262       6.000       6.713
20150906       5.139       4.824       5.566       5.556
20150907       4.555       4.724       4.848       4.835
20150908       4.187       4.020       4.540       4.282
20150909       3.818       4.733       4.060       4.058
20150910       3.436       4.123       3.668       3.572
20150911       3.082       3.678       3.200       3.177
20150912       2.743       3.280       3.678       2.902
20150913       2.446       2.930       3.280       2.590
20150914       2.136       2.610       2.925       2.344
20150915       1.895       2.325       2.605       2.010
20150916       1.678       2.070       2.325       1.772
20150917       1.494       1.848       2.070       1.595
20150918       1.402       3.105       2.319       1.751
20150919       1.993       6.027       4.908       2.898
20150920       4.226       6.540       6.339       2.798
20150921       5.437       4.541       5.195       3.768
20150922       5.461       3.662       4.282       4.507
20150923       5.080       3.301       3.660       4.726
20150924       4.610       2.967       3.302       4.762
20150925       4.310       2.645       2.953       4.053
20150926       5.962       6.299       4.336       6.075
20150927       7.700       5.182       5.254       6.451
20150928       7.976       8.589       4.257       6.678
20150929       7.777       5.881       3.480       6.245
20150930       8.797       7.729       6.410       9.828
20151001      10.755      10.543       8.949      10.235
20151002      33.495      49.698      20.955      21.500
20151003      36.177      32.238      33.625      37.773
20151004      31.544      35.239      30.984      33.197
20151005      25.705      22.067      23.575      25.050
20151006      19.516      16.331      18.060      19.913
20151007      14.569      12.176      16.328      15.355
20151008      11.187       9.322      12.180      11.768
20151009       8.827       7.629       9.322       8.931
20151010       7.188       6.529       7.631       7.517
20151011       6.075       6.849       6.764       6.706
20151012       5.169       5.816       6.051       5.988
20151013       4.543       7.316       5.451       4.823
20151014       4.265       7.403       5.906       4.915
20151015       4.346       5.781       6.404       4.261
20151016       6.251       9.123       9.156       6.344
20151017       9.143       9.056       9.077       7.979
20151018      10.659       7.790       7.532       7.922
