date          Qobs       Qsimobs        Qsim       Qusi
20150801  -10000.000       5.284       6.914       7.319
20150802  -10000.000      13.619       5.062       6.406
20150803  -10000.000       7.339      11.466       9.762
20150804  -10000.000       8.421       7.661       7.142
20150805  -10000.000      16.412      11.196      11.554
20150806  -10000.000       9.604      13.401      12.001
20150807  -10000.000      11.054       9.459       9.497
20150808  -10000.000       9.075       8.703       8.208
20150809  -10000.000       6.921       7.943       8.075
20150810  -10000.000       6.965       7.022       7.236
20150811  -10000.000       9.565       6.762       6.845
20150812  -10000.000      10.115       7.448       7.341
20150813  -10000.000       4.674       8.895       8.656
20150814  -10000.000       6.224       5.986       5.931
20150815  -10000.000       9.641       6.954       6.833
20150816  -10000.000      14.554       9.518       9.916
20150817  -10000.000      13.658      12.422      11.239
20150818  -10000.000       9.120      11.364      10.370
20150819  -10000.000       7.957       8.565       8.896
20150820  -10000.000       7.742       7.626       7.881
20150821  -10000.000       7.166       7.254       7.564
20150822  -10000.000       7.526       6.866       7.114
20150823  -10000.000       6.083       7.042       7.327
20150824  -10000.000       7.010       6.147       6.152
20150825  -10000.000       7.977       6.983       7.189
20150826  -10000.000      10.876       8.868       8.824
20150827  -10000.000      10.579      14.374      12.913
20150828  -10000.000      12.818      10.007       9.236
20150829  -10000.000       9.074      11.112       9.503
20150830  -10000.000      11.064      10.886      10.122
20150831  -10000.000       5.452      10.166       8.632
20150901  -10000.000       3.778       5.783       5.542
20150902  -10000.000       6.539       7.709       7.624
20150903  -10000.000       4.471       7.245       6.701
20150904  -10000.000       2.746       3.719       3.864
20150905  -10000.000       4.273       2.455       2.585
20150906  -10000.000       2.231       3.114       2.927
20150907  -10000.000       1.712       2.276       2.452
20150908  -10000.000       1.683       2.307       2.322
20150909  -10000.000       2.321       2.374       2.346
20150910  -10000.000       2.683       2.696       2.546
20150911  -10000.000       2.681       2.479       2.266
20150912  -10000.000       3.056       2.432       2.247
20150913  -10000.000       4.683       3.272       3.425
20150914  -10000.000       4.184      15.154      11.757
20150915  -10000.000       4.103       7.041       6.806
20150916  -10000.000       7.418       5.696       5.765
20150917  -10000.000       2.924       6.959       5.897
20150918  -10000.000       4.515       3.615       3.699
20150919  -10000.000       2.846       3.506       3.223
20150920  -10000.000       1.620       2.381       2.373
20150921  -10000.000       0.988       1.295       1.363
20150922  -10000.000       0.965       1.072       1.094
20150923  -10000.000       2.180       1.792       1.807
20150924  -10000.000       1.665       1.599       1.485
20150925  -10000.000       8.566       1.598       1.722
20150926  -10000.000       4.478       5.794       4.214
20150927  -10000.000       1.574       4.125       3.747
20150928  -10000.000       1.412       2.183       2.284
20150929  -10000.000       1.645       1.737       1.611
20150930  -10000.000       1.788       1.992       1.849
20151001  -10000.000       1.420       1.786       1.796
20151002  -10000.000       1.056       1.451       1.449
20151003  -10000.000       1.032       0.995       1.026
20151004  -10000.000       0.888       0.919       0.911
20151005  -10000.000       0.835       0.823       0.823
20151006  -10000.000       0.808       0.780       0.778
20151007  -10000.000       0.906       0.803       0.803
20151008  -10000.000       0.951       1.101       1.118
20151009  -10000.000       0.898       0.925       0.920
20151010  -10000.000       0.734       0.782       0.771
20151011  -10000.000       0.688       0.730       0.731
20151012  -10000.000       0.666       0.687       0.686
20151013  -10000.000       0.621       0.661       0.658
20151014  -10000.000       0.582       0.620       0.624
20151015  -10000.000       0.545       0.581       0.585
20151016  -10000.000       0.511       0.550       0.551
20151017  -10000.000       0.479       0.517       0.518
20151018  -10000.000       0.449       0.483       0.483
20151019  -10000.000       0.421       0.451       0.450
20151020  -10000.000       0.396       0.422       0.422
20151021  -10000.000       0.451       0.427       0.429
20151022  -10000.000       0.981       0.680       0.683
20151023  -10000.000      11.704       1.831       2.019
20151024  -10000.000       2.069       7.373       4.467
20151025  -10000.000       3.802       2.211       2.222
20151026  -10000.000       1.770       3.092       2.263
20151027  -10000.000       1.153       1.498       1.201
20151028  -10000.000       0.995       1.086       1.135
20151029  -10000.000       0.930       0.994       0.994
20151030  -10000.000       0.870       0.954       0.964
20151031  -10000.000       1.348       1.039       1.056
20151101  -10000.000       3.294       1.436       1.198
20151102  -10000.000       2.175   -9999.000   -9999.000
20151103  -10000.000       1.775       2.022       2.340
20151104  -10000.000       1.183       1.468       1.460
20151105  -10000.000       0.998       1.272       1.372
20151106  -10000.000       1.067       1.014       1.003
20151107  -10000.000       1.183       1.913       2.070
20151108  -10000.000       4.139       1.152       1.019
20151109  -10000.000       3.912       1.617       1.462
20151110  -10000.000       5.169       4.120       4.064
20151111  -10000.000       4.672       4.630       3.696
20151112  -10000.000       4.002       3.957       2.939
20151113  -10000.000       4.288       3.495       2.362
20151114  -10000.000       1.773       3.089       2.266
20151115  -10000.000       4.079       1.820       1.834
20151116  -10000.000       1.288       2.501       1.657
20151117  -10000.000       1.480       1.569       2.130
20151118  -10000.000       2.636       1.696       1.794
20151119  -10000.000       1.111       1.981       1.372
20151120  -10000.000       0.824       0.853       0.859
20151121  -10000.000       0.800       0.745       0.743
20151122  -10000.000       0.648       0.696       0.695
20151123  -10000.000       0.604       0.648       0.648
20151124  -10000.000       0.759       0.739       0.739
20151125  -10000.000       0.622       0.683       0.681
20151126  -10000.000       0.522       0.599       0.595
20151127  -10000.000       0.813       1.236       1.224
20151128  -10000.000       1.781       0.995       0.990
20151129  -10000.000       1.425       1.554       1.125
20151130  -10000.000       1.308       1.179       1.167
20151201  -10000.000       0.989       1.042       1.032
20151202  -10000.000       0.939       0.696       0.775
20151203  -10000.000       2.164       0.760       0.754
20151204  -10000.000       1.141       0.899       0.890
20151205  -10000.000       3.827       2.160       2.513
20151206  -10000.000      20.811       3.872       2.729
20151207  -10000.000       4.669      12.019       7.139
20151208  -10000.000       1.289       3.834       3.868
20151209  -10000.000       6.715       1.691       2.298
20151210  -10000.000       5.796       5.075       3.502
20151211  -10000.000       2.567       4.774       3.126
20151212  -10000.000       0.992       2.080       1.582
20151213  -10000.000       0.710       0.839       0.837
20151214  -10000.000       0.760       0.706       0.706
20151215  -10000.000       0.636       0.655       0.654
20151216  -10000.000       0.567       0.612       0.611
20151217  -10000.000       0.756       0.756       0.723
20151218  -10000.000       1.601       1.421       1.413
20151219  -10000.000       3.613       3.961       3.229
20151220  -10000.000      16.670       6.491       4.903
20151221  -10000.000      22.700   -9999.000   -9999.000
20151222  -10000.000       6.672   -9999.000   -9999.000
20151223  -10000.000       4.747       6.095       5.566
20151224  -10000.000       3.376       4.425       3.296
20151225  -10000.000       6.010       3.136       2.315
20151226  -10000.000       1.412       4.781       2.951
20151227  -10000.000       1.002       1.403       1.409
20151228  -10000.000       0.966       0.906       0.903
20151229  -10000.000       0.733       0.789       0.787
20151230  -10000.000       0.759       0.862       0.862
20151231  -10000.000       1.737       1.161       1.160
20160101  -10000.000       0.946       1.533       1.199
20160102  -10000.000       0.935       0.935       0.847
20160103  -10000.000       0.685       0.697       0.694
20160104  -10000.000       0.602       0.641       0.640
20160105  -10000.000       0.577       0.593       0.593
20160106  -10000.000       0.549       0.556       0.556
