date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.850       1.034       1.257       1.804
20150802       1.687       0.801       1.032       1.531
20150803       8.082       0.760       1.044       1.785
20150804       1.555       0.638       0.784       6.748
20150805       1.454       0.573       0.633       1.375
20150806       1.391       0.512       0.576       1.273
20150807       1.343       0.480       0.582       1.388
20150808       1.306       0.625       0.631       1.572
20150809       1.296       0.541       0.547       1.184
20150810       1.258       0.402       0.541       1.085
20150811       1.204       0.386       0.440       1.088
20150812       1.593       0.602       0.563       1.440
20150813       2.011       1.562       1.152       3.030
20150814       2.757       1.253       1.284       2.125
20150815       2.509       0.804       1.094       2.107
20150816       1.779       0.612       0.791       2.001
20150817       1.484       0.506       0.614       1.385
20150818       1.285       0.435       0.507       1.231
20150819       1.166       0.389       0.436       1.135
20150820       1.069       0.355       0.389       1.070
20150821       0.980       0.325       0.355       1.007
20150822       0.915       0.296       0.325       0.928
20150823       0.857       0.276       0.296       0.840
20150824       0.808       0.258       0.276       0.808
20150825       0.940       0.241       0.258       0.770
20150826       0.808       0.225       0.241       1.103
20150827       0.801       0.210       0.225       0.796
20150828       0.894       0.196       0.210       0.694
20150829       0.953       0.279       0.199       0.786
20150830       1.700       0.765       0.825       2.529
20150831       2.461       1.585       1.413       3.471
20150901       2.379       1.022       1.360       2.495
20150902       1.707       1.195       0.951       1.754
20150903       1.277       0.920       0.635       1.270
20150904       1.034       0.735       0.482       0.994
20150905       0.982       0.642       0.832       0.955
20150906       1.098       0.919       0.887       1.108
20150907       1.052       0.592       0.902       1.044
20150908       1.010       0.489       0.661       0.803
20150909       0.934       0.443       0.519       0.850
20150910       0.888       0.385       0.451       0.778
20150911       0.820       0.340       0.358       0.798
20150912       0.762       0.306       0.340       0.752
20150913       0.708       0.288       0.306       0.692
20150914       0.677       0.269       0.286       0.684
20150915       0.650       0.251       0.268       0.642
20150916       0.621       0.235       0.251       0.615
20150917       0.590       0.222       0.235       0.606
20150918       0.587       0.212       0.228       0.540
20150919       0.860       0.534       0.402       1.018
20150920       1.258       1.448       1.023       1.787
20150921       1.088       0.636       1.062       1.211
20150922       0.924       0.462       0.640       0.804
20150923       0.811       0.377       0.476       0.688
20150924       0.802       0.510       0.471       0.819
20150925       0.764       0.337       0.415       0.684
20150926       2.036       1.197       0.975       1.812
20150927       3.023       1.497       1.104       2.409
20150928       2.098       0.976       1.263       2.734
20150929       2.080       1.040       1.014       1.902
20150930       4.349       3.473       1.818       3.093
20151001       9.098       5.900       3.789       5.610
20151002       8.916       4.472       4.556       9.057
20151003       7.197       3.862       3.960       6.474
20151004       6.670       4.271       3.637       6.095
20151005       5.258       3.308       3.448       5.465
20151006       3.445       2.480       2.968       4.790
20151007       2.506       1.969       2.478       3.035
20151008       1.957       1.671       2.103       2.119
20151009       1.624       1.401       1.689       1.686
20151010       1.413       1.153       1.400       1.374
20151011       1.396       1.082       1.221       1.269
20151012       3.169       3.144       1.657       1.833
20151013       5.252       3.630       2.966       3.495
20151014       5.837       3.244       3.680       5.444
20151015       9.344       6.970       3.722       5.300
20151016      11.227      10.163       6.694       9.418
20151017      12.401       6.270       7.319      10.082
20151018      10.785       5.209       6.177       8.439
20151019       6.740       4.038       5.613       7.045
20151020       4.265       3.200       4.160       4.644
20151021       3.544       3.117       3.441       3.936
20151022       3.171       2.468       3.074       3.191
20151023       2.883       2.686       2.474       2.723
20151024       2.595       2.090       2.480       2.558
20151025       3.199       2.200       2.336       2.559
20151026       4.230       3.307       2.021       2.788
20151027       3.292       2.237       2.804       4.238
20151028       2.424       1.741       2.178       2.772
20151029       1.937       1.541       1.763       2.053
20151030       1.624       1.268       1.533       1.776
20151031       1.588       1.158       1.433       1.579
20151101       4.803       2.485       2.019       2.216
20151102       6.970       3.191   -9999.000   -9999.000
20151103       8.972       4.977       4.947       7.649
20151104      10.196       8.791       4.796       8.258
20151105       7.186       6.639       5.305       8.715
20151106       4.685       4.117       4.396       5.354
20151107       3.297       3.342       3.987       4.331
20151108       2.790       3.046       3.470       3.253
20151109       2.486       3.035       2.970       2.622
20151110       2.130       2.290       2.835       2.409
20151111       1.831       2.014       2.413       2.099
20151112       1.617       1.744       2.039       1.654
20151113       1.436       1.534       1.691       1.442
20151114       1.349       1.667       1.520       1.339
20151115       1.254       1.299       1.507       1.268
20151116       1.106       1.065       1.215       1.047
20151117       0.991       0.878       1.012       0.910
20151118       0.911       0.915       0.875       0.850
20151119       0.850       0.756       0.891       0.837
20151120       0.823       0.655       0.758       0.750
20151121       0.761       0.558       0.696       0.740
20151122       0.688       0.500       0.549       0.645
20151123       0.662       0.466       0.526       0.672
20151124       0.660       0.455       0.528       0.621
20151125       0.654       0.724       0.453       0.645
20151126       0.742       1.310       0.773       1.000
20151127       1.187       2.846       1.489       1.397
20151128       1.436       2.181       1.748       1.203
20151129       1.243       1.605       1.803       1.256
20151130       1.061       1.359       1.504       1.065
20151201       0.913       1.043       1.304       0.983
20151202       0.843       0.965       1.058       0.770
20151203       0.883       1.338       1.008       0.871
20151204       0.951       5.584       1.137       1.028
20151205       0.886       2.861       2.268       1.228
20151206       1.050       3.570       2.940       0.927
20151207       1.077       3.146       2.993       1.081
20151208       1.037       3.019       3.251       1.128
20151209       1.110       2.532       2.719       1.088
20151210       1.391       3.620       2.546       0.976
20151211       1.253       2.420       2.711       1.361
20151212       1.098       1.963       2.546       1.108
20151213       0.954       1.664       2.004       0.935
20151214       0.922       1.497       1.740       0.925
20151215       0.934       1.463       1.469       0.869
20151216       0.894       1.229       1.316       0.827
20151217       0.821       0.857       1.126       0.750
20151218       0.842       0.831       1.097       0.981
20151219       1.108       0.899       0.903       0.829
20151220       2.441       1.964       1.507       1.574
20151221       8.658       6.938   -9999.000   -9999.000
20151222       6.987       3.906   -9999.000   -9999.000
20151223       4.218       2.960       3.674       5.840
20151224       3.082       2.962       3.441       4.301
20151225       3.013       3.238       2.899       2.931
20151226       2.936       2.705       3.088       2.972
20151227       2.412       2.176       2.623       2.547
20151228       1.984       1.892       2.247       2.093
20151229       1.630       1.430       1.807       1.672
20151230       1.413       1.347       1.430       1.341
20151231       1.261       1.599       1.280       1.308
20160101       1.133       1.771       1.419       1.324
20160102       1.034       1.576       1.678       1.183
20160103       0.925       1.273       1.529       0.948
20160104       0.825       1.063       1.274       0.836
20160105       0.754       0.883       1.063       0.738
20160106       0.714       0.741       0.883       0.635
20160107  -10000.000       0.609       0.741       0.626
20160108  -10000.000       0.524       0.628       0.638
20160109       0.596       0.469       0.535       0.535
20160110       0.564       0.440       0.469       0.469
20160111       0.543       0.413       0.441       0.440
20160112       0.520       0.446       0.423       0.520
20160113       0.509       0.382       0.418       0.460
20160114       0.456       0.354       0.376       0.464
20160115       0.437       0.331       0.378       0.373
20160116       0.426       0.308       0.335       0.420
20160117       0.427       0.293       0.343       0.440
20160118       0.422       0.334       0.337       0.452
20160119       0.410       0.272       0.304       0.368
20160120       0.394       0.266       0.353       0.449
20160121       0.409       0.235       0.281       0.385
20160122       0.426       0.458       0.340       0.527
20160123       0.425       0.311       0.420       0.424
20160124       0.418       0.236       0.286       0.372
20160125       0.415       0.326       0.316       0.440
20160126       0.456       0.429       0.356       0.434
20160127       0.513       0.610       0.468       0.492
20160128       0.538       0.468       0.521       0.474
20160129       0.537       0.448       0.418       0.448
20160130       0.531       0.376       0.398       0.437
20160131       0.568       0.568       0.570       0.684
20160201       0.545       0.311       0.551       0.496
20160202       0.518       0.234       0.309       0.404
20160203       0.496       0.272       0.223       0.376
20160204       0.486       0.329       0.278       0.476
20160205       0.466       0.197       0.287       0.394
20160206       0.449       0.153       0.196       0.355
20160207       0.437       0.217       0.208       0.478
20160208       0.439       0.263       0.215       0.352
20160209       0.437       0.256       0.278       0.472
20160210       0.437       0.386       0.241       0.408
20160211       0.437       0.277       0.258       0.401
