date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.960       2.566       2.961       0.966
20150802       0.964       6.584       3.391       1.290
20150803       0.933       3.264       5.119       1.358
20150804       0.919       2.832       4.106       1.010
20150805       1.131       7.405       4.591       1.304
20150806       1.281       5.569       5.768       1.565
20150807       1.459       4.505       5.298       1.456
20150808       1.637       3.898       4.497       1.408
20150809       1.774       3.375       3.897       1.536
20150810       1.844       2.416       3.376       1.728
20150811       1.924       2.647       3.050       1.808
20150812       1.850       2.475       2.980       1.873
20150813       1.675       2.004       2.374       1.731
20150814       1.525       1.732       2.004       1.497
20150815       2.257       5.774       3.087       2.471
20150816       4.661      22.056       5.067       2.924
20150817       6.637      12.015      11.923       7.617
20150818       8.321       8.598      10.188       5.771
20150819       7.465       7.436       8.229       7.139
20150820       6.098       6.442       7.449       6.726
20150821       4.948       5.581       6.453       5.603
20150822       4.075       4.834       5.580       4.527
20150823       3.370       4.185       4.833       3.705
20150824       2.841       2.223       4.186       3.028
20150825       2.494       2.184       4.061       2.864
20150826       2.961       5.262       3.613       2.565
20150827       6.672      17.572       6.927       5.407
20150828       9.746      10.969      10.743       9.023
20150829      12.237       8.820       9.732       8.537
20150830      11.628       7.541       8.519       9.634
20150831       9.658       6.242       7.489       9.814
20150901       7.770       5.408       6.524       8.142
20150902       9.413      16.288       7.691       8.613
20150903      21.733      40.420      16.718      13.716
20150904      30.177      41.738      30.274      26.103
20150905      22.494      16.417      32.112      26.955
20150906      15.521      10.584      16.398      14.380
20150907      11.188       8.927      10.583      10.601
20150908       8.285       7.751       9.190       9.728
20150909       6.326       6.724       7.982       7.421
20150910       5.050       5.840       6.734       5.815
20150911       4.170       5.073       5.847       4.553
20150912       3.503       4.419       5.073       3.928
20150913       3.452       4.886       4.667       3.529
20150914       4.774      24.069       6.253       4.264
20150915      20.126      53.081      27.195      17.695
20150916      30.840      33.812      38.638      28.216
20150917      27.107      28.449      39.500      34.669
20150918      21.397      21.325      26.738      23.991
20150919      15.944      10.977      18.449      16.532
20150920      11.680       9.548      10.976      10.180
20150921       8.731       7.616       9.548      10.454
20150922       8.929       8.674       8.736       8.454
20150923       9.949      14.832       9.409       8.431
20150924      10.019       9.996      10.813      10.529
20150925      12.722      18.238      13.173      12.198
20150926      14.306      13.911      14.561      12.514
20150927      12.514       9.581      11.556      11.315
20150928       9.802       8.570       9.580      10.710
20150929       7.628       7.450       8.324       8.863
20150930       6.083       4.906       7.234       6.807
20151001       4.986       4.267       6.479       5.573
20151002       4.186       3.711       5.636       4.607
20151003       3.562       3.228       3.711       3.665
20151004       3.087       3.737       3.228       3.127
20151005       2.696       3.254       2.808       2.772
20151006       2.376       2.838       2.443       2.410
20151007       2.184       2.717       2.867       2.226
20151008       2.098       3.820       3.044       2.196
20151009       2.066       4.079       3.820       2.661
20151010       2.004       3.625       3.639       2.160
20151011       1.857       3.030       3.395       1.984
20151012       1.761       1.623       3.033       1.708
20151013       1.693       1.705       2.723       1.620
20151014       1.608       1.412       2.504       1.630
20151015       1.535       1.225       1.411       1.414
20151016       1.473       1.063       1.225       1.344
20151017       1.410       0.922       1.062       1.285
20151018       1.349       0.799       0.922       1.204
20151019       1.291       0.619       0.799       1.180
20151020       1.238       0.683       0.690       1.108
20151021       1.236       0.635       0.596       1.055
20151022       1.416       3.619       0.719       1.285
20151023       1.547       3.376       2.887       2.073
20151024       1.517       2.479       2.865       1.682
20151025       2.447       6.518       3.165       1.840
20151026       2.702       3.629       4.830       2.938
20151027       2.775       3.114       3.997       2.526
20151028       2.985       2.688       3.739       2.421
20151029       3.022       2.325       2.693       2.590
20151030       2.925       2.050       2.332       2.647
20151031       2.819       2.349       2.038       2.445
20151101       2.656       1.875       2.099       2.705
20151102       2.480       1.620   -9999.000   -9999.000
20151103       2.340       1.424       1.621       2.138
20151104       2.211       1.171       1.416       2.025
20151105       2.089       1.010       1.235       1.950
20151106       2.201       1.882       1.209       1.938
20151107       4.411       3.151       2.540       3.257
20151108       8.954      12.704       3.641       4.944
20151109      21.262      23.479       7.353      12.582
20151110      26.840      26.550      18.351      20.012
20151111      21.611      11.653      20.529      21.455
20151112      16.021      10.425      14.189      15.721
20151113      16.693      19.793      11.136      13.762
20151114      21.446      20.404      20.467      19.868
20151115      21.872      17.180      18.000      18.072
20151116      19.548      14.206      15.825      16.649
20151117      18.927      24.906      14.629      16.123
20151118      17.206      18.352      19.360      17.544
20151119      22.287      38.757      18.131      16.151
20151120      23.076      15.940      27.022      22.238
20151121      16.766      10.545      15.059      14.617
20151122      11.925       9.174      10.544      11.364
20151123       8.864       7.895       9.175      10.309
20151124       7.965       7.834       8.640       8.407
20151125       7.123       9.912       7.958       7.667
20151126       6.177       8.093       8.780       7.654
20151127       7.410      13.182       8.457       6.174
20151128      10.065      19.062      12.001       8.782
20151129      14.448      30.380      16.467      14.703
20151130      17.023      20.387      24.941      18.490
20151201      15.435      15.737      19.905      15.817
20151202      12.914      11.774      15.550      13.171
20151203      13.999      15.862      12.296      10.457
20151204      30.365      37.780      22.762      21.620
20151205      74.816      50.183      28.592      29.019
20151206     126.604      80.943      65.947      63.707
20151207      72.335      40.626      73.166      69.030
20151208      36.590      23.052      40.331      42.681
20151209      27.345      26.302      27.098      26.577
20151210      23.539      27.638      26.168      25.841
20151211      21.968      19.503      23.530      21.314
20151212      17.966      11.902      16.725      15.970
20151213      13.527      10.166      11.639      12.293
20151214      10.270       8.905      10.169      11.734
20151215       8.080       8.234       9.089       9.354
20151216       6.627       7.883       8.280       7.912
20151217       5.890       8.329       8.003       6.587
20151218       5.970      10.015       8.229       6.483
20151219       7.029       8.996       9.087       6.424
