date          Qobs       Qsimobs        Qsim       Qusi
20150801       4.501       3.525       4.543       2.466
20150802       4.936      12.363       7.392       7.639
20150803       5.440       5.104       8.737       4.355
20150804       6.557       4.841       6.135       4.851
20150805       7.375      16.767       8.779       9.709
20150806       8.730       7.835      10.029       6.666
20150807       9.372       5.792       7.388       6.790
20150808       8.117       4.714       5.647       7.188
20150809       6.370       4.094       4.714       6.835
20150810       5.022       3.577       4.095       5.484
20150811       4.271       3.095       3.596       4.587
20150812       3.994       3.027       3.644       3.753
20150813       3.515       2.430       3.162       3.444
20150814       3.036       2.100       2.424       3.168
20150815       2.882       4.368       2.937       3.695
20150816       9.122      41.978       6.193       5.125
20150817      26.020      23.480      26.488       9.998
20150818      24.929      10.498      18.526      16.580
20150819      15.714       7.443      10.496      16.509
20150820       9.915       5.973       7.444      11.759
20150821       6.886       5.193       5.973       8.151
20150822       5.151       4.511       5.193       6.232
20150823       4.042       3.916       4.511       4.636
20150824       3.362       3.455       3.920       3.782
20150825       3.741       9.582       6.195       5.706
20150826      10.129      29.699      14.636       8.564
20150827      33.267      42.167      28.665      18.061
20150828      40.484      28.303      35.296      31.200
20150829      30.196      16.132      23.909      25.785
20150830      18.106      12.005      15.319      19.011
20150831      11.628       7.366      10.383      11.820
20150901       8.781       6.082       7.646       8.440
20150902      14.640      32.223      22.530      22.713
20150903      36.670      43.575      34.378      20.611
20150904      41.927      32.351      34.336      30.431
20150905      28.398      16.114      26.769      27.683
20150906      17.188       9.830      15.802      18.849
20150907      10.944       7.123       9.823      11.529
20150908       7.634       6.025       7.008       7.913
20150909       5.714       5.237       5.970       6.728
20150910       4.528       4.554       5.244       5.073
20150911       3.692       3.956       4.558       4.136
20150912       3.207       4.184       3.956       3.577
20150913       3.617       6.858       5.185       4.008
20150914      19.072      38.376      15.049       8.434
20150915      55.812      71.097      43.000      32.146
20150916      56.061      52.061      59.023      55.277
20150917      45.821      44.678      61.294      58.355
20150918      42.416      42.729      44.436      39.172
20150919      29.228      20.354      35.309      32.055
20150920      17.000      12.731      20.353      19.928
20150921      10.655       8.030      12.731      11.325
20150922       8.803      12.718      10.085       9.521
20150923      11.660      24.992      16.292      12.059
20150924      13.320      10.168      18.182      11.095
20150925      14.655      19.985      15.342      13.634
20150926      16.355      12.913      16.180      12.366
20150927      13.662       7.219      11.088      11.306
20150928      10.014       6.114       7.217       9.672
20150929       7.461       5.324       6.113       8.738
20150930       5.801       3.765       5.323       6.612
20151001       4.702       3.270       4.632       5.469
20151002       3.931       2.837       4.029       4.275
20151003       3.346       2.463       2.837       3.553
20151004       2.888       2.640       2.462       2.885
20151005       2.521       2.292       2.133       2.553
20151006       2.205       2.177       1.859       2.237
20151007       2.008       2.147       2.276       1.893
20151008       1.911       3.142       2.937       2.922
20151009       2.352       8.083       5.581       4.342
