date          Qobs       Qsimobs        Qsim       Qusi
20150801      21.970      17.816      21.947      22.840
20150802      18.824      18.145      20.370      21.584
20150803      18.509      17.139      19.550      18.291
20150804      20.621      18.502      18.555      18.533
20150805      40.479      28.935      21.136      21.687
20150806      34.865      21.808      25.739      40.185
20150807      40.096      29.385      22.276      31.766
20150808      35.670      28.212      27.957      38.434
20150809      25.313      21.618      26.124      33.418
20150810      28.393      19.391      22.163      22.711
20150811      39.951      21.946      20.227      24.916
20150812      42.106      27.436      20.807      32.688
20150813      26.327      15.758      23.620      37.621
20150814      20.331      14.106      17.457      22.388
20150815      25.201      16.834      15.565      16.675
20150816      47.158      26.059      18.149      25.815
20150817      44.758      19.621      22.237      29.831
20150818      32.299      16.984      19.374      38.108
20150819      26.327      15.978      17.101      28.216
20150820      25.279      15.214      15.814      24.530
20150821      25.593      14.426      14.954      23.118
20150822      26.952      13.765      14.277      23.683
20150823      23.451      11.426      13.659      24.517
20150824      19.890      10.406      11.470      19.867
20150825      24.429       9.173      10.267      16.261
20150826      35.505      17.989      13.671      25.080
20150827      34.231      16.367      18.474      37.640
20150828      29.772      20.987      18.359      36.463
20150829      32.321      25.134      19.054      26.191
20150830      46.172      37.090      22.730      26.307
20150831      38.417      33.271      31.907      41.953
20150901      21.959      15.490      27.531      31.203
20150902      15.795      14.219      16.164      14.582
20150903      14.443       9.991      13.868      12.614
20150904      11.978       7.725       9.519      10.920
20150905      11.074      11.136       8.959      10.721
20150906       9.640       5.946       9.052      11.274
20150907       7.649       4.709       5.967       7.204
20150908       7.046       4.146       4.839       6.051
20150909       6.970       3.911       4.386       6.304
20150910       6.617       3.809       4.192       6.903
20150911       6.029       3.638       3.840       6.111
20150912       6.128       3.819       3.637       5.843
20150913       9.566       3.505       3.803       5.868
20150914      22.260      12.958       5.045       7.550
20150915      20.638       5.942      10.351      20.927
20150916      25.024      17.797      11.613      26.735
20150917      15.890       7.382      13.009      21.443
20150918      10.648       5.783       8.051      12.339
20150919       8.922       4.907       5.978       8.350
20150920       8.230       5.901       5.031       6.798
20150921       6.705       3.338       4.889       6.820
20150922       5.252       2.833       3.437       5.006
20150923       4.801       3.436       3.164       4.897
20150924       5.862       3.001       3.134       3.976
20150925      12.306      10.877       5.279       8.465
20150926      16.675      18.376       9.749      10.615
20150927      12.286       8.824      13.333      14.643
20150928       7.959       5.884       8.742       9.415
20150929       5.712       4.312       5.965       5.801
20150930       4.816       2.701       4.380       4.117
20151001       5.219       2.906       3.445       3.674
20151002       6.419       3.069       3.243       4.122
20151003       7.745       3.997       3.221       5.710
20151004       6.886       3.736       2.930       5.728
20151005       5.928       2.942       2.839       5.694
20151006       4.677       2.573       2.582       5.296
20151007       3.726       2.318       2.549       4.411
20151008       3.071       2.151       2.269       3.167
20151009       2.807       3.134       2.257       3.048
20151010       2.631       2.103       2.280       2.224
20151011       2.406       1.951       2.109       2.463
20151012       2.237       1.890       1.947       2.196
20151013       2.050       1.721       1.846       1.978
20151014       1.843       1.705       1.713       1.877
20151015       1.657       1.589       1.616       1.734
20151016       1.503       1.496       1.589       1.615
20151017       1.359       1.427       1.490       1.390
20151018       1.239       1.312       1.440       1.293
20151019       1.140       1.131       1.315       1.196
20151020       1.090       1.043       1.232       1.030
20151021       2.501       3.010       1.955       1.640
20151022      14.734      17.436       7.155       5.840
20151023      30.617      51.488      18.230      17.114
20151024      17.466      15.047      34.561      30.277
20151025      24.637      42.438      17.283      14.096
20151026      19.154      23.630      32.969      25.518
20151027      14.911      18.291      21.712      14.009
20151028       9.779      11.381      16.623      11.406
20151029       6.621       7.704      11.272       7.168
20151030       5.190       6.338       8.806       6.015
20151031      14.877       9.916      10.283       6.871
20151101      28.922      22.046      10.833      14.404
20151102      19.024      12.120   -9999.000   -9999.000
20151103      12.255       7.510      11.261      15.354
20151104       9.169       5.650       7.502       8.533
20151105       7.438       3.961       5.539       6.525
20151106       5.893       2.985       3.943       5.729
20151107      14.371       9.447       6.300       9.793
20151108      13.658      10.706       7.274       6.974
20151109      17.606      27.093       8.939      19.133
20151110      25.276      45.829      24.015      21.603
20151111      21.501      32.633      36.390      24.707
20151112      20.045      30.139      30.625      19.481
20151113      15.996      28.332      26.780      17.060
20151114      12.638      19.286      24.141      13.409
20151115      14.511      30.500      20.469      11.604
20151116      11.661      16.173      23.543       9.771
20151117      10.767      18.387      18.584      14.188
20151118       9.082      21.722      19.223      12.425
20151119       7.353      11.479      16.091       7.434
20151120       5.332       6.727      10.481       5.409
20151121       3.988       4.931       6.733       3.700
20151122       3.119       3.761       4.930       3.282
20151123       2.753       2.964       3.759       2.647
20151124       2.951       3.041       3.719       2.912
20151125       3.056       3.431       2.909       2.117
20151126       2.949       2.825       4.025       3.393
20151127      17.520      11.763       6.045       7.476
20151128      35.235      28.983      10.116       8.730
20151129      21.260      11.376      20.509      37.104
20151130      12.759      10.189      10.789      13.841
20151201       8.804      11.393       7.938       9.804
20151202       7.458       8.598      10.110       9.680
20151203      10.966      16.183       7.886       6.576
20151204       9.652      10.543      13.159      10.650
20151205      16.520      20.064      13.102      12.130
20151206      25.497      54.784      16.134      12.870
20151207      16.875      40.612      37.755      27.018
20151208      11.570      18.540      37.009      15.523
20151209      22.272      44.505      22.215      10.555
20151210      28.457      56.383      31.293      20.352
20151211      20.036      41.953      43.735      25.794
20151212      12.196      20.636      31.520      15.588
20151213       8.546      11.556      19.061       8.284
20151214       6.547       7.478      11.483       6.268
20151215       5.131       5.515       7.376       4.454
20151216       4.109       3.651       5.448       4.262
20151217       5.093       3.587       9.106       7.792
20151218      18.688      12.288       9.726      10.072
20151219      39.247      16.114      17.111      22.032
20151220      85.475      65.639      27.089      62.148
20151221      84.009     109.496   -9999.000   -9999.000
20151222      41.306      63.013   -9999.000   -9999.000
20151223      22.766      47.892      57.143      34.723
20151224      17.588      48.848      44.454      19.979
20151225      22.189      65.411      41.184      12.349
20151226      13.304      30.338      50.069      18.486
20151227       8.695      15.288      28.123       9.239
20151228       6.536      10.134      15.397       6.212
20151229       5.270       7.694      10.041       5.059
20151230       4.430      11.679       8.268       5.472
20151231       6.621      34.503      11.036       7.338
20160101       6.959      27.816      25.479       7.728
20160102       5.571      13.716      23.463       6.253
20160103       4.339       8.923      12.820       3.756
20160104       3.460       6.186       8.923       3.626
20160105       2.818       4.381       6.187       2.628
20160106       2.435       3.058       4.381       2.119
20160107       2.191       2.668       3.057       1.934
20160108       1.959       2.483       2.672       1.893
20160109       1.765       2.310       2.485       1.952
20160110       1.730       2.150       2.309       1.649
20160111       1.810       2.228       2.305       1.793
20160112       1.721       1.883       2.018       1.616
20160113       1.669       1.765       1.958       1.679
20160114       1.659       1.999       2.130       1.982
20160115       1.648       1.562       1.652       1.365
20160116       1.642       2.490       2.488       2.479
20160117       1.461       1.326       1.423       0.965
20160118       1.440       1.343       1.448       1.157
20160119       1.377       1.608       1.544       1.543
20160120       1.292       1.072       1.212       0.953
20160121       1.226       0.997       1.071       1.216
20160122       1.204       0.927       0.996       1.067
20160123       1.313       1.323       1.239       1.506
20160124       1.384       4.579       2.743       3.154
20160125       1.629       5.059       4.408       1.920
20160126       7.079      22.498       5.369       2.568
20160127       8.886      18.794      15.655       8.026
20160128       7.873       9.465      14.512       6.931
20160129       7.935      13.741       9.646       6.553
20160130       7.937      30.277      13.663       7.322
20160131       5.814      12.645      20.557       7.056
20160201       4.656       6.802      10.588       4.286
20160202       4.154      13.106       7.887       4.046
20160203       3.635       6.504       8.128       2.916
20160204       3.089       4.600       6.094       3.295
20160205       2.878       2.722       4.199       2.468
20160206       3.057       5.206       4.348       4.336
20160207       3.410       6.303       5.734       3.774
20160208       3.459       8.121       5.477       3.929
20160209       3.319       6.251       5.867       3.516
20160210       2.938       4.510       4.934       2.813
20160211       2.502       2.884       3.691       2.168
20160212       2.111       2.046       2.782       1.898
20160213       1.877       1.563       2.061       1.666
20160214       1.727       1.224       1.562       1.490
20160215       1.627       1.071       1.224       1.366
20160216       1.585       0.996       1.072       1.406
20160217       1.691       1.771       1.723       2.466
20160218       1.635       1.737       1.680       2.011
20160219       1.563       1.004       1.295       1.320
20160220       1.707       2.253       1.777       2.316
20160221       1.841       4.350       3.064       3.533
20160222       1.862       5.305       2.514       1.420
20160223       1.703       2.495       1.616       1.019
20160224       1.613       2.259       1.916       1.839
20160225       1.546       1.735       2.002       1.734
20160226       1.480       1.237       1.555       1.214
20160227       1.427       1.434       1.250       1.372
20160228       1.366       1.611       1.339       1.526
20160229       1.300       1.050       1.359       1.325
20160301       1.262       0.967       1.049       1.016
20160302       1.234       1.329       1.322       1.544
20160303       1.219       0.893       1.013       1.009
20160304       1.193       0.757       0.914       1.241
20160305       1.155       0.803       0.929       1.336
20160306       1.122       0.846       0.674       0.982
20160307       1.090       0.633       0.834       1.250
20160308       1.051       0.528       0.567       0.763
20160309       1.038       0.498       0.531       0.934
20160310       1.019       0.657       0.563       1.167
20160311       0.995       0.464       0.552       0.957
20160312       0.981       0.438       0.462       0.763
20160313       1.033       1.108       0.812       1.840
20160314       1.142       1.382       1.870       1.869
20160315       1.477       1.733       3.215       2.806
20160316       1.704       1.453       4.458       4.918
20160317       1.971       1.507       3.025       2.460
20160318       2.277       2.435       1.674       1.550
20160319       2.360       1.231       1.803       2.450
20160320       2.284       1.079       1.364       2.120
20160321       2.254       0.879       1.079       1.929
20160322       2.503       1.083       1.078       2.691
20160323   -9999.000   -9999.000       1.088       2.372
20160324       1.876       1.116   -9999.000   -9999.000
20160325       1.779       1.571   -9999.000   -9999.000
20160326       1.849       2.623   -9999.000   -9999.000
20160327       5.164      18.947       4.327       4.427
20160328       8.105      17.280      12.431       4.800
20160329       7.357      19.555      14.117       9.840
20160330       6.343       8.269      14.707       7.203
20160331       4.420       5.655       7.836       4.016
20160401       3.277       3.601       5.370       3.377
20160402       2.840       4.653       4.710       3.580
20160403       2.716       3.610       3.349       2.214
20160404       3.097       5.979       3.259       2.580
20160405       5.394      17.165       6.218       4.912
20160406       7.386      11.862      12.372       7.532
20160407       7.685       7.767      10.103       6.451
20160408       6.825       5.856       7.155       5.922
20160409       5.580       3.962       5.474       5.692
20160410       4.722       2.758       3.878       4.082
20160411       4.316       3.152       2.738       3.343
20160412       4.327       3.254       2.671       3.667
20160413       4.423       2.850       2.669       3.747
20160414       4.178       4.654       2.700       3.821
20160415       4.074       4.303       3.964       4.534
20160416       3.718       2.975       3.471       3.079
20160417       3.533       1.919       2.527       2.754
20160418       4.025       3.926       2.754       4.319
20160419       4.523       5.486       3.867       5.405
20160420       4.325       3.739       3.628       3.487
20160421       4.624       4.949       3.905       5.748
20160422       4.881       3.967       4.321       4.659
20160423       4.092       2.532       3.389       3.900
20160424       3.358       1.991       2.414       3.214
20160425       2.905       1.475       1.926       2.563
20160426       2.544       1.451       1.597       2.414
20160427       2.361       1.350       1.386       1.995
20160428       2.507       1.852       1.312       2.085
20160429       2.755       2.799       1.826       3.138
20160430       2.982       3.660       2.346       3.091
20160501       3.444       7.294       2.832       3.170
20160502       4.180       9.703       5.358       4.917
20160503       8.395      21.118      11.742       7.532
20160504       9.566      15.051      15.200       9.206
20160505       9.407      19.310      13.282       8.225
20160506       9.890      23.714      16.878      10.871
20160507      11.720      28.306      21.235      11.331
20160508      17.363      39.714      27.682      13.567
20160509      23.039      44.777      35.842      19.563
20160510      24.568      45.327      40.159      24.061
20160511      24.963      44.809      42.173      23.611
20160512      26.069      44.578      40.971      22.861
20160513      23.720      34.653      37.073      22.645
20160514      18.380      19.354      29.341      18.719
20160515      14.792      13.721      18.381      13.251
20160516      14.123      12.608      12.351      10.723
20160517      14.453      17.340      10.883      10.887
20160518      14.252      14.417      13.377      15.141
20160519      15.706      14.859      13.871      14.715
20160520      21.629      27.447      15.771      16.044
20160521      28.442      27.966      24.165      24.259
20160522      35.609      35.179      28.583      29.160
20160523      43.383      39.347      34.239      38.362
20160524      42.361      31.120      35.354      37.459
20160525      35.555      34.302      29.366      37.411
