date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.221       3.106      51.772      16.246
20150802       4.590       2.834       3.093       4.966
20150803       4.105       3.438       2.877       4.178
20150804       3.730       2.827       3.137       4.048
20150805       3.883       5.564       3.007       3.607
20150806       4.524       4.257       4.284       4.127
20150807       4.378       3.705       3.939       4.069
20150808       4.528       5.875       3.895       4.327
20150809       4.654       4.126       4.999       5.044
20150810       4.280       3.669       4.109       4.079
20150811       2.066       3.351       3.754       4.027
20150812       3.513       3.107       3.458       3.418
20150813       3.197       2.908       3.299       2.085
20150814       1.127       2.672       2.891       0.000
20150815       1.270       2.480       2.672       0.794
20150816       1.280       2.302       2.479       0.885
20150817       0.405       2.216       2.302       1.089
20150818       0.000       2.065       2.149       0.574
20150819       2.034       1.872       2.006       0.407
20150820       1.885       1.749       1.927       0.000
20150821       0.653       1.635       1.800       0.000
20150822       1.636       1.528       1.635       0.285
20150823       1.529       1.432       1.528       1.550
20150824       0.039       1.357       1.432       1.454
20150825       0.751       1.320       1.358       0.080
20150826       1.381       1.732       1.377       0.518
20150827  -10000.000       1.436       1.527       1.375
20150828       1.833       2.716       1.769       1.610
20150829       2.139       2.195       2.466   -9999.000
20150830       2.161       1.819       2.145       2.041
20150831       2.052       1.675       1.830       1.922
20150901  -10000.000       1.542       1.711       1.913
20150902       1.822       1.439       1.543       1.680
20150903       2.220       2.892       1.678   -9999.000
20150904       2.609       2.063       2.271       2.322
20150905       3.397       3.990       2.713       3.056
20150906       4.175       3.278       3.403       3.852
20150907       4.161       6.302       3.119       3.825
20150908       3.808       5.771       2.853       3.854
20150909       3.427       2.324       2.558       3.502
20150910       3.086       2.141       5.332       3.433
20150911       2.805       1.989       4.933       3.103
20150912       2.580       1.856       1.989       2.620
20150913       2.452       1.938       1.881       2.442
20150914       2.428       1.848       1.919       2.404
20150915       2.401       1.757       1.802       2.292
20150916       2.687       2.389       2.046       2.656
20150917       3.003       2.143       2.243       2.792
20150918       5.585       4.864       2.878       3.946
20150919       6.482       3.351       3.801       4.934
20150920       5.835       3.046       3.416       3.413
20150921       5.262       3.224       3.147       5.532
20150922       4.810       3.140       3.187       5.069
20150923       4.855       4.168       3.252       5.630
20150924       4.982       3.305       3.659       3.633
20150925       4.739       3.616       3.551       4.761
20150926       4.712       3.276       3.445       4.493
20150927       4.468       2.949       3.218       4.342
20150928       4.096       2.711       2.949       4.032
20150929       3.747       2.521       2.712       3.783
20150930       3.425       1.512       2.512       3.485
20151001       3.182       1.447       2.345       3.162
20151002       3.006       1.362       2.209       2.995
20151003       2.889       1.534       1.385       2.828
20151004       2.749       1.976       1.424       2.782
20151005       2.637       1.903       1.320       2.572
20151006       2.538       1.804       1.295       2.497
20151007       2.421       1.652       1.784       2.414
20151008       2.301       1.552       1.682       2.277
20151009       2.222       1.701       1.595       2.160
20151010       2.207       1.996       1.727       2.292
20151011       2.211       1.655       1.772       2.210
20151012       2.186       4.868       1.649       2.010
20151013       2.119       1.421       1.530       2.034
20151014       2.050       1.365       1.442       2.132
20151015       1.967       1.295       4.174       2.129
20151016       1.887       1.246       1.270       1.886
20151017       1.813       1.225       1.246       1.828
20151018       1.756       1.205       1.225       1.785
20151019       1.720       1.180       1.205       1.755
20151020       1.682       1.162       1.185       1.692
20151021       1.651       1.140       1.168       1.632
20151022       1.641       1.490       1.168       1.586
20151023       1.663       1.400       1.368       1.876
20151024       1.713       1.317       1.408       1.417
20151025       1.710       1.913       1.285       1.644
