date          Qobs       Qsimobs        Qsim       Qusi
20150801       7.655      11.538      13.760       7.199
20150802       6.657      12.983      11.571       6.715
20150803       5.842      10.702      14.122       7.807
20150804       5.195      11.229      12.960       6.836
20150805       4.798      13.770      18.322       9.148
20150806       4.728      11.020      13.618       5.702
20150807       8.475      32.933      14.440       6.010
20150808      12.373      18.910      23.434       8.285
20150809      12.078      18.394      18.862       9.410
20150810      11.454      15.364      17.392      10.681
20150811      13.845      19.728      15.362      10.266
20150812      20.817      24.374      17.394      12.477
20150813      18.232      13.438      21.669      18.997
20150814      13.288      11.000      15.146      15.103
20150815       9.651      10.766      11.856      11.291
20150816       8.505      24.025      13.468      11.700
20150817       9.420      12.623      18.192       9.195
20150818       8.512       9.559      12.227       7.000
20150819       6.917       8.460       9.995       6.917
20150820       5.507       7.966       8.762       6.017
20150821       4.436       6.515       7.806       4.740
20150822       3.612       7.001       6.852       4.332
20150823       2.978       5.739       6.672       3.740
20150824       2.491       5.401       5.895       2.551
20150825       2.081       5.537       5.200       2.426
20150826       1.939       5.674       6.549       2.737
20150827       2.205       7.689       7.682       2.652
20150828       3.933      21.438      13.949       3.833
20150829      13.617      45.778      18.137       4.575
20150830      24.240      46.032      37.792      18.962
20150831      32.696      59.585      32.229      18.676
20150901      23.767      13.605      37.557      23.636
20150902      15.524      10.635      18.790      11.289
20150903      10.600       8.281      12.574      12.306
20150904       7.773       6.507       8.187       8.807
20150905       8.809      18.604       8.976       8.387
20150906       9.990       8.605      13.902       9.617
20150907       8.283       6.396       8.479       7.389
20150908       6.577       5.017       6.547       6.688
20150909       5.298       4.037       5.260       5.264
20150910       4.342       3.311       4.148       4.390
20150911       3.565       2.843       3.209       3.476
20150912       2.940       2.341       2.718       3.115
20150913       2.475       2.344       2.370       2.615
20150914       2.146       7.009       4.249       4.308
20150915       1.888       3.402       5.504       2.757
20150916       2.119      12.371       5.127       2.670
20150917       2.360       5.149       8.541       2.514
20150918       2.401       3.940       5.164       2.186
20150919       2.317       3.747       5.136       2.874
20150920       2.329       4.287       3.758       2.026
20150921       2.365       3.114       3.828       2.061
20150922       2.257       2.126       3.203       1.960
20150923       2.044       1.540       2.532       2.152
20150924       1.947       2.218       2.068       1.965
20150925       4.263      12.703       7.200       6.212
