date          Qobs       Qsimobs        Qsim       Qusi
20150801      74.315      54.098      59.564      87.330
20150802      59.342      47.744      54.153      67.465
20150803      63.055      53.086      48.148      54.173
20150804      56.127      40.087      53.155      62.471
20150805      72.438      57.497      44.138      51.177
20150806      76.052      56.518      54.836      71.992
20150807      59.951      47.448      53.508      70.214
20150808      59.097      52.168      50.136      54.111
20150809      55.519      43.792      44.996      50.796
20150810      49.903      44.391      44.906      51.282
20150811      52.886      42.660      43.012      45.333
20150812      71.471      45.168      50.136      56.235
20150813      63.083      36.810      39.241      59.406
20150814      54.612      32.242      37.295      56.840
20150815      46.431      33.179      33.959      54.052
20150816      58.735      40.509      33.302      45.079
20150817      54.287      36.838      37.769      59.524
20150818      46.982      37.647      36.720      51.215
20150819      39.721      38.145      37.694      46.173
20150820      36.829      32.123      37.328      39.436
20150821      34.989      28.108      31.891      30.823
20150822      33.351      26.703      27.877      29.551
20150823      30.209      25.164      26.607      30.966
20150824      28.707      23.871      24.802      28.066
20150825      30.627      25.688      23.814      26.972
20150826      36.748      27.043      24.262      29.266
20150827      42.480      27.623      28.784      37.221
20150828      67.745      53.693      30.310      44.928
20150829     107.166      52.781      44.427      65.019
20150830      89.671      65.044      45.695      75.980
20150831      61.952      48.771      48.858      71.665
20150901      43.763      38.164      44.186      50.602
20150902      31.221      32.532      36.069      36.750
20150903      23.994      29.506      32.534      29.630
20150904      19.709      26.598      29.367      22.843
20150905      17.503      26.033      26.829      20.350
20150906      17.159      23.680      25.125      18.157
20150907      16.560      23.321      23.316      17.587
20150908      17.121      20.684      21.840      16.051
20150909      14.822      19.296      20.285      16.718
20150910      13.610      17.284      19.535      13.866
20150911      12.819      15.928      17.189      13.012
20150912      12.873      15.157      15.974      12.031
20150913      16.145      13.506      15.046      12.230
20150914      19.905      13.206      14.748      15.181
20150915      22.405      12.737      14.261      18.155
20150916      22.687      12.405      12.715      19.654
20150917      22.429      18.287      12.514      19.103
20150918      33.696      23.713      20.216      27.272
20150919      46.087      48.845      21.594      33.222
20150920      49.365      34.259      38.715      53.879
20150921      34.881      29.596      32.713      44.334
20150922      27.443      27.588      29.504      33.301
20150923      24.998      27.927      27.074      25.257
20150924      22.990      26.807      26.308      24.572
20150925      24.947      24.440      25.163      21.620
20150926      36.701      33.026      25.997      23.123
20150927      38.270      28.311      29.206      36.770
20150928      27.716      24.474      26.876      33.710
20150929      25.053      22.298      24.602      26.185
20150930      38.020      23.114      27.894      25.534
20151001      54.810      27.124      31.553      44.254
20151002     224.285     211.566      49.273      67.960
20151003     150.945      99.675     100.072     242.079
20151004     149.562      96.668      79.748     107.576
20151005     149.551      67.503      73.373     114.598
20151006      73.291      59.993      65.586     131.018
20151007      27.269      41.308      59.965      82.532
20151008      22.458      37.121      53.786      25.221
20151009      18.421      33.173      48.326      25.050
20151010      17.221      29.734      33.220      19.214
20151011      17.693      28.931      29.766      17.215
20151012      17.332      25.366      27.860      17.793
20151013      16.808      22.677      25.238      15.888
20151014      18.171      26.807      23.353      16.492
20151015      24.177      22.448      23.507      17.932
20151016      33.181      27.345      29.713      25.025
20151017      35.372      30.487      25.204      32.512
20151018      28.701      25.498      26.575      34.148
20151019      22.145      22.116      24.999      26.950
20151020      18.179      20.108      22.656      21.095
20151021      17.524      18.642      21.356      17.353
20151022      30.083      27.391      25.116      21.163
20151023      43.402      31.294      26.479      28.848
20151024      32.702      24.435      26.051      40.674
20151025      30.198      27.321      25.093      30.340
