date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.529       2.926       3.623       2.959
20150802       2.169       3.115       3.617       2.915
20150803       2.058       2.968       3.650       2.352
20150804       3.272       3.781       3.865       2.625
20150805       5.338       5.808       4.450       3.783
20150806       3.798       4.330       5.602       5.527
20150807       4.480       5.786       4.443       3.858
20150808       3.611       4.623       4.940       3.806
20150809       2.755       3.902       4.821       3.482
20150810       2.824       3.558       4.216       2.838
20150811       4.060       4.169       3.594       2.792
20150812       4.411       4.857       3.693       3.224
20150813       2.656       2.789       4.763       4.234
20150814       2.139       3.262       3.815       2.864
20150815       2.923       4.336       3.892       2.621
20150816       5.352       6.004       4.651       3.970
20150817       4.104       4.473       5.387       4.824
20150818       3.048       4.076       4.320       3.407
20150819       2.510       4.290       4.244       3.213
20150820       2.090       4.411       4.275       2.784
20150821       1.799       4.114       4.360       2.320
20150822       1.697       4.357       4.008       2.026
20150823       1.526       3.511       4.313       1.938
20150824       1.500       3.511       3.696       1.542
20150825       1.694       3.408       3.352       1.659
20150826       2.034       3.677       3.638       1.828
20150827       1.857       3.103       3.548       1.976
20150828       1.734       2.823       3.407       1.955
20150829       3.228       2.998       2.919       1.571
20150830       3.821       5.111       3.368       2.672
20150831       2.870       4.878       4.319       3.797
20150901       1.762       1.812       3.892       2.066
20150902       1.303       1.455       1.572       1.150
20150903       1.071       1.616       1.442       1.012
20150904       0.988       1.736       1.301       0.975
20150905       1.465       2.397       1.710       1.240
20150906       1.160       1.336       2.395       1.110
20150907       0.915       1.222       1.301       1.022
20150908       0.779       1.393       1.519       1.054
20150909       0.689       1.243       1.613       1.124
20150910       0.634       1.440       1.615       0.974
20150911       0.602       1.268       1.499       0.776
20150912       0.586       1.641       1.262       0.556
20150913       0.627       1.676       1.490       0.735
20150914       1.139       4.255       1.678       0.769
20150915       1.141       1.846       3.445       1.352
20150916       2.095       5.269       2.748       1.492
20150917       1.469       1.211       4.189       1.676
20150918       1.056       0.805       1.282       0.892
20150919       1.081       0.815       1.121       0.923
20150920       1.580       1.195       0.838       0.968
20150921       1.192       1.190       1.002       1.117
20150922       0.914       0.620       1.032       0.894
20150923       0.786       0.748       0.909       0.977
20150924       0.754       0.716       0.762       0.732
20150925       1.152       1.607       1.405       1.087
20150926       3.237       4.280       3.347       1.788
20150927       2.414       1.498       3.662       2.373
20150928       1.550       0.665       1.406       1.365
20150929       1.108       0.584       0.698       0.831
20150930       1.151       0.648       0.595       0.776
20151001       1.811       0.859       0.723       0.863
20151002       2.595       0.711       0.738       1.067
20151003       2.921       1.654       1.230       2.779
20151004       1.844       0.872       1.332       1.632
20151005       1.374       0.572       0.726       1.099
20151006       1.026       0.662       0.574       1.036
20151007       0.796       0.694       0.575       0.913
20151008       0.650       0.616       0.615       0.782
20151009       0.712       0.579       0.557       0.573
20151010       0.675       0.437       0.490       0.518
20151011       0.624       0.366       0.398       0.530
20151012       0.579       0.360       0.335       0.499
20151013       0.530       0.330       0.309       0.470
20151014       0.491       0.264       0.270       0.426
20151015       0.457       0.241       0.261       0.376
20151016       0.426       0.219       0.240       0.402
20151017       0.399       0.200       0.219       0.386
20151018       0.375       0.182       0.205       0.356
20151019       0.357       0.158       0.182       0.328
20151020       0.352       0.144       0.167       0.276
20151021       0.438       0.376       0.349       0.559
20151022       2.707       1.932       1.618       1.574
20151023       7.744       9.863       3.645       2.838
20151024       3.243       1.149       6.451       5.694
20151025       5.570       7.457       1.322       1.373
20151026       4.312       3.314       6.209       5.059
20151027       3.263       2.851       2.936       2.023
20151028       2.216       0.951       2.633       2.099
20151029       1.644       0.615       1.019       1.135
20151030       1.376       0.521       0.753       1.250
20151031       2.264       1.261       0.785       1.164
20151101       2.746       3.183       1.299       1.662
20151102       3.144       1.612   -9999.000   -9999.000
20151103       2.236       0.643       1.188       1.519
20151104       1.693       0.657       0.607       0.968
20151105       1.450       0.554       0.871       1.093
20151106       1.147       0.502       0.559       1.179
20151107       1.901       1.608       1.158       2.067
20151108       2.056       1.627       1.397       0.962
20151109       3.773       7.703       0.906       1.312
20151110       9.110       8.931       5.508       3.092
20151111       8.049       8.210       7.989       6.270
20151112       5.103       6.341       8.224       6.170
20151113       3.666       6.641       4.339       2.831
20151114       3.544       3.228       4.836       2.204
20151115       6.877       5.012       3.522       2.821
20151116       3.766       2.633       4.689       6.104
20151117       3.311       5.452       2.171       2.779
20151118       2.701       5.566       3.366       2.954
20151119       1.627       1.600       4.328       1.966
20151120       1.158       0.530       1.326       0.696
20151121       0.904       0.449       0.530       0.452
20151122       0.727       0.411       0.449       0.644
20151123       0.707       0.376       0.414       0.602
20151124       0.732       0.354       0.426       0.621
20151125       0.748       0.777       0.351       0.584
20151126       0.868       0.581       1.046       1.369
20151127      16.406       8.744       2.841       4.336
20151128       8.647       9.134       4.717      14.823
20151129       3.182       1.880       9.163       6.310
20151130       2.110       1.470       1.601       1.073
20151201       1.608       2.234       0.922       1.160
20151202       1.543       2.085       2.728       3.574
20151203       2.458       4.892       1.259       1.351
20151204       1.816       4.037       3.583       2.918
20151205       4.744       8.558       2.560       1.760
20151206       5.590      10.142       6.964       4.441
20151207       3.016       8.974       8.429       5.248
20151208       2.275       1.988       6.493       2.907
20151209       5.677       8.698       2.180       1.347
20151210       5.672      10.299       5.811       4.303
20151211       3.426       7.837       7.855       4.710
20151212       2.272       3.402       6.087       2.066
20151213       1.586       1.145       2.398       1.183
20151214       1.247       0.507       0.913       0.642
20151215       1.002       0.416       0.485       0.612
20151216       0.894       0.378       0.489       0.996
20151217       1.607       0.367       3.956       6.437
20151218       8.891       3.725       2.995       5.521
20151219      11.046       4.873       4.985      11.649
20151220      17.092      10.907       5.565       9.069
20151221      12.375      18.210   -9999.000   -9999.000
20151222       5.444      10.992   -9999.000   -9999.000
20151223       3.683       8.592       8.870       4.070
20151224       3.331       9.666       7.219       2.710
20151225       4.096      13.284       7.140       2.503
20151226       2.067       3.651       8.463       3.268
20151227       1.295       1.054       3.010       0.962
20151228       1.002       0.486       1.059       0.855
20151229       0.900       0.453       0.486       0.682
20151230       0.920       3.567       0.682       1.405
20151231       1.917       8.249       2.033       2.297
20160101       1.543       6.080       4.538       1.912
20160102       1.168       1.698       5.079       1.361
20160103       1.730       0.718       1.441       0.532
20160104       1.145       0.469       0.701       0.712
20160105       3.412       0.430       0.469       0.741
20160106       6.947       0.394       0.430       2.189
20160107      10.301       0.360       0.394       3.619
20160108      12.848       0.330       0.361       5.999
20160109      12.023       0.303       0.330       7.159
20160110       8.834       0.277       0.303       7.123
20160111       5.295       0.256       0.277       4.894
20160112       4.444       0.233       0.254       0.254
20160113       2.668       0.214       0.235       0.235
20160114       0.382       0.199       0.216       0.216
20160115       0.373       0.185       0.196       0.200
20160116       0.507       0.169       0.182       0.186
20160117       0.847       0.155       0.169       0.169
20160118       0.381       0.142       0.155       0.155
20160119       0.376       0.130       0.142       0.142
20160120       0.391       0.119       0.130       0.130
20160121       0.478       0.109       0.119       0.119
20160122       0.394       0.100       0.109       0.112
20160123       0.325       0.129       0.213       0.451
