date          Qobs       Qsimobs        Qsim       Qusi
20150801      12.354      11.386      13.484      14.698
20150802      11.307      12.698      10.540      11.546
20150803      11.264      11.495      12.583      11.947
20150804      11.220      13.426      12.912      12.413
20150805      15.869      20.085      15.435      13.880
20150806      16.922      19.681      19.070      17.198
20150807      21.280      24.286      19.021      17.570
20150808      19.910      22.405      21.240      19.547
20150809      17.863      19.310      21.598      19.853
20150810      19.139      19.359      19.786      17.363
20150811      24.605      22.808      18.266      17.584
20150812      24.336      23.059      19.656      19.263
20150813      20.633      16.616      21.889      23.880
20150814      19.930      18.020      18.915      19.507
20150815      20.019      24.631      19.443      20.265
20150816      22.781      32.506      22.797      22.814
20150817      24.806      29.864      29.115      23.877
20150818      23.719      29.557      29.004      23.375
20150819      22.432      30.697      28.698      23.862
20150820      22.515      31.796      29.218      22.564
20150821      24.300      30.519      29.790      22.313
20150822      25.213      33.123      29.137      22.721
20150823      24.164      30.210      31.313      26.980
20150824      22.931      30.909      29.424      22.874
20150825      26.854      33.674      29.732      24.630
20150826      32.885      35.567      34.091      27.960
20150827      35.711      32.297      35.113      33.139
20150828      28.943      28.258      31.053      31.811
20150829      25.177      23.355      26.591      26.447
20150830      24.254      22.506      23.651      22.966
20150831      21.017      21.246      21.790      21.918
20150901      17.680      16.179      20.304      20.140
20150902      15.606      16.235      15.641      14.909
20150903      14.297      16.286      15.585      14.767
20150904      13.020      16.125      14.230      13.463
20150905      12.656      16.172      13.789      13.027
20150906      11.075      12.624      14.117      11.691
20150907      10.116      11.553      12.581      11.669
20150908      11.252      10.807      11.993      10.338
20150909      12.368      11.211      12.115      11.204
20150910      12.053      12.787      12.535      12.594
20150911      11.315      13.741      12.049      11.564
20150912      11.397      15.224      12.298      10.974
20150913      15.048      18.124      14.308      11.991
20150914      22.165      21.742      17.597      15.316
20150915      21.667      23.740      20.282      21.721
20150916      24.294      24.460      23.174      24.197
20150917      18.742      17.979      22.454      24.105
20150918      17.885      17.314      17.777      16.283
20150919      17.582      16.545      15.602      15.667
20150920      14.101      13.133      14.421      15.710
20150921      11.421       8.292      12.428      11.774
20150922      10.202       7.734       8.789       9.046
20150923       9.270       8.664       8.620      10.614
20150924      10.800       9.927       7.989       9.018
20150925      14.600      14.046       8.199       9.186
20150926      10.773       9.441      11.360      15.136
20150927       8.440       6.431       9.155       9.411
20150928       7.266       5.334       7.513       7.969
20150929       6.810       5.275       6.878       7.984
20150930       7.137       8.941       6.232       6.697
20151001       8.988      10.871       8.484       8.941
20151002      11.058      11.627       9.341       8.514
20151003      10.155      10.307      10.429      11.448
20151004       8.491       9.157       8.803       9.616
20151005       7.006       5.727       7.824       7.425
20151006       6.470       6.379       5.607       5.047
20151007       6.216       7.017       5.518       5.886
20151008       5.930       6.610       5.900       6.527
20151009       4.751       5.118       5.662       6.307
20151010       4.184       3.933       4.709       4.040
20151011       3.692       2.851       3.766       3.217
20151012       3.467       2.800       2.828       3.048
20151013       3.036       2.483       2.633       3.205
20151014       2.532       2.293       2.458       3.122
20151015       2.230       2.236       2.332       2.610
20151016       2.047       2.191       2.244       2.187
20151017       1.872       2.155       2.198       2.008
20151018       1.749       2.109       2.157       1.962
20151019       1.656       2.065       2.112       1.692
20151020       1.555       2.023       2.074       1.694
20151021       1.585       1.985       2.039       1.662
20151022       3.517       3.371       2.048       1.578
20151023       6.681      16.015       2.919       3.099
20151024       4.769       7.638      11.503       9.244
20151025       5.008       9.067       6.905       4.036
20151026       2.934       4.857       8.349       5.289
20151027       2.168       4.179       4.923       2.393
20151028       1.678       2.982       3.949       1.939
20151029       1.346       2.355       2.963       1.460
20151030       1.184       2.358       2.679       1.252
20151031       2.481       3.283       2.881       1.498
20151101       6.650      12.639       3.501       2.153
20151102       5.637      12.492   -9999.000   -9999.000
20151103       4.745      11.535      11.152       7.995
20151104       4.299      12.243      10.338       5.318
20151105       3.405       9.314      10.433       4.671
20151106       3.064       7.605       8.944       3.133
20151107       5.612       5.227       7.839       3.455
20151108       3.964       8.171       5.115       2.820
20151109       3.702      10.308       3.549       2.800
20151110       3.142       8.239       9.309       3.801
20151111       2.483       6.199       7.363       2.981
20151112       2.175       5.295       5.807       2.067
20151113       2.104       4.035       5.089       1.908
20151114       1.803       3.743       4.224       1.599
20151115       1.554       4.028       3.390       1.717
20151116       1.406       2.663       4.420       1.281
20151117       1.334       2.610       2.663       1.253
20151118       1.263       2.603       2.519       1.260
20151119       1.105       2.208       2.627       1.174
20151120       0.908       2.126       2.208       1.125
20151121       0.785       2.084       2.126       0.956
20151122       0.700       2.043       2.084       0.825
20151123       0.649       2.003       2.043       0.744
20151124       0.635       1.963       2.003       0.672
20151125       0.613       1.931       1.963       0.653
20151126       0.604       1.890       1.942       0.645
20151127       1.377       3.034       1.910       0.604
20151128       3.278       3.684       3.024       0.590
20151129       2.122       2.065       2.953       2.985
20151130       1.378       1.895       2.065       2.180
20151201       1.021       2.633       1.893       1.577
20151202       0.848       2.301       2.824       1.180
20151203       0.734       2.714       2.197       0.778
20151204       0.662       2.240       2.687       0.721
20151205       0.879       2.783       2.273       0.677
20151206       1.270       4.155       2.815       0.603
20151207       1.069       4.040       3.030       1.220
20151208       0.835       2.380       3.903       1.266
20151209       1.118       3.127       2.380       0.818
20151210       1.673       4.525       3.129       0.826
20151211       1.417       5.649       4.086       1.352
20151212       0.953       3.717       4.463       1.400
20151213       0.703       2.544       3.331       0.840
20151214       0.572       2.029       2.544       0.624
20151215       0.500       1.686       2.029       0.476
20151216       0.439       1.503       1.843       0.490
20151217       0.430       1.438       1.778       0.540
20151218       0.487       2.005       1.638       0.449
20151219       2.172       2.047       2.515       0.601
20151220       6.345       4.186       3.032       2.579
20151221       5.987       4.997   -9999.000   -9999.000
20151222       3.475       4.333   -9999.000   -9999.000
20151223       2.180       4.423       3.245       3.845
20151224       2.217       5.320       4.117       2.270
20151225       3.141       6.429       4.333       1.662
20151226       1.642       3.597       5.602       2.779
20151227       0.958       2.347       3.566       1.463
20151228       0.674       1.714       2.347       0.821
20151229       0.536       1.392       1.729       0.571
20151230       0.471       1.558       1.392       0.485
20151231       1.081       3.559       1.368       0.635
20160101       1.158       3.197       2.544       0.841
20160102       0.848       1.968       2.686       1.097
20160103       0.602       1.487       1.942       0.675
20160104       0.453       1.192       1.489       0.532
20160105       0.365       1.068       1.192       0.408
20160106       0.313       1.033       1.068       0.360
20160107       0.276       0.999       1.033       0.328
20160108       0.247       0.966       0.999       0.288
20160109       0.219       0.935       0.966       0.262
20160110       0.202       0.905       0.935       0.218
20160111       0.202       0.877       0.905       0.204
20160112       0.194       0.850       0.877       0.210
20160113       0.188       0.823       0.849       0.201
20160114       0.183       0.798       0.823       0.192
20160115       0.176       0.774       0.798       0.178
20160116       0.168       0.751       0.774       0.180
20160117       0.160       0.728       0.751       0.172
20160118       0.164       0.707       0.728       0.166
20160119       0.158       0.686       0.707       0.168
20160120       0.151       0.667       0.686       0.152
20160121       0.145       0.648       0.667       0.158
20160122       0.140       0.629       0.648       0.141
20160123       0.145       0.612       0.629       0.135
20160124       0.146       0.595       0.612       0.146
20160125       0.149       0.588       0.602       0.156
20160126       0.342       0.682       0.585       0.142
20160127       0.565       0.695       0.646       0.202
20160128       0.530       0.639       0.659       0.552
20160129       0.619       0.695       0.640       0.534
20160130       0.978       3.595       0.651       0.476
20160131       0.685       1.103       2.740       1.204
20160201       0.496       0.841       1.103       0.581
20160202       0.416       0.694       0.841       0.408
20160203       0.334       0.656       0.694       0.386
20160204       0.290       0.641       0.656       0.339
20160205       0.257       0.625       0.641       0.292
20160206       0.249       0.611       0.625       0.268
20160207       0.260       0.605       0.611       0.256
20160208       0.265       0.602       0.604       0.256
20160209       0.255       0.594       0.601       0.260
20160210       0.233       0.574       0.585       0.262
20160211       0.211       0.561       0.574       0.241
20160212       0.191       0.544       0.561       0.209
20160213       0.176       0.528       0.544       0.199
20160214       0.164       0.512       0.528       0.174
20160215       0.153       0.497       0.512       0.167
20160216       0.144       0.482       0.497       0.155
20160217       0.142       0.466       0.482       0.146
20160218       0.137       0.452       0.468       0.142
20160219       0.131       0.440       0.455       0.136
20160220       0.143       0.427       0.440       0.133
20160221       0.147       0.415       0.427       0.132
20160222       0.147       0.404       0.415       0.142
20160223       0.144       0.392       0.404       0.147
20160224       0.137       0.382       0.392       0.149
20160225       0.134       0.371       0.382       0.139
20160226       0.138       0.361       0.371       0.126
20160227       0.133       0.352       0.361       0.138
20160228       0.129       0.343       0.352       0.131
20160229       0.127       0.334       0.343       0.130
20160301       0.129       0.325       0.334       0.122
20160302       0.138       0.317       0.325       0.125
20160303       0.136       0.308       0.317       0.138
20160304       0.134       0.301       0.308       0.135
20160305       0.132       0.293       0.301       0.131
20160306       0.129       0.286       0.293       0.133
20160307       0.126       0.279       0.286       0.128
20160308       0.123       0.272       0.279       0.128
20160309       0.122       0.265       0.272       0.123
20160310       0.119       0.258       0.265       0.117
20160311       0.118       0.251       0.258       0.119
20160312       0.118       0.243       0.251       0.117
20160313       0.119       0.233       0.243       0.116
20160314       0.127       0.239       0.242       0.121
20160315       0.158       0.232       0.274       0.142
20160316       0.224       0.269       0.274       0.168
20160317       0.562       0.304       0.285       0.268
20160318       0.871       0.294       0.255       0.180
20160319       0.884       0.277       0.288       0.286
20160320       0.699       0.268       0.277       0.902
20160321       0.569       0.260       0.268       0.732
20160322       0.505       0.260       0.260       0.591
20160323   -9999.000   -9999.000       0.252       0.490
20160324       0.382       0.246   -9999.000   -9999.000
20160325       0.345       0.237   -9999.000   -9999.000
20160326       0.343       0.230   -9999.000   -9999.000
20160327       1.116       0.262       0.248       0.348
20160328       1.687       0.279       0.252       0.632
20160329       1.826       0.371       0.709       3.599
20160330       1.391       0.282       0.320       2.000
20160331       0.887       0.274       0.273       1.524
20160401       0.634       0.267       0.265       0.982
20160402       0.523       0.260       0.267       0.690
20160403       0.474       0.266       0.259       0.546
20160404       0.521       0.256       0.272       0.467
20160405       0.721       0.274       0.271       0.510
20160406       0.981       0.284       0.328       0.615
20160407       1.216       0.307       0.277       0.927
20160408       1.228       0.274       0.272       1.127
20160409       1.019       0.265       0.273       1.288
20160410       0.894       0.265       0.271       1.074
20160411       0.828       0.265       0.258       0.929
20160412       0.767       0.278       0.252       0.813
20160413       0.796       0.383       0.266       0.752
20160414       0.791       0.433       0.303       0.839
20160415       0.729       0.344       0.335       0.810
20160416       0.681       0.304       0.324       0.634
20160417       0.696       0.299       0.304       0.676
20160418       0.765       0.304       0.303       0.677
20160419       0.838       0.307       0.304       0.795
20160420       0.845       0.303       0.397       0.843
20160421       0.853       0.300       0.343       0.916
20160422       0.781       0.328       0.363       0.928
20160423       0.648       0.282       0.359       0.718
20160424       0.570       0.273       0.282       0.641
20160425       0.519       0.274       0.273       0.552
20160426       0.452       0.264       0.272       0.514
20160427       0.421       0.263       0.264       0.461
20160428       0.456       0.263       0.261       0.404
20160429       0.528       0.258       0.260       0.424
20160430       0.578       0.260       0.257       0.532
20160501       0.613       0.329       0.256       0.556
20160502       0.693       0.301       0.300       0.690
20160503       1.129       0.467       0.524       1.138
20160504       1.454       0.392       0.424       1.062
20160505       1.507       0.434       0.436       1.333
20160506       1.438       1.008       0.407       1.194
20160507       1.488       1.333       0.848       2.679
20160508       2.437       2.082       1.672       2.401
20160509       4.283       3.340       2.443       2.803
20160510       5.006       3.579       3.124       5.133
20160511       5.100       3.313       3.649       5.684
20160512       5.169       4.076       3.285       4.994
20160513       3.315       2.619       3.279       5.567
20160514       2.042       1.737       2.471       2.950
20160515       1.600       1.892       1.724       1.707
20160516       1.594       1.996       1.698       1.538
20160517       1.725       1.732       1.700       1.560
20160518       1.825       1.463       1.934       1.673
20160519       1.932       1.396       1.492       1.746
20160520       2.364       1.716       1.398       1.734
20160521       2.992       2.104       1.742       2.446
20160522       4.643       3.647       2.527       3.232
20160523       6.252       4.303       3.266       5.112
20160524       7.068       4.377       3.822       5.569
20160525       5.014       4.902       4.055       7.248
20160526       4.526       4.698       4.520       6.974
20160527       4.616       5.899       4.998       5.296
20160528       5.666       7.841       5.449       4.825
20160529       5.951       7.443       6.750       6.582
20160530       6.753       8.192       6.945       5.960
20160531      10.125      10.405       8.351       7.246
20160601      12.799      10.339      10.403       9.143
20160602      15.154      12.096      11.131      12.416
20160603      17.077      15.060      11.185      14.572
20160604      15.920      15.210      13.361      17.358
20160605      13.665      15.864      14.534      18.344
20160606      14.687      17.591      14.793      13.682
20160607      16.644      20.013      16.114      14.788
20160608      15.908      18.812      17.240      15.761
20160609      11.075      14.417      16.392      16.808
20160610       9.418      11.226      13.095      10.354
20160611       8.858      11.264      10.676       8.188
20160612      10.057      12.726      10.328       8.184
20160613      11.321      14.212      11.362       9.494
20160614      11.970      14.883      12.538      11.177
20160615      12.675      18.586      14.657      11.928
20160616      12.861      20.687      16.773      14.127
20160617      14.792      22.522      18.765      13.680
20160618      17.704      22.693      20.606      13.614
20160619      15.498      18.086      19.444      17.138
20160620      13.570      14.328      16.198      14.302
20160621      15.548      16.451      15.678      13.410
20160622      14.210      15.888      16.770      15.202
20160623      14.610      18.181      15.405      14.520
20160624      16.928      20.057      16.770      14.503
20160625      20.118      26.696      20.197      17.861
20160626      20.619      23.512      23.964      21.619
20160627      25.806      30.240      24.416      20.145
20160628      21.994      23.991      26.357      25.479
20160629      19.623      18.728      22.044      19.939
20160630      25.738      21.592      19.671      17.072
20160701      25.429      19.703      20.870      20.941
20160702      26.273      21.558      21.176      25.126
20160703      23.720      19.541      20.657      24.707
20160704      20.411      15.687      17.628      20.078
20160705      19.232      16.876      15.404      16.863
20160706      19.145      18.590      15.121      17.118
20160707      16.162      14.938      16.939      18.343
20160708      15.241      15.631      14.460      15.221
20160709      16.412      20.290      16.141      15.156
20160710      16.732      17.397      17.208      16.955
20160711      20.116      21.630      20.663      18.532
20160712      22.355      23.005      20.679      19.652
20160713      26.116      24.540      22.249      21.400
20160714      27.644      24.347      22.987      24.328
20160715      25.804      23.556      22.403      24.746
20160716      25.048      24.120      22.438      25.380
20160717      23.501      24.309      23.518      24.173
20160718      20.610      19.950      21.231      21.591
20160719      18.782      18.924      19.712      19.110
20160720      20.625      20.062      18.968      18.690
