date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.098       0.157       0.162       0.098
20150802       0.103       0.225       0.182       0.110
20150803       0.111       0.173       0.181       0.102
20150804       0.172       1.031       0.306       0.178
20150805       0.202       0.707       0.674       0.226
20150806       0.217       0.516       0.588       0.166
20150807       0.233       0.418       0.471       0.172
20150808       0.252       0.313       0.422       0.180
20150809       0.458       1.582       0.427       0.242
20150810       0.794       0.860       1.136       0.578
20150811       0.907       0.671       0.877       0.585
20150812       0.788       0.694       0.741       0.546
20150813       0.712       0.711       0.656       0.738
20150814       0.721       0.787       1.020       1.015
20150815       0.744       0.548       0.725       0.708
20150816       0.726       0.430       0.547       0.597
20150817       0.641       0.305       0.430       0.588
20150818       0.541       0.246       0.334       0.525
20150819       0.460       0.227       0.262       0.444
20150820       0.399       0.209       0.227       0.441
20150821       0.350       0.199       0.209       0.381
20150822       0.312       0.196       0.199       0.336
20150823       0.286       0.188       0.194       0.314
20150824       0.296       0.204       0.199       0.296
20150825       0.292       0.184       0.205       0.304
20150826       0.287       0.180       0.183       0.270
20150827       0.277       0.173       0.179       0.284
20150828       0.258       0.168       0.173       0.275
20150829       0.242       0.163       0.168       0.257
20150830       0.229       0.158       0.163       0.244
20150831       0.219       0.153       0.158       0.226
20150901       0.208       0.149       0.175       0.246
20150902       0.209       0.148       0.162       0.226
20150903       0.214       0.144       0.147       0.206
20150904       0.235       0.201       0.216       0.302
20150905       0.247       0.144       0.164       0.221
20150906       0.284       0.201       0.146       0.226
20150907       0.304       0.158       0.158       0.257
20150908       0.309       0.143       0.172       0.298
20150909       0.474       0.324       0.418       0.797
20150910       1.277       0.598       0.391       0.702
20150911       1.908       0.356       0.141       0.141
20150912       1.291       0.252       0.323       1.594
20150913       0.923       0.207       0.252       1.093
20150914       0.705       0.182       0.185       0.750
20150915       0.570       0.166       0.170       0.960
20150916       0.478       0.166       0.164       0.560
20150917       0.413       0.161       0.161       0.482
20150918       0.370       0.156       0.156       0.428
20150919       0.335       0.377       0.159       0.350
20150920       0.310       0.194       0.161       0.490
20150921       0.286       0.173       0.222       0.220
20150922       0.269       0.165       0.175       0.262
20150923       0.256       0.174       0.168       0.251
20150924       0.250       0.179       0.168       0.240
20150925       0.250       0.171       0.181       0.246
20150926       0.258       0.466       0.236       0.333
20150927       0.279       0.322       0.392       0.519
20150928       0.288       0.284       0.306       0.250
20150929       0.307       0.194       0.247       0.228
20150930       0.387       0.344       0.267       0.296
20151001       0.457       0.784       0.232       0.348
20151002       0.529       0.511       0.230       0.424
20151003       0.585       0.502       0.452       0.399
20151004       0.589       0.415       0.467       0.508
20151005       0.600       0.491       0.484       0.562
20151006       0.620       0.415       0.605       0.630
20151007       0.581       0.289       0.468       0.570
20151008       0.520       0.244       0.378       0.476
20151009       0.457       0.229       0.236       0.415
20151010       0.406       0.215       0.231       0.433
20151011       0.378       0.207       0.218       0.404
20151012  -10000.000       0.202       0.255       0.429
20151013  -10000.000       0.216       0.260       0.446
20151014       1.168       0.635       0.554       0.545
20151015       2.150       0.449       0.519       0.505
20151016       1.924       0.606       0.439       0.437
20151017       1.602       0.514       0.627       2.357
20151018       1.939       0.615       0.539       1.499
20151019       1.719       4.261       0.759       0.744
20151020       1.450       0.563       0.583       1.804
20151021       1.232       0.548       0.455       1.007
20151022       0.997       0.489       2.427       1.120
20151023       0.816       0.376       0.396       0.873
20151024       0.687       0.339       0.386       0.682
20151025       0.633       0.353       0.305       0.577
20151026       0.711       0.610       0.354       0.596
20151027       0.846       0.566       0.555       0.842
20151028       0.969       0.691       0.546       0.806
20151029       0.889       0.670       0.579       0.900
20151030       0.796       0.502       0.600       0.812
20151031       0.658       0.544       0.503       0.644
20151101       0.618       0.455       0.735       0.625
20151102       1.004       1.108   -9999.000   -9999.000
20151103       2.878       1.443       1.150       1.101
20151104       3.134       1.595       1.310       2.091
20151105       2.087       1.549       1.376       2.881
20151106       1.551       1.307       1.263       2.048
20151107       1.157       1.034       1.174       1.349
20151108       0.893       0.912       1.034       1.085
20151109       0.722       0.961       0.919       0.913
20151110       0.598       0.783       0.965       0.774
20151111       0.519       0.725       0.848       0.568
20151112       0.429       0.565       0.665       0.452
20151113       0.308       0.456       0.565       0.391
20151114       0.263       0.385       0.470       0.293
20151115       0.308       0.340       0.378       0.230
20151116       0.379       0.345       0.343       0.243
20151117       0.350       0.347       0.331       0.356
20151118       0.308       0.319       0.345       0.354
20151119       0.293       0.304       0.325       0.300
20151120       0.280       0.327       0.312       0.287
20151121       0.264       0.340       0.306       0.278
20151122       0.255       0.305       0.324       0.269
20151123       0.248       0.295       0.305       0.250
20151124       0.250       0.282       0.297       0.247
20151125       0.244       0.272       0.288       0.249
20151126  -10000.000       0.259       0.268       0.237
20151127  -10000.000       0.253       0.265       0.294
20151128  -10000.000       0.243       0.253       0.252
20151129  -10000.000       0.242       0.248       0.248
20151130  -10000.000       0.250       0.245       0.244
20151201       0.188       0.245       0.238       0.244
20151202       0.190       0.280       0.236       0.236
20151203       0.195       0.255       0.277       0.276
20151204       0.189       0.233       0.253       0.193
20151205       0.187       0.243       0.238       0.175
20151206       0.181       0.237       0.234       0.184
20151207       0.203       0.268       0.240       0.198
20151208       0.261       0.549       0.288       0.205
20151209       0.262       0.438       0.297       0.178
20151210       0.264       0.566       0.411       0.267
20151211       0.246       0.459       0.496       0.286
20151212       0.270       0.403       0.433       0.234
20151213       0.317       0.453       0.418       0.247
20151214       0.359       0.487       0.414       0.308
20151215       0.369       0.525       0.489       0.362
20151216       0.386       0.683       0.494       0.372
20151217       0.381       0.623       0.568       0.348
20151218       0.360       0.531       0.549       0.543
20151219  -10000.000       0.536       0.537       0.343
20151220       0.303       0.484       0.488       0.324
20151221       0.282       0.420   -9999.000   -9999.000
20151222       0.274       0.408   -9999.000   -9999.000
20151223       0.269       0.369       0.388       0.261
20151224       0.235       0.319       0.359       0.243
20151225       0.223       0.289       0.326       0.247
20151226       0.269       0.485       0.321       0.321
20151227       0.317       0.444       0.382       0.258
20151228       0.269       0.438       0.413       0.317
20151229       0.247       0.389       0.412       0.268
20151230       0.230       0.339       0.379       0.240
20151231       0.214       0.306       0.339       0.224
20160101       0.205       0.384       0.305       0.190
20160102       0.181       0.291       0.321       0.204
20160103       0.172       0.253       0.282       0.163
20160104       0.163       0.224       0.251       0.251
20160105       0.157       0.204       0.224       0.154
20160106       0.152       0.198       0.205       0.151
20160107       0.147       0.180       0.196       0.145
20160108       0.167       0.220       0.182       0.141
20160109       0.174       0.305       0.215       0.175
20160110       0.205       0.233       0.214       0.212
20160111       0.191       0.212       0.233       0.191
20160112       0.176       0.196       0.217       0.196
20160113       0.162       0.179       0.199       0.175
20160114       0.154       0.193       0.180       0.156
20160115       0.126       0.223       0.190       0.176
20160116       0.139       0.219       0.211       0.151
20160117       0.158       0.229       0.213       0.120
20160118       0.165       0.211       0.217       0.152
20160119       0.159       0.200       0.208       0.154
20160120       0.149       0.193       0.195       0.194
20160121       0.140       0.169       0.189       0.144
20160122       0.132       0.169       0.175       0.134
20160123       0.125       0.150       0.155       0.122
20160124       0.117       0.137       0.151       0.119
20160125       0.111       0.127       0.139       0.112
20160126       0.104       0.118       0.127       0.103
20160127       0.110       0.167       0.133       0.113
20160128       0.110       0.151       0.155       0.119
20160129       0.108       0.144       0.162       0.111
20160130       0.103       0.127       0.139       0.105
20160131       0.101       0.116       0.127       0.100
20160201       0.111       0.114       0.123       0.096
20160202       0.117       0.119       0.117       0.097
20160203       0.113       0.110       0.112       0.116
20160204       0.109       0.101       0.110       0.106
20160205       0.111       0.138       0.111       0.112
20160206       0.116       0.213       0.127       0.117
20160207       0.112       0.160       0.180       0.121
20160208       0.113       0.138       0.159       0.107
20160209       0.117       0.180       0.152       0.110
20160210       0.118       0.151       0.157       0.111
20160211       0.120       0.179       0.174       0.121
20160212       0.122       0.173       0.168       0.128
20160213       0.120       0.140       0.162       0.113
20160214       0.113       0.153       0.145       0.110
20160215       0.109       0.133       0.127       0.107
20160216       0.114       0.132       0.133       0.133
20160217       0.124       0.169       0.132       0.110
20160218       0.121       0.131       0.141       0.123
20160219       0.114       0.108       0.125       0.107
20160220       0.110       0.098       0.108       0.096
20160221  -10000.000       0.111       0.098       0.097
20160222  -10000.000       0.096       0.096       0.105
20160223       0.090       0.109       0.089       0.089
20160224       0.066       0.087       0.107       0.106
20160225       0.076       0.155       0.102       0.102
20160226       0.098       0.122       0.140       0.075
20160227       0.104       0.105       0.121       0.048
20160228       0.103       0.095       0.106       0.094
20160229       0.108       0.151       0.112       0.107
20160301       0.104       0.163       0.133       0.119
20160302       0.098       0.122       0.143       0.105
20160303       0.087       0.108       0.127       0.090
20160304       0.076       0.096       0.112       0.082
20160305       0.070       0.086       0.096       0.072
20160306       0.069       0.077       0.086       0.072
20160307       0.070       0.069       0.077       0.062
20160308       0.071       0.062       0.070       0.064
20160309       0.070       0.057       0.063       0.064
20160310       0.071       0.053       0.058       0.066
20160311       0.069       0.053       0.059       0.072
20160312       0.068       0.047       0.051       0.067
20160313       0.069       0.183       0.072       0.085
20160314       0.076       0.392       0.136       0.116
20160315       0.112       0.676       0.322       0.136
20160316       0.161       0.824       0.524       0.114
