date          Qobs       Qsimobs        Qsim       Qusi
20150801     111.054     112.211     213.819     144.921
20150802     107.213     107.934     112.970     108.413
20150803     105.561     111.511     110.900     105.023
20150804     100.971     103.952     108.609     104.896
20150805     118.549     147.204     107.353     101.257
20150806     132.618     123.865     128.374     119.419
20150807     119.810     115.633     121.752     129.086
20150808     114.417     124.559     123.406     122.832
20150809     114.063     118.740     123.580     117.275
20150810     109.059     109.293     116.822     110.965
20150811     104.755     104.652     111.440     104.340
20150812     101.573     101.736     107.188     102.292
20150813      91.870      98.725     102.661      99.213
20150814      93.767      95.467      98.547      96.226
20150815      89.926      92.436      95.466      91.814
20150816      86.264      89.411      92.385      87.619
20150817      83.006      87.969      89.417      84.279
20150818      80.054      85.073      86.517      80.961
20150819      77.122      80.875      83.688      77.417
20150820      74.362      78.174      82.261      74.576
20150821      71.878      75.530      79.518      71.845
20150822      69.231      72.976      75.533      69.401
20150823      66.860      70.465      72.963      67.353
20150824      65.304      68.100      70.468      64.954
20150825      64.152      66.283      68.022      63.068
20150826      66.497      73.349      68.293      63.617
20150827      71.170      71.327      70.711      67.442
20150828      89.614      89.169      73.089      70.125
20150829      86.531      80.140      84.215      96.674
20150830      78.191      76.861      79.891      86.051
20150831      72.241      75.508      76.905      76.019
20150901      69.014      72.859      75.124      70.635
20150902      68.584      71.361      71.888      67.110
20150903      78.238      88.136      75.006      69.694
20150904      86.862      82.396      81.252      78.281
20150905      88.634     101.605      86.678      90.796
20150906      92.483      92.819      95.961      92.440
20150907      86.311     311.315      92.114      90.579
20150908      81.580     282.045      89.162      85.086
20150909      78.238      85.549      86.117      78.700
20150910      74.899      82.754     255.859      81.227
20150911      72.224      80.028     231.752      77.327
20150912      70.169      77.367      80.027      69.819
20150913      68.935      76.135      77.661      68.831
20150914      68.320      74.381      76.458      67.256
20150915      68.333      72.523      73.995      66.511
20150916      81.185      82.616      76.157      69.911
20150917     107.080      82.744      80.211      80.877
20150918     208.139     132.718      91.408     107.206
20150919     180.609     106.006     108.185     211.762
20150920     133.091     100.042     104.167     177.589
20150921     115.851      99.941     101.018     128.593
20150922     110.017      99.920     102.026     114.773
20150923     120.665     128.106     105.649     113.572
20150924     130.078     109.872     115.575     123.021
20150925     132.891     121.519     116.031     128.476
20150926     129.209     109.584     114.007     127.248
20150927     118.070     103.171     109.206     121.541
20150928     110.402      99.191     102.678     110.343
20150929     104.131      95.297      98.140     104.773
20150930      99.130      73.391      94.495     100.460
20151001      95.055      71.186      92.334      95.441
20151002      91.200      69.380      89.621      91.774
20151003      87.475      68.874      69.434      87.648
20151004      84.312      85.131      67.920      86.710
20151005      81.768      82.597      66.034      82.002
20151006      79.191      80.136      63.898      78.049
20151007      76.201      77.075      79.974      77.414
20151008      73.571      74.617      77.517      74.189
20151009      71.216      73.832      75.186      72.415
20151010      70.481      77.565      74.042      71.200
20151011      69.666      73.235      75.215      70.847
20151012      68.466     122.812      73.179      67.047
20151013      66.844      68.445      70.861      66.747
20151014      65.096      67.350      68.701      65.198
20151015      63.473      65.182     111.958      65.737
20151016      61.932      63.069      64.122      61.845
20151017      60.514      61.022      63.080      60.236
20151018      59.279      59.152      61.046      58.506
20151019      58.263      56.241      59.109      57.373
20151020      57.287      54.606      57.400      56.850
20151021      56.530      52.712      55.641      55.709
20151022      56.738      56.149      53.438      55.421
20151023      56.526      56.231      54.462      57.546
20151024      55.420      54.278      55.321      56.291
20151025      55.139      60.034      54.690      54.906
20151026      54.775      56.613      57.239      56.636
20151027      53.419      54.899      55.816      53.336
20151028      52.357      71.715      54.084      52.166
20151029      51.510      69.499      53.099      51.218
20151030      50.465      67.338      51.480      50.238
20151031      49.410      65.995      67.454      49.709
20151101      48.558      65.698      65.682      48.704
20151102      47.766      64.786   -9999.000   -9999.000
20151103      46.996      62.796      64.597      47.026
20151104      46.374      43.007      62.759      45.460
20151105      45.608      41.587      60.815      44.737
20151106      44.987      40.206      58.951      45.106
20151107      46.863      46.292      41.589      45.469
20151108      51.619      52.474      44.795      47.323
20151109      54.059      58.520      48.612      54.314
20151110      57.123      54.941      55.862      55.968
20151111      53.442      53.662      54.145      56.804
20151112      50.051      52.035      53.076      52.591
20151113      48.407      50.746      51.279      48.958
20151114      48.567      49.627      50.744      47.374
20151115      47.258      51.356      49.425      47.481
20151116      46.141      48.205      47.765      45.794
20151117      45.070      47.335      48.888      45.298
20151118      45.292      45.192      48.223      44.166
20151119      41.650      43.641      46.319      43.620
20151120      40.104      42.226      43.644      41.176
20151121      39.030      40.895      42.231      38.901
20151122      38.719      39.554      40.893      38.127
20151123      40.932      38.128      39.668      37.380
20151124      41.467      37.097      38.800      39.337
20151125      45.625      36.163      37.463      39.716
20151126      43.469      34.936      36.078      43.859
20151127      41.829      34.280      37.135      43.722
20151128      52.164      53.220      34.745      40.187
20151129      57.446      48.755      47.157      58.810
20151130      52.298      47.874      49.044      55.794
20151201      43.243      46.182      47.374      51.866
20151202      41.954      44.837      45.812      42.324
20151203      44.692      43.774      44.921      40.332
20151204      41.010      43.745      43.896      44.085
20151205      43.798      44.116      47.689      41.548
20151206      54.151      53.062      44.137      41.775
20151207      53.774      51.998      47.567      55.496
20151208      48.376      49.324      50.514      56.646
20151209      55.011      58.088      50.136      47.914
20151210      62.553      56.031      54.125      56.483
20151211      63.501      54.606      54.714      61.089
20151212      54.827      52.834      54.350      62.563
20151213      48.487      51.357      52.844      53.483
20151214      41.912      49.846      51.363      47.782
20151215      37.367      48.388      49.869      41.981
