date          Qobs       Qsimobs        Qsim       Qusi
20150801      40.938      37.296      40.497      40.259
20150802      39.702      43.128      38.996      39.350
20150803      37.936      35.735      41.709      39.740
20150804      36.582      33.315      36.955      35.845
20150805      37.558      48.838      38.998      38.902
20150806      38.791      37.915      44.939      37.196
20150807      40.291      37.811      38.930      35.891
20150808      40.788      34.929      37.225      37.495
20150809      40.823      32.507      34.729      37.739
20150810      39.758      29.535      32.368      37.525
20150811      38.434      27.552      29.937      36.462
20150812      37.089      31.382      28.258      36.270
20150813      35.834      26.521      30.048      34.685
20150814      33.789      24.613      26.513      32.426
20150815      30.882      23.096      24.668      31.636
20150816      28.895      28.030      23.629      29.864
20150817      28.361      30.553      26.938      28.294
20150818      28.992      25.180      29.240      27.516
20150819      29.727      23.297      25.392      26.481
20150820      30.090      21.549      23.339      27.084
20150821      29.975      19.895      21.540      27.191
20150822      28.906      18.366      19.904      26.734
20150823      27.366      16.924      18.358      26.197
20150824      25.794      15.600      16.927      24.820
20150825      27.591      19.670      17.373      26.872
20150826      30.556      30.259      24.202      33.642
20150827      36.234      29.721      32.743      35.901
20150828      40.462      27.376      30.475      33.916
20150829      40.243      26.831      27.307      38.214
20150830      38.099      24.845      27.383      39.477
20150831      35.203      24.040      25.270      35.834
20150901      32.737      21.913      23.663      33.987
20150902      45.577      42.261      25.554      36.799
20150903      62.772      39.191      41.713      40.150
20150904      59.880      35.870      37.839      58.166
20150905      53.622      37.394      35.676      58.719
20150906      48.138      32.808      36.762      52.300
20150907      42.878      31.681      32.753      45.362
20150908      38.352      29.301      30.360      40.526
20150909      34.253      26.863      28.097      35.968
20150910      30.511      24.860      27.142      32.617
20150911      27.258      22.997      25.120      29.179
20150912      24.841      22.150      23.042      26.626
20150913      24.101      30.029      22.746      24.683
20150914      23.376      30.007      27.604      24.461
20150915      28.596      34.380      28.969      24.627
20150916      43.635      56.505      38.612      27.703
20150917      48.409      43.514      53.208      43.552
20150918      54.188      47.743      44.640      44.188
20150919      52.520      42.730      46.004      51.751
20150920      49.221      41.088      42.557      50.124
20150921      45.107      37.631      40.706      47.154
20150922      41.768      35.210      37.780      43.660
20150923      40.614      39.695      37.343      42.391
20150924      38.527      34.385      38.506      40.078
20150925      37.624      38.391      35.907      38.134
20150926      35.385      43.288      37.910      37.593
20150927      33.604      37.676      41.553      35.590
20150928      31.328      35.306      37.411      32.142
20150929      28.931      32.820      34.410      29.897
