date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.590       1.887       1.716       2.469
20150802       2.538       1.555       1.256       2.027
20150803       2.670       3.153       1.481       2.257
20150804       2.579       1.521       1.565       1.855
20150805       2.513       1.470       1.826       2.494
20150806       2.415       1.235       3.364       4.835
20150807       2.330       1.081       1.253       1.869
20150808       2.299       2.445       1.159       1.741
20150809       2.202       1.222       1.178       1.466
20150810       2.094       1.088       1.213       1.822
20150811       1.994       0.959       1.042       1.604
20150812       1.947       1.917       1.722       3.027
20150813       1.821       1.200       1.210       1.281
20150814       4.381       0.900       1.066       1.448
20150815       1.540       0.784       0.900       1.455
20150816       1.426       0.685       0.785       1.177
20150817       1.326       0.524       0.687       1.281
20150818       1.227       0.451       0.598       1.204
20150819       1.138       0.386       0.512       1.068
20150820       1.057       0.328       0.386       0.997
20150821       0.966       0.277       0.328       0.918
20150822       0.889       0.232       0.277       0.874
20150823       0.829       0.192       0.232       0.800
20150824       0.754       0.156       0.193       0.742
20150825       0.692       0.125       0.156       0.673
20150826       0.646       0.101       0.127       0.510
20150827       0.634       0.082       0.324       1.239
20150828       0.854       4.728       6.634      29.485
20150829       1.076       4.281       2.322       0.570
20150830       1.153       2.022       1.951       1.016
20150831       1.154       1.497       4.349       1.694
20150901       1.120       1.295       1.585       1.139
20150902       1.066       1.121       1.304       0.988
20150903       1.012       0.984       1.138       0.950
20150904       0.977       0.858       0.996       0.955
20150905       1.108       4.521       2.256       2.125
20150906       1.354       2.983       2.533       0.840
20150907       1.535       3.792       2.808       1.511
20150908       1.707       2.172       3.617       1.813
20150909       1.786       2.141       2.382       1.359
20150910       1.802       1.878       2.143       1.578
20150911       1.753       1.652       1.681       1.566
20150912       1.676       1.452       1.652       1.563
20150913       1.576       1.281       1.452       1.506
20150914       1.494       1.126       1.274       1.399
20150915       1.415       0.983       1.125       1.316
20150916       1.322       1.082       1.345       1.683
20150917       1.227       0.817       1.041       1.007
20150918       1.213       1.768       1.032       1.346
20150919       1.612       8.649       2.909       2.332
20150920       2.673       7.857       6.917       2.002
20150921       3.282       4.794       5.303       2.206
20150922       3.613       3.529       4.665       2.878
20150923       3.735       3.165       3.687       3.327
20150924       3.689       2.802       3.139       3.314
20150925       3.885       5.786       4.283       5.081
20150926       4.956       8.483       7.368       5.438
20150927       5.971       5.869       6.169       4.066
20150928       6.046       3.715       4.581       4.890
20150929       5.717       3.281       4.587       5.338
20150930       5.371       2.306       3.807       4.956
20151001       5.563       6.253       3.924       5.412
20151002       5.961       6.053       5.632       4.883
20151003       6.810       8.390       5.123       5.312
20151004       7.335       6.844       6.718       6.009
20151005       7.348       7.905       6.409       6.733
20151006       6.984       5.588       5.033       6.489
20151007       6.421       4.951       5.588       6.244
20151008       5.743       4.385       4.951       5.694
20151009       5.065       3.894       4.385       5.181
20151010       4.446       3.446       3.886       4.516
20151011       3.909       3.060       3.446       4.013
20151012       3.458       2.577       3.052       3.487
20151013       3.080       2.278       2.707       3.063
20151014       2.756       2.013       2.393       2.577
20151015       2.499       1.777       2.013       2.503
20151016       2.253       1.630       1.779       2.260
20151017       2.040       1.599       1.570       2.040
20151018       1.869       1.582       1.479       1.934
20151019       1.716       1.346       1.402       1.700
20151020       1.575       1.214       1.316       1.700
20151021       1.451       1.188       1.279       1.459
20151022       1.487       2.355       3.813       4.249
20151023       2.041      19.097       3.785       2.812
20151024       2.468       7.170      10.451       1.930
20151025       2.815       9.748       7.887       2.820
20151026       3.378      18.385      10.339       3.306
20151027       3.718      11.776      13.377       3.567
20151028       3.792       9.144      10.086       3.803
20151029       3.696       8.014       9.078       3.969
20151030       3.508       7.107       8.055       3.333
20151031       3.293       6.501       7.127       3.755
20151101       3.108       7.142       6.995       3.718
20151102       2.928       5.812   -9999.000   -9999.000
20151103       2.759       5.180       6.013       3.114
20151104       3.320       7.357       6.396       3.572
20151105       3.893       4.692       6.021       2.518
20151106       3.914       4.148       5.495       3.487
20151107       3.843       4.381       4.582       3.822
20151108       3.748       4.212       4.507       3.963
20151109       3.563       3.827       4.065       3.443
20151110       3.961       5.675       4.882       4.635
20151111       7.320      14.359       8.045       6.336
20151112       9.013      10.682      10.373       7.182
20151113       9.059       7.625       8.376       7.838
20151114       8.561       6.707       7.561       8.112
20151115       9.268      13.134       7.442       7.760
20151116       9.396       8.132       9.214       7.827
20151117       8.866       7.375       8.541       8.633
20151118       8.159       6.229       7.300       8.093
20151119       7.313       5.523       6.606       7.095
20151120       6.451       4.970       6.083       7.171
20151121       5.743       5.224       5.445       6.312
20151122       5.041       4.789       5.280       5.493
20151123       4.394       4.110       5.890       6.242
20151124       3.906       4.398       3.874       3.969
20151125       3.664       5.310       4.168       4.270
20151126       4.037       6.602       6.950       5.575
20151127      11.110      26.662      11.470       7.213
20151128      25.152      53.302      13.719      11.802
20151129      20.416      13.182      16.779      19.617
20151130      15.628      10.916      13.094      12.195
20151201      12.990      14.368      12.503      14.944
20151202      11.441      12.737      12.889      11.803
20151203      11.220      15.457      12.456      11.640
20151204      10.399      12.069      13.223      10.894
20151205      10.318      12.424      12.304      10.461
20151206      11.846      24.991      13.883      12.138
20151207      14.076      30.565      14.496      13.566
20151208      13.496      13.012      13.657      10.765
20151209      12.480      13.491      12.699      10.686
20151210      11.970      13.409      14.868      14.851
20151211      11.676      14.294      13.265      11.617
20151212      12.598      34.423      14.495      13.067
20151213      13.189      14.199      14.015      11.537
20151214      11.804      11.788      13.674      11.337
20151215      10.595      11.273      12.471      11.328
20151216       9.409       9.560      10.159       8.951
20151217       8.490       8.437      10.155       9.056
20151218       8.511       8.834       9.232       8.306
20151219      13.322      10.811      10.841      10.259
20151220      16.461      22.008      13.310      15.021
20151221      17.149      16.193   -9999.000   -9999.000
20151222      15.363      12.641   -9999.000   -9999.000
20151223      13.165      11.829      12.749      14.295
20151224      11.825      12.164      12.007      11.995
20151225      10.959      12.095      11.113      11.635
20151226      11.649      25.797      11.737      11.209
20151227      10.744      11.364      12.038      10.030
20151228       9.611       9.860      11.216       9.254
20151229       8.593       8.696       9.958       8.479
20151230       7.712       8.725       9.027       7.875
20151231       7.072       9.136       8.554       7.409
20160101       6.657       8.319       8.209       6.694
20160102       6.066       6.843       7.683       6.354
20160103       5.297       6.059       6.831       5.648
20160104       4.570       5.373       6.059       4.763
20160105       4.014       4.765       5.373       4.341
20160106       3.596       4.255       4.765       3.569
20160107       3.199       3.708       4.226       3.401
20160108       2.829       3.288       3.748       3.032
20160109       2.494       2.916       3.323       2.641
20160110       2.169       2.585       2.916       2.325
20160111       1.970       2.292       2.585       1.921
20160112       1.836       1.961       2.292       1.746
20160113       1.688       1.738       2.031       1.692
20160114       1.550       1.540       1.800       1.470
20160115       1.436       1.364       1.540       1.414
20160116       1.327       1.246       1.364       1.264
20160117       1.271       2.186       1.329       1.301
20160118       1.306       4.199       4.092       3.943
20160119       1.384       3.496       2.624       0.886
20160120       1.449       3.579       2.165       1.690
20160121       1.473       2.614       1.832       1.765
20160122       1.385       0.833       1.220       0.661
20160123       1.345       0.652       0.834       1.129
20160124       1.302       1.374       0.954       1.430
20160125       1.264       2.868       1.895       3.478
20160126       1.302       6.903       2.574       1.825
20160127       1.497       8.476       6.587       1.596
20160128       2.003       8.292       7.242       1.841
20160129       2.435       7.878       6.739       2.083
20160130       3.924      14.192       7.913       2.795
20160131       5.405      17.017      11.380       4.626
20160201       5.930      10.342       9.164       5.222
20160202       6.008      10.844      10.519       6.154
20160203       5.992       9.618       9.717       6.082
20160204       5.980      15.565      10.176       6.518
20160205       5.721      15.384      12.109       6.349
20160206       5.244       8.451      10.614       3.971
20160207       4.891       9.281       7.730       4.681
20160208       4.746       8.632       7.513       4.648
20160209       4.625       8.166       7.950       4.565
20160210       4.448       6.935       7.948       4.970
20160211       4.211       6.683       7.165       4.279
20160212       3.913       5.916       6.296       3.893
20160213       3.609       4.900       5.643       3.294
20160214       3.309       4.259       4.842       3.354
