date          Qobs       Qsimobs        Qsim       Qusi
20150801      68.288      38.368      28.346      59.195
20150802      60.468      31.580      33.067      66.816
20150803      56.780      33.361      29.299      47.690
20150804      57.981      27.066      32.093      53.198
20150805      48.201      23.216      28.142      54.829
20150806      52.191      29.885      25.524      45.547
20150807      52.845      42.160      28.409      52.314
20150808      48.357      30.045      32.993      47.218
20150809      47.226      28.901      30.827      40.983
20150810      39.924      22.974      27.167      41.903
20150811      34.186      21.678      24.582      36.898
20150812      46.092      32.174      24.241      35.015
20150813      59.287      33.249      28.348      44.724
20150814      47.732      25.373      28.521      52.377
20150815      37.498      22.734      24.924      42.005
20150816      32.566      21.243      22.701      35.519
20150817      29.607      19.398      21.297      30.618
20150818      25.740      18.299      19.945      28.134
20150819      24.030      17.169      18.719      24.465
20150820      22.972      16.226      17.173      22.655
20150821      21.541      15.325      16.274      21.794
20150822      20.371      14.468      15.386      20.459
20150823      19.803      13.708      14.508      19.209
20150824      20.338      13.027      13.714      18.645
20150825      20.970      12.459      13.028      18.979
20150826      20.197      11.874      12.430      19.714
20150827      19.870      11.304      11.798      19.033
20150828      23.255      10.891      11.188      18.558
20150829      30.207      10.607      10.937      20.599
20150830      24.782      10.047      10.917      27.990
20150831      23.526      14.155      14.028      30.919
20150901      32.218      16.309      14.951      23.248
20150902      25.524      12.840      13.393      29.337
20150903      17.928      11.698      12.615      23.861
20150904      13.927      11.085      11.845      16.277
20150905      12.797      14.177      12.439      14.927
20150906      13.233      14.959      13.679      13.995
20150907      15.496      12.780      13.491      12.653
20150908      15.542      11.847      12.734      14.904
20150909      14.275      12.411      12.713      14.883
20150910      14.691      11.702      12.266      13.593
20150911      14.370      10.756      10.370      13.508
20150912      13.116      10.007      10.821      13.227
20150913      12.110       8.974      10.044      12.333
20150914      11.150       8.536       9.477      11.527
20150915      10.458       8.114       8.995      10.719
20150916       9.950       7.680       8.096       9.997
20150917       9.480       7.336       7.688       9.428
20150918       9.406       7.104       7.410       9.203
20150919      12.840      17.287       9.352      11.630
20150920      17.482      16.053      14.026      13.324
20150921      16.761      12.968      13.684      16.900
20150922      13.910      12.020      12.830      15.945
20150923      12.912      15.396      12.917      14.143
20150924      12.877      13.439      14.121      13.561
20150925      12.097      12.019      12.891      12.362
20150926      14.725      20.790      16.564      15.101
20150927      33.134      28.189      19.505      14.902
20150928      28.684      21.417      21.656      32.199
20150929      22.264      21.255      22.663      29.154
20150930      30.950      35.004      26.880      29.617
20151001      47.505      49.332      32.746      36.062
20151002      42.416      35.896      36.095      45.037
20151003      37.253      46.181      36.127      43.088
20151004      31.778      37.740      37.227      36.269
20151005      25.659      35.755      35.372      30.883
20151006      19.857      31.022      32.583      23.921
20151007      16.333      28.828      31.221      19.497
20151008      14.212      26.979      28.912      15.883
20151009      13.080      25.386      26.822      13.931
20151010      11.869      23.392      25.612      12.874
20151011      11.735      21.738      24.610      13.462
20151012      38.029      45.285      30.081      16.508
20151013      88.772      95.410      37.044      30.523
20151014      61.664      47.812      44.905      99.986
20151015      56.965      44.428      53.307      53.355
20151016      73.777      86.826      51.902      55.770
20151017      77.383      89.631      88.850     111.953
20151018     100.632      68.341      71.010      74.093
20151019      76.081      47.094      53.873      71.047
20151020      55.140      40.935      45.618      62.334
20151021      42.885      43.159      41.876      50.764
20151022      34.503      38.446      40.064      43.073
20151023      27.510      35.641      36.913      34.120
20151024      23.295      34.401      35.975      27.405
20151025      24.173      37.193      36.005      24.889
20151026      28.954      36.928      36.177      26.241
20151027      24.719      33.811      35.758      30.020
20151028      21.635      32.533      33.131      25.410
