date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.807       2.027       2.533       2.348
20150802       3.121       1.887       2.002       2.084
20150803       3.131       2.009       1.940       2.882
20150804       2.499       1.865       2.251       2.912
20150805       2.515       1.662       2.137       2.781
20150806       3.308       2.373       2.104       2.295
20150807       2.355       2.365       2.395       3.443
20150808       2.166       2.203       1.730       1.840
20150809       1.905       1.777       2.026       1.939
20150810       1.554       1.557       2.259       2.127
20150811       1.888       1.818       2.031       1.848
20150812       3.991       3.093       1.571       1.508
20150813      20.332       2.359       2.215       3.133
20150814       2.598       1.933       1.969       1.865
20150815       1.503       1.580       2.028       3.238
20150816       1.531       1.930       1.859       1.505
20150817       1.397       1.779       2.152       1.675
20150818       1.148       1.641       1.975       1.410
20150819       1.140       1.882       1.851       1.221
20150820       1.059       1.589       1.986       1.257
20150821       0.995       1.588       1.831       1.122
20150822       0.932       1.586       1.797       1.127
20150823       0.907       1.650       1.768       0.990
20150824       1.067       1.465       1.863       0.967
20150825       1.062       1.720       1.611       1.072
20150826       0.995       1.312       1.737       1.147
20150827       1.038       1.511       1.497       0.854
20150828       1.328       1.842       1.290       0.919
20150829       1.169       1.747       1.513       1.240
20150830       0.983       1.454       1.460       1.022
20150831       1.336       2.070       1.341       0.933
20150901       1.271       1.606       2.588       1.592
20150902       0.848       1.117       1.455       1.128
20150903       0.632       0.890       1.071       0.729
20150904       0.541       0.830       0.900       0.573
20150905       0.549       1.175       0.901       0.585
20150906       0.972       0.941       1.198       0.663
20150907       0.869       0.699       0.843       0.774
20150908       0.752       0.634       0.827       0.888
20150909       0.625       0.701       0.731       0.722
20150910       0.575       0.633       0.781       0.645
20150911       0.556       0.578       0.693       0.664
20150912       0.558       0.581       0.677       0.565
20150913       0.510       0.635       0.628       0.552
20150914       0.550       0.763       0.626       0.533
20150915       0.579       0.781       0.735       0.615
20150916       0.563       0.818       0.776       0.596
20150917       0.515       0.770       0.840       0.642
20150918       0.520       0.941       0.851       0.574
20150919       1.806       3.748       1.107       0.712
20150920       1.310       2.674       2.618       2.365
20150921       0.925       1.933       2.502       1.408
20150922       0.732       1.589       1.666       0.835
20150923       0.654       1.668       1.496       0.710
20150924       0.660       1.386       1.599       0.687
20150925       0.601       1.091       1.306       0.604
20150926       2.185       2.149       1.531       0.776
20150927       2.471       3.922       1.920       1.929
20150928       1.438       2.573       2.777       2.729
20150929       1.208       2.162       2.154       1.475
20150930       2.502       5.057       2.138       1.329
20151001       2.971       5.950       3.852       3.269
20151002       2.073       4.417       4.568       3.272
20151003       1.706       3.947       3.843       2.283
20151004       1.247       2.956       3.652       1.946
20151005       0.987       2.318       2.790       1.113
20151006       0.750       1.630       2.220       0.902
20151007       0.641       1.244       1.701       0.658
20151008       0.587       1.007       1.291       0.556
20151009       0.537       0.870       0.988       0.486
20151010       0.484       0.629       0.846       0.500
20151011       0.569       0.586       0.747       0.450
20151012       3.188       2.531       0.853       0.780
20151013       2.626       3.274       2.024       3.224
20151014       1.788       2.284       2.123       2.702
20151015       2.817       2.085       2.388       1.926
20151016       3.179       5.070       2.412       2.301
20151017       2.241       4.541       4.516       4.625
20151018       2.331       5.533       3.919       2.625
20151019       1.729       3.399       4.203       2.757
20151020       1.304       2.643       3.203       1.949
20151021       1.121       2.346       2.632       1.512
20151022       0.946       1.685       2.242       1.203
20151023       0.862       1.352       1.668       0.770
20151024       0.915       1.168       1.390       0.804
20151025       1.384       1.539       1.253       0.891
20151026       1.215       1.515       1.231       1.248
20151027       0.920       1.091       1.269       1.046
20151028       0.791       0.911       1.030       0.782
20151029       0.713       0.874       0.892       0.684
20151030       0.549       0.603       0.807       0.692
20151031       0.599       0.515       0.740       0.556
20151101       5.818       1.235       0.854       0.706
20151102       3.453       4.737   -9999.000   -9999.000
20151103       2.901       5.924       4.385       5.205
20151104       2.470       6.247       4.300       3.898
20151105       1.726       4.097       4.425       2.870
20151106       1.219       3.002       3.724       2.008
20151107       1.008       2.489       2.934       1.523
20151108       0.950       1.841       2.524       1.153
20151109       0.865       1.440       1.947       0.905
20151110       0.711       1.452       1.405       0.762
20151111       0.645       1.114       1.379       0.679
20151112       0.563       0.847       1.089       0.562
20151113       0.487       0.648       0.809       0.484
20151114       0.495       0.548       0.705       0.407
20151115       0.439       0.499       0.564       0.390
20151116       0.388       0.489       0.505       0.436
20151117       0.353       0.472       0.485       0.399
20151118       0.372       0.463       0.471       0.356
20151119       0.370       0.464       0.465       0.386
20151120       0.354       0.445       0.455       0.350
20151121       0.360       0.435       0.488       0.364
20151122       0.305       0.423       0.435       0.364
20151123       0.317       0.400       0.417       0.324
20151124       0.328       0.391       0.438       0.354
20151125       0.313       0.545       0.404       0.330
20151126       0.305       0.484       0.461       0.358
20151127       0.343       1.330       0.638       0.452
20151128       0.326       0.908       0.960       0.412
20151129       0.293       0.696       0.884       0.313
20151130       0.275       0.634       0.683       0.282
20151201       0.247       0.559       0.557       0.240
20151202       0.250       0.524       0.509       0.252
20151203       0.253       0.552       0.555       0.286
20151204       0.280       2.592       0.577       0.378
20151205       0.263       1.961       1.059       0.350
20151206       0.286       1.994       1.451       0.324
20151207       0.299       2.190       1.569       0.314
20151208       0.301       2.317       1.869       0.366
20151209       0.321       1.424       1.671       0.420
20151210       0.480       2.224       1.531       0.293
20151211       0.364       1.298       1.904       0.508
20151212       0.298       0.987       1.289       0.346
20151213       0.275       0.802       1.000       0.254
20151214       0.247       0.625       0.785       0.256
20151215       0.221       0.575       0.639       0.225
20151216       0.249       0.451       0.493       0.172
20151217       0.224       0.348       0.383       0.245
20151218       0.264       0.337       0.447       0.349
20151219       0.443       0.391       0.391       0.278
20151220       0.553       0.821       0.935       0.889
20151221       1.480       1.880   -9999.000   -9999.000
20151222       1.147       1.453   -9999.000   -9999.000
20151223       0.702       0.997       1.325       1.109
20151224       0.552       0.885       1.146       0.708
20151225       0.624       1.436       0.897       0.516
20151226       0.486       1.049       1.215       0.683
20151227       0.546       0.767       0.971       0.381
20151228       0.415       0.557       0.709       0.459
20151229       0.333       0.388       0.798       0.530
20151230       0.307       0.337       0.743       0.528
20151231       0.292       0.452       0.506       0.364
20160101       0.275       0.950       0.381       0.310
20160102       0.257       1.187       0.766       0.398
20160103       0.211       0.724       0.992       0.312
20160104       0.192       0.539       0.725       0.184
20160105       0.191       0.415       0.539       0.152
20160106       0.217       0.342       0.415       0.166
20160107       0.293       0.330       0.342       0.174
20160108       0.328       0.321       0.331       0.280
20160109       0.298       0.312       0.323       0.326
20160110       0.252       0.304       0.313       0.290
20160111       0.206       0.294       0.303       0.250
20160112       0.185       0.288       0.296       0.214
20160113       0.286       0.280       0.286       0.190
20160114       0.544       0.272       0.277       0.255
20160115       0.548       0.264       0.277       0.509
20160116       0.382       0.256       0.268       0.538
20160117       0.299       0.260       0.291       0.409
20160118       0.331       0.300       0.288       0.304
20160119       0.371       0.244       0.243       0.294
20160120       0.357       0.233       0.238       0.348
20160121       0.334       0.223       0.236       0.351
20160122       0.348       0.233       0.244       0.329
20160123       0.270       0.343       0.244       0.416
20160124       0.242       0.234       0.301       0.338
20160125       0.215       0.231       0.320       0.228
20160126       0.198       0.280       0.244       0.182
20160127       0.196       0.267       0.244       0.196
20160128       0.192       0.294       0.226       0.180
20160129       0.175       0.245       0.233       0.188
20160130       0.162       0.231       0.225       0.187
20160131       0.174       0.291       0.280       0.188
20160201       0.164       0.312       0.254       0.156
20160202       0.152       0.214       0.286       0.168
20160203       0.140       0.189       0.213       0.137
20160204       0.131       0.247       0.216       0.147
20160205       0.137       0.193       0.201       0.100
20160206       0.132       0.172       0.178       0.131
20160207       0.135       0.173       0.190       0.160
20160208       0.135       0.176       0.173       0.126
20160209       0.138       0.178       0.198       0.140
20160210       0.142       0.255       0.180       0.134
20160211       0.148       0.178       0.171       0.118
20160212       0.139       0.185       0.194       0.166
20160213       0.123       0.142       0.149       0.106
20160214       0.117       0.137       0.142       0.113
20160215       0.102       0.133       0.138       0.110
20160216       0.099       0.170       0.157       0.129
20160217       0.119       0.126       0.143       0.078
20160218       0.104       0.491       0.161       0.210
20160219       0.118       0.294       0.289       0.172
20160220       0.121       0.200       0.214       0.101
20160221       0.102       0.289       0.202       0.093
20160222       0.102       0.563       0.182       0.106
20160223       0.105       0.315       0.353       0.110
20160224       0.113       0.403       0.357       0.094
20160225       0.108       0.180       0.232       0.056
20160226       0.114       0.145       0.177       0.082
20160227       0.131       0.141       0.150       0.092
20160228       0.134       0.137       0.142       0.123
20160229       0.129       0.193       0.149       0.141
20160301       0.122       0.130       0.141       0.096
20160302       0.100       0.121       0.129       0.135
20160303       0.091       0.122       0.125       0.106
20160304       0.104       0.114       0.122       0.093
20160305       0.104       0.112       0.117       0.126
20160306       0.096       0.119       0.112       0.111
20160307       0.095       0.120       0.110       0.117
20160308       0.093       0.129       0.112       0.108
20160309       0.084       0.106       0.115       0.097
20160310       0.080       0.102       0.106       0.079
20160311       0.086       0.101       0.113       0.102
20160312       0.090       0.167       0.149       0.136
20160313       0.096       0.214       0.276       0.202
20160314       0.097       0.426       0.297       0.200
20160315       0.117       0.827       0.556       0.181
20160316       0.305       1.161       0.729       0.200
20160317       0.541       0.870       0.878       0.348
20160318       0.401       0.549       0.755       0.452
20160319       0.288       0.417       0.561       0.341
20160320       0.206       0.259       0.355       0.202
20160321       0.152       0.187       0.254       0.151
20160322       0.130       0.176       0.176       0.112
20160323   -9999.000   -9999.000       0.142       0.110
20160324       0.132       0.178   -9999.000   -9999.000
20160325       0.136       0.106   -9999.000   -9999.000
20160326       0.125       0.118   -9999.000   -9999.000
20160327       0.126       0.556       0.241       0.232
20160328       0.211       1.027       0.730       0.454
20160329       0.284       1.879       1.017       0.366
20160330       0.356       2.589       1.603       0.505
20160331       0.348       2.070       2.028       0.560
20160401       0.275       1.403       1.875       0.374
20160402       0.219       1.054       1.390       0.271
20160403       0.187       0.927       1.035       0.218
20160404       0.179       0.929       0.863       0.215
20160405       0.202       0.973       0.857       0.226
20160406       0.214       0.809       0.871       0.225
20160407       0.203       0.668       0.779       0.227
20160408       0.182       0.498       0.582       0.190
20160409       0.163       0.395       0.473       0.143
20160410       0.158       0.657       0.397       0.158
20160411       0.158       0.619       0.513       0.202
20160412       0.162       0.523       0.550       0.172
20160413       0.167       0.392       0.493       0.144
20160414       0.152       0.265       0.367       0.142
20160415       0.142       0.230       0.272       0.131
20160416       0.142       0.281       0.237       0.150
20160417       0.139       0.257       0.268       0.170
20160418       0.136       0.311       0.220       0.120
20160419       0.139       0.286       0.259       0.132
20160420       0.137       0.331       0.263       0.140
20160421       0.140       0.325       0.285       0.144
20160422       0.145       0.323       0.291       0.142
20160423       0.156       0.286       0.343       0.174
20160424       0.146       0.244       0.274       0.157
20160425       0.144       0.234       0.235       0.136
20160426       0.143       0.351       0.224       0.137
20160427       0.184       0.530       0.308       0.186
20160428       0.343       1.266       0.702       0.378
20160429       0.693       1.826       1.122       0.512
20160430       1.627       2.337       1.782       0.864
20160501       1.529       2.699       2.119       1.846
20160502       1.484       3.321       2.402       1.782
20160503       1.601       3.935       2.950       1.794
20160504       1.641       4.216       3.641       2.316
20160505       1.871       2.836       3.233       1.929
20160506       2.215       3.284       2.959       1.880
20160507       3.381       2.871       3.022       2.341
