date          Qobs       Qsimobs        Qsim       Qusi
20150801      11.289       8.117      11.421      11.786
20150802       9.459      12.903       8.660      11.016
20150803       9.331       9.314      15.243      13.842
20150804      10.017      13.336      13.255      11.558
20150805      17.832      22.217      16.533      13.777
20150806      15.995      16.331      20.570      18.624
20150807      19.038      22.809      15.620      14.491
20150808      18.349      16.881      19.276      16.569
20150809      13.861      12.232      16.214      14.963
20150810      13.877      14.280      12.599      11.066
20150811      17.767      17.514      12.809      13.174
20150812      19.403      17.625      14.059      13.732
20150813      12.990       7.914      16.807      16.466
20150814      10.135      10.121      11.174      10.811
20150815      10.375      13.748      12.478      12.015
20150816      14.464      21.191      16.632      14.056
20150817      16.594      16.621      19.506      15.790
20150818      13.211      14.133      16.431      14.401
20150819      10.243      13.362      14.708      12.103
20150820       9.640      15.492      15.041      10.617
20150821       9.375      13.775      14.476       9.948
20150822      10.572      15.815      13.444       8.698
20150823      11.512      12.672      14.321      10.470
20150824       9.857      10.291      12.375      10.125
20150825       9.358      11.339      10.400       8.746
20150826      11.712      12.774      11.957      10.335
20150827      11.111      12.113      12.308      11.259
20150828      10.073      12.135      15.942      13.606
20150829       9.357       8.082      11.924       9.681
20150830       9.585      11.130       8.591       8.117
20150831       9.000       8.731      11.102       9.609
20150901       7.232       4.189       9.339       8.661
20150902       6.009       6.653       5.187       5.120
20150903       5.645       6.635       6.785       6.172
20150904       5.338       6.427       5.321       4.769
20150905       7.308       7.948       5.088       4.498
20150906       7.494       4.598       6.360       5.936
20150907       6.278       4.919       5.018       6.649
20150908       5.833       4.896       5.663       6.987
20150909       5.262       3.786       6.619       6.729
20150910       4.718       3.694       6.333       5.452
20150911       4.433       3.478       4.048       4.602
20150912       4.242       3.802       3.660       3.989
20150913       4.267       7.942       3.905       4.157
20150914       5.571      10.783       6.807       6.998
20150915       6.866      10.146       8.483       6.271
20150916       8.295       8.987       9.414       7.155
20150917       6.940       5.131       6.901       5.815
20150918       5.540       5.850       5.048       4.771
20150919       6.559       8.110       4.957       5.013
20150920       7.471       7.225       6.523       5.963
20150921       6.398       4.430       6.192       5.947
20150922       5.050       4.004       4.394       5.162
20150923       4.222       3.679       4.151       4.828
20150924       3.909       4.191       3.802       4.096
20150925       4.881       8.491       4.111       4.220
20150926       5.931       6.016       6.369       5.523
20150927       5.988       5.096       5.995       5.301
20150928       4.984       4.535       5.341       5.871
20150929       4.154       4.601       4.752       4.764
20150930       4.125       5.932       4.691       4.173
20151001       6.335       7.852       6.429       5.216
20151002       8.592       6.875       6.171       5.221
20151003      10.747       6.311       6.118       7.179
20151004       8.389       5.639       5.009       7.832
20151005       6.717       4.161       4.932       7.102
20151006       5.235       3.812       3.774       5.668
20151007       4.208       3.824       3.802       4.560
20151008       3.514       3.713       3.633       4.038
20151009       3.115       3.680       3.473       3.224
20151010       2.867       3.343       3.311       2.883
20151011       2.624       2.843       3.136       2.517
20151012       2.398       2.620       2.833       2.455
20151013       2.240       2.332       2.594       2.268
20151014       2.078       2.093       2.333       2.099
20151015       1.963       1.880       2.093       1.919
20151016       1.801       1.689       1.880       1.727
20151017       1.735       1.506       1.689       1.648
20151018       1.648       1.355       1.506       1.590
20151019       1.584       1.219       1.355       1.429
20151020       1.531       1.098       1.219       1.428
20151021       1.533       1.148       1.240       1.574
20151022       3.972       3.379       2.256       2.876
20151023      14.649      22.071       3.961       4.405
20151024       8.463       6.496      10.621      19.540
20151025       8.783      19.580       6.133       6.641
20151026       8.300       7.346      15.278      12.337
20151027       7.868       7.770       7.440       5.839
20151028       5.994       6.356       6.911       7.434
20151029       4.745       5.669       6.304       5.825
20151030       3.939       5.095       5.721       4.578
20151031       6.342       7.391       5.656       4.216
20151101      16.646      15.088       7.197       5.313
20151102      11.480      10.484   -9999.000   -9999.000
20151103       9.067       8.978       8.703       9.142
20151104      10.463      11.279       8.320       8.527
20151105      10.704       6.648       9.121       8.012
20151106       7.739       5.517       6.155       7.462
20151107       7.451       5.900       6.974       8.372
20151108       7.239       6.748       5.696       5.934
20151109       7.629       8.624       5.496       6.696
20151110      13.196      14.073       7.270       8.193
20151111      12.747      13.737      10.591      15.420
20151112      10.987      11.880      12.204      13.321
20151113       8.068      10.358       9.347       8.998
20151114       7.574       8.294       7.636       6.671
20151115      12.333      16.823       7.809       9.387
20151116       7.571       6.307      12.619      12.457
20151117       5.933      11.493       6.960       5.191
20151118       6.208      15.524       8.008       7.110
20151119       4.716       5.779      10.823       5.891
20151120       3.743       5.202       5.779       3.300
20151121       3.196       4.672       5.202       3.784
20151122       2.712       4.196       4.672       3.222
20151123       2.590       3.768       4.256       2.849
20151124       2.685       3.929       3.833       2.631
20151125       2.696       4.147       3.768       2.779
20151126       3.490       3.713       4.183       3.234
20151127      57.625      25.078       3.982       3.306
20151128      36.294      30.970      18.129      39.849
20151129      13.421       6.656      19.984      22.153
20151130       8.956       4.724       5.859       5.132
20151201       7.334       9.661       4.304       6.775
20151202       8.514       6.455       6.635       8.704
20151203      11.319      17.023       5.001       4.809
20151204       7.671       8.071      10.267      14.559
20151205      22.353      19.537       6.403       7.691
20151206      16.989      21.803      11.454      19.302
20151207      11.794      17.221      16.285      16.607
20151208       9.466       4.687      15.101      10.392
20151209      16.446      15.390       5.455       4.710
20151210      21.369      32.184       9.428      16.577
20151211      13.722      16.554      20.251      21.338
20151212       9.261       8.574      12.092       7.854
20151213       6.695       5.240       7.068       5.618
20151214       5.285       4.420       4.922       4.841
20151215       4.454       4.026       4.420       4.578
20151216       3.878       3.619       4.207       4.517
20151217       7.703       3.257       4.447       4.256
20151218      34.924      10.700       3.849       5.364
20151219      34.947      17.536      18.819      50.776
20151220      60.406      34.981      28.802      43.785
20151221      39.777      48.614   -9999.000   -9999.000
20151222      20.601      23.810   -9999.000   -9999.000
20151223      17.162      21.478      16.758      14.710
20151224      13.997      22.662      17.840      17.244
20151225      14.927      39.281      17.253      11.241
20151226      10.130      10.659      24.430      14.887
20151227       7.100       6.524       9.085       4.481
20151228       5.928       5.872       6.948       6.277
20151229       4.805       5.401       6.150       5.742
20151230       4.326      12.268       5.704       5.133
20151231       5.177      29.365       8.449       9.018
20160101       4.792      20.841      18.605      10.309
20160102       3.932       7.979      14.406       5.752
20160103       2.980       6.285       7.243       2.601
