date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.054       3.715       2.883       1.269
20150802       1.039       1.993       2.691       1.014
20150803       1.018       1.694       1.963       0.823
20150804       0.976       1.462       1.681       0.921
20150805       1.012       1.879       1.489       0.901
20150806      10.611      25.901       7.670       4.438
20150807      16.231       6.680       9.423       6.520
20150808      11.151       5.972       7.647      12.029
20150809       7.862       4.468       5.661       8.052
20150810       5.909       3.532       5.102       7.594
20150811       4.714       2.723       3.451       4.622
20150812       6.199      12.359       4.772       6.425
20150813       8.580       8.884       9.136       6.448
20150814       7.762       5.201       6.801       6.913
20150815       5.998       3.905       5.165       6.056
20150816       4.573       3.108       3.905       4.671
20150817       3.603       2.329       3.108       3.602
20150818       2.894       1.955       2.401       2.827
20150819       2.382       1.696       2.002       2.452
20150820       1.992       1.470       1.696       2.069
20150821       1.690       1.273       1.470       1.754
20150822       1.449       1.101       1.273       1.494
20150823       1.267       0.951       1.101       1.276
20150824       1.112       0.821       0.951       1.109
20150825       0.976       0.709       0.821       0.987
20150826       0.906       0.661       0.723       0.846
20150827       0.857       0.831       1.427       1.720
20150828       1.166      20.949       5.300       5.530
20150829       6.599      31.006      19.357       4.747
20150830      13.762      17.142      22.308       9.376
20150831      10.645       7.657      13.148       9.504
20150901       7.896       5.880       7.696       6.734
20150902       5.998       4.395       5.825       6.293
20150903       4.657       3.253       4.395       4.805
20150904       3.756       2.485       3.253       3.457
20150905       3.150       3.384       2.982       3.377
20150906       2.732       3.237       2.958       2.742
20150907       2.506       4.462       3.669       3.016
20150908       2.609       2.789       3.369       2.412
20150909       3.194       4.111       5.109       2.356
20150910       3.399       3.169       3.993       2.609
20150911       3.164       2.530       1.768       2.692
20150912       2.748       2.035       2.530       2.504
20150913       2.328       1.741       2.035       2.329
20150914       2.002       1.520       1.732       1.985
20150915       1.719       1.327       1.512       1.791
20150916       1.505       1.157       1.349       1.610
20150917       1.366       1.008       1.157       1.338
20150918       1.346       1.690       1.855       2.254
20150919       1.736      44.945       8.887       8.341
20150920      29.659      51.620      24.412       6.312
20150921      25.845      17.816      32.126      27.414
20150922      16.507       8.489      14.841      13.184
20150923      10.888       6.717       8.516      10.310
20150924       7.748       5.228       6.654       8.484
20150925       6.535       6.815       5.615       6.655
20150926      13.940      49.483       8.860       7.948
20150927      32.278      42.691      28.312      18.029
20150928      24.153      12.435      27.003      24.090
20150929      15.453       8.319      11.542      11.348
20150930      13.596      19.908       9.468      12.852
20151001      47.019      42.951      19.543      17.060
20151002     190.921     103.160     108.743      99.316
20151003      96.846      54.792      78.933     108.569
20151004      50.462      56.011      45.672      55.594
20151005      30.327      13.975      28.137      27.906
20151006      17.621       9.699      11.319      13.003
20151007      11.303       7.565       9.670      12.293
20151008       7.915       5.952       7.565       8.936
20151009       5.955       4.721       5.991       6.313
20151010       4.696       4.165       4.706       5.109
20151011       3.926       3.159       3.717       4.011
20151012       3.391       2.805       3.147       3.139
20151013       3.010       2.531       2.807       2.993
20151014       3.422      25.911       3.426       3.402
20151015       4.293       8.104      10.868       4.664
20151016       9.146      47.819      11.583       5.276
20151017      16.870      24.044      27.476      13.808
20151018      14.505      12.175      16.078      10.683
20151019      11.263       9.163      10.812       9.698
20151020       8.647       8.100       8.925       9.906
20151021       7.035       8.037       7.812       7.978
20151022      11.881      37.090      15.807      13.524
20151023      20.960      34.338      27.593      20.036
20151024      19.587      11.082      22.410      16.349
20151025      16.400      23.592      13.475      13.358
20151026      27.637      38.256      19.864      17.615
20151027      41.161      73.121      35.115      37.512
20151028      27.467      13.813      42.509      32.467
20151029      16.469      10.366      13.814       9.123
20151030      10.948       8.211      10.087      12.713
20151031       8.139       7.670       8.692       9.508
20151101       8.670      17.973      13.325      12.314
20151102      63.460     137.888   -9999.000   -9999.000
20151103      81.723     111.498      98.419      77.144
20151104      60.503      78.949      83.247      77.702
20151105      37.231      25.950      54.381      42.359
20151106      21.345      11.126      21.452      17.906
20151107      14.176       9.070      11.167      12.287
20151108      12.785      24.570      11.735      15.857
20151109      12.213      14.510      12.318      13.773
20151110      12.389      23.076      12.279       9.070
20151111      20.986      42.948      24.446      17.154
20151112      33.106      52.458      31.844      23.428
20151113      26.176      18.347      35.118      27.626
20151114      17.014      11.629      13.280      12.018
20151115      11.379       9.018      11.656      12.088
20151116       7.983       7.143       8.894       9.585
20151117       6.541      15.887       8.124       8.662
