date          Qobs       Qsimobs        Qsim       Qusi
20150801     140.720     145.511     152.541     133.274
20150802     155.605     168.492     153.607     138.964
20150803     166.459     174.238     154.368     155.166
20150804     176.654     182.815     160.427     165.719
20150805     192.067     170.564     168.289     177.304
20150806     190.806     158.942     168.569     184.024
20150807     184.496     167.603     170.609     191.282
20150808     175.009     159.710     170.765     193.209
20150809     188.331     268.457     181.216     193.233
20150810     200.327     217.331     213.936     222.143
20150811     212.395     203.570     214.170     189.870
20150812     208.594     233.085     213.690     212.815
20150813     227.965     246.239     215.459     210.723
20150814     157.051     234.072     227.572     232.055
20150815     224.036     217.779     226.317     202.258
20150816     211.074     204.399     216.178     213.135
20150817     195.494     192.667     204.188     201.025
20150818     180.595     181.518     192.614     186.852
20150819     168.882     171.599     181.541     172.007
20150820     158.021     162.115     171.085     160.799
20150821     147.902     153.071     161.480     150.654
20150822     140.277     145.039     152.900     140.916
20150823     132.615     138.829     145.030     133.737
20150824     127.044     131.055     138.845     128.622
20150825     122.410     125.314     133.449     122.703
20150826     118.155     120.607     127.876     118.539
20150827     114.705     116.250     120.582     114.730
20150828     111.389     116.076     116.327     111.983
20150829     109.248     125.794     115.908     112.331
20150830     105.348     121.984     119.415     112.338
20150831     104.154     113.547     118.210     102.233
20150901     103.957     113.887     117.557     102.115
20150902     103.907     109.680     112.524     102.453
20150903     104.797     106.494     108.098     100.556
20150904     103.843     102.932     105.348     100.709
20150905     103.571     100.525     103.391     101.619
20150906     102.479     112.905     102.359     101.732
20150907     103.682     105.579     104.540     103.524
20150908     103.196      99.718     103.576     101.380
20150909     104.983     103.913     100.837     100.206
20150910     105.078      98.710      99.113     103.077
20150911     104.632      96.102      94.690     102.556
20150912     102.708      93.555      96.102     101.673
20150913     100.350     109.505      93.555     100.861
20150914      97.319      87.703      91.069      98.391
20150915      94.852      85.338      88.659      94.873
20150916      92.618      91.299     103.084      93.259
20150917      91.684      90.117      83.336      90.720
20150918      94.350      87.590      81.751      90.587
20150919     101.958     280.389     128.280     132.355
20150920     123.285     246.167     202.673     159.680
20150921     162.563     221.970     226.612     124.774
20150922     218.010     207.493     221.083     146.159
20150923     227.215     203.931     215.527     207.638
20150924     216.679     213.002     217.122     237.730
20150925     206.093     196.296     201.881     218.769
20150926     202.167     230.724     202.921     201.216
20150927     204.157     243.515     214.827     211.971
20150928     199.417     223.895     225.386     210.649
20150929     195.848     210.011     220.596     188.855
20150930     191.830     351.526     213.340     188.738
20151001     185.974     309.075     219.234     194.776
20151002     180.072     286.877     209.607     175.998
20151003     171.800     304.600     288.781     176.630
20151004     164.402     197.176     287.003     179.209
20151005     156.515     192.368     283.238     166.173
20151006     150.684     183.357     273.774     155.125
20151007     143.566     173.432     182.108     145.872
20151008     132.191     164.614     172.860     138.770
20151009     121.945     156.372     164.095     128.413
20151010     114.026     148.564     156.372     118.668
20151011     105.889     141.287     150.004     113.255
20151012     104.338     139.888     150.417     111.444
20151013     116.979     160.963     139.555      99.852
20151014     123.890     151.125     146.151     118.930
20151015     123.698     163.269     165.887     128.675
20151016     121.934     160.620     162.486     130.591
20151017     122.701     156.731     164.327     127.576
20151018     125.911     161.644     156.405     123.040
20151019     130.040     329.327     158.838     127.713
20151020     132.479     143.059     157.367     130.195
20151021     128.979     150.088     151.120     127.582
20151022     127.773     153.521     278.291     128.011
20151023     126.348     145.628     134.070     129.245
20151024     121.565     139.043     145.375     122.614
20151025     121.853     143.313     139.430     118.520
20151026     125.765     179.478     140.429     125.632
20151027     123.270     166.067     148.830     127.026
20151028     113.649     133.645     143.066     122.317
20151029     112.387     127.701     158.580     110.459
20151030     108.594     121.509     151.156     107.203
20151031     109.734     115.305     121.333     102.476
20151101      97.708     117.265     137.827     122.712
20151102      91.552     165.031   -9999.000   -9999.000
20151103     125.468     163.401     162.007     110.409
20151104     126.539     154.944     162.678     123.893
20151105     111.075     148.183     156.133     122.859
20151106      99.809     143.132     150.274     116.745
20151107     105.251     141.343     144.687     101.254
20151108     105.079     134.597     141.116     100.156
20151109      91.475     128.063     138.450     108.103
20151110     107.253     125.725     130.666      89.632
20151111     108.250     157.826     128.138     105.384
20151112     132.351     156.963     123.091     105.764
20151113     195.640     154.662     121.522     120.541
20151114     176.969     148.596     154.476     193.822
20151115     192.268     146.362     150.142     173.393
20151116     187.310     137.731     144.306     182.531
20151117     185.546     111.722     137.399     175.411
20151118     189.314     108.602     133.258     177.279
20151119     190.511     108.230     126.683     180.167
20151120     190.316     104.697     107.451     185.390
20151121     174.670     102.174     104.355     104.439
