date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.631       0.417       0.462       0.536
20150802       0.951       3.477       0.796       1.013
20150803       1.136       1.090       2.108       0.851
20150804       2.050       0.792       1.156       0.781
20150805       9.487      20.640       1.602       1.649
20150806       6.496       7.447       6.611       7.835
20150807       4.955       3.491       6.135       4.729
20150808       3.530       2.455       3.333       3.269
20150809       2.604       1.852       2.454       2.736
20150810       2.086       1.502       1.872       2.131
20150811       1.804       2.066       1.769       1.966
20150812       1.631       1.105       2.052       1.558
20150813       1.407       0.804       1.104       1.223
20150814       1.228       0.710       0.804       1.018
20150815       4.168       3.628       1.551       2.264
20150816       8.095      17.770       4.387       3.458
20150817       5.730       3.991      11.562       9.784
20150818       4.051       2.872       3.891       3.076
20150819       2.804       2.095       2.879       3.188
20150820       2.098       1.597       2.162       2.230
20150821       1.676       1.185       1.647       1.695
20150822       1.388       0.861       1.185       1.289
20150823       1.165       0.758       0.861       0.982
20150824       0.986       0.667       0.757       0.978
20150825       0.876       0.594       1.946       2.276
20150826       4.848       8.067       0.601       0.766
20150827       9.184      12.814      10.899       9.062
20150828       6.406       6.817       8.064       7.553
20150829       5.182       3.821       6.454       4.906
20150830       3.866       2.685       3.535       3.182
20150831       2.857       2.107       2.609       2.910
20150901       2.255       1.606       2.200       2.308
20150902       5.563       7.459       2.988       2.848
20150903      21.144      26.905       8.476       5.617
20150904      14.100      11.048      17.944      16.561
20150905       8.124       4.105       8.913       7.574
20150906       5.317       2.958       3.998       4.085
20150907       3.589       2.392       2.959       3.862
20150908       2.552       1.843       2.262       2.687
20150909       1.977       1.414       1.740       1.922
20150910       1.599       1.010       1.413       1.544
20150911       1.326       0.860       0.999       1.107
20150912       1.136       0.761       0.860       1.113
20150913       5.472       1.736       0.946       1.265
20150914       9.551      24.384       3.079       4.077
20150915      19.328      28.476      23.202      20.441
20150916      13.007      14.636      21.763      17.809
20150917       8.288       6.379      15.827      13.325
20150918       6.527       4.402       6.542       5.471
20150919       4.807       2.997       4.005       4.360
20150920       3.417       2.259       2.954       3.450
20150921       2.536       1.722       2.257       2.638
20150922       2.862       2.694       2.280       2.655
20150923       4.728       5.814       2.855       2.319
20150924       4.208       4.132       3.085       4.008
20150925       6.425      11.295       7.754       7.286
20150926       6.237       7.624       7.514       5.569
20150927       4.513       3.461       4.388       4.117
20150928       3.246       2.121       3.445       3.518
20150929       2.474       1.636       2.634       2.715
20150930       1.996       0.842       2.041       2.053
20151001       1.645       0.748       1.239       1.530
20151002       1.408       0.675       0.949       1.337
20151003       1.216       0.599       0.671       1.102
20151004       1.064       0.679       0.597       1.010
20151005       0.941       0.606       0.532       0.929
20151006       0.830       0.543       0.473       0.806
20151007       0.720       0.489       0.546       0.746
20151008       0.635       0.550       1.090       1.304
20151009       0.564       1.278       1.227       1.439
20151010       0.499       0.654       0.920       0.524
20151011       0.439       0.545       0.599       0.412
20151012       0.403       0.516       0.562       0.402
20151013       0.399       0.519       0.627       0.446
20151014       0.394       0.425       0.504       0.365
20151015       0.389       0.380       0.423       0.323
20151016       0.383       0.340       0.380       0.354
20151017       0.376       0.305       0.340       0.345
20151018       0.369       0.273       0.305       0.336
20151019       0.362       0.244       0.273       0.330
20151020       0.354       0.209       0.247       0.302
20151021       0.353       1.109       0.308       0.444
20151022       0.522       5.327       1.507       0.861
20151023       2.222       6.789       3.767       0.752
20151024       2.156       2.787       4.014       1.999
20151025       4.884       9.740       4.161       2.949
20151026       4.119       4.093       4.025       3.700
20151027       2.931       2.718       3.419       3.366
20151028       2.295       1.939       2.702       2.356
20151029       1.856       1.472       2.001       1.888
20151030       1.560       1.177       1.563       1.596
20151031       1.423       1.759       1.225       1.239
20151101       1.336       1.021       1.384       1.274
20151102       1.226       0.799   -9999.000   -9999.000
20151103       1.127       0.827       0.812       0.948
20151104       1.041       0.818       0.782       1.044
20151105       0.971       0.706       0.732       0.962
20151106       0.928       0.830       1.023       1.311
20151107       2.914       3.251       2.027       1.976
20151108       7.716       9.439       2.860       1.824
20151109      12.079      11.594       7.107       8.003
20151110      11.003      12.442       9.449       8.564
20151111       7.525       3.739       9.267       8.508
20151112       6.285       4.419       7.138       7.163
20151113       8.087       9.523       4.130       5.438
20151114       9.839      12.019      10.557       9.197
20151115       9.068       7.411       7.773       6.896
20151116       7.778       5.504       7.425       6.864
20151117       8.434       9.801       7.358       7.166
20151118       8.269       7.359       8.486       7.472
20151119      13.257      19.764       8.684       7.963
20151120       9.467       4.612      10.828       9.613
20151121       6.199       3.400       4.492       4.484
20151122       4.353       2.591       3.402       4.435
20151123       3.042       1.946       2.589       3.344
20151124       4.502       4.519       2.956       3.362
20151125       5.803       4.888       3.762       3.601
20151126       4.595       2.863       3.269       4.261
20151127      10.581      12.976       3.521       4.463
20151128      13.851      14.419       5.974       6.209
20151129      14.687      15.017      15.087      15.599
20151130      11.221       9.244      15.319      13.127
20151201       8.428       7.823       8.377      10.539
20151202       7.299       5.825       6.698       6.315
20151203      10.939       6.112       6.390       5.614
20151204      20.090      25.756      12.500      12.717
20151205      27.878      26.087      16.862      14.737
20151206      34.317      31.920      26.197      22.618
20151207      19.187      14.418      30.214      25.121
20151208      11.221       6.183      13.317      12.536
20151209      12.528      13.500      12.616      11.483
20151210      11.305      11.422      10.619      10.591
20151211       9.120       7.717       9.638       8.050
20151212       7.084       6.285       6.137       6.194
20151213       5.199       3.385       4.303       4.626
20151214       3.795       2.792       3.411       3.966
20151215       2.896       2.714       2.982       3.447
20151216       2.366       2.241       2.637       2.776
20151217       2.275       2.154       2.995       2.647
20151218       3.817       4.007       3.136       2.733
20151219       6.079       2.966       3.193       2.818
20151220      16.297      19.849      10.649      11.981
20151221       9.224       8.429   -9999.000   -9999.000
20151222       9.720      10.000   -9999.000   -9999.000
20151223      11.517      13.912      11.549       9.582
20151224       8.540       8.311      10.154       9.496
20151225      13.072      18.601      11.721      10.354
20151226      10.241       8.592      14.161      12.370
20151227       6.875       4.643       7.765       7.040
20151228       4.845       3.588       4.483       4.511
20151229       3.544       2.800       3.539       3.829
20151230       3.985       3.886       4.514       4.774
20151231       5.196       3.559       4.599       4.300
20160101       7.938      14.568       5.815       7.768
20160102       7.158       4.504       7.854       7.111
20160103       4.962       3.544       4.458       4.280
20160104       3.420       2.708       3.561       3.946
20160105       2.401       2.024       2.637       2.833
20160106       1.734       1.576       2.023       2.029
20160107       1.468       1.166       1.576       1.479
20160108       1.447       0.992       1.189       1.111
20160109       1.166       0.893       1.023       1.295
20160110       1.001       0.928       1.008       1.203
20160111       0.984       1.865       1.162       1.311
20160112       0.848       1.392       1.377       1.074
20160113       0.766       1.181       1.285       0.844
20160114       0.710       1.351       1.253       0.810
20160115       0.593       0.796       0.963       0.571
20160116       0.528       0.792       0.852       0.600
20160117       0.462       0.616       0.716       0.460
20160118       0.418       0.545       0.660       0.468
20160119       0.431       0.903       0.859       0.641
20160120       0.406       0.487       0.607       0.324
20160121       0.400       0.416       0.486       0.352
20160122       0.398       0.391       0.441       0.372
20160123       0.398       0.905       1.315       1.322
20160124       0.400       1.096       1.261       0.836
20160125       0.808       3.196       1.941       1.059
20160126       4.958       5.377       3.762       1.324
20160127      16.382      18.127      11.502       8.566
20160128      13.298      12.753      16.794      14.938
20160129      13.974      10.480      11.863      10.937
20160130      11.706      10.844      11.153       9.652
20160131       7.690       6.786       8.484       8.296
20160201       6.056       3.885       6.933       6.088
20160202       9.249      15.141       5.879       6.159
20160203      13.432      13.087      14.091      12.755
20160204       8.194       4.641       6.355      11.660
20160205       5.611       3.236       4.352       4.075
20160206       6.841      10.736       4.565       5.501
20160207      16.493      16.543      12.719      11.136
20160208      20.241      18.931      18.223      17.073
20160209      18.130      15.613      18.053      17.048
20160210      11.254       8.298      11.785      11.684
20160211       7.321       3.970       6.485       6.354
20160212       5.024       2.917       3.660       4.387
20160213       3.442       2.230       2.916       3.882
20160214       2.483       1.715       2.233       2.615
20160215       1.925       1.321       1.714       1.981
20160216       1.568       0.988       1.320       1.550
20160217       1.341       0.906       1.001       1.125
20160218       1.157       0.795       0.988       1.276
20160219       1.048       0.854       0.923       1.268
20160220       4.580      10.234       3.554       4.348
20160221       5.044       5.977      11.737       7.778
20160222       3.803       5.095       6.610       5.780
20160223       3.263       3.694       5.413       4.220
20160224       2.585       2.667       3.106       2.788
20160225       2.051       2.093       2.723       2.351
20160226       1.686       1.572       2.133       1.806
20160227       1.423       1.214       1.572       1.361
20160228       1.228       0.944       1.214       1.187
20160229       1.077       0.820       0.944       0.964
20160301       1.000       0.744       0.885       1.101
20160302       1.037       1.700       1.699       2.118
20160303       1.006       1.417       1.441       1.230
20160304       0.992       1.686       1.276       1.080
20160305       0.972       1.189       1.352       1.101
20160306       0.884       1.419       1.184       1.114
20160307       0.807       1.284       1.300       1.063
20160308       0.729       0.901       1.236       0.882
20160309       0.764       1.123       1.199       0.917
20160310       0.913       1.697       1.279       1.014
20160311       0.903       1.141       1.201       0.939
20160312       0.843       1.060       1.195       0.878
20160313       0.803       1.136       1.228       0.927
20160314       0.874       2.376       1.308       0.900
20160315       1.359       1.736       2.202       1.013
20160316       1.901       1.442       1.903       1.117
20160317       2.029       1.150       1.534       1.619
20160318       2.118       1.089       1.271       1.668
20160319       2.063       0.946       1.075       1.724
20160320       1.927       0.824       0.946       1.747
20160321       1.899       0.727       0.827       1.552
20160322       1.928       0.729       0.798       1.483
20160323   -9999.000   -9999.000       0.631       1.477
20160324       1.773       0.672   -9999.000   -9999.000
20160325       2.247       2.092   -9999.000   -9999.000
20160326       2.691       1.062   -9999.000   -9999.000
20160327       5.335       7.694       3.527       5.509
20160328       8.120       3.773       5.449       3.617
20160329      16.270      17.656      14.468      15.991
20160330       9.841       4.506      11.379      11.736
20160331       6.407       3.793       4.294       4.468
20160401       4.515       2.676       3.538       4.938
20160402       7.563       8.371       3.160       4.152
20160403      10.780      12.190       8.981       7.573
20160404       6.567       4.516       6.509       5.917
20160405       5.164       4.225       3.655       4.765
20160406       4.613       3.469       3.948       4.093
20160407       5.224       5.412       4.015       4.610
20160408       4.615       2.892       4.305       4.498
20160409       3.376       2.288       2.916       3.672
20160410       2.591       1.723       2.245       2.684
20160411       2.074       1.437       1.722       1.991
20160412       1.722       1.022       1.350       1.656
20160413       1.468       0.913       1.007       1.381
20160414       1.275       0.812       0.997       1.399
20160415       1.215       1.633       0.943       1.421
20160416       1.169       1.283       1.098       1.218
20160417       1.059       0.863       1.075       0.898
20160418       1.037       1.296       0.976       1.031
20160419       1.260       3.482       2.161       1.942
20160420       1.303       1.695       2.854       1.466
20160421       1.184       1.468       1.666       1.091
20160422       1.092       1.274       1.434       1.118
20160423       0.998       0.918       1.143       0.948
