date          Qobs       Qsimobs        Qsim       Qusi
20150801      24.371      20.124      22.932      24.824
20150802      24.082      32.392      20.332      22.659
20150803      22.799      26.506      29.234      26.960
20150804      23.314      26.461      26.659      21.788
20150805      36.319      38.494      28.344      22.479
20150806      35.455      30.003      34.260      36.855
20150807      37.286      32.313      29.866      31.070
20150808      37.257      28.981      29.042      32.907
20150809      31.066      24.479      27.796      33.864
20150810      28.222      22.237      24.726      28.323
20150811      32.430      25.672      21.805      24.095
20150812      37.848      25.988      23.501      28.529
20150813      31.078      19.140      24.356      35.853
20150814      22.187      18.864      20.794      27.358
20150815      27.964      22.454      19.873      20.942
20150816      48.235      29.236      25.833      31.863
20150817      54.873      29.652      26.992      45.076
20150818      46.299      24.835      27.477      51.101
20150819      39.065      22.593      24.632      42.173
20150820      35.804      21.087      22.405      34.218
20150821      32.739      19.291      20.799      32.892
20150822      31.324      18.566      19.063      28.686
20150823      29.013      15.960      18.272      29.067
20150824      26.533      15.755      16.320      25.956
20150825      31.309      16.166      15.484      24.202
20150826      38.751      23.305      17.164      30.527
20150827      40.673      23.923      22.834      43.313
20150828      38.047      29.425      24.304      41.114
20150829      37.848      26.522      26.392      38.683
20150830      35.176      32.711      28.762      38.597
20150831      27.866      23.438      27.931      32.855
20150901      20.898      18.122      22.478      23.242
20150902      19.490      18.659      20.091      19.346
20150903      23.209      15.194      17.558      16.885
20150904      21.339      13.023      14.916      19.917
20150905      17.809      13.195      13.180      19.407
20150906      14.466      10.614      12.358      15.874
20150907      11.302       9.200      10.597      12.398
20150908       9.161       7.929       9.224      10.226
20150909       7.936       7.006       8.073       8.364
20150910       7.219       6.532       7.302       7.348
20150911       6.746       5.860       6.398       6.514
20150912       6.815       5.589       5.822       5.890
20150913      10.122       7.131       5.567       6.428
20150914      18.004       7.981      18.716      13.797
20150915      22.769       7.086      15.507      15.139
20150916      26.348      10.969       8.989      27.071
20150917      21.529       7.983      10.385      32.063
20150918      18.742       9.221       9.110      22.508
20150919      16.406       7.878       8.846      19.639
20150920      13.955       6.802       7.997      15.764
20150921      11.176       5.903       6.399      12.497
20150922       8.794       5.013       5.524       9.687
20150923       7.318       5.697       5.330       8.494
20150924       6.860       4.703       5.309       6.922
20150925      12.277      15.836       5.400       7.280
20150926      16.609      14.913      12.302      15.255
20150927      14.315      11.442      13.621      17.124
20150928      11.072       9.652      11.625      12.784
20150929       8.663       8.183       9.754       9.966
20150930       6.951       4.247       8.273       7.640
20151001       6.039       3.902       7.014       5.839
20151002       5.622       3.595       6.090       5.322
20151003       5.519       3.392       3.516       5.210
20151004       5.318       4.138       3.259       5.122
