date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.647       1.887       2.765       3.059
20150802       2.439       2.027       1.909       2.437
20150803       2.956       6.464       2.805       2.768
20150804       2.553       2.306       4.714       3.425
20150805       4.027       4.117       2.488       1.914
20150806       6.903      23.332       8.792       8.176
20150807       4.158       6.335      14.292       8.777
20150808       3.412       5.125       8.026       5.315
20150809       2.734       3.687       6.358       4.362
20150810       2.222       2.687       2.729       1.979
20150811       2.028       2.686       2.599       1.956
20150812       2.403       2.794       2.578       1.871
20150813       1.989       1.869       2.723       2.115
20150814       1.551       1.703       2.047       1.936
20150815       1.351       1.827       1.839       1.620
20150816       1.265       1.928       1.841       1.530
20150817       1.176       1.704       1.919       1.430
20150818       1.028       1.490       1.721       1.152
20150819       0.857       1.378       1.514       1.064
20150820       0.760       1.299       1.379       0.933
20150821       0.692       1.222       1.295       0.824
20150822       0.651       1.177       1.228       0.774
20150823       0.631       1.098       1.187       0.734
20150824       0.609       1.006       1.102       0.686
20150825       0.605       0.940       1.007       0.634
20150826       0.794       0.905       0.920       0.616
20150827       1.095       1.062       0.912       0.810
20150828       7.164      21.493       8.989       8.846
20150829       4.209       6.641      13.474       9.203
20150830       2.495       2.153       6.689       4.341
20150831       2.428       3.129       4.058       2.309
20150901       2.831       1.153       3.359       2.205
20150902       1.933       0.975       1.196       1.594
20150903       1.477       0.956       1.082       1.615
20150904       1.372       0.895       0.938       1.246
20150905       2.445       4.579       1.275       1.706
20150906       4.687       4.778       4.588       3.293
20150907       4.078       3.257       3.149       3.492
20150908       3.706       1.236       2.054       2.329
20150909       2.557       1.129       1.391       1.915
20150910       1.947       1.029       1.171       2.071
20150911       1.338       0.983       0.993       1.769
20150912       1.067       0.956       0.982       1.179
20150913       0.910       0.903       0.940       1.013
20150914       0.802       0.871       0.899       0.918
20150915       0.719       0.827       0.858       0.754
20150916       0.663       0.792       0.825       0.676
20150917       0.611       0.750       0.787       0.672
20150918       0.944       1.460       1.187       0.900
20150919       5.331      10.464       2.843       1.910
20150920       6.351       6.750       9.172       6.632
20150921       4.027       1.746       8.020       5.793
20150922       2.786       1.036       1.552       1.522
20150923       1.917       1.017       1.085       1.825
20150924       1.511       0.936       0.975       1.628
20150925       2.071       4.576       2.786       4.112
20150926       4.557       7.869       5.135       2.839
20150927       3.326       2.741       5.388       4.447
20150928       2.467       1.177       2.274       1.711
20150929       1.834       1.048       1.182       1.285
20150930       1.878       1.287       1.118       1.735
20151001       4.237       7.189       2.037       2.086
20151002       6.937       4.228       6.246       4.192
20151003       8.996       9.724       5.642       4.624
20151004       5.433       3.722       7.068       7.566
20151005       4.181       2.225       4.288       3.685
20151006       2.814       1.488       1.729       1.902
20151007       1.964       1.295       1.478       2.145
20151008       1.480       1.144       1.289       1.764
20151009       1.256       1.095       1.168       1.382
20151010       1.115       1.041       1.089       1.140
20151011       0.988       0.982       1.035       1.106
20151012       0.889       0.932       0.982       0.998
20151013       0.811       0.883       0.931       0.863
20151014       0.733       0.836       0.882       0.768
20151015       0.671       0.791       0.836       0.748
20151016       0.629       0.751       0.792       0.678
20151017       0.584       0.711       0.750       0.638
20151018       0.639       0.678       0.711       0.586
20151019       0.583       0.639       0.675       0.674
20151020       0.491       0.605       0.640       0.600
20151021       0.494       0.573       0.617       0.503
20151022       0.747       1.781       1.152       0.910
20151023       5.591       9.684       4.153       2.119
20151024       2.934       3.764       6.041       5.506
20151025       2.625       2.992       3.656       2.312
20151026       2.555       2.800       3.587       2.356
20151027       3.835       7.107       3.333       2.693
20151028       2.789       1.801       5.837       3.995
20151029       1.871       0.982       2.079       1.320
20151030       1.406       0.993       1.256       1.364
20151031       1.334       1.224       1.457       1.800
20151101       1.252       1.773       1.743       1.855
