date          Qobs       Qsimobs        Qsim       Qusi
20150801      23.226      20.414      22.878      26.591
20150802      28.078      18.535      20.642      21.931
20150803      32.316      39.481      20.476      22.736
20150804      26.009      26.493      28.957      34.478
20150805      72.634      42.219      30.851      27.431
20150806      55.199      34.027      38.178      63.718
20150807      44.713      27.998      31.323      45.476
20150808      40.098      25.432      29.715      37.787
20150809      31.827      23.166      25.410      33.869
20150810      28.798      20.439      23.028      27.316
20150811      30.414      17.943      20.810      25.779
20150812      31.244      19.578      18.412      23.677
20150813      22.970      16.560      18.246      27.590
20150814      19.653      15.427      16.606      22.008
20150815      26.655      14.838      15.472      18.209
20150816      19.875      14.220      14.785      28.755
20150817      21.039      13.573      14.157      18.024
20150818      19.068      12.928      13.544      19.729
20150819      16.282      12.382      12.926      18.017
20150820      15.275      11.827      12.353      15.592
20150821      14.639      11.326      11.787      14.259
20150822      14.163      10.817      11.309      13.505
20150823      13.755      10.314      10.812      13.596
20150824      12.962       9.871      10.309      13.187
20150825      13.220       9.690       9.855      12.449
20150826      26.168      12.369      11.239      14.083
20150827      32.930      17.355      11.237      22.696
20150828      32.875      32.292      17.184      36.510
20150829      22.215      19.493      21.664      33.572
20150830      17.655      17.136      19.531      20.672
20150831      15.043      15.465      17.469      15.777
20150901      13.587      12.632      16.593      15.123
20150902      12.688      11.765      12.751      11.797
20150903      17.048      11.681      13.845      13.582
20150904      14.492      10.744      11.399      15.572
20150905      16.684      19.595      10.937      14.000
20150906      16.970      14.284      17.961      17.996
20150907      14.901      13.119      13.909      15.849
20150908      13.773      11.334      12.841      13.899
20150909      12.505      10.875      11.654      12.530
20150910      11.563      10.332      10.946      11.541
20150911      10.752       9.851      10.106      11.079
20150912      10.180       9.358       9.814      10.312
20150913      10.397       9.153       9.489       9.918
20150914      11.215       8.907       9.176       9.965
20150915      11.474       8.575       8.796      10.625
20150916      16.575      10.311      13.141      17.044
20150917      16.297       8.561      11.616      15.380
20150918      22.145      13.122      11.021      15.968
20150919      16.872       9.782      10.969      21.422
20150920      14.446       9.355      10.614      16.590
20150921      13.171       8.827       9.360      12.720
20150922      13.181      10.785       9.073      12.592
20150923      12.737       8.768       9.414      12.010
20150924      12.102       8.683       8.798      11.837
20150925      19.924      14.571      10.757      15.402
20150926      15.558      11.641      11.420      18.030
20150927      12.825       9.497      10.205      13.673
20150928      11.598       8.899       9.448      11.450
20150929      10.879       8.567       8.961      11.017
20150930      10.083       6.591       8.580      10.503
20151001      10.143       6.350       8.478       9.864
20151002      10.262       6.391       8.212       9.664
20151003       9.699       6.518       7.053      10.774
20151004       9.062       7.631       6.192       8.842
20151005       8.648       7.389       6.033       8.454
20151006       8.019       7.078       5.814       8.043
20151007       6.758       6.806       7.075       7.283
20151008       6.888       6.547       6.806       6.666
20151009       7.145       6.488       6.627       6.373
20151010       7.017       6.261       6.443       7.028
20151011       6.737       6.055       6.203       6.526
20151012       6.578       5.776       5.972       6.514
20151013       6.309       5.549       5.745       6.370
20151014       5.830       5.333       5.563       6.117
20151015       5.304       5.131       5.350       5.653
20151016       5.547       4.936       5.131       4.907
20151017       4.920       4.749       4.936       5.452
20151018       5.036       4.569       4.749       4.681
20151019       4.762       4.397       4.569       4.627
20151020       4.219       4.230       4.397       4.569
20151021       4.462       4.076       4.250       3.947
20151022       5.501       5.207       4.960       5.505
20151023       7.846       7.780       5.907       6.862
20151024       6.152       4.957       5.165       6.880
20151025       5.604       5.832       5.357       6.273
20151026       3.942       5.416       5.598       5.629
20151027       5.132       5.272       5.161       3.804
20151028       4.216       4.884       5.166       5.175
20151029       3.302       4.703       4.984       4.126
20151030       3.588       4.528       4.845       3.702
20151031       4.548       4.361       4.588       3.593
20151101       5.032       4.230       4.622       4.522
20151102       4.805       4.439   -9999.000   -9999.000
20151103       5.124       4.246       4.446       4.815
20151104       4.719       4.151       4.151       4.930
20151105       4.128       3.946       4.090       4.565
20151106       4.034       3.769       3.959       4.072
20151107       4.438       4.497       4.437       4.925
20151108       4.373       4.938       4.027       3.984
20151109       3.099       4.927       4.348       5.168
20151110       3.199       4.200       4.733       3.706
20151111       3.058       4.191       4.824       3.808
20151112       2.820       3.981       4.735       3.474
20151113       2.359       3.797       3.927       2.985
20151114       1.901       3.671       3.801       2.496
20151115       2.193       3.631       4.059       2.196
20151116       1.744       3.411       3.588       2.167
20151117       1.857       3.655       4.254       2.123
20151118       2.119       3.332       3.371       1.800
20151119       2.908       3.043       3.164       2.089
