date          Qobs       Qsimobs        Qsim       Qusi
20150801      47.278      39.139      42.880      48.347
20150802      45.561      37.607      39.509      44.992
20150803      47.403      47.432      41.015      44.719
20150804      42.277      36.843      42.179      45.165
20150805      85.647      66.256      46.805      48.087
20150806      86.990      47.842      56.036      76.174
20150807      68.639      42.966      46.609      77.443
20150808      65.211      39.917      43.396      60.683
20150809       1.240      37.470      39.817      60.588
20150810      26.975      35.404      37.273      51.058
20150811      22.581      33.724      35.360      45.758
20150812      59.304      39.244      34.920      43.009
20150813      45.048      32.159      34.827      28.289
20150814      23.571      30.666      32.694       0.000
20150815      15.371      29.546      30.766      15.224
20150816      18.517      28.485      29.686      13.787
20150817       5.726      27.247      28.371      17.418
20150818       0.000      26.238      27.261       9.816
20150819      34.389      25.283      26.261       6.940
20150820      31.706      24.396      25.285       0.000
20150821      22.479      23.500      24.369       0.000
20150822       0.000      22.578      23.493      22.508
20150823       0.000      21.736      22.581      27.274
20150824       0.000      20.952      21.973      26.511
20150825      12.461      21.099      21.085       0.000
20150826      39.799      31.358      24.661      11.498
20150827      48.427      32.447      28.363      38.693
20150828      51.896      47.546      43.411      61.787
20150829      40.742      31.767      38.966      50.828
20150830      34.382      28.585      32.049      36.492
20150831      29.949      26.440      29.012      31.831
20150901      26.949      24.323      27.672      29.809
20150902      25.417      22.729      24.522      25.572
20150903      30.407      28.154      27.423      28.138
20150904      28.001      23.124      24.063      28.472
20150905      29.234      31.749      24.277      27.956
20150906      27.168      25.102      27.296      27.578
20150907      24.725      23.453      24.605      25.450
20150908      23.010      22.265      23.293      23.550
20150909      21.308      21.102      22.629      22.192
20150910      19.877      20.180      21.711      20.736
20150911      18.640      19.269      20.070      19.402
20150912      17.827      18.443      19.211      18.104
20150913      18.035      18.455      18.646      17.692
20150914      19.394      18.026      18.291      17.670
20150915      20.711      17.792      17.688      18.291
20150916      27.518      28.288      25.585      28.626
20150917      30.312      20.190      22.540      24.945
20150918      41.770      31.612      25.216      33.901
20150919      34.511      25.092      25.134      35.434
20150920      30.444      25.885      23.958      24.074
20150921      27.555      21.552      22.626      27.219
20150922      26.730      21.733      21.866      25.895
20150923      25.312      19.934      21.168      25.155
20150924      23.819      19.327      19.912      23.179
20150925      34.132      32.815      23.402      28.072
20150926      33.034      23.773      23.915      30.084
20150927      28.130      20.772      22.544      29.222
20150928      25.085      19.495      20.701      25.246
20150929      23.280      18.500      19.587      23.366
20150930      21.467      14.637      18.790      22.234
20151001      20.628      14.678      18.168      21.258
20151002      20.426      14.351      17.467      19.601
20151003      20.412      14.387      14.904      20.639
20151004      20.052      16.239      14.215      19.459
20151005      18.944      15.910      13.850      19.460
20151006      17.795      15.557      13.543      17.822
20151007      16.784      15.145      15.523      17.419
20151008      15.868      14.787      15.163      16.632
20151009      15.593      14.503      14.885      15.493
20151010      15.449      14.159      14.488      15.239
20151011      15.184      13.811      14.144      15.079
20151012      14.668      13.508      13.816      15.054
20151013      14.280      13.185      13.508      14.205
20151014      13.832      12.867      13.200      14.828
20151015      13.252      12.564      12.873      13.702
20151016      13.154      12.268      12.570      13.212
20151017      12.529      11.979      12.268      13.019
20151018      12.538      11.698      11.979      12.468
20151019      12.187      11.424      11.698      12.649
20151020      11.619      11.155      11.423      12.716
20151021      11.914      10.890      11.165      12.385
20151022      12.587      12.352      11.788      12.598
20151023      15.181      17.649      14.014      15.683
20151024      14.749      12.920      13.773      12.386
20151025      13.835      13.243      13.762      16.888
20151026      12.506      12.036      13.080      13.844
20151027      12.768      11.751      11.842      12.342
20151028      12.411      11.414      11.647      12.223
20151029      11.908      11.144      11.393      12.130
20151030  -10000.000      10.884      11.199      11.441
20151031      11.277      10.830      10.996      11.159
20151101      12.110      11.578      11.233      11.385
20151102      12.282      10.966   -9999.000   -9999.000
20151103      12.295      10.445      10.925      11.551
20151104      12.275      10.566      10.520      11.936
20151105      12.126      10.328      10.249      11.957
20151106      11.898      10.001      10.201      11.805
20151107      12.217      11.199      10.722      12.465
20151108      12.884      12.144      10.410      10.907
20151109      12.344      12.792      11.494      14.035
20151110      11.802      11.294      11.941      12.922
20151111      11.427      11.142      12.268      13.175
20151112      10.955      10.851      12.342      12.973
20151113      10.488      10.426      10.713      10.874
20151114       9.140       9.978      10.315      10.253
20151115      10.032      11.171      11.135      11.840
20151116       9.844       9.560       9.974       6.594
20151117       8.688      10.177      10.604      10.642
20151118       8.938       9.390       9.571       7.915
20151119       7.169       8.920       9.141       9.059
20151120       5.913       8.680       9.271       8.162
20151121       5.200       8.551       8.915       6.616
20151122       5.582       8.289       8.490       5.296
20151123       7.610       8.141       8.583       5.729
20151124       9.264       8.188       8.440       6.645
20151125      14.895       7.726       8.029       8.558
20151126  -10000.000       7.712       8.038      14.791
20151127  -10000.000       8.811       8.975       9.794
20151128  -10000.000      12.191       9.108       9.084
20151129      10.710       8.272       9.053       9.105
20151130       9.422       7.966       8.182       8.177
20151201       8.979      12.249       8.742       8.734
20151202       8.833      11.769       9.125       9.070
20151203       8.232       8.653       8.855       8.785
20151204       8.415       9.984       9.028       9.016
20151205       9.108       8.890       8.605       8.611
20151206       9.185       8.933      10.288      10.252
20151207       8.807      10.260       9.703       9.654
20151208       8.767       7.181       7.377       7.547
20151209       9.269       7.992       7.249       7.247
20151210       9.216       7.962       7.843       7.845
20151211       9.067       8.053       9.174       9.138
20151212       8.824       7.040       7.566       7.528
20151213       8.353       6.822       6.913       6.894
20151214       8.463       6.510       6.402       6.398
20151215      10.610       6.221       6.405       6.403
20151216      14.273       5.963       6.035       6.032
20151217      17.361       6.078       5.929       5.924
20151218      14.251       7.007       6.143       6.119
20151219      11.030       7.609       7.836       7.531
20151220      11.243      17.147       8.091      11.064
20151221      13.332      21.845   -9999.000   -9999.000
20151222      12.204      18.627   -9999.000   -9999.000
20151223      11.167      13.801      16.760      16.838
20151224      10.453      11.155      14.461      14.577
20151225      10.532      14.859      12.433      12.435
20151226       9.377      13.366      14.013      13.977
20151227       8.265       8.937      10.521      10.438
20151228       8.770       8.433       8.974       8.969
20151229       9.258       8.104       8.351       8.348
20151230       9.361       8.222       8.137       8.139
20151231       9.261       8.302       8.263       8.256
20160101       8.512       7.876       8.787       8.775
20160102       8.215       7.573       8.042       8.036
20160103       7.575       7.429       7.572       7.571
20160104       7.008       7.059       7.259       7.258
20160105       6.584       6.904       7.070       7.070
20160106       6.846       6.760       6.883       6.881
20160107       8.887       6.560       6.716       6.721
20160108       9.812       6.407       6.557       6.553
20160109      10.367       6.286       6.397       6.401
20160110      11.480       6.211       6.333       6.329
20160111      11.965       7.093       6.726       6.726
20160112      11.996       6.250       6.326       6.308
20160113      11.743       6.339       6.218       6.209
20160114      12.167       5.656       5.830       5.822
20160115      12.622       5.738       5.758       5.758
20160116      12.796       5.824       5.558       5.558
20160117      13.942       5.343       5.438       5.420
20160118      14.038       7.161       6.201       6.194
20160119      12.648       5.443       5.767       5.741
20160120      11.364       5.169       5.872       5.869
20160121      11.720       5.291       5.195       5.199
20160122      10.702       4.672       4.847       4.835
20160123       9.488       4.970       4.721       4.713
20160124       8.215       4.453       4.605       4.599
20160125       7.076       4.641       4.552       4.516
20160126       6.617       4.762       4.991       4.985
20160127       6.385       5.076       5.250       5.240
20160128       6.068       5.517       5.649       5.612
20160129       5.870       4.390       4.927       4.907
20160130       5.748       8.295       7.572       7.574
