date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.074       0.868       1.021       0.886
20150802       1.268       3.259       6.749       6.941
20150803       1.826       1.533       3.295       2.748
20150804       1.669       1.103       1.432       0.925
20150805       4.196       4.050       4.506       5.309
20150806       3.659       1.040       2.117       3.569
20150807       3.598       4.115       2.211       3.136
20150808       4.561       1.556       2.240       3.397
20150809       3.086       1.271       1.305       2.258
20150810       2.681       1.673       1.176       2.181
20150811       4.403       6.205       2.144       3.404
20150812       7.314       2.932       3.867       4.237
20150813       4.959       1.206       2.011       2.971
20150814       2.936       0.720       1.086       2.406
20150815       1.979       0.621       0.745       1.599
20150816       2.818      11.440       1.442       2.882
20150817       3.750       2.784       5.206       5.234
20150818       2.577       0.843       2.176       1.401
20150819       1.725       0.641       0.842       1.063
20150820       1.216       0.538       0.644       1.324
20150821       0.931       0.453       0.538       1.046
20150822       0.777       0.433       0.485       0.763
20150823       0.697       0.345       0.399       0.618
20150824       0.589       0.269       0.347       0.557
20150825       0.545       0.232       0.294       0.414
20150826       1.033       4.575       0.791       1.272
20150827       4.374       7.733       3.557       2.907
20150828      10.678      10.478       5.212       4.459
20150829      10.489      17.083       6.475       8.258
20150830      14.307       9.099       6.474       6.048
20150831      13.647       5.610       5.313       5.732
20150901       7.086       1.145       4.464       5.905
20150902       4.048       1.522       1.403       1.959
20150903       2.575       0.817       1.528       2.703
20150904       1.768       0.599       0.835       1.754
20150905       1.688       4.036       1.004       1.942
20150906       1.741       0.851       2.057       2.096
20150907       1.384       0.583       0.781       0.622
20150908       1.123       0.495       0.608       1.073
20150909       0.904       0.418       0.522       0.966
20150910       0.755       0.351       0.419       0.786
20150911       0.640       0.295       0.351       0.655
20150912       0.556       0.247       0.295       0.546
20150913       0.540       0.241       0.255       0.461
20150914       0.572       2.913       0.460       0.825
20150915       0.675       0.543       1.087       1.000
20150916       1.074       3.569       2.116       1.099
20150917       1.301       1.075       3.876       2.079
20150918       1.162       0.513       0.879       0.700
20150919       1.331       1.248       0.664       0.843
20150920       2.116       1.242       0.748       1.184
20150921       2.049       0.498       0.841       1.572
20150922       1.494       0.420       0.529       1.172
20150923       1.148       0.430       0.540       1.223
20150924       1.166       1.089       0.665       1.449
20150925       9.939      19.018       6.923       9.146
20150926      12.322       8.013      18.886      19.893
20150927       6.616       2.467       4.711       5.673
20150928       3.695       0.709       2.167       3.045
20150929       2.254       0.602       0.706       1.249
20150930       1.586       0.400       0.596       1.480
20151001       1.290       0.500       0.533       1.118
20151002       1.637       0.814       0.558       1.034
20151003       3.763       1.411       0.488       1.196
20151004       3.518       1.424       0.750       2.337
20151005       2.641       0.679       0.632       2.446
20151006       1.930       0.565       0.542       1.692
20151007       1.392       0.643       0.565       1.628
20151008       1.142       1.965       0.878       1.598
20151009       1.129       2.901       2.593       3.028
20151010       1.361       0.903       1.483       1.276
20151011       1.341       0.644       0.769       0.637
20151012       1.161       0.538       0.649       0.993
20151013       0.989       0.458       0.575       1.040
20151014       0.827       0.405       0.475       0.776
20151015       0.739       0.342       0.395       0.756
20151016       0.644       0.292       0.342       0.648
20151017       0.579       0.250       0.292       0.585
20151018       0.539       0.213       0.250       0.470
20151019       0.481       0.182       0.216       0.492
20151020       0.463       0.201       0.207       0.404
20151021       1.372       5.228       0.811       1.523
20151022      13.902      14.124       7.601       6.126
20151023      24.904      20.770      14.870      15.651
20151024       9.457       2.589       6.898      10.290
20151025      18.978      29.067       9.547      10.442
20151026      15.270       8.648      13.114      17.868
20151027       9.990       4.251       5.792       4.795
20151028       4.835       0.935       2.758       4.885
20151029       2.785       0.702       0.935       1.422
20151030       1.913       0.603       0.707       1.772
20151031       1.737       4.471       2.832       4.789
20151101       3.829       6.257       4.550       4.320
20151102       4.050       1.304   -9999.000   -9999.000
20151103       2.643       0.737       1.233       1.388
20151104       2.269       2.057       0.764       1.393
20151105       2.063       0.875       0.970       1.955
20151106       1.683       0.781       0.810       1.217
20151107       6.782      10.901       3.274       5.095
20151108       6.722       3.658       5.374       4.422
20151109      11.281      16.926       4.781       5.003
20151110      14.426      13.412      17.807      18.593
20151111       9.603       7.657       6.971       7.342
20151112      13.538       8.040       6.818       7.577
20151113      15.696      19.293       8.676      10.207
20151114      16.049      11.890       9.623      11.776
20151115      21.245      14.940      19.978      19.910
20151116      17.058       5.251       7.944      10.425
20151117      21.841      21.784      17.059      20.098
20151118      17.434      22.515      21.473      21.753
20151119       8.460       3.686       8.845      10.893
20151120       4.761       1.051       2.785       2.781
20151121       2.844       0.868       1.051       1.541
20151122       1.923       0.746       0.866       1.830
20151123       1.361       0.642       0.770       1.355
20151124       2.709       6.571       2.980       3.974
20151125       8.603      12.155       5.233       4.495
20151126       7.555       4.295       6.342       6.203
20151127      51.715      32.128      15.653      16.162
20151128      27.952      18.585      22.287      26.804
20151129      12.892      17.161      13.827      16.523
20151130       8.136      10.619       8.140       7.783
20151201       5.927       6.908       6.047       4.828
20151202      12.367       5.478       5.597       5.674
20151203      23.870      19.966       6.634       6.675
20151204      11.072      13.424      16.030      18.422
20151205      35.382      24.673      14.523      12.369
20151206      25.289      17.635      14.944      17.541
20151207      14.258       8.204       7.954       9.793
20151208       7.854       2.060       5.643       6.651
20151209      18.038      23.923       7.813       8.316
20151210      20.668      23.730      18.907      24.286
20151211      10.390       7.932       9.243      11.361
20151212       7.094       8.646       5.604       4.832
20151213       4.713       2.350       5.123       5.760
20151214       3.026       1.014       2.307       2.038
20151215       2.228       0.867       1.297       1.774
20151216       1.727       0.725       1.008       2.167
20151217       6.028       5.658       4.425       5.871
20151218      22.052      13.985       6.588       8.914
20151219      24.788      10.053       9.968      13.224
20151220      36.442      26.765       8.341      11.700
20151221      23.054      29.534   -9999.000   -9999.000
20151222      13.504       8.374   -9999.000   -9999.000
20151223      13.329      16.099       6.867       5.643
20151224      10.151       8.254       9.505      12.348
20151225      19.249      20.979      13.438      13.600
20151226       9.338       5.401       7.897      11.717
20151227       4.784       1.392       3.743       3.412
20151228       2.844       1.526       1.653       1.796
20151229       1.988       1.298       2.011       3.856
20151230       1.937       3.911       3.182       3.694
20151231      10.682      18.854       5.813       4.722
20160101      11.129      15.954      11.941      13.224
20160102       7.278       3.777       6.080       5.790
20160103       3.862       0.993       2.997       3.518
20160104       2.248       0.854       0.991       1.089
20160105       1.472       0.734       0.854       1.696
20160106       1.075       0.631       0.734       1.190
20160107       0.813       0.543       0.631       0.898
20160108       0.650       0.466       0.543       0.695
20160109       0.547       0.401       0.467       0.508
20160110       0.448       0.345       0.401       0.474
20160111       0.402       0.316       0.348       0.370
20160112       0.380       0.268       0.300       0.327
20160113       0.343       0.230       0.268       0.330
20160114       0.329       0.878       0.230       0.348
20160115       0.330       0.889       0.286       0.562
20160116       0.346       0.305       0.343       0.322
20160117       0.327       0.263       0.305       0.161
20160118       0.311       0.226       0.263       0.286
20160119       0.294       0.194       0.226       0.278
20160120       0.279       0.167       0.194       0.250
20160121       0.249       0.144       0.167       0.217
20160122       0.221       0.123       0.254       0.292
20160123       0.438       4.827       2.750       3.732
