date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.023       0.030       0.034       0.030
20150802       0.029       0.045       0.035       0.025
20150803       0.023       0.032       0.036       0.029
20150804       0.024       0.027       0.029       0.021
20150805       0.356       1.229       0.106       0.074
20150806       0.151       0.048       0.332       0.240
20150807       0.099       0.042       0.048       0.031
20150808       0.069       0.037       0.042       0.081
20150809       0.046       0.032       0.036       0.058
20150810       0.038       0.027       0.032       0.040
20150811       0.033       0.024       0.027       0.032
20150812       0.028       0.020       0.024       0.030
20150813       0.021       0.017       0.020       0.024
20150814       0.018       0.015       0.018       0.019
20150815       0.015       0.013       0.015       0.016
20150816       0.012       0.011       0.013       0.013
20150817       0.011       0.010       0.011       0.010
20150818       0.010       0.008       0.010       0.010
20150819       0.009       0.007       0.008       0.009
20150820       0.008       0.006       0.007       0.008
20150821       0.008       0.005       0.006       0.007
20150822       0.007       0.005       0.005       0.006
20150823       0.007       0.004       0.005       0.008
20150824       0.006       0.003       0.004       0.006
20150825       0.102       0.010       0.005       0.007
20150826       0.127       0.392       0.031       0.107
20150827       1.346       1.047       0.254       0.210
20150828       0.454       0.170       0.369       0.356
20150829       0.177       0.052       0.060       0.062
20150830       0.106       0.045       0.052       0.160
20150831       0.079       0.042       0.045       0.087
20150901       0.079       0.036       0.040       0.066
20150902       0.778       1.161       0.611       0.720
20150903       2.524       1.390       0.937       0.957
20150904       0.576       0.264       0.513       0.577
20150905       0.357       0.100       0.084       0.080
20150906       0.214       0.081       0.092       0.246
20150907       0.131       0.070       0.077       0.190
20150908       0.091       0.061       0.067       0.117
20150909       0.071       0.054       0.059       0.086
20150910       0.060       0.047       0.053       0.064
20150911       0.052       0.041       0.047       0.052
20150912       0.045       0.036       0.041       0.047
20150913       0.044       0.033       0.042       0.048
20150914       0.059       0.043       0.037       0.046
20150915       0.690       0.145       0.299       0.342
20150916       0.674       1.106       0.764       0.980
20150917       2.531       0.715       1.178       1.213
20150918       2.671       2.332       1.587       1.668
20150919       0.508       0.080       0.901       1.465
20150920       0.274       0.071       0.080       0.052
20150921       0.200       0.064       0.078       0.196
20150922       0.219       0.056       0.063       0.160
20150923       0.352       0.292       0.162       0.218
20150924       0.252       0.069       0.079       0.150
20150925       0.320       0.133       0.239       0.320
20150926       0.201       0.070       0.111       0.149
20150927       0.137       0.061       0.070       0.174
20150928       0.105       0.061       0.061       0.122
20150929       0.091       0.053       0.053       0.088
20150930       0.084       0.031       0.047       0.080
20151001       0.079       0.027       0.047       0.075
20151002       0.071       0.023       0.041       0.068
20151003       0.063       0.020       0.023       0.057
20151004       0.057       0.027       0.020       0.054
20151005       0.050       0.023       0.018       0.050
20151006       0.044       0.020       0.015       0.042
20151007       0.041       0.018       0.020       0.036
20151008       0.039       0.015       0.018       0.036
20151009       0.038       0.013       0.015       0.031
20151010       0.037       0.012       0.013       0.033
20151011       0.037       0.010       0.012       0.030
20151012       0.036       0.009       0.011       0.028
20151013       0.035       0.008       0.009       0.026
20151014       0.032       0.007       0.008       0.031
20151015       0.031       0.006       0.007       0.028
20151016       0.031       0.005       0.006       0.026
20151017       0.031       0.004       0.005       0.025
20151018       0.031       0.004       0.004       0.027
20151019       0.030       0.003       0.004       0.033
20151020       0.032       0.003       0.003       0.023
20151021       0.040       0.003       0.003       0.021
20151022       0.044       0.022       0.003       0.031
20151023       0.033       0.010       0.011       0.030
20151024       0.031       0.008       0.009       0.028
20151025       0.037       0.014       0.013       0.034
20151026       0.030       0.010       0.011       0.030
20151027       0.027       0.008       0.009       0.028
20151028       0.027       0.007       0.008       0.023
20151029       0.030       0.006       0.007       0.023
20151030       0.028       0.006       0.006       0.025
20151031       0.036       0.005       0.006       0.029
20151101       0.043       0.005       0.005       0.028
20151102       0.042       0.004   -9999.000   -9999.000
20151103       0.043       0.004       0.004       0.036
20151104       0.045       0.003       0.004       0.045
20151105       0.047       0.003       0.003       0.037
20151106       0.055       0.003       0.003       0.035
20151107       0.278       0.122       0.034       0.316
20151108       0.419       0.182       0.028       0.054
20151109       0.551       0.167       0.071       0.280
20151110       0.282       0.055       0.061       0.202
20151111       0.173       0.048       0.055       0.237
20151112       0.131       0.042       0.048       0.112
20151113       0.149       0.052       0.049       0.106
20151114       0.134       0.048       0.049       0.126
20151115       0.106       0.042       0.042       0.119
20151116       0.137       0.036       0.041       0.095
20151117       0.199       0.147       0.154       0.168
20151118       0.150       0.043       0.049       0.088
20151119       0.121       0.038       0.042       0.122
20151120       0.093       0.033       0.037       0.100
20151121       0.083       0.029       0.033       0.073
20151122       0.062       0.026       0.029       0.069
20151123       0.056       0.023       0.026       0.051
20151124       0.073       0.020       0.025       0.044
20151125       0.095       0.335       0.020       0.055
20151126       0.078       0.046       0.049       0.034
20151127       0.086       0.041       0.140       0.206
20151128       0.245       0.425       0.163       0.244
20151129       0.316       0.112       0.382       0.306
20151130       0.230       0.066       0.087       0.078
20151201       0.144       0.058       0.063       0.199
20151202       0.112       0.054       0.064       0.140
20151203       0.096       0.056       0.053       0.084
20151204       0.812       0.254       0.430       0.408
20151205       0.501       0.759       0.942       1.022
20151206       0.299       0.159       0.309       0.364
20151207       0.183       0.085       0.105       0.102
20151208       0.172       0.070       0.085       0.096
20151209       0.402       0.401       0.093       0.158
20151210       0.253       0.088       0.095       0.198
20151211       0.190       0.078       0.085       0.178
20151212       0.144       0.069       0.078       0.166
20151213       0.103       0.061       0.069       0.126
20151214       0.079       0.054       0.061       0.095
20151215       0.064       0.048       0.054       0.070
20151216       0.070       0.042       0.048       0.056
20151217       0.095       0.038       0.048       0.062
20151218       0.091       0.060       0.188       0.164
20151219       0.090       0.180       0.161       0.256
20151220       0.169       0.127       0.140       0.118
20151221       0.167       0.071   -9999.000   -9999.000
