date          Qobs       Qsimobs        Qsim       Qusi
20150801      70.962      44.642      51.879      69.404
20150802      78.437      99.642      53.203      77.264
20150803      74.776      71.304      81.804      72.756
20150804      71.115      62.968      67.539      63.144
20150805     128.466     121.524      81.899      82.916
20150806     113.568      70.163      97.876     120.335
20150807     125.880      87.578      72.391      93.477
20150808     120.123      73.789      72.425      96.006
20150809      92.101      56.901      67.061      99.499
20150810      86.486      49.455      57.670      80.198
20150811     108.461      70.765      51.207      76.352
20150812     121.848      64.605      61.656      94.095
20150813      90.603      41.001      60.002     109.663
20150814      72.214      41.342      46.925      81.338
20150815      83.024      58.487      45.599      72.541
20150816     165.979      87.859      75.506     113.603
20150817     170.753      84.705      83.094     146.988
20150818     130.597      60.411      79.337     143.356
20150819     104.877      55.572      60.247     116.341
20150820      96.652      52.900      55.507      97.558
20150821      92.834      48.433      51.594      87.861
20150822      93.694      49.686      47.729      82.833
20150823      85.215      42.352      48.113      86.478
20150824      76.119      44.868      42.789      75.692
20150825      93.801      46.153      43.221      68.955
20150826     127.580      76.025      54.113      94.312
20150827     140.526      71.357      83.569     143.159
20150828     131.114     113.267      83.868     154.046
20150829     129.554     113.937      92.185     114.113
20150830     129.259     145.124     117.008     122.239
20150831      92.624      81.507     105.002     105.827
20150901      66.817      45.191      70.497      65.537
20150902      63.082      66.227      63.504      60.935
20150903      69.236      42.355      55.101      50.740
20150904      61.698      34.775      39.129      53.092
20150905      51.750      40.044      34.523      51.399
20150906      43.075      29.470      33.839      43.133
20150907      34.703      26.441      28.700      38.194
20150908      30.151      24.464      27.286      33.647
20150909      28.146      24.281      26.701      30.438
20150910      26.454      25.578      27.238      28.676
20150911      24.739      24.786      25.432      25.875
20150912      25.439      27.395      24.521      23.454
20150913      34.759      35.741      26.336      25.857
20150914      65.406      50.368      78.344      42.885
20150915      78.928      41.469      61.407      53.567
20150916      86.693      54.704      54.843      85.722
20150917      67.222      33.501      52.943      85.876
20150918      61.029      37.660      40.777      64.020
20150919      57.572      32.806      34.061      51.305
20150920      47.235      29.826      31.148      48.614
20150921      37.012      21.759      23.270      37.703
20150922      29.512      19.868      20.156      32.195
20150923      25.926      23.159      22.457      31.733
20150924      26.290      22.100      21.205      24.532
20150925      52.946      92.947      26.674      31.536
