date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.311       0.124       0.192       0.334
20150802       0.236       0.165       0.154       0.343
20150803       0.185       0.106       0.118       0.182
20150804       0.152       0.096       0.105       0.158
20150805  -10000.000       1.093       0.175       0.240
20150806  -10000.000       0.454       0.560       1.019
20150807       0.412       0.320       0.453       0.453
20150808       0.304       0.224       0.320       0.320
20150809       0.221       0.147       0.223       0.224
20150810       0.169       0.114       0.147       0.147
20150811       0.140       0.104       0.114       0.144
20150812       0.125       0.095       0.106       0.112
20150813       0.101       0.087       0.095       0.118
20150814       0.086       0.080       0.087       0.094
20150815       0.074       0.073       0.080       0.106
20150816       0.064       0.066       0.073       0.068
20150817       0.056       0.050       0.066       0.059
20150818       0.049       0.046       0.061       0.053
20150819       0.043       0.042       0.055       0.044
20150820       0.038       0.038       0.042       0.039
20150821       0.034       0.035       0.038       0.034
20150822       0.028       0.032       0.035       0.032
20150823       0.026       0.029       0.032       0.026
20150824       0.024       0.026       0.029       0.024
20150825       0.042       0.135       0.049       0.040
20150826       0.109       0.750       0.232       0.232
20150827       0.222       0.753       0.467       0.180
20150828       0.325       0.726       0.557       0.254
20150829       0.231       0.401       0.548       0.340
20150830       0.163       0.275       0.401       0.218
20150831       0.123       0.184       0.275       0.124
20150901       0.106       0.111       0.192       0.125
20150902  -10000.000       1.024       0.486       0.320
20150903  -10000.000       1.178       0.737       0.683
20150904       1.122       0.786       0.795       0.851
20150905       0.691       0.687       0.732       0.747
20150906       0.537       0.437       0.633       0.655
20150907       0.386       0.308       0.454       0.408
20150908       0.284       0.214       0.325       0.298
20150909       0.214       0.139       0.214       0.212
20150910       0.167       0.113       0.139       0.170
20150911       0.133       0.103       0.113       0.137
20150912       0.113       0.095       0.103       0.124
20150913       0.117       0.155       0.105       0.132
20150914       0.117       0.096       0.091       0.100
20150915       0.264       0.191       0.193       0.165
20150916       1.394       0.810       0.361       0.374
20150917  -10000.000       0.830       0.627       1.477
20150918  -10000.000       2.791       0.918       0.924
20150919  -10000.000       0.893       1.204       1.459
20150920  -10000.000       0.643       0.893       0.893
20150921  -10000.000       0.361       0.644       0.644
20150922  -10000.000       0.255       0.461       0.461
20150923  -10000.000       0.357       0.393       0.393
20150924  -10000.000       0.244       0.267       0.283
20150925       0.535       0.374       0.254       0.265
20150926       0.451       0.201       0.265       0.285
20150927       0.333       0.137       0.201       0.201
20150928       0.255       0.122       0.137       0.238
20150929       0.203       0.112       0.122       0.277
20150930       0.169       0.077       0.112       0.184
20151001       0.132       0.070       0.102       0.205
20151002       0.118       0.064       0.094       0.126
20151003       0.100       0.059       0.064       0.105
20151004       0.087       0.075       0.059       0.091
20151005       0.077       0.068       0.054       0.088
20151006       0.069       0.063       0.049       0.073
20151007       0.062       0.057       0.063       0.068
20151008       0.056       0.053       0.057       0.056
20151009       0.052       0.048       0.053       0.055
20151010  -10000.000       0.044       0.048       0.046
20151011       0.045       0.040       0.044       0.028
20151012       0.043       0.037       0.041       0.041
20151013       0.040       0.034       0.037       0.037
20151014       0.036       0.031       0.034       0.037
20151015       0.033       0.029       0.031       0.034
20151016       0.030       0.026       0.029       0.032
