date          Qobs       Qsimobs        Qsim       Qusi
20150801       6.506       7.545       9.731       7.938
20150802       5.420       6.568       7.730       5.763
20150803       5.616       8.461       7.258       5.512
20150804       5.296       6.168       7.903       5.643
20150805       4.456       6.300       6.525       4.742
20150806       3.985       6.363       6.086       4.111
20150807       3.534       5.472       6.259       4.060
20150808       3.265       6.517       5.407       3.019
20150809       2.922       5.916       6.152       3.195
20150810       2.676       4.356       5.642       2.712
20150811       2.551       4.203       4.339       2.059
20150812       2.621       4.953       4.103       2.401
20150813       2.900       5.645       4.379       2.517
20150814       2.819       5.162       5.381       3.059
20150815       2.466       4.191       4.796       2.801
20150816       2.071       3.820       4.201       2.372
20150817       1.710       3.401       3.816       2.014
20150818       1.471       3.043       3.411       1.628
20150819       1.276       2.737       3.051       1.363
20150820       1.110       2.509       2.744       1.184
20150821       0.977       2.292       2.505       1.035
20150822       0.865       2.135       2.294       0.913
20150823       0.768       2.014       2.139       0.838
20150824       0.711       1.931       2.023       0.752
20150825       0.668       1.873       1.934       0.698
20150826       0.615       1.800       1.873       0.650
20150827       0.571       1.716       1.799       0.610
20150828       0.539       1.675       1.717       0.579
20150829       0.510       3.243       1.672       0.551
20150830       0.530       4.399       3.152       0.703
20150831       0.593       5.138       3.872       0.646
20150901       0.713       4.242       5.201       0.809
20150902       0.715       3.410       4.077       0.736
20150903       0.642       2.862       3.398       0.668
20150904       0.580       2.463       2.862       0.585
20150905       0.555       3.952       2.592       0.563
20150906       0.577       4.179       3.790       0.712
20150907       0.635       3.312       3.745       0.654
20150908       0.669       2.766       3.353       0.659
20150909       0.654       2.441       2.854       0.610
20150910       0.605       2.147       2.481       0.575
20150911       0.560       1.826       2.013       0.526
20150912       0.514       1.613       1.828       0.496
20150913       0.476       1.492       1.614       0.462
20150914       0.440       1.439       1.466       0.428
20150915       0.410       1.392       1.419       0.429
20150916       0.382       1.355       1.400       0.420
20150917       0.360       1.333       1.358       0.375
20150918       0.356       1.343       1.360       0.376
20150919       0.369       1.504       1.608       0.426
20150920       0.547       3.544       2.686       0.746
20150921       0.893       2.183       2.817       0.624
20150922       0.914       1.804       2.170       0.725
20150923       0.783       1.613       1.804       0.768
20150924       0.716       5.109       1.605       0.700
20150925       0.678       2.983       4.043       0.888
20150926       0.663       3.566       3.358       0.736
