date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.167       1.690       2.336       2.916
20150802       1.702       1.285       1.706       1.496
20150803       2.827       1.901       1.472       1.377
20150804       2.268       1.116       1.535       2.604
20150805       1.961       1.171       1.170       1.641
20150806       2.667       1.395       1.113       1.428
20150807       2.173       1.293       1.304       2.251
20150808       2.124       1.508       1.191       1.931
20150809       2.484       2.629       1.297       1.843
20150810       1.895       1.729       1.870       2.566
20150811       1.683       1.413       1.585       1.409
20150812       4.291       2.969       1.660       1.716
20150813       5.059       2.486       2.067       3.364
20150814       3.922       1.651       2.006       3.911
20150815       2.420       1.222       1.621       2.901
20150816       2.222       1.306       1.279       1.940
20150817       1.909       1.060       1.276       1.967
20150818       1.336       0.929       1.106       1.703
20150819       1.124       0.851       0.972       1.168
20150820       1.027       0.830       0.872       0.960
20150821       0.961       0.783       0.840       0.915
20150822       0.907       0.766       0.808       0.870
20150823       0.882       0.713       0.799       0.886
20150824       0.865       0.795       0.768       0.858
20150825       0.919       0.790       0.798       0.857
20150826       0.941       0.785       0.800       0.838
20150827       1.230       0.861       0.780       0.876
20150828       1.518       0.918       0.723       0.980
20150829       2.994       1.976       0.989       1.586
20150830       5.295       3.208       2.850       4.513
20150831       5.485       3.580       2.103       4.397
20150901       4.075       3.616       2.853       4.065
20150902       2.242       1.260       2.321       3.159
20150903       1.384       0.704       1.175       1.121
20150904       0.978       0.564       0.698       0.827
20150905       0.980       1.153       0.610       0.724
20150906       6.332       4.228       1.110       1.166
20150907       3.799       1.543       2.242       5.455
20150908       2.747       0.899       1.550       2.165
20150909       1.685       0.816       1.004       1.814
20150910       1.221       0.624       0.795       1.133
20150911       0.930       0.413       0.496       0.921
20150912       0.738       0.396       0.430       0.673
20150913       0.647       0.404       0.402       0.691
20150914       0.627       0.448       0.412       0.606
20150915       0.638       0.406       0.407       0.593
20150916       0.624       0.438       0.404       0.566
20150917       0.604       0.390       0.425       0.552
20150918       0.571       0.431       0.390       0.546
20150919       3.111       0.842       0.738       0.920
20150920      10.285      10.380       5.346       8.105
20150921       4.299       2.956       5.139      10.671
20150922       1.999       1.270       2.604       2.028
20150923       1.229       0.858       1.227       0.965
20150924       0.911       2.593       0.964       0.907
20150925       0.755       0.989       1.350       0.988
20150926       3.041       2.827       1.284       0.657
20150927       7.444       5.591       2.940       3.185
20150928       3.437       1.703       3.347       5.591
20150929       2.795       1.538       1.683       1.685
20150930       7.592       5.526       3.370       3.419
20151001      10.123       6.416       6.528      10.194
20151002      11.867       8.387       6.424       9.108
20151003       7.807       6.099       7.771       9.840
20151004       5.633       4.951       4.907       5.527
20151005       3.850       2.162       3.720       3.545
20151006       1.919       0.998       1.758       1.999
20151007       1.147       0.671       0.998       1.088
20151008       0.802       0.452       0.672       0.774
20151009       0.607       0.347       0.452       0.544
20151010       0.506       0.313       0.347       0.486
20151011       1.191       2.407       0.658       0.845
20151012       1.842       1.493       1.296       1.342
20151013       2.390       1.619       1.377       1.626
20151014       4.650       5.875       2.176       2.428
20151015       6.765       3.431       3.585       4.632
20151016       8.228       8.823       4.977       5.200
20151017       5.725       4.383       5.484       7.171
20151018       5.014       5.228       4.583       3.973
20151019       2.361       2.061       3.347       3.920
20151020       1.435       1.095       1.699       1.258
20151021       1.223       1.671       1.251       1.018
20151022       1.316       1.542       1.533       1.453
20151023       4.278       5.377       1.843       1.493
20151024       3.502       2.604       3.465       3.852
20151025       4.381       6.618       3.290       3.101
20151026       3.922       4.034       3.905       3.878
20151027       2.111       2.592       2.962       2.426
20151028       1.270       1.058       1.919       1.406
20151029       0.867       0.716       1.057       0.743
20151030       0.653       0.479       0.765       0.681
20151031       0.776       0.635       0.789       0.706
20151101       5.449       6.014       1.616       1.502
20151102       7.152       4.132   -9999.000   -9999.000
20151103       8.549       4.943       4.956       6.361
20151104       9.774       8.020       5.479       8.526
20151105       5.199       4.851       6.075       8.713
20151106       2.798       2.469       3.631       3.761
20151107       1.736       1.220       2.210       1.833
20151108       1.799       2.528       1.629       1.557
20151109       1.682       1.709       1.370       1.618
20151110       1.134       1.927       1.467       1.316
20151111       1.224       1.532       1.561       1.103
20151112       1.397       4.163       1.479       1.053
20151113       1.059       1.299       2.232       1.562
20151114       0.855       1.281       1.414       0.640
20151115       0.679       0.770       1.072       0.700
20151116       0.556       0.651       0.775       0.565
20151117       0.460       0.601       0.597       0.464
20151118       0.404       0.452       0.563       0.428
20151119       0.398       0.848       0.552       0.437
20151120       0.390       0.579       0.658       0.419
20151121       0.381       0.626       0.585       0.400
20151122       0.361       0.359       0.408       0.288
20151123       0.359       0.412       0.511       0.480
20151124       0.333       0.504       0.457       0.370
20151125       0.295       2.640       0.418       0.394
20151126       0.385       4.720       2.065       1.004
20151127       0.807       6.275       4.351       1.268
20151128       0.990       6.678       4.327       1.155
20151129       0.775       3.900       4.442       1.102
20151130       0.599       1.358       3.028       0.696
20151201       0.523       1.062       1.418       0.442
20151202       0.540       5.483       1.713       0.788
20151203       0.535       3.181       4.065       1.312
20151204       0.672       4.551       2.804       0.709
20151205       0.608       1.773       3.999       1.214
20151206       0.597       4.760       2.402       0.869
20151207       0.662       4.814       2.889       0.986
20151208       0.603       3.145       3.619       1.129
20151209       2.266       4.406       2.933       0.802
20151210       3.260       3.183       2.895       1.904
20151211       1.920       2.961       2.388       2.445
