date          Qobs       Qsimobs        Qsim       Qusi
20150801       4.714       4.562       5.123       4.663
20150802       4.169       5.014       4.001       4.176
20150803       4.269       5.043       5.144       4.355
20150804       4.466       5.651       5.385       4.540
20150805       7.801       7.479       6.063       5.280
20150806       8.663       7.220       6.895       7.987
20150807      15.355       9.751       8.182       9.462
20150808       9.117       7.961       7.744      11.442
20150809       7.837       6.487       7.310       7.744
20150810      11.336       7.302       6.634       6.711
20150811      13.875       8.386       6.221       8.952
20150812      10.664       9.096       7.125      10.444
20150813       7.280       6.041       8.256       9.957
20150814       6.052       6.025       7.049       6.328
20150815       6.325       7.778       6.949       5.486
20150816       9.081       9.341       7.532       6.790
20150817       8.548       7.938       8.456       8.576
20150818       6.153       6.871       8.075       8.046
20150819       5.151       7.709       7.439       5.920
20150820       5.309       8.987       7.645       5.514
20150821       6.922       8.974       8.473       5.557
20150822       9.719      10.132       8.490       7.387
20150823       8.103       8.862       9.384       9.146
20150824       5.682       8.331       8.779       7.643
20150825       5.976       8.912       8.047       5.446
20150826       9.674       8.852       8.617       6.079
20150827       9.397       8.169       7.848       7.892
20150828       8.905       7.827       7.062       7.918
20150829      10.798       7.579       7.245       6.772
20150830      16.298      13.241       8.120       8.247
20150831      10.669      10.863       9.376      13.591
20150901       5.808       5.689       9.680       9.547
20150902       4.082       5.055       5.801       4.077
20150903       3.684       4.987       5.204       4.152
20150904       3.451       5.095       4.212       3.617
20150905       5.992       5.412       3.914       3.066
20150906       4.080       4.476       4.645       5.487
20150907       3.985       3.992       4.507       4.172
20150908       4.043       4.219       4.279       3.784
20150909       3.311       4.148       5.028       5.205
20150910       3.116       4.031       4.900       3.806
20150911       2.992       3.685       4.448       3.120
20150912       2.786       3.831       3.997       2.633
20150913       3.575       5.920       4.194       3.248
20150914       5.539       6.932       5.937       4.364
20150915       5.432       7.321       5.632       5.137
20150916       5.658       7.044       6.616       5.492
20150917       3.647       4.722       6.061       4.941
20150918       3.881       4.322       4.350       3.317
20150919       6.002       5.665       3.658       2.807
20150920       5.205       5.129       4.330       5.018
20150921       3.131       3.245       4.225       4.415
20150922       2.336       2.350       3.258       2.688
20150923       2.247       2.464       2.679       2.277
20150924       6.101       3.791       2.666       2.128
20150925       6.875       4.845       2.932       4.628
20150926       6.219       5.080       3.697       5.588
20150927       3.448       3.086       4.358       4.993
20150928       2.522       3.318       4.190       4.054
20150929       2.634       4.623       3.518       3.050
20150930       4.460       6.182       4.252       2.894
20151001       5.787       7.312       5.131       4.698
20151002       5.623       6.351       5.356       5.463
20151003       4.292       5.381       5.157       5.035
20151004       4.048       4.791       4.242       3.702
20151005       2.773       3.161       4.438       4.034
20151006       2.035       2.411       3.574       2.680
20151007       1.673       5.626       2.924       2.055
20151008       1.569       5.125       4.583       2.563
20151009       1.818       4.619       4.229       1.921
20151010       1.969       3.850       3.797       1.758
20151011       1.717       2.754       3.034       1.832
20151012       1.476       2.667       2.235       1.385
20151013       1.314       2.281       2.151       1.486
20151014       1.144       2.021       1.886       1.279
20151015       1.002       1.997       1.676       1.064
20151016       0.897       1.988       1.676       1.060
20151017       0.792       1.403       1.658       0.907
20151018       0.736       1.871       1.389       0.734
20151019       0.691       1.388       1.429       0.820
20151020       0.655       1.312       1.346       0.660
20151021       2.036       1.995       1.486       0.961
20151022      14.235       5.232       2.115       3.227
20151023       9.877       6.571       3.574      11.376
20151024      11.889       5.154       4.550       8.107
20151025       9.496       7.649       3.689       5.537
20151026       7.163       3.625       5.174       7.425
20151027       5.016       4.071       2.878       4.159
20151028       2.981       2.866       3.164       4.685
20151029       2.212       2.221       2.780       2.430
20151030       2.064       2.040       2.313       2.192
20151031      13.332       5.783       2.464       2.022
20151101      13.777       9.412       5.019      13.113
20151102       7.675       6.768   -9999.000   -9999.000
20151103       5.811       6.490       6.330       6.581
20151104       6.266       8.047       5.352       5.507
20151105       4.008       5.409       7.233       6.421
