date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.715       4.397       4.844       4.934
20150802       5.781       4.847       4.637       5.277
20150803       5.811       5.298       4.390       5.720
20150804       5.804       4.564       4.665       6.130
20150805       5.754       3.995       4.718       5.537
20150806       5.623       4.516       4.174       5.127
20150807       5.540       3.998       4.326       5.599
20150808       5.373       3.725       3.974       5.087
20150809       5.245       3.344       3.665       4.889
20150810       5.112       3.936       3.400       4.808
20150811       4.952       3.550       3.404       5.195
20150812       5.112       5.134       3.506       4.779
20150813       6.356       6.073       5.161       6.866
20150814       8.537       6.855       6.906       8.714
20150815       9.235       5.691       5.763       8.549
20150816       8.880       4.818       5.507       8.101
20150817       8.248       4.167       4.837       7.643
20150818       7.606       3.649       4.175       7.165
20150819       7.054       3.268       3.671       6.591
20150820       6.540       3.004       3.274       6.314
20150821       6.057       2.770       3.009       5.979
20150822       5.630       2.586       2.774       5.567
20150823       5.252       2.430       2.587       5.342
20150824       5.160       2.532       2.586       5.239
20150825       4.926       2.295       2.376       4.992
20150826       4.639       2.136       2.288       4.618
20150827       4.378       2.016       2.140       4.402
20150828       4.188       1.886       2.009       4.198
20150829       3.889       1.767       1.908       3.974
20150830       3.691       1.682       1.769       3.708
20150831       4.082       2.533       2.435       4.919
20150901       5.424       3.565       2.674       5.521
20150902       5.863       3.212       2.849       6.252
20150903       5.908       3.025       3.018       5.599
20150904       6.094       3.222       3.112       5.654
20150905       6.185       3.548       3.315       6.351
20150906       6.273       4.118       3.991       7.369
20150907       6.273       3.680       3.700       6.457
20150908       6.282       3.372       3.728       5.856
20150909       7.206       4.041       3.879       6.436
20150910       8.011       3.788       3.791       6.825
20150911       8.067       3.404       2.849       6.883
20150912       7.781       3.105       3.403       7.244
20150913       7.348       2.847       3.108       7.120
20150914       6.871       2.601       2.836       6.670
20150915       6.392       2.409       2.588       6.354
20150916       5.949       2.246       2.407       6.012
20150917       5.541       2.096       2.246       5.570
20150918       5.191       1.960       2.095       5.282
20150919       4.888       3.069       2.096       5.013
20150920       4.629       2.705       2.472       5.604
20150921       4.410       2.329       2.547       4.393
20150922       4.198       2.112       2.368       4.005
20150923       3.995       2.066       2.216       3.734
20150924       3.823       1.937       2.011       3.664
20150925       3.647       1.803       1.935       3.519
20150926       3.577       2.728       1.812       3.348
20150927       3.629       2.865       2.464       4.463
20150928       3.709       2.526       2.540       3.639
20150929       3.987       2.455       3.441       4.582
20150930       5.296       7.682       3.681       5.421
20151001       9.000      15.434       6.090       8.986
20151002      10.155      11.409       9.105      12.299
20151003      10.335      10.349      10.399       9.107
20151004      10.431      10.675       9.738       9.382
20151005       9.772       9.395       9.716      10.227
20151006       8.948       8.495       9.169       8.869
20151007       8.128       7.777       8.464       8.477
20151008       7.408       7.343       7.818       7.686
