date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.802       1.850       1.800       1.946
20150802       1.560       1.173       1.324       1.383
20150803       1.458       1.725       1.037       1.030
20150804       1.325       1.354       1.274       1.794
20150805       1.164       1.174       1.586       1.672
20150806       1.719       1.470       1.225       1.201
20150807       1.669       1.474       1.475       1.449
20150808       2.193       2.065       1.526       1.893
20150809       4.290       2.510       1.759       2.093
20150810       3.155       1.678       1.766       2.898
20150811       2.379       1.739       1.146       1.888
20150812       2.275       2.502       1.524       1.919
20150813       2.311       2.600       2.046       2.427
20150814       2.170       2.240       1.574       1.566
20150815       1.652       0.943       1.510       1.485
20150816       1.333       0.919       1.007       0.968
20150817       1.111       0.877       0.937       1.249
20150818       0.956       0.823       0.880       1.082
20150819       0.832       0.833       0.812       0.917
20150820       0.736       0.755       0.821       0.802
20150821       0.655       0.718       0.773       0.713
20150822       0.595       0.723       0.746       0.651
20150823       0.545       0.727       0.730       0.605
20150824       0.510       0.670       0.730       0.558
20150825       0.482       0.652       0.693       0.464
20150826       0.455       0.602       0.668       0.472
20150827       0.431       0.626       0.623       0.414
20150828       0.430       0.793       0.603       0.384
20150829       0.842       0.670       0.857       0.528
20150830       2.537       2.353       2.330       1.604
20150831       5.420       5.912       2.775       5.649
20150901       2.934       1.796       2.571       5.248
20150902       1.821       0.674       1.491       1.372
20150903       1.280       0.384       0.634       0.708
20150904       1.266       0.422       0.388       0.768
20150905       2.099       1.013       1.164       2.624
20150906       1.665       1.102       0.670       2.295
20150907       1.301       0.692       0.815       1.583
20150908       1.139       0.429       0.619       0.850
20150909       1.278       0.394       0.456       0.841
20150910       1.222       0.450       0.388       1.008
20150911       0.978       0.349       0.364       1.257
20150912       0.811       0.312       0.354       0.876
20150913       0.693       0.295       0.309       0.680
20150914       0.604       0.333       0.290       0.669
20150915       0.533       0.283       0.291       0.560
20150916       0.476       0.232       0.255       0.442
20150917       0.430       0.209       0.228       0.402
20150918       0.405       0.220       0.305       0.498
20150919       0.558       0.937       0.302       0.561
20150920       0.856       6.062       1.274       1.448
20150921       0.703       1.573       2.437       1.533
20150922       0.589       0.588       1.353       0.432
20150923       0.521       0.394       0.693       0.327
20150924       0.543       0.580       0.637       0.570
20150925       0.550       0.336       0.373       0.430
20150926       2.965       2.558       1.146       1.446
20150927       2.621       2.713       1.344       1.861
20150928       1.886       0.760       1.516       2.255
20150929       8.094       2.646       2.015       2.054
20150930       8.188       7.476       2.552       5.340
20151001       7.923      12.594       5.320      10.239
20151002       6.200       7.014       6.323       8.303
20151003       5.110       4.476       4.558       4.392
20151004       4.096       6.282       3.587       3.716
20151005       2.959       3.555       3.455       3.304
20151006       2.020       1.286       2.224       1.968
20151007       1.493       0.697       1.260       1.078
20151008       1.164       0.722       0.631       0.733
20151009       0.975       0.853       0.595       0.964
20151010       0.840       0.637       0.736       1.008
20151011       1.097       0.926       1.017       1.050
20151012       8.615       8.430       3.159       3.519
20151013      12.436       6.568       6.379       9.325
20151014       8.396       5.875       5.380       8.259
20151015      10.800       7.870       5.825       7.569
20151016      10.324      12.485       6.298       8.566
20151017      10.639      13.581       8.096      10.390
20151018       7.627       5.747       8.414       9.758
20151019       5.827       2.614       4.258       3.958
20151020       7.959       1.443       3.272       3.526
20151021       8.530       2.920       2.427       4.905
20151022       5.634       1.361       2.531       7.764
20151023       3.392       0.968       1.200       2.838
20151024       6.661       0.675       0.701       1.910
20151025      10.418       7.948       2.162       5.353
20151026       6.441       5.200       3.841      15.556
20151027       3.790       2.158       3.639       4.594
20151028       2.762       2.410       1.989       2.003
20151029       2.186       2.304       1.859       2.107
20151030       1.588       0.861       1.668       1.804
20151031       1.776       1.295       1.227       1.271
20151101      11.979       5.882       3.208       3.567
20151102       8.644       9.942   -9999.000   -9999.000
20151103       7.620      11.617       6.858       9.864
20151104       6.639       9.884       6.878       7.659
20151105       4.567       5.741       6.168       5.643
20151106       2.962       2.445       4.300       3.382
20151107       2.142       1.582       2.312       1.998
20151108       3.748       2.839       1.931       1.820
20151109       3.971       3.113       2.153       2.216
20151110       4.257       1.270       2.266       3.521
20151111       4.825       2.834       1.869       2.842
20151112       4.120       2.046       1.860       5.124
20151113       2.855       1.163       1.481       2.325
20151114       2.344       1.525       1.654       2.812
20151115       2.687       1.767       1.288       2.255
20151116       2.357       1.239       1.256       1.966
20151117       1.668       0.694       0.846       1.567
20151118       1.282       0.754       0.550       0.918
20151119       1.041       1.523       0.504       0.962
20151120       0.967       1.039       0.818       0.927
20151121       0.863       0.841       0.810       0.689
20151122       0.725       0.517       0.620       0.571
20151123       0.782       0.462       0.620       0.784
20151124       1.307       2.309       1.012       2.549
20151125       1.953       3.766       1.698       1.897
20151126       3.207       4.327       3.208       3.045
20151127       4.977       6.685       3.578       3.452
20151128       3.048       4.774       4.369       4.806
20151129       2.410       2.298       3.587       2.862
20151130       1.757       1.253       1.952       1.712
20151201       1.322       0.576       1.239       1.199
20151202       1.091       0.754       0.524       0.659
20151203       1.806       1.222       0.968       1.554
20151204       3.379       5.798       1.041       1.920
20151205       2.208       3.247       3.065       4.468
20151206       4.092      10.611       3.162       2.718
20151207       3.847       6.383       4.898       4.700
20151208       2.533       3.993       4.288       2.649
20151209       5.430       2.638       3.869       2.856
20151210       6.388       7.359       2.172       1.906
20151211       3.323       2.185       4.278       7.655
20151212       2.185       0.967       2.123       1.930
20151213       1.548       0.557       0.933       0.950
20151214       1.286       0.683       0.618       0.931
20151215       1.201       0.711       0.808       1.428
20151216       1.050       0.695       0.569       0.927
