date          Qobs       Qsimobs        Qsim       Qusi
20150801      12.224       9.058      12.019      13.300
20150802       9.184       9.758      10.318      12.376
20150803       8.754       9.150      10.823      10.062
20150804       9.020       9.569      11.338       9.527
20150805      20.289      23.405      13.327      11.960
20150806      19.288      14.493      20.486      18.764
20150807      22.714      18.373      14.793      17.227
20150808      22.051      15.063      15.707      16.779
20150809      15.277      12.287      15.124      21.261
20150810      13.516      10.492      13.087      14.840
20150811      20.409      12.618      11.172      11.707
20150812      25.650      19.765      11.638      14.061
20150813      15.212       9.149      17.305      28.242
20150814      11.369       8.708      11.657      14.603
20150815      12.717      11.929      10.754      12.416
20150816      25.302      22.419      11.950      12.545
20150817      29.397      16.802      18.409      17.017
20150818      21.925      17.075      16.173      24.724
20150819      17.316      14.098      16.149      21.553
20150820      15.727      13.547      14.038      16.343
20150821      15.097      11.871      13.149      14.694
20150822      15.347      13.527      11.752      14.037
20150823      14.115      10.614      12.979      15.024
20150824      14.054      10.848      11.025      12.053
20150825      19.455      12.280      10.738      12.379
20150826      38.220      32.137      15.346      18.397
20150827      25.986      17.381      32.330      51.267
20150828      18.075      12.352      16.732      20.826
20150829      16.145      10.442      12.394      14.771
20150830      21.395      18.790      10.653      12.332
20150831      17.275      12.732      16.683      22.522
20150901      11.731       7.628      11.423      13.868
20150902       8.673       7.094       7.638       9.021
20150903       8.574       7.791       7.608       8.651
20150904       8.437       7.061       6.823       7.673
20150905       9.307       8.374       6.453       7.703
20150906       7.955       6.127       7.155       7.527
20150907       6.333       5.417       5.988       7.287
20150908       5.490       4.533       5.856       6.433
20150909       5.346       4.309       5.574       5.806
20150910       5.547       4.335       5.130       5.517
20150911       5.617       4.500       4.564       5.248
20150912       6.054       5.441       4.440       5.042
20150913       7.382       6.589       5.232       6.418
20150914      20.023      17.726       7.050       7.465
20150915      18.865      11.660      14.296      16.660
20150916      24.527      28.701      13.750      20.210
20150917      14.296       9.719      20.228      19.639
20150918       9.658       7.885      10.536      11.473
20150919       9.985       7.863       7.244       7.858
20150920       9.051       5.653       7.204       8.443
20150921       7.138       4.383       5.514       7.727
20150922       5.849       3.931       4.534       6.354
20150923       5.197       4.767       4.347       5.840
20150924       5.402       4.949       4.444       5.033
20150925       8.180       9.574       4.997       5.184
20150926       8.766       9.157       7.824       7.171
20150927       7.549       5.250       8.008       7.769
20150928       6.007       4.330       5.697       6.540
20150929       4.917       3.717       4.542       5.686
20150930       4.357       3.279       3.858       4.276
20151001       5.748       4.461       3.725       4.119
20151002       7.802       4.562       4.174       4.821
20151003      10.392       4.620       5.016       9.191
20151004       7.663       4.390       3.999       9.764
20151005       6.313       3.172       3.651       7.129
20151006       5.170       3.970       2.886       5.430
20151007       4.278       4.258       3.241       5.336
20151008       3.592       3.983       3.461       4.229
20151009       3.068       3.254       3.423       3.487
20151010       2.671       2.655       2.805       2.344
20151011       2.350       2.325       2.533       2.396
20151012       2.101       2.313       2.232       2.149
20151013       1.888       2.006       2.138       1.944
20151014       1.702       1.660       1.921       1.754
20151015       1.536       1.416       1.681       1.583
20151016       1.397       1.218       1.443       1.440
20151017       1.272       1.061       1.248       1.241
20151018       1.163       0.959       1.131       1.119
20151019       1.068       0.866       0.987       1.114
20151020       0.991       0.783       0.874       0.932
20151021       1.026       1.372       1.012       1.070
20151022       3.157       6.959       2.997       2.565
20151023      17.948      31.583       8.243       2.458
20151024      10.427       7.648      20.517      20.371
20151025      11.816      18.466       7.869       7.202
20151026       9.623      10.615      15.219      11.225
20151027       8.087       9.227      10.169       7.890
20151028       6.557       5.524       7.795       6.201
20151029       5.270       4.250       5.514       4.951
20151030       4.406       3.526       4.844       4.876
20151031       6.188       9.096       5.660       5.444
20151101      17.185      25.968       9.247       7.341
20151102      13.760      15.615   -9999.000   -9999.000
20151103      10.850       8.314      13.244       9.659
20151104       8.757       7.895       7.934       7.362
20151105       7.833       5.815       6.972       6.630
20151106       6.322       5.525       5.494       6.530
20151107      10.865       7.522       6.162       7.308
20151108      10.753       8.433       6.574       9.721
20151109      10.374      23.128       6.081       4.553
20151110      12.182      14.357      18.474       9.833
20151111      11.307      24.084      13.469       8.890
20151112       9.070      14.373      19.279      11.091
20151113       8.278      17.362      11.800       6.860
20151114       7.640      10.831      14.555       7.184
20151115       7.333       5.409       8.754       6.123
20151116       6.586       6.383       5.627       4.854
20151117       6.099      11.254       5.784       8.142
20151118       5.600       8.011       8.852       6.928
20151119       4.806       6.094       6.366       4.255
20151120       4.011       3.409       4.987       3.420
20151121       3.324       2.881       3.409       2.806
20151122       2.776       2.440       2.881       3.028
20151123       2.433       2.070       2.480       2.771
20151124       2.349       1.783       2.157       2.556
20151125       2.224       1.895       1.778       2.016
20151126       2.107       1.959       2.520       3.115
20151127      20.960       7.978       4.977       7.957
20151128      35.113      13.330       5.637       4.163
20151129      12.956       4.053       9.006      36.664
20151130       7.814       2.768       3.635       7.547
20151201       6.223       5.661       2.532       5.624
20151202       5.377       4.604       6.585      12.432
20151203       5.233       5.883       3.640       4.520
20151204       4.842       4.584       5.559       4.924
20151205       6.238       6.274       4.964       7.507
20151206       9.193      23.809       4.984       5.544
20151207       7.387      27.609      15.318      11.006
20151208       5.979       7.314      20.314       8.599
20151209       7.246      14.503       7.489       3.614
20151210      11.784      22.919      10.062       5.458
20151211       9.914      21.317      15.849       7.501
20151212       6.935       8.525      14.999       7.637
20151213       5.379       4.804       7.270       3.774
20151214       4.362       3.065       4.105       3.186
20151215       3.716       2.482       3.065       3.551
20151216       3.113       2.036       2.520       3.267
20151217       3.182       1.673       3.728       6.287
20151218       4.403       4.981       3.587       4.768
20151219      23.123       8.124       8.512      11.078
20151220      51.960      26.075      19.636      55.413
20151221      41.161      34.570   -9999.000   -9999.000
20151222      19.373      20.430   -9999.000   -9999.000
20151223      11.700      14.896      17.345      14.430
20151224       9.516      25.383      12.701       8.959
20151225      10.066      29.824      17.620       8.587
20151226       7.587      15.096      20.262       9.634
20151227       5.772       4.729      11.633       4.655
20151228       4.710       3.725       4.729       2.896
20151229       4.041       3.057       3.725       3.930
20151230       3.614      12.030       3.377       4.258
20151231       3.778      28.673       7.014       8.550
20160101       4.029      25.950      17.211       5.465
20160102       3.702       9.234      17.058       4.370
20160103       3.135       5.470       7.998       2.129
20160104       2.612       4.304       5.278       2.296
20160105       2.201       3.507       4.304       2.391
20160106       1.904       2.858       3.507       1.994
20160107       1.693       2.330       2.858       1.602
20160108       1.526       1.872       2.330       1.489
20160109       1.368       1.639       1.872       1.244
20160110       1.249       1.486       1.639       1.297
20160111       1.194       1.354       1.486       1.186
20160112       1.140       1.224       1.347       1.066
20160113       1.083       1.109       1.224       1.052
20160114       1.036       1.006       1.110       0.946
20160115       1.012       0.912       1.006       0.964
20160116       1.008       0.827       0.912       0.888
20160117       0.946       0.749       0.827       0.926
20160118       0.920       0.679       0.749       0.818
20160119       0.881       0.616       0.679       0.790
20160120       0.836       0.558       0.616       0.814
20160121       0.794       0.506       0.558       0.714
20160122       0.750       0.459       0.506       0.744
20160123       0.782       0.414       0.475       1.099
20160124       0.804       0.825       0.672       1.981
20160125       0.844       4.169       1.561       2.606
20160126       1.793       9.533       2.825       2.416
20160127       3.717      13.974       5.926       1.980
20160128       4.014       5.986       9.554       3.370
20160129       3.911       6.375       5.118       2.758
20160130       4.494      28.463       4.723       2.594
20160131       3.917       6.783      19.301       5.207
20160201       3.394       3.551       6.037       2.231
20160202       3.305       2.888       3.154       2.218
20160203       2.960       2.948       2.560       2.481
20160204       2.524       2.673       2.446       2.406
20160205       2.218       2.469       2.400       2.980
20160206       2.050       1.910       2.200       3.867
20160207       2.018       5.051       1.932       2.375
20160208       1.917       6.652       3.578       2.469
20160209       1.838       7.304       4.323       1.863
20160210       1.701       4.629       4.936       1.654
20160211       1.517       2.334       3.713       1.141
20160212       1.341       1.901       2.325       1.099
20160213       1.230       1.555       1.901       1.127
20160214       1.131       1.296       1.555       1.073
20160215       1.052       1.080       1.296       0.992
20160216       0.985       0.889       1.080       0.853
20160217       0.966       0.795       0.889       0.784
20160218       0.944       1.008       0.791       0.938
20160219       0.902       0.762       0.861       0.971
20160220       0.876       1.100       0.762       0.812
20160221       0.915       1.357       0.909       1.064
20160222       0.957       1.337       1.132       1.088
20160223       0.928       1.530       1.199       1.111
20160224       0.880       1.719       1.324       0.998
20160225       0.831       1.486       1.542       0.992
20160226       0.786       1.654       1.398       0.831
20160227       0.751       1.814       1.469       0.905
20160228       0.715       2.004       1.587       0.878
20160229       0.683       1.671       1.668       0.748
20160301       0.658       1.280       1.558       0.646
20160302       0.685       1.120       1.279       0.573
20160303       0.667       0.888       1.097       0.615
20160304       0.648       0.769       0.889       0.557
20160305       0.623       0.704       0.769       0.635
20160306       0.603       0.608       0.671       0.529
20160307       0.581       0.551       0.608       0.528
20160308       0.562       0.500       0.551       0.510
20160309       0.547       0.453       0.500       0.484
20160310       0.530       0.411       0.453       0.516
20160311       0.515       0.372       0.411       0.482
20160312       0.500       0.338       0.372       0.468
20160313       0.508       0.306       0.402       0.632
20160314       0.523       0.421       1.375       1.828
20160315       0.566       0.909       1.549       1.734
20160316       0.646       0.857       2.205       1.754
20160317       0.851       0.724       1.712       0.876
20160318       1.161       1.278       0.857       0.549
20160319       1.408       0.800       1.002       1.304
20160320       1.508       0.727       0.823       1.313
20160321       1.526       0.622       0.699       1.440
20160322       1.488       0.731       0.711       1.784
20160323   -9999.000   -9999.000       0.717       1.546
20160324       1.337       0.971   -9999.000   -9999.000
20160325       1.261       0.826   -9999.000   -9999.000
20160326       1.202       0.986   -9999.000   -9999.000
20160327       1.658       3.492       1.488       2.077
20160328       2.664       6.501       2.480       2.107
20160329       3.392      11.914       4.845       6.049
20160330       3.916       4.016       7.103       4.132
20160331       3.470       2.986       3.665       2.169
20160401       2.888       2.397       2.966       2.886
20160402       2.613       1.934       2.422       2.716
20160403       2.251       1.664       2.003       2.234
20160404       2.073       2.306       1.919       2.203
20160405       2.661       4.769       2.816       2.872
20160406       3.986       2.782       3.977       3.574
20160407       5.003       2.406       3.082       2.972
20160408       5.327       2.055       2.590       3.915
20160409       4.741       1.651       1.990       4.056
20160410       4.151       1.360       1.651       3.723
20160411       3.841       1.318       1.360       3.051
20160412       3.836       1.093       1.141       2.986
20160413       3.980       1.313       1.005       3.067
20160414       3.979       1.430       1.205       3.522
20160415       3.867       1.690       1.316       3.946
20160416       3.571       1.248       1.447       3.682
20160417       3.330       1.061       1.220       2.746
20160418       3.355       1.565       1.085       3.147
20160419       3.520       1.593       1.385       4.218
20160420       3.633       1.943       1.599       3.720
20160421       3.807       2.298       1.861       4.564
20160422       4.083       2.210       1.988       3.859
20160423       3.689       1.695       2.010       3.672
20160424       3.287       1.383       1.648       3.070
20160425       3.007       1.143       1.383       2.654
20160426       2.682       0.949       1.143       2.377
20160427       2.417       0.860       0.935       1.962
20160428       2.322       0.814       0.847       2.066
20160429       2.302       1.383       0.899       2.652
20160430       2.350       1.286       1.180       2.742
20160501       2.609       2.429       1.161       2.430
20160502       2.976       2.962       2.030       3.631
20160503       4.105       8.307       4.550       5.647
20160504       6.093       3.491       5.645       5.197
20160505       6.500       7.246       5.119       4.820
20160506       6.740      10.786       7.099      10.027
20160507       7.275      15.132       9.996       8.403
20160508      10.868      24.179      14.765      10.079
20160509      18.651      32.759      21.816      12.735
20160510      21.426      34.975      28.440      20.501
20160511      22.319      33.572      29.923      21.557
20160512      21.468      32.127      29.941      22.401
20160513      16.128      16.187      23.020      17.767
20160514      10.524       6.679      12.398       9.988
20160515       8.258       6.090       6.064       5.636
20160516       8.118       7.695       5.538       8.104
20160517       8.775       8.656       6.829       8.878
20160518       8.836       7.123       7.331       9.395
20160519       8.970       5.741       6.786       9.512
20160520      13.251      14.516       7.539      10.596
20160521      18.985      19.561      12.673      19.312
20160522      25.919      26.013      21.462      21.910
20160523      28.732      31.095      23.157      30.338
20160524      27.694      22.509      23.555      25.093
20160525      19.002      24.782      20.537      23.628
20160526      17.340      28.708      21.615      32.835
20160527      17.569      31.574      25.224      26.018
20160528      20.404      36.283      28.768      18.212
20160529      20.605      31.737      30.187      18.196
20160530      23.578      29.918      30.513      18.082
20160531      46.049      38.332      31.119      21.090
20160601      46.833      35.068      39.603      43.189
20160602      43.603      37.811      39.746      48.466
20160603      41.970      39.748      36.629      41.975
20160604      37.285      40.958      36.006      36.384
20160605      28.479      41.478      36.344      34.898
20160606      27.421      40.056      36.969      26.916
20160607      30.777      36.869      35.442      24.412
20160608      30.214      29.914      32.140      25.349
20160609      19.062      22.006      25.340      24.226
20160610      14.015      16.244      18.270      14.160
20160611      11.871      17.345      15.000      11.233
20160612      12.209      19.281      15.939      11.059
20160613      13.628      19.948      17.675      11.854
20160614      14.788      17.943      18.301      11.960
20160615      16.514      21.751      19.423      13.937
20160616      18.620      19.292      19.484      15.201
20160617      19.267      18.036      18.120      15.607
20160618      20.145      17.543      17.088      17.143
20160619      19.367      14.301      15.536      16.641
20160620      14.780      11.192      12.391      15.800
20160621      22.254      24.273      14.240      14.529
20160622      18.917      11.806      20.737      21.245
20160623      16.341      13.506      12.279      14.143
20160624      18.201      13.607      13.056      13.922
20160625      29.691      30.260      15.085      18.737
20160626      26.225      15.412      24.031      28.489
20160627      35.971      26.641      17.149      19.528
20160628      26.327      14.802      21.582      29.392
20160629      17.303       9.312      13.470      17.578
20160630      20.786      12.794      10.576      13.479
20160701      22.676      12.364      12.229      18.820
20160702      22.629      16.065      13.134      21.115
20160703      20.011      16.858      17.748      23.151
20160704      14.612       9.916      14.372      16.854
20160705      12.030       8.996      10.321      11.956
20160706      11.300       8.731       8.735      10.687
20160707       9.576       6.665       7.817       9.122
20160708       9.005       6.827       6.727       8.556
20160709      10.042       7.581       8.116       9.805
20160710      11.646       6.444       7.024       9.183
20160711      15.051      12.052      11.074      16.332
20160712      15.851       9.967      11.989      16.476
20160713      15.735       9.070       9.635      14.566
20160714      15.284       8.193      10.358      14.136
20160715      12.942       7.351       7.792      14.691
20160716      13.760       8.937       7.609      11.991
