date          Qobs       Qsimobs        Qsim       Qusi
20150801       2.321       1.488       3.097       2.646
20150802       1.868       2.795       3.021       2.396
20150803       1.830       1.427       2.698       1.592
20150804       1.615       0.959       1.800       1.219
20150805       2.103       5.731       4.232       5.167
20150806       2.584       2.561       3.296       1.959
20150807       2.238       1.237       2.248       1.696
20150808       1.806       1.057       1.233       1.280
20150809       1.458       1.002       1.057       1.465
20150810       1.263       0.956       1.003       1.327
20150811       1.151       0.911       0.956       1.165
20150812       1.100       1.152       0.913       1.105
20150813       1.006       0.875       0.923       0.950
20150814       0.930       0.834       0.875       1.633
20150815       1.717       3.629       1.166       1.224
20150816      17.746      42.196       5.442       3.151
20150817      24.819      18.409      21.548      20.169
20150818      12.354       8.603      13.644      16.168
20150819       7.549       5.824       8.601       8.116
20150820       5.248       3.884       5.823       5.589
20150821       4.014       2.463       3.884       3.562
20150822       3.268       1.407       2.463       2.621
20150823       2.716       1.285       1.407       1.785
20150824       2.337       1.225       1.285       2.302
20150825       2.736       4.455       1.877       3.340
20150826       7.046       6.926       7.512       6.553
20150827      20.911      32.744      11.320      14.729
20150828      15.297      10.740      16.031      19.412
20150829       9.383       8.376      10.010      10.211
20150830       7.092       6.218       7.856       7.296
20150831       5.656       3.961       5.629       5.186
20150901       4.837       2.577       4.023       4.473
20150902       9.030       8.686       8.367       8.480
20150903      24.720      25.303      13.885      15.577
20150904      39.622      36.241      24.939      27.206
20150905      21.239      11.988      29.618      32.253
20150906      12.549       8.086      11.594      11.082
20150907       8.636       6.004       8.080       8.866
20150908       6.422       4.212       5.676       6.389
20150909       5.012       2.797       3.962       4.572
20150910       4.181       1.941       2.811       3.361
20150911       3.566       1.861       1.943       2.790
20150912       3.086       1.786       1.861       3.222
20150913       3.926       1.870       2.384       3.678
20150914      36.684      47.817      12.353      15.755
20150915      74.815      69.403      53.450      56.122
20150916      63.548      38.600      55.866      56.732
20150917      51.175      55.746      60.706      62.923
20150918      56.006      34.022      45.248      43.357
20150919      24.538      12.300      26.842      28.684
20150920      14.554       8.800      12.299      12.495
20150921      10.275       6.245       8.847      10.739
20150922      17.920      11.547       8.033       9.747
20150923      29.414      19.548      21.938      21.547
20150924      16.073       8.600      15.939      23.462
20150925      17.184      10.379      11.309      13.014
20150926      16.888       8.119      10.246      13.260
20150927      11.213       5.170       7.574      12.182
20150928       8.361       3.654       5.170       7.838
20150929       6.721       2.555       3.654       5.454
20150930       5.579       2.081       2.555       4.474
20151001       4.745       1.997       2.214       4.278
20151002       4.121       1.916       2.128       3.996
20151003       3.619       1.837       1.916       3.617
20151004       3.230       1.883       1.837       3.255
20151005       2.903       1.808       1.762       2.795
20151006       2.620       1.736       1.691       2.760
20151007       3.624       2.548       1.911       2.764
20151008      14.563       9.204       8.964       8.951
20151009      18.562      11.332      11.825      16.384
20151010      18.568       8.335      11.274      16.681
