date          Qobs       Qsimobs        Qsim       Qusi
20150801      12.849      11.734      13.635      12.226
20150802      15.906      27.112      14.510      13.729
20150803      18.831      20.880      24.240      21.556
20150804      18.771      19.821      22.722      18.251
20150805      25.906      30.057      22.573      19.779
20150806      25.427      21.307      24.137      26.612
20150807      24.159      25.299      21.447      21.351
20150808      22.599      22.930      22.337      21.567
20150809      19.022      18.345      20.527      19.745
20150810      16.837      14.831      18.273      16.245
20150811      17.590      19.176      15.619      14.216
20150812      20.242      16.345      16.943      16.988
20150813      18.109      12.746      17.802      18.944
20150814      14.876      11.967      14.439      16.770
20150815      14.476      15.288      12.619      14.578
20150816      25.983      31.874      16.217      16.179
20150817      30.161      24.842      27.048      23.869
20150818      25.388      20.210      21.752      28.383
20150819      20.234      17.779      20.450      22.273
20150820      16.692      16.680      18.483      18.437
20150821      13.988      14.062      17.108      15.411
20150822      12.388      13.123      14.095      12.505
20150823      11.320      11.271      12.996      11.406
20150824      10.203      10.991      11.295      10.128
20150825       9.566      10.539      11.088      10.105
20150826      11.232      20.870      11.369       9.898
20150827      13.678      18.531      20.579      16.022
20150828      19.389      31.463      21.188      16.833
20150829      24.343      39.329      29.545      22.539
20150830      24.450      47.491      31.124      25.325
20150831      20.665      33.371      37.424      24.796
20150901      16.013      23.061      29.815      18.128
20150902      13.389      21.847      25.485      14.961
20150903      11.396      16.528      20.669      12.607
20150904       9.606      13.236      17.746       9.520
20150905       8.679      13.926      13.108       8.221
20150906       7.714       9.834      12.305       7.581
20150907       6.620       8.327       9.851       6.069
20150908       5.697       6.965       8.205       5.684
20150909       4.931       5.905       6.893       4.884
20150910       4.336       5.172       6.016       4.275
20150911       3.861       4.626       5.228       3.828
20150912       3.505       4.477       4.653       3.393
20150913       4.409       4.593       4.451       3.235
20150914      10.113      20.000       6.327       5.181
20150915      12.171      14.859      11.110      13.870
20150916      14.267      16.157      16.167      13.066
20150917      12.544      10.969      15.611      15.087
20150918      10.764      12.914      11.440      10.550
20150919      11.135      10.753      11.621       9.977
20150920      10.627      11.403      10.260       9.731
20150921       9.184       8.673       9.037       9.229
20150922       7.640       7.052       7.339       7.712
20150923       6.432       6.825       6.960       6.513
20150924       5.771       5.609       6.291       5.748
20150925       8.996      29.638       7.837       6.651
20150926      16.487      37.131      25.067      15.299
20150927      17.637      21.365      27.957      16.977
20150928      14.470      14.276      20.463      13.875
20150929      11.318      11.580      16.014      11.448
20150930       8.956       5.849      12.995       9.396
20151001       7.289       5.201       9.211       7.272
20151002       6.260       4.927       7.650       5.955
20151003       6.187       4.798       4.643       5.720
20151004       5.793       5.114       4.378       5.797
20151005       5.139       4.207       4.011       5.146
20151006       4.567       3.879       3.329       4.641
20151007       3.982       3.688       3.771       4.087
20151008       3.444       5.445       4.191       4.406
20151009       3.701       8.131       5.437       4.373
20151010       3.818       5.407       5.944       3.843
20151011       3.656       4.474       5.338       3.154
20151012       3.389       3.614       4.403       2.966
20151013       3.082       3.112       3.704       2.808
20151014       2.797       2.558       3.167       2.662
20151015       2.526       2.181       2.558       2.372
20151016       2.290       1.893       2.181       2.197
20151017       2.079       1.671       1.894       2.029
20151018       1.890       1.501       1.672       1.876
20151019       1.728       1.368       1.501       1.728
20151020       1.599       1.278       1.377       1.659
20151021       1.596       4.414       2.032       2.348
20151022       4.285      20.334       4.254       3.315
20151023      23.269      71.965      21.280       6.429
20151024      24.874      28.411      46.459      34.070
20151025      28.787      52.209      34.053      20.353
20151026      30.231      46.535      41.202      29.602
20151027      25.655      26.289      37.752      26.781
20151028      19.330      18.973      25.222      16.876
20151029      14.392      14.641      19.554      15.550
20151030      10.886      11.363      15.303      11.808
20151031       8.642       9.621      11.838       9.349
20151101       7.805      12.605       9.815       7.679
20151102       7.041       9.033   -9999.000   -9999.000
20151103       6.118       7.189      10.442       6.168
20151104       5.321       6.346       7.176       5.277
20151105       4.636       5.256       6.002       4.777
20151106       4.030       4.575       7.026       5.082
20151107       5.190       9.172       6.464       5.113
20151108       7.159      16.359       7.609       4.933
20151109      13.694      33.565      13.503      10.653
20151110      24.131      46.085      28.047      18.348
20151111      30.425      45.677      35.792      29.628
20151112      35.357      50.077      37.071      29.313
20151113      42.025      60.003      43.707      33.737
20151114      40.239      47.522      48.403      41.758
20151115      42.603      74.748      47.354      37.376
20151116      38.558      46.561      45.913      40.188
20151117      39.472      54.316      47.422      32.897
20151118      37.737      57.444      49.547      39.647
20151119      29.285      34.353      48.984      34.644
20151120      21.181      20.969      29.834      21.099
20151121      15.375      16.246      20.969      15.359
20151122      11.345      12.666      16.246      13.049
20151123       8.694      10.113      12.666       9.263
20151124       7.258       9.476      10.378       7.678
20151125       6.678       9.116       9.134       6.487
20151126       6.029       6.857       9.815       6.931
20151127      17.646      14.578      11.082       8.528
20151128      39.004      36.589      10.524      13.033
20151129      38.695      28.709      21.472      44.837
20151130      30.867      23.079      26.406      34.547
20151201      23.677      19.685      22.648      26.739
20151202      20.613      16.685      20.204      22.198
20151203      29.570      35.028      16.160      15.566
20151204      34.374      36.858      29.306      36.563
20151205      57.455     115.422      35.735      38.583
20151206      90.670     117.866      71.481      73.772
20151207      73.728      96.094      92.681      90.050
20151208      52.034      52.876      76.226      60.252
20151209      52.732      78.158      58.297      40.486
20151210      59.366      96.822      62.342      49.331
20151211      51.837      65.191      73.498      56.944
20151212      37.677      41.329      56.078      40.900
20151213      25.393      25.118      39.186      27.756
20151214      17.733      19.496      24.964      18.221
20151215      12.942      15.310      19.493      15.171
20151216       9.775      12.172      15.713      10.924
20151217       8.814      11.600      15.305      10.210
20151218      16.658      21.864      13.883       8.931
20151219      37.037      24.019      23.698      21.833
20151220      64.242      96.440      31.080      47.206
20151221      76.700     107.522   -9999.000   -9999.000
20151222      65.492      87.637   -9999.000   -9999.000
20151223      54.634      86.409      76.350      57.461
20151224      44.682      65.452      73.059      50.985
20151225      45.244      89.507      54.403      35.492
20151226      35.157      50.600      65.033      44.770
20151227      24.239      28.837      48.313      28.549
20151228      17.011      22.227      29.118      16.953
20151229      12.469      17.473      22.240      13.794
20151230       9.615      17.005      19.027      11.677
20151231       9.969      21.824      18.135      10.993
20160101      11.232      33.646      18.934      11.714
20160102      10.598      19.294      24.072      12.418
20160103       8.538      15.127      19.782       9.287
20160104       6.700      12.058      15.127       7.869
20160105       5.291       9.728      12.058       6.021
20160106       4.293       7.957       9.728       4.859
20160107       3.601       6.585       7.957       3.944
20160108       3.079       5.565       6.611       3.315
20160109       2.702       4.787       5.585       2.778
