date          Qobs       Qsimobs        Qsim       Qusi
20150801       5.239       1.041       1.353       4.674
20150802       4.287       1.809       1.313       5.630
20150803       3.792       0.958       1.216       3.655
20150804       4.571       0.944       1.085       3.298
20150805      16.093      14.295       4.128      12.519
20150806      10.674       3.109      13.107      13.639
20150807       9.525       3.304       3.489       6.238
20150808       8.535       1.358       2.559       5.591
20150809       5.792       1.124       1.331       4.998
20150810       4.779       1.008       1.143       5.085
20150811       6.872       1.054       1.022       4.199
20150812       8.439       3.086       1.073       5.204
20150813       5.270       1.022       1.985       7.740
20150814       3.998       0.991       1.022       3.521
20150815       3.806       0.964       0.991       4.318
20150816       5.179       1.048       0.975       3.754
20150817       6.048       0.952       0.997       4.076
20150818       5.156       0.935       0.970       6.244
20150819       4.392       0.927       0.941       5.570
20150820       4.087       0.919       0.927       4.569
20150821       3.764       0.911       0.919       4.357
20150822       3.483       0.903       0.911       4.006
20150823       3.329       0.895       0.903       3.708
20150824       3.039       0.867       0.895       3.527
20150825       9.326       1.918       0.898       3.123
20150826      23.994      20.028       7.502      12.178
20150827      16.097      10.885      14.511      20.950
20150828      10.770       6.081      11.161      12.300
20150829       6.547       3.691       4.979       5.213
20150830       4.801       1.787       3.308       3.848
20150831       3.964       1.143       1.577       2.414
20150901       3.408       1.033       1.082       2.513
20150902      10.876       8.086       2.109       6.260
20150903      20.638      12.581      10.307      10.819
20150904      11.226       4.654       9.465      12.828
20150905       7.291       4.192       4.542       5.698
20150906       5.058       1.166       3.341       4.751
20150907       3.910       1.053       1.166       2.305
20150908       3.158       1.012       1.055       3.970
20150909       2.707       1.923       1.013       3.332
20150910       2.377       0.994       0.983       2.713
20150911       2.137       0.964       0.954       2.428
20150912       2.179       0.940       0.968       2.031
20150913       6.185       8.684       1.668       3.271
20150914      15.450      11.797       9.446       7.577
20150915      25.690      16.866       8.114      10.213
20150916      27.941      25.161      18.790      21.082
20150917      17.774      10.629      22.034      26.532
20150918      14.830      15.418      12.056      11.826
20150919       9.569       5.329      11.710      10.131
20150920       6.476       3.120       5.182       5.268
20150921       4.840       1.238       2.370       2.970
20150922       4.273       1.181       1.312       3.000
20150923       4.018       4.951       2.335       6.884
20150924       3.800       1.175       3.384       3.907
20150925       6.775       7.734       3.112       3.955
20150926       5.203       3.803       5.385       6.652
20150927       3.891       1.241       3.121       2.920
20150928       3.193       1.141       1.185       1.724
20150929       2.753       1.105       1.141       3.057
20150930       2.400       0.972       1.105       2.893
20151001       2.208       0.963       1.079       2.335
20151002       2.050       0.955       1.060       2.143
20151003       1.846       0.960       0.962       2.115
20151004       1.769       0.987       0.954       1.928
20151005       1.642       0.978       0.946       1.742
20151006       1.562       0.978       0.939       1.646
20151007       1.487       0.982       0.978       1.518
20151008       1.405       0.970       0.975       1.482
20151009       1.347       1.089       0.994       1.599
20151010       1.297       0.976       1.106       1.612
20151011       1.244       1.060       0.972       1.397
20151012       1.209       0.960       0.969       1.198
20151013       1.147       0.968       0.961       1.139
20151014       1.049       0.950       0.953       1.203
20151015       0.961       0.942       0.947       1.030
20151016       0.920       0.934       0.944       0.918
20151017       0.863       0.927       0.969       0.828
20151018       0.835       0.919       0.966       0.806
20151019       0.797       0.912       0.920       0.811
20151020       0.743       0.904       0.912       0.790
20151021       0.782       0.902       1.056       0.744
20151022       0.918       1.277       1.405       1.056
20151023       1.101       9.354       1.597       1.270
20151024       0.961       1.987       6.112       1.144
20151025       1.006       2.115       1.935       0.550
20151026       0.913       1.251       1.892       0.979
20151027       0.888       1.053       1.087       0.789
20151028       0.825       0.927       1.015       0.801
20151029       0.598       0.912       0.986       0.798
20151030       0.786       0.899       0.964       0.575
20151031       0.904       1.301       1.134       0.893
20151101       1.090       3.536       2.856       1.535
20151102       0.989       1.993   -9999.000   -9999.000
20151103       0.957       1.287       1.697       0.613
20151104       0.976       0.991       1.293       0.634
20151105       0.995       0.912       0.929       0.677
20151106       1.010       0.901       0.915       0.984
20151107       1.642       2.948       2.175       2.048
20151108       1.660       2.967       2.286       1.198
20151109       1.582       4.132       2.143       1.699
20151110       1.350       2.431       3.176       1.848
20151111       1.247       2.710       2.457       1.453
20151112       1.166       2.216       2.526       1.085
20151113       1.081       1.508       1.945       0.871
20151114       0.986       1.065       1.575       0.913
20151115       1.055       3.077       1.130       0.948
20151116       0.999       1.558       1.759       0.972
20151117       1.042       1.199       1.521       1.119
20151118       1.056       1.107       1.583       1.148
20151119       1.149       1.058       1.338       1.051
20151120       1.900       1.010       1.053       0.931
20151121       1.047       0.976       1.010       1.938
20151122       0.749       0.945       0.976       1.106
20151123       0.794       0.928       0.946       1.121
20151124       0.910       0.919       0.933       0.849
20151125       0.814       0.896       0.915       0.923
20151126       0.725       0.888       1.158       1.039
20151127       1.606       4.271       1.591       1.881
20151128       2.126       8.560       2.519       1.108
20151129       1.501       2.450       7.094       2.284
20151130       1.179       1.066       2.412       0.832
20151201       1.311       1.084       1.224       0.609
20151202       1.140       1.179       1.231       2.217
20151203       1.058       1.153       1.134       1.155
20151204       1.256       1.421       1.157       1.188
20151205       1.597       1.396       1.763       2.087
20151206       1.998       6.819       1.418       1.478
20151207       1.648       3.296       4.455       2.004
20151208       1.395       1.531       2.977       1.517
20151209       1.371       1.579       1.603       1.046
20151210       1.407       2.978       1.373       1.176
20151211       1.396       1.815       2.326       1.285
20151212       1.363       1.332       1.565       1.007
20151213       1.268       1.222       1.342       1.184
20151214       1.261       1.129       1.220       1.139
20151215       1.155       1.070       1.130       1.226
20151216       1.178       0.959       1.064       1.106
20151217       1.164       1.020       1.702       1.328
20151218       1.277       1.054       2.034       1.294
20151219       1.618       3.112       3.262       2.012
20151220       4.547      10.007       5.285       3.402
20151221       6.235      15.571   -9999.000   -9999.000
20151222       3.406       6.414   -9999.000   -9999.000
20151223       2.681       3.236       5.716       2.353
20151224       2.695       2.398       3.243       1.990
20151225       2.724       4.781       2.135       1.680
20151226       5.276       1.751       3.512       2.473
20151227       6.775       1.082       1.748       2.713
20151228       5.068       1.063       1.081       3.780
20151229       3.319       0.988       1.048       4.656
20151230       2.247       0.959       0.996       3.132
20151231       1.756       1.120       0.981       2.213
20160101       1.646       0.928       0.964       1.567
20160102       1.407       0.956       0.932       1.546
20160103       1.252       0.898       0.918       1.402
20160104       1.266       0.864       0.895       1.185
20160105       1.235       0.841       0.862       1.201
20160106       1.032       0.818       0.839       1.139
20160107       0.926       0.798       0.818       1.040
20160108       0.887       0.781       0.798       0.924
20160109       0.830       0.778       0.783       0.879
20160110       0.820       0.889       0.779       0.828
20160111       0.796       0.951       0.845       0.839
20160112       0.772       0.847       0.922       0.784
20160113       0.727       0.855       0.858       0.738
20160114       0.691       0.830       0.852       0.742
20160115       0.669       0.790       0.831       0.704
20160116       0.681       1.014       0.842       0.677
20160117       0.628       0.856       0.964       0.712
20160118       0.618       0.839       0.862       0.641
20160119       0.636       0.840       0.846       0.604
20160120       0.584       0.786       0.825       0.641
20160121       0.549       0.757       0.786       0.584
20160122       0.524       0.733       0.757       0.558
20160123       0.513       0.846       0.738       0.506
20160124       0.497       0.770       0.847       0.554
20160125       0.491       0.786       1.574       0.599
20160126       0.733       1.838       0.785       0.493
20160127       0.702       1.774       1.102       0.772
20160128       0.625       1.065       1.368       0.680
20160129       0.629       0.754       1.000       0.432
20160130       0.742       1.405       0.877       0.569
20160131       0.809       1.122       0.961       0.712
20160201       0.781       0.992       1.107       0.797
20160202       0.782       1.123       1.072       0.786
20160203       0.724       1.034       1.133       0.816
20160204       0.673       0.965       1.035       0.766
20160205       0.768       0.876       0.954       0.670
20160206       0.722       0.924       0.900       0.821
20160207       0.736       1.076       0.933       0.768
20160208       0.713       1.243       0.941       0.775
20160209       0.786       1.151       0.980       0.671
20160210       0.739       0.935       1.074       0.751
20160211       0.672       0.856       0.925       0.710
20160212       0.623       0.794       0.856       0.618
20160213       0.598       0.745       0.797       0.611
20160214       0.569       0.705       0.745       0.558
20160215       0.550       0.671       0.705       0.551
20160216       0.537       0.644       0.672       0.538
20160217       0.537       0.594       0.647       0.506
20160218       0.524       0.579       0.627       0.518
20160219       0.499       0.568       0.609       0.522
20160220       0.492       0.642       0.608       0.538
20160221       0.514       0.645       0.638       0.502
20160222       0.499       0.596       0.627       0.502
20160223       0.456       0.623       0.614       0.487
20160224       0.469       0.585       0.625       0.464
20160225       0.441       0.569       0.587       0.444
20160226       0.421       0.561       0.573       0.434
20160227       0.429       0.547       0.563       0.406
20160228       0.415       0.534       0.549       0.436
20160229       0.394       0.523       0.534       0.417
20160301       0.392       0.514       0.524       0.393
20160302       0.402       0.798       0.558       0.402
20160303       0.429       0.720       0.741       0.452
20160304       0.425       0.729       0.714       0.422
20160305       0.415       0.739       0.719       0.441
20160306       0.406       0.700       0.743       0.410
20160307       0.399       0.675       0.682       0.392
20160308       0.383       0.609       0.669       0.398
20160309       0.369       0.572       0.624       0.356
20160310       0.359       0.546       0.577       0.362
20160311       0.349       0.525       0.550       0.351
20160312       0.344       0.507       0.525       0.343
20160313       0.343       0.500       0.508       0.352
20160314       0.809       3.402       1.222       1.184
20160315       1.569       6.372       5.699       3.175
20160316       1.050       7.832      10.235       6.925
20160317       1.001      11.264       9.335       1.503
20160318       0.999       8.132       8.014       1.190
20160319       0.885       2.557       6.256       0.818
20160320       0.665       0.861       2.561       0.562
20160321       0.569       0.520       0.861       0.265
20160322       0.517       0.603       0.528       0.408
20160323   -9999.000   -9999.000       0.519       0.468
20160324       1.613       0.511   -9999.000   -9999.000
20160325       0.440       0.515   -9999.000   -9999.000
20160326       0.443       0.514   -9999.000   -9999.000
20160327       0.451       2.345       0.616       0.780
20160328       0.475       1.981       1.416       0.669
20160329       0.476       1.823       1.801       0.846
20160330       4.567       0.670       1.334       0.360
20160331       3.306       0.553       0.669       2.945
20160401       0.416       0.550       0.558       3.587
20160402       0.401       0.615       0.577       0.486
20160403       0.429       0.732       0.593       0.489
20160404       0.413       0.850       0.673       0.636
20160405       0.462       2.447       1.847       1.591
20160406       0.548       2.903       2.095       0.610
20160407       0.652       2.161       2.070       0.618
20160408       0.630       1.361       1.712       0.629
20160409       1.456       0.607       1.029       0.396
20160410       1.188       0.579       0.608       0.908
20160411       0.539       0.559       0.580       1.340
20160412       1.057       0.543       0.560       0.518
20160413       0.758       0.523       0.544       1.183
20160414       0.636       0.717       0.562       0.899
20160415       0.667       0.789       0.640       0.901
20160416       0.629       0.559       0.746       0.567
20160417       0.617       0.537       0.557       0.620
20160418       0.612       0.578       0.539       0.657
20160419       0.665       0.653       0.557       0.641
20160420       0.698       0.893       0.599       0.741
20160421       0.685       0.903       0.665       1.228
20160422       0.698       0.536       0.672       0.546
20160423       0.635       0.546       0.548       0.599
20160424       0.589       0.521       0.537       0.632
20160425       0.556       0.578       0.523       0.566
20160426       0.731       0.580       0.559       0.594
20160427       0.941       0.529       0.596       0.768
20160428       0.798       0.512       0.541       1.059
20160429       0.462       0.592       0.603       1.222
20160430       0.456       0.751       0.636       0.673
20160501       0.461       0.947       0.624       0.549
20160502       0.528       1.621       0.795       0.571
20160503       0.699       4.232       2.408       1.446
20160504       0.792       3.805       3.358       0.931
20160505       0.958       4.751       3.663       0.792
20160506       1.199       7.429       4.303       1.371
20160507       1.668      10.038       7.197       1.739
20160508       3.051      15.306      11.050       2.378
20160509       4.739      17.922      15.357       4.194
20160510       6.066      20.209      18.869       6.428
20160511       7.472      20.208      19.877       6.756
20160512       8.370      18.024      19.931       8.406
20160513       8.578      14.681      15.408       7.880
20160514       6.503       5.497      11.207       6.794
20160515       5.305       2.580       5.281       3.285
20160516       5.023       2.224       2.356       2.901
20160517       4.941       5.721       2.043       6.088
20160518       4.548       5.476       3.931       7.986
20160519       5.186       7.354       5.598       6.292
20160520       7.632      10.794       6.968       6.343
20160521      10.423      16.607      10.154       9.837
20160522      14.992      22.642      13.521      12.493
20160523      21.288      24.418      18.444      16.063
20160524      20.004      19.076      22.194      18.817
20160525      16.653      16.589      17.194      17.321
20160526      13.689      14.291      14.888      14.483
20160527      13.152      15.471      14.024      12.177
20160528      14.998      21.760      16.974      14.050
20160529      14.789      19.551      17.955      15.134
20160530      15.828      16.058      19.006      14.371
20160531      23.741      17.425      17.530      14.208
20160601      27.797      21.246      22.051      22.634
20160602      28.137      22.606      25.844      28.687
20160603      25.298      17.920      22.923      26.641
20160604      23.722      16.408      15.865      15.840
20160605      18.359      14.665      13.977      16.831
20160606      16.526      11.776      14.417      17.979
20160607      19.271      10.238      11.412      11.794
20160608      20.837      10.327       9.614      12.723
20160609      13.267       5.658       7.544      17.544
20160610       8.947       4.989       5.151       9.022
20160611       6.601       3.596       4.207       7.450
20160612       5.911       3.352       3.386       5.319
20160613       5.735       3.283       3.524       5.181
20160614       6.441       3.253       3.483       5.755
20160615       8.148       3.531       3.110       6.540
20160616       9.988       4.058       3.412       6.765
20160617      10.633       3.375       3.933       9.244
20160618      11.235       6.202       4.512      11.337
20160619      11.310       3.103       4.499      11.681
20160620       8.902       1.927       2.715       8.371
20160621      12.210       8.356       3.055       9.266
20160622      10.213       2.906       5.540       8.594
20160623       8.011       2.103       2.943       5.464
20160624       9.963       1.998       2.284       6.116
20160625      15.434       5.999       5.975      13.024
20160626      16.651       2.281       3.810      13.139
20160627      25.365      15.416       5.347      10.857
20160628      14.469       5.610       7.463      14.262
20160629       9.349       2.214       4.938       6.087
20160630      11.675       2.367       2.912       5.787
20160701      12.507       3.556       3.983       8.733
20160702      11.421       3.134       2.867      13.574
20160703      10.208       3.581       3.524       9.492
20160704       6.995       1.558       2.623       6.511
20160705       5.798       1.023       2.039       5.481
20160706       6.371       1.533       1.269       5.651
20160707       5.802       0.939       1.120       5.629
20160708       4.949       0.919       0.939       5.095
20160709       4.788       0.930       1.361       6.502
20160710       4.880       0.912       0.915       4.761
20160711       5.092       2.099       1.506       7.569
20160712       5.540       2.507       1.785       6.006
20160713       6.071       2.226       1.683       3.949
20160714      10.041       2.182       4.784       8.547
20160715       8.406       2.017       4.073      12.282
20160716       6.533       1.779       1.804       6.700
20160717       5.580       1.120       1.567       4.692
20160718       4.549       1.361       1.080       4.149
20160719       3.857       0.959       1.000       3.612
20160720       3.961       1.618       0.970       3.862
20160721       4.996       0.947       0.994       2.765
20160722       7.117       1.028       1.316       6.181
20160723       6.341       2.411       1.561       9.460
20160724       5.285       1.031       2.990       8.930
20160725       5.576       1.855       1.811       5.421
20160726       7.481       4.116       3.661      12.980
20160727       5.554       1.355       2.820       5.588
20160728       7.484       4.797       2.294       5.062
20160729       6.463       1.149       4.777       7.396
20160730       7.476       5.535       1.834       4.444
20160731       5.717       3.280       3.512       5.769
