date          Qobs       Qsimobs        Qsim       Qusi
20150801      21.212      21.708      25.831      20.456
20150802      18.392      26.029      21.182      19.108
20150803      17.574      21.929      26.997      20.103
20150804      17.121      21.383      24.269      16.839
20150805      29.482      34.962      26.011      21.194
20150806      31.813      26.707      30.265      27.870
20150807      34.093      27.940      25.763      27.549
20150808      32.423      24.191      26.676      29.706
20150809      24.822      25.157      24.656      30.399
20150810      24.253      21.042      22.218      23.779
20150811      28.992      25.709      22.368      22.550
20150812      30.319      28.879      22.932      28.398
20150813      21.881      16.981      26.364      29.459
20150814      17.319      16.340      19.842      19.541
20150815      16.795      19.533      17.165      17.412
20150816      20.711      21.140      19.905      18.956
20150817      23.492      18.866      20.693      20.598
20150818      21.621      17.352      18.496      21.348
20150819      17.702      17.839      17.288      20.685
20150820      15.957      17.285      17.219      17.643
20150821      15.160      15.846      16.806      15.110
20150822      16.449      16.091      15.577      13.900
20150823      17.917      14.704      15.538      15.236
20150824      16.416      13.889      15.721      16.770
20150825      16.299      16.605      13.916      15.584
20150826      22.448      18.908      16.205      16.671
20150827      20.603      18.089      17.646      22.004
20150828      21.548      30.002      27.124      30.299
20150829      17.311      14.987      23.877      18.354
20150830      13.954      13.665      14.809      13.039
20150831      11.897      12.932      13.924      13.618
20150901      10.344      12.011      13.930      12.549
20150902       9.120      11.447      11.996       9.916
20150903       8.573      11.492      11.743       9.165
20150904       8.260      11.009      11.246       8.320
20150905       9.504      17.908      11.983       9.062
20150906       9.271      14.666      14.545       8.677
20150907       8.762      14.167      13.302       9.213
20150908       9.623      12.735      13.405       8.312
20150909       8.891      12.738      13.897       8.866
20150910       7.844      12.114      13.112       8.828
20150911       6.959      11.605      11.516       7.669
20150912       6.343      11.244      11.593       6.812
20150913       5.999      11.127      11.196       6.205
20150914       6.469      11.116      10.981       5.898
20150915       7.780      10.792      10.649       6.178
20150916       9.893      12.950      11.521       7.787
20150917       9.316      10.953      11.582       8.890
20150918       9.537      12.140      12.094      10.238
20150919      13.431      18.873      13.822      10.529
20150920      16.416      23.555      14.250      12.325
20150921      12.639      14.894      15.184      14.159
20150922       9.947      14.327      15.051      12.051
