date          Qobs       Qsimobs        Qsim       Qusi
20150801  -10000.000       2.019       2.195       2.195
20150802  -10000.000       2.267       2.080       2.079
20150803  -10000.000       1.639       1.845       1.821
20150804       1.924       1.381       1.522       1.521
20150805       1.837       2.884       1.835       1.836
20150806       1.706       1.802       1.781       1.721
20150807       1.443       1.531       1.454       1.515
20150808       1.266       1.340       1.528       1.301
20150809       1.047       1.111       1.327       1.140
20150810       0.866       0.935       1.107       0.935
20150811       0.729       0.777       0.927       0.777
20150812       0.610       0.673       0.769       0.661
20150813       0.533       0.538       0.638       0.540
20150814       0.421       0.440       0.503       0.423
20150815       0.359       0.385       0.440       0.435
20150816       0.308       0.341       0.383       0.383
20150817       0.268       0.302       0.341       0.281
20150818       0.236       0.269       0.305       0.244
20150819       0.209       0.240       0.272       0.220
20150820       0.186       0.214       0.240       0.195
20150821       0.224       0.191       0.214       0.171
20150822       0.152       0.170       0.191       0.170
20150823       0.143       0.151       0.170       0.136
20150824       0.152       0.135       0.151       0.134
20150825       0.182       0.363       0.172       0.160
20150826       0.283       1.062       0.393       0.230
20150827       0.277       1.594       1.171       0.534
20150828       0.481       2.017       1.046       0.260
20150829       0.558       1.051       1.322       0.476
20150830       0.320       0.917       1.050       0.550
20150831       0.429       0.689       0.873       0.276
20150901       0.495       0.558       0.764       0.363
20150902       4.801       5.886       2.974       1.974
20150903       7.042       4.131       5.432       6.635
20150904       4.886       4.265       2.860       5.678
20150905       3.993       2.841       3.601       4.513
20150906       4.309       5.037       4.082       4.543
20150907       2.985       3.259       2.898       3.633
20150908       2.247       2.461       2.274       2.519
20150909       1.757       2.102       2.131       1.998
20150910       1.406       1.795       2.104       1.578
20150911       1.137       1.528       1.795       1.240
20150912       0.930       1.296       1.528       1.014
20150913       0.788       1.064       1.312       0.875
20150914       0.687       1.040       1.170       0.767
20150915       1.295       1.631       1.667       1.030
20150916       6.279       8.768       3.529       2.057
20150917      15.733      18.163       5.602       8.150
20150918      20.990      17.646      15.333      16.014
20150919      15.762       9.130      13.003      15.250
20150920       9.800       6.354       9.128      10.692
20150921       6.383       4.428       6.354       7.115
20150922       4.410       3.052       4.423       4.506
20150923       3.224       2.575       3.142       3.141
20150924       2.472       2.244       2.568       2.750
20150925       2.575       3.363       2.869       2.796
20150926       2.386       2.189       3.034       2.410
20150927       1.913       1.871       2.235       2.112
20150928       1.566       1.576       1.871       1.712
20150929       1.304       1.345       1.601       1.395
20150930       1.111       0.593       1.367       1.156
20151001       0.960       0.517       1.144       0.968
20151002       0.830       0.465       0.969       0.837
20151003       0.709       0.423       0.465       0.742
20151004       0.615       0.556       0.423       0.658
20151005       0.535       0.504       0.386       0.560
20151006       0.471       0.461       0.351       0.501
20151007       0.412       0.421       0.461       0.430
20151008       0.361       0.386       0.423       0.379
20151009       0.319       0.353       0.387       0.340
20151010       0.287       0.323       0.353       0.300
20151011       0.264       0.298       0.324       0.279
20151012       0.248       0.275       0.297       0.250
20151013       0.237       0.251       0.272       0.231
20151014       0.225       0.230       0.251       0.219
20151015       0.218       0.210       0.230       0.208
20151016       0.205       0.193       0.210       0.196
20151017       0.206       0.176       0.193       0.185
20151018       0.202       0.162       0.176       0.189
20151019       0.186       0.148       0.162       0.190
20151020       0.171       0.136       0.148       0.174
20151021       0.174       0.125       0.136       0.164
20151022       0.209       1.048       0.307       0.369
20151023       0.235       0.590       0.568       0.248
20151024       0.230       0.505       0.474       0.237
20151025       0.274       1.255       0.787       0.378
20151026       0.313       0.633       0.712       0.272
20151027       0.292       0.514       0.739       0.269
20151028       0.268       0.394       0.602       0.252
20151029       0.257       0.333       0.396       0.209
20151030       0.243       0.308       0.332       0.238
20151031       0.231       0.304       0.306       0.232
20151101       0.221       0.278       0.285       0.212
20151102       0.215       0.255   -9999.000   -9999.000
20151103       0.203       0.237       0.257       0.200
20151104       0.200       0.243       0.235       0.216
20151105       0.195       0.245       0.219       0.202
20151106       0.192       0.510       0.249       0.190
20151107       0.303       1.189       0.684       0.557
20151108       2.266       6.875       0.933       0.314
20151109       3.580       5.015       2.309       0.888
20151110       3.760       4.313       4.818       3.769
20151111       3.297       2.548       3.442       3.262
20151112       2.772       2.284       3.059       2.694
20151113       3.105       2.830       2.212       2.396
20151114       4.999       8.822       3.012       3.586
20151115       4.205       3.915       4.230       4.862
20151116       3.283       2.704       3.915       3.184
20151117       2.927       3.781       3.483       3.691
20151118       2.712       2.605       3.593       3.166
20151119       2.586       2.560       2.567       2.389
20151120       2.450       2.026       2.352       2.185
20151121       2.031       1.733       2.019       2.072
20151122       1.683       1.485       1.733       1.801
20151123       1.379       1.298       1.496       1.476
20151124       1.295       1.196       1.610       1.558
20151125       2.228       3.895       1.869       1.230
20151126       2.557       2.438       5.522       4.053
20151127       2.496       2.214       2.452       2.239
20151128       3.779       5.587       3.405       3.474
20151129       5.532       5.772       5.360       5.201
20151130       5.820       4.239       4.807       4.989
20151201       4.485       2.797       3.518       4.613
20151202       3.523       2.387       2.768       3.312
20151203       2.746       2.166       2.390       2.875
20151204       3.058       3.780       2.667       2.666
20151205       4.499       6.268       5.065       4.618
20151206       3.872       3.082       4.921       5.108
20151207       3.856       3.530       3.939       3.534
20151208       3.189       2.537       2.617       3.293
20151209       2.787       2.962       2.955       3.170
20151210       2.648       3.031       3.085       3.143
20151211       2.476       2.701       2.583       2.446
20151212       2.135       2.261       2.427       2.391
20151213       1.803       1.952       2.261       1.937
20151214       1.514       1.685       1.952       1.646
20151215       1.319       1.454       1.685       1.373
20151216       1.140       1.241       1.455       1.195
20151217       1.087       1.226       1.446       1.206
20151218       1.733       2.784       1.811       1.329
20151219       2.251       2.239       2.085       1.852
20151220       2.352       2.485       2.601       2.582
20151221       2.340       1.903   -9999.000   -9999.000
20151222       2.077       1.943   -9999.000   -9999.000
20151223       2.033       1.884       2.218       2.444
20151224       1.968       1.589       1.635       1.954
20151225       1.900       2.039       2.697       2.931
20151226       1.739       1.552       1.526       1.802
20151227       1.515       1.340       1.621       1.562
20151228       1.382       1.371       1.582       1.578
20151229       1.246       0.998       1.157       1.066
20151230       1.140       0.860       0.998       1.117
20151231       1.057       1.159       0.885       0.988
20160101       1.007       1.072       1.063       2.445
20160102  -10000.000       1.287       0.983       0.929
20160103  -10000.000       1.049       1.161       2.259
20160104  -10000.000       0.891       1.078       1.078
20160105  -10000.000       0.769       0.882       0.882
20160106  -10000.000       0.689       0.781       0.780
20160107       0.566       0.628       0.689       0.689
20160108       0.513       0.581       0.646       0.646
20160109       0.487       0.562       0.622       0.531
20160110       0.495       0.727       0.683       0.584
20160111       0.509       0.787       1.176       0.800
20160112       0.513       0.477       0.556       0.341
20160113       0.492       0.436       0.469       0.464
20160114       0.452       0.378       0.411       0.434
20160115       0.400       0.353       0.378       0.442
20160116       0.360       0.378       0.356       0.378
20160117       0.345       0.306       0.334       0.314
20160118       0.322       0.285       0.306       0.314
20160119       0.300       0.266       0.285       0.313
20160120       0.274       0.248       0.266       0.273
20160121       0.247       0.231       0.247       0.244
20160122       0.225       0.215       0.231       0.243
20160123       0.213       0.214       0.271       0.276
20160124       0.210       0.186       0.243       0.293
20160125       0.215       0.278       0.715       0.881
20160126       0.350       1.707       0.900       0.946
20160127       3.022       7.102       2.446       1.066
20160128       6.795       9.197       6.637       6.142
20160129       7.105       5.893       7.433       7.189
20160130       7.832       6.522       6.890       6.561
20160131       6.343       3.958       5.241       6.489
20160201       4.619       2.779       3.895       4.564
20160202       3.685       3.002       3.038       3.516
20160203       3.826       5.026       2.722       3.563
20160204       3.276       2.647       3.665       3.591
20160205       2.665       2.242       2.646       2.364
20160206       2.734       2.416       2.668       2.632
20160207       5.094       8.181       4.419       4.303
20160208       7.536       7.590       7.048       7.028
20160209       9.751      12.626       8.502       8.374
20160210       8.675       7.521       9.743       9.779
20160211       6.599       5.078       6.816       6.748
20160212       4.769       3.512       4.990       4.979
20160213       3.608       2.711       3.666       3.667
20160214       2.803       2.260       2.646       2.954
20160215       2.120       1.945       2.258       2.499
20160216       1.770       1.675       1.946       1.910
20160217       1.479       1.429       1.687       1.543
20160218       1.236       1.229       1.442       1.342
20160219       1.051       1.084       1.249       1.092
20160220       0.955       1.635       1.119       1.004
20160221       0.945       2.802       2.239       1.617
20160222       0.888       2.023       2.111       1.059
20160223       0.792       1.719       2.015       0.874
20160224       0.701       1.563       1.701       0.728
20160225       0.607       1.348       1.482       0.641
20160226       0.539       1.162       1.278       0.558
20160227       0.476       1.002       1.162       0.514
20160228       0.421       0.858       1.002       0.443
20160229       0.379       0.748       0.858       0.392
20160301       0.355       0.642       0.756       0.350
20160302       0.349       0.630       0.740       0.363
20160303       0.357       0.896       0.962       0.589
20160304       0.370       0.935       0.655       0.257
20160305       0.379       1.007       0.767       0.578
20160306       0.385       1.139       1.054       0.410
20160307       0.399       1.145       1.194       0.554
20160308       0.416       0.915       1.132       0.377
20160309       0.417       0.727       0.795       0.389
