date          Qobs       Qsimobs        Qsim       Qusi
20150801       0.385       0.503       0.692       0.589
20150802       0.325       0.366       0.503       0.321
20150803       0.284       0.344       0.454       0.305
20150804       0.237       0.238       0.307       0.264
20150805       0.198       0.183       0.238       0.186
20150806       0.170       0.144       0.192       0.174
20150807       0.150       0.158       0.160       0.142
20150808       0.148       0.356       0.202       0.207
20150809       0.190       0.558       0.275       0.232
20150810       0.225       0.541       0.387       0.276
20150811       0.224       0.370       0.447       0.264
20150812       0.252       0.446       0.457       0.264
20150813       0.433       0.513       0.490       0.308
20150814       0.925       0.803       0.533       0.550
20150815       1.046       0.453       0.540       0.843
20150816       0.683       0.330       0.455       0.792
20150817       0.428       0.240       0.330       0.529
20150818       0.298       0.182       0.240       0.332
20150819       0.219       0.137       0.182       0.240
20150820       0.172       0.099       0.137       0.176
20150821       0.137       0.075       0.099       0.132
20150822       2.747       0.061       0.075       0.114
20150823       2.089       0.049       0.061       2.812
20150824       0.142       0.039       0.049       1.871
20150825       0.077       0.031       0.039       0.187
20150826       0.087       0.025       0.031       0.065
20150827       0.087       0.020       0.025       0.071
20150828       0.076       0.016       0.022       0.071
20150829       0.136       0.112       0.021       0.074
20150830       0.728       2.930       0.340       0.727
20150831       1.565       3.438       1.957       3.135
20150901       2.051       1.984       1.931       1.543
20150902       1.405       0.950       1.473       1.414
20150903       0.917       0.711       0.955       0.890
20150904       0.636       0.560       0.713       0.671
20150905       0.487       0.471       0.736       0.714
20150906       0.511       0.946       0.561       0.483
20150907       0.533       0.595       0.633       0.586
20150908       0.518       0.438       0.615       0.506
20150909       0.477       0.385       0.465       0.452
20150910       0.457       0.306       0.374       0.377
20150911       0.405       0.220       0.229       0.334
20150912       0.346       0.170       0.220       0.294
20150913       0.298       0.127       0.170       0.280
20150914       1.149       0.097       0.130       0.235
20150915       0.635       0.080       0.098       0.198
20150916       0.193       0.066       0.080       0.491
20150917       0.171       0.055       0.067       0.149
20150918       0.153       0.045       0.058       0.142
20150919       0.179       0.124       0.055       0.138
20150920       1.255       1.532       0.594       1.010
20150921       1.348       0.577       0.584       2.083
20150922       0.927       0.422       0.575       0.909
20150923       0.643       0.334       0.422       0.706
20150924       0.531       0.729       0.327       0.484
20150925       0.455       0.423       0.451       0.676
20150926       1.849       2.613       0.576       0.448
20150927       3.550       2.666       1.583       2.558
20150928       2.208       1.026       1.468       2.614
20150929       1.620       1.221       1.079       1.269
20150930       3.651       4.974       1.355       1.764
20151001       6.526       6.590       5.197       6.921
20151002       6.404       6.730       5.358       6.368
20151003       4.634       3.959       5.164       6.074
20151004       4.349       5.271       3.261       3.485
20151005       3.605       1.978       3.339       3.452
20151006       1.968       1.129       1.567       1.828
20151007       1.184       0.862       1.129       1.291
20151008       0.799       0.657       0.870       0.962
20151009       0.583       0.499       0.657       0.616
20151010       0.461       0.379       0.499       0.474
20151011       0.427       0.697       0.493       0.482
20151012       0.457       0.616       0.644       0.684
20151013       1.268       1.294       0.829       0.636
20151014       2.844       4.076       1.260       1.657
20151015       5.738       2.721       2.873       4.447
20151016       7.023       7.392       3.162       3.848
20151017       5.982       3.625       4.763       7.508
20151018       7.639       6.469       4.236       4.117
20151019       4.260       1.902       3.814       6.287
20151020       2.390       1.230       1.690       1.921
20151021       1.726       1.565       1.343       1.795
20151022       1.527       1.253       1.309       1.672
20151023       1.447       2.237       1.178       1.358
20151024       1.267       1.128       1.342       1.586
20151025       2.778       5.020       1.702       1.494
20151026       4.164       4.596       3.065       3.827
20151027       2.896       3.136       2.709       3.281
20151028       1.704       1.332       2.461       2.067
20151029       1.120       1.177       1.310       0.926
20151030       0.824       0.888       1.115       1.022
20151031       0.723       0.903       1.056       0.851
20151101       1.974       5.033       1.551       1.235
20151102       3.018       3.047   -9999.000   -9999.000
20151103       3.720       3.571       4.006       3.439
20151104       6.945       7.915       4.470       5.221
20151105       4.755       4.732       4.850       6.438
20151106       3.068       1.920       3.435       3.415
20151107       1.739       1.198       1.515       1.506
20151108       1.252       1.445       1.388       1.594
20151109       1.154       1.164       1.262       1.392
20151110       0.963       0.914       1.192       1.118
20151111       1.042       1.906       1.217       0.980
20151112       1.402       3.245       1.377       1.543
20151113       1.678       2.626       1.985       1.781
20151114       1.494       1.686       1.446       1.171
20151115       1.406       2.003       1.397       1.115
20151116       1.010       1.077       1.093       1.151
20151117       0.705       0.826       1.080       0.817
20151118       0.521       0.712       0.827       0.618
20151119       0.426       0.748       0.691       0.457
20151120       0.374       0.678       0.789       0.460
20151121       0.331       0.481       0.626       0.334
20151122       0.295       0.371       0.481       0.264
20151123       0.283       0.278       0.601       0.395
20151124       0.293       0.706       0.548       0.402
20151125       0.360       1.062       0.680       0.534
20151126       0.747       2.113       1.166       0.588
20151127       3.090       6.199       2.522       1.636
20151128       4.054       5.372       3.863       4.337
20151129       2.496       2.624       3.400       3.280
20151130       1.366       1.178       1.861       1.563
20151201       0.837       0.921       1.215       0.853
20151202       0.605       1.137       0.991       0.788
20151203       0.697       1.500       1.141       0.761
20151204       1.638       3.242       1.416       1.139
20151205       1.774       1.304       1.597       1.828
20151206       1.772       4.198       2.250       1.950
20151207       1.984       3.067       3.029       3.054
20151208       1.690       2.054       2.117       1.471
20151209       2.397       3.853       2.094       1.606
20151210       3.076       2.314       2.916       2.663
20151211       1.886       1.332       1.708       1.949
20151212       1.121       1.176       1.222       1.425
20151213       0.737       0.916       1.050       1.044
20151214       0.549       0.750       0.884       0.655
20151215       0.459       0.586       0.727       0.473
20151216       0.406       0.463       0.572       0.388
20151217       0.349       0.417       0.530       0.428
20151218       0.609       1.420       0.990       0.810
20151219       4.137       1.678       1.403       1.292
20151220       7.276       6.346       3.194       5.271
20151221      14.620       7.280   -9999.000   -9999.000
20151222       7.177       3.917   -9999.000   -9999.000
20151223       3.033       1.324       2.778       4.021
20151224       1.756       1.412       1.882       1.785
20151225       2.029       3.641       1.349       1.778
20151226       2.382       2.342       1.831       2.141
20151227       1.679       1.109       1.979       1.546
20151228       1.036       1.144       1.130       1.288
20151229       1.206       0.944       1.169       1.020
20151230       0.593       0.894       0.933       1.115
20151231       0.463       0.918       0.867       0.576
20160101       0.392       0.850       0.852       0.442
20160102       0.466       0.643       0.796       0.401
20160103       0.686       0.487       0.635       0.313
20160104       0.389       0.373       0.487       0.571
20160105       0.421       0.299       0.373       0.300
20160106       0.392       0.239       0.299       0.338
20160107       0.322       0.202       0.239       0.306
