date          Qobs       Qsimobs        Qsim       Qusi
20150801       1.925       1.163       1.545       2.015
20150802       1.523       1.291       1.232       1.590
20150803       1.315       1.122       1.339       1.634
20150804       1.347       1.195       1.186       1.297
20150805       2.475       2.923       1.455       1.573
20150806       2.776       1.730       3.187       3.236
20150807       2.512       2.219       1.763       2.179
20150808       2.267       1.707       1.802       2.202
20150809       1.814       1.322       1.697       1.948
20150810       1.469       1.289       1.433       1.614
20150811       1.683       1.423       1.282       1.308
20150812       2.077       1.759       1.328       1.521
20150813       1.786       0.978       1.552       2.093
20150814       1.382       1.074       1.147       1.478
20150815       1.178       1.105       1.139       1.394
20150816       1.316       1.117       1.098       1.153
20150817       1.473       0.902       1.041       1.162
20150818       1.407       0.808       0.893       1.282
20150819       1.212       0.722       0.814       1.224
20150820       1.064       0.695       0.747       1.114
20150821       0.973       0.651       0.705       0.974
20150822       0.875       0.622       0.682       0.978
20150823       0.854       0.526       0.647       0.872
20150824       0.818       0.536       0.587       0.806
20150825       1.306       0.982       0.582       0.838
20150826       3.197       3.361       1.276       1.769
20150827       2.804       2.227       2.424       3.441
20150828       2.302       1.647       2.016       2.243
20150829       1.894       1.589       1.588       1.824
20150830       1.550       1.339       1.475       1.667
20150831       1.299       1.208       1.317       1.390
20150901       1.077       1.061       1.195       1.232
20150902       1.748       1.406       1.156       1.077
20150903       3.816       2.942       1.483       1.644
20150904       2.912       1.646       1.763       3.521
20150905       2.131       1.783       1.619       2.303
20150906       1.542       1.406       1.612       1.933
20150907       1.167       1.310       1.411       1.405
20150908       0.924       1.176       1.260       1.092
20150909       0.768       1.100       1.134       0.868
20150910       0.653       0.986       1.081       0.722
20150911       0.567       0.889       0.962       0.609
20150912       0.541       0.811       0.888       0.514
20150913       0.803       1.139       0.851       0.538
20150914       1.283       0.988       0.917       0.770
20150915       2.257       1.311       1.035       1.195
20150916       3.904       2.940       1.494       2.452
20150917       3.084       1.638       2.235       4.324
20150918       2.465       2.373       1.766       2.534
20150919       1.879       1.710       1.951       2.412
20150920       1.477       1.552       1.697       1.692
20150921       1.189       1.367       1.539       1.410
20150922       0.997       1.240       1.374       1.151
20150923       0.913       1.304       1.306       0.966
20150924       0.844       1.117       1.254       0.914
20150925       1.135       1.529       1.206       0.839
20150926       1.187       1.433       1.432       1.252
20150927       1.096       1.209       1.369       1.180
20150928       0.949       1.075       1.216       1.019
20150929       0.806       0.964       1.089       0.882
20150930       0.706       0.603       0.979       0.748
20151001       0.700       0.571       0.906       0.651
20151002       0.707       0.512       0.839       0.668
20151003       0.709       0.529       0.569       0.711
20151004       0.704       0.665       0.505       0.659
20151005       0.657       0.604       0.461       0.659
20151006       0.592       0.562       0.421       0.595
20151007       0.531       0.505       0.569       0.574
20151008       0.473       0.457       0.510       0.508
20151009       0.432       0.418       0.468       0.463
20151010       0.403       0.387       0.421       0.406
20151011       0.377       0.396       0.385       0.380
20151012       0.356       0.339       0.376       0.362
20151013       0.332       0.310       0.343       0.334
20151014       0.306       0.279       0.318       0.310
20151015       0.284       0.252       0.279       0.284
20151016       0.264       0.229       0.252       0.264
20151017       0.246       0.207       0.229       0.244
20151018       0.231       0.188       0.207       0.224
20151019       0.216       0.173       0.188       0.212
20151020       0.204       0.161       0.173       0.200
20151021       0.211       0.160       0.164       0.192
20151022       0.284       0.350       0.276       0.312
20151023       0.523       1.286       0.406       0.452
20151024       0.553       0.794       0.961       0.662
20151025       0.586       0.757       0.818       0.524
20151026       0.565       0.706       0.784       0.616
20151027       0.493       0.656       0.710       0.557
20151028       0.432       0.571       0.653       0.480
20151029       0.385       0.510       0.577       0.414
20151030       0.352       0.456       0.522       0.347
20151031       0.420       0.415       0.499       0.351
20151101       0.607       0.661       0.469       0.384
20151102       0.767       0.599   -9999.000   -9999.000
20151103       0.841       0.524       0.516       0.692
20151104       0.854       0.440       0.532       0.764
20151105       0.813       0.395       0.473       0.748
20151106       0.741       0.355       0.424       0.744
20151107       0.983       0.484       0.423       0.738
20151108       1.025       0.733       0.461       0.748
20151109       0.844       0.832       0.446       1.048
20151110       0.764       0.801       0.828       0.940
20151111       0.630       0.872       0.868       1.000
20151112       0.788       0.827       0.917       0.627
20151113       0.636       0.725       0.811       0.716
20151114       0.573       0.616       0.754       0.610
20151115       0.915       1.407       0.706       0.570
20151116       0.687       0.838       0.863       0.832
20151117       0.714       0.762       0.828       0.639
20151118       0.681       0.624       0.922       0.690
20151119       0.587       0.518       0.623       0.565
20151120       0.850       0.438       0.516       0.520
20151121       2.063       0.375       0.439       0.603
20151122       3.015       0.325       0.375       1.472
20151123       1.700       0.292       0.326       2.255
20151124       0.519       0.320       0.299       1.622
20151125       0.403       0.257       0.269       0.470
20151126       0.348       0.241       0.258       0.366
20151127       0.715       0.454       0.336       0.394
20151128       0.756       0.661       0.545       0.420
20151129       0.663       0.502       0.667       0.618
20151130       0.584       0.446       0.506       0.481
20151201       0.609       0.523       0.463       0.460
20151202       0.639       0.517       0.514       0.544
20151203       0.552       0.489       0.534       0.497
20151204       0.541       0.562       0.462       0.449
20151205       0.573       0.554       0.610       0.562
20151206       0.654       1.070       0.675       0.627
20151207       0.329       0.850       0.890       0.730
20151208       0.704       0.617       0.714       0.706
20151209       0.844       0.608       0.627       0.627
20151210       0.558       0.702       0.604       0.592
20151211       0.696       0.920       0.738       0.674
20151212       0.692       0.594       0.710       0.643
20151213       0.536       0.500       0.605       0.603
20151214       0.949       0.424       0.499       0.499
20151215       6.410       0.381       0.425       0.425
20151216      14.636       0.322       0.375       0.372
20151217       0.536       0.398       0.364       0.337
20151218       0.479       0.492       0.422       0.365
20151219       0.514       0.605       0.669       0.540
20151220       0.950       0.933       0.775       0.842
20151221       1.260       2.205   -9999.000   -9999.000
20151222       1.415       1.397   -9999.000   -9999.000
20151223       1.354       1.209       1.327       1.300
20151224       0.921       1.351       1.212       1.201
20151225       0.847       1.686       1.293       1.170
20151226       1.640       1.183       1.462       1.401
20151227  -10000.000       1.012       1.176       1.151
